0xffc00bf4,memShow_FW
0xffc03968,malloc
0xffc03a3c,free
0xffc03b1c,realloc
0xffc03be4,GetMemInfo
0xffc04db0,drysh_FW
0xffc04e2c,err_init_task
0xffc04f7c,task_ClockSave
0xffc0984c,open
0xffc098fc,close
0xffc09ae4,Read
0xffc09ae4,read
0xffc09ae4,Read_FW
0xffc0af44,RegisterInterruptHandler
0xffc0af68,UnregisterInterruptHandler
0xffc0af80,GetSRAndDisableInterrupt
0xffc0af84,SetSR
0xffc0afa4,EnableInterrupt
0xffc0afac,CreateTask
0xffc0afac,CreateTask_FW
0xffc0b23c,ExitTask
0xffc0b23c,ExitTask_FW
0xffc0b284,DebugAssert
0xffc0b98c,RotateConsoleZOder_FW
0xffc0bb9c,CPrintf_FW
0xffc0bbf8,CPutChar_FW
0xffc0bc24,GetCh_FW
0xffc0bc74,GetStringWithPrompt_FW
0xffc0bcd4,OpenConsole_FW
0xffc0be40,CloseConsole_FW
0xffc0c1fc,task_Startup
0xffc0c350,_uartr_req
0xffc0c3e0,task_UartLog
0xffc0c534,StartRedirectUART_FW
0xffc0cb60,sprintf_FW
0xffc0cba4,vsprintf
0xffc0cbe0,strcpy
0xffc0cbe0,strcpy_FW
0xffc0cbf8,j_strcmp_FW
0xffc0cbf8,strcmp
0xffc0cc20,strcmp_FW
0xffc0cc3c,strlen
0xffc0cc3c,strlen_FW
0xffc0cc60,memcmp
0xffc0cc60,memcmp_FW
0xffc0cd5c,srand
0xffc0cd68,rand
0xffc100cc,task_TempCheck
0xffc10318,GetVBatVoltage_FW
0xffc10318,VbattGet
0xffc10318,VbattGet_FW
0xffc1134c,kbd_p2_f
0xffc1167c,task_PhySw
0xffc11970,GetSwitchStatus_FW
0xffc119dc,GetSDDetect_FW
0xffc119e4,GetSDProtect
0xffc119e4,GetSDProtect_FW
0xffc11a00,GetDialEventId_FW
0xffc11a04,GetBatteryCoverClose_FW
0xffc11a0c,kbd_read_keys
0xffc11a90,kbd_p1_f
0xffc11a9c,kbd_p1_f_cont
0xffc128ac,EngDrvOut
0xffc128c4,EngDrvIn
0xffc128cc,EngDrvRead
0xffc128e0,EngDrvBits
0xffc13138,RenameFile_Fut
0xffc1318c,DeleteFile_Fut
0xffc13200,MakeDirectory_Fut
0xffc13270,DeleteDirectory_Fut
0xffc132c8,Fopen_Fut
0xffc132c8,Fopen_Fut_FW
0xffc13308,Fclose_Fut
0xffc13308,Fclose_Fut_FW
0xffc133b4,Fread_Fut
0xffc133b4,Fread_Fut_FW
0xffc13408,Fwrite_Fut
0xffc13408,Fwrite_Fut_FW
0xffc1345c,Fgets_Fut
0xffc134a8,Fseek_Fut
0xffc134a8,Fseek_Fut_FW
0xffc134f4,Feof_Fut
0xffc13530,Fflush_Fut
0xffc138b8,Open
0xffc138b8,Open_FW
0xffc138e0,Close
0xffc138e0,Close_FW
0xffc13988,j_Read_FW
0xffc1398c,Write
0xffc1398c,write
0xffc1398c,Write_FW
0xffc13a20,Lseek
0xffc13a20,lseek
0xffc13a20,Lseek_FW
0xffc13ae8,j_Lseek_FW
0xffc13aec,stat
0xffc13bbc,SetFileTimeStamp
0xffc13c0c,SetFileAttributes
0xffc13c84,mkdir
0xffc13fb0,j_StartCameraLog_FW
0xffc13fb4,j_ShowCameraLog_FW
0xffc13fb8,j_ShowCameraLogInfo_FW
0xffc13fbc,j_StopCameraLog_FW
0xffc13fc0,j_PutsCameraLogEvent_FW
0xffc13fc4,OpLog.Create_FW
0xffc14028,j_NewTaskShell_FW
0xffc1402c,j_ExMem.View_FW
0xffc14030,j_ExMem.AllocUncacheable_FW
0xffc14034,j_ExMem.FreeUncacheable_FW
0xffc14038,j_ExMem.AllocCacheable_FW
0xffc1403c,j_ExMem.FreeCacheable_FW
0xffc14040,ExMem_FW
0xffc14f40,DoAFLock
0xffc14f78,UnlockAF
0xffc14ff0,EnterToCompensationEVF
0xffc15034,ExitFromCompensationEVF
0xffc15088,DoAELock
0xffc150ac,UnlockAE
0xffc15fcc,TestAssert_FW
0xffc15ff8,TestAssertInt_FW
0xffc16018,TestException_FW
0xffc16034,TestExceptionInt_FW
0xffc16054,TestPanic_FW
0xffc16084,TestPanicInt_FW
0xffc1625c,CreateMessageQueue
0xffc162e0,DeleteMessageQueue
0xffc16370,ReceiveMessageQueue
0xffc16438,TryReceiveMessageQueue
0xffc164bc,PostMessageQueue
0xffc16574,TryPostMessageQueue
0xffc165b4,GetNumberOfPostedMessages
0xffc16620,CreateBinarySemaphore
0xffc16688,CreateCountingSemaphore
0xffc16688,CreateCountingSemaphore_FW
0xffc166e0,DeleteSemaphore
0xffc166e0,DeleteSemaphore_FW
0xffc16738,TryTakeSemaphore
0xffc1678c,TakeSemaphore
0xffc1678c,TakeSemaphore_FW
0xffc1685c,GiveSemaphore
0xffc1685c,GiveSemaphore_FW
0xffc16894,GetSemaphoreValue
0xffc16ac4,SleepTask
0xffc16ac4,SleepTask_FW
0xffc16b84,CreateTaskStrictly
0xffc16bb8,CreateMessageQueueStrictly
0xffc16bdc,CreateEventFlagStrictly
0xffc16c00,CreateBinarySemaphoreStrictly
0xffc16c24,CreateCountingSemaphoreStrictly
0xffc16c48,CreateRecursiveLockStrictly
0xffc16c6c,TakeSemaphoreStrictly
0xffc16c98,ReceiveMessageQueueStrictly
0xffc16cc4,PostMessageQueueStrictly
0xffc16cf0,WaitForAnyEventFlagStrictly
0xffc16d1c,WaitForAllEventFlagStrictly
0xffc16d48,AcquireRecursiveLockStrictly
0xffc16e40,AllocateUncacheableMemory
0xffc16e80,FreeUncacheableMemory
0xffc170ec,_GetSystemTime
0xffc17224,SetTimerAfter
0xffc172a4,SetTimerWhen
0xffc17308,CancelTimer
0xffc18410,task_Bye
0xffc18594,Restart
0xffc18cb4,task_StartupImage
0xffc1c67c,strncpy
0xffc1c6b8,strtolx
0xffc1c8b4,strtol
0xffc1f880,ExpCtrlTool_StartContiAE
0xffc1faac,ExpCtrlTool_StopContiAE,(stubs_entry_2.s)
0xffc2367c,task_ImageSensorTask
0xffc23e24,SetMontblancVSize_FW
0xffc23e38,GetMontblancVSize_FW
0xffc2c3ec,DispCon_ShowColorBar_FW
0xffc2c440,DispCon_ShowFiveStep_FW
0xffc2c50c,DispCon_ShowWhiteChart_FW
0xffc2c544,DispCon_ShowBlackChart_FW
0xffc2c560,DispCon_ShowBitmapColorBar
0xffc2c560,DispCon_ShowBitmapColorBar_FW
0xffc2c5c0,DispCon_ShowCustomColorBar_FW
0xffc2c618,DispCon_SetDisplayType_FW
0xffc2c638,DispCon_ShowColorChart_FW
0xffc2c65c,DispCon_TurnOnDisplay_FW
0xffc2c65c,TurnOnDisplay
0xffc2c66c,DispCon_TurnOffDisplay_FW
0xffc2c66c,TurnOffDisplay
0xffc2c67c,DispCon_TurnOnBackLight_FW
0xffc2c68c,DispCon_TurnOffBackLight_FW
0xffc2c69c,DispCon_SetMaxBackLightBrightness_FW
0xffc2c71c,DispCon_SetVideoAdjParameter_FW
0xffc2c78c,DispCon_GetVideoAdjParameter_FW
0xffc2c7e8,DispCon_ShowVideoAdjParameter_FW
0xffc2c814,DispCon_SaveVideoAdjParameter_FW
0xffc2c890,DispCon_SetLcdGainAdjParameter_FW
0xffc2c95c,DispCon_GetLcdGainAdjParameter_FW
0xffc2c998,DispCon_ShowLcdGainAdjParameter_FW
0xffc2c9a8,DispCon_SaveLcdGainAdjParameter_FW
0xffc2ca94,task_LcdConTask
0xffc2cf88,LcdCon_StartLcdPeriodicalSetting_FW
0xffc2cf98,LcdCon_StopLcdPeriodicalSetting_FW
0xffc2e09c,GetAdVBattBottom_FW
0xffc2e0a4,GetAdChValue_FW
0xffc2f2b4,Bat_Calc_FW
0xffc2f2b4,CalculateBatSenseOffset_FW
0xffc2f4e8,task_BeepTask
0xffc2f8d0,BeepDrive_FW
0xffc2f8f0,BeepDriveComp_FW
0xffc2faec,task_LEDCon
0xffc30088,LEDDrive
0xffc30088,LEDDrive_FW
0xffc304a4,kbd_read_keys_r2
0xffc30b28,GetKbdState
0xffc30bac,kbd_pwr_off,(stubs_entry_2.s)
0xffc30c50,task_AudioTsk
0xffc3123c,TurnOnVideoOutMode_FW
0xffc312a0,TurnOffVideoOutMode_FW
0xffc321f4,task_FWDDATA
0xffc32a08,task_Thermometer
0xffc32bd0,GetCCDTemperature
0xffc32bd0,GetCCDTemperature_FW
0xffc32c44,GetBatteryTemperature
0xffc32c44,GetBatteryTemperature_FW
0xffc32cbc,GetOpticalTemperature
0xffc32cbc,GetOpticalTemperature_FW
0xffc32d68,IsOpticalTemperature_FW
0xffc32d9c,IsCCDTemperature_FW
0xffc32dd0,IsBatteryTemperature_FW
0xffc32e14,j_GetOpticalTemperature_FW
0xffc32e18,j_GetCCDTemperature_FW
0xffc32e1c,j_GetBatteryTemperature_FW
0xffc32e20,j_IsOpticalTemperature_FW
0xffc32e24,j_IsCCDTemperature_FW
0xffc32e28,j_IsBatteryTemperature_FW
0xffc33034,DisplayFactoryMode_FW
0xffc33040,UndisplayFactoryMode_FW
0xffc333d0,SetDurianMode_FW
0xffc33408,ClearDurianMode_FW
0xffc33408,ClearFactoryMode_FW
0xffc33440,SetFactoryMode_FW
0xffc33478,ClearDUIDFixFlag_FW
0xffc334b0,SetDUIDFixFlag_FW
0xffc334ec,IsFactoryMode_FW
0xffc3352c,IsDUIDFixFlag_FW
0xffc33578,StartFactoryModeController_FW
0xffc3450c,EraseAdjustmentArea_FW
0xffc34518,DumpAdjMirror_FW
0xffc3453c,GetAdjTableVersion_FW
0xffc34570,GetAdjTableMapVersion_FW
0xffc34580,GetAdjTableValueVersion_FW
0xffc34594,ShowDefaultAdjTableVersion_FW
0xffc34650,LoadAdjustmentTable_FW
0xffc34660,CreateAdjustmentTableMirror_FW
0xffc34a04,SaveAdjustmentTable_FW
0xffc34a38,SaveAdjustmentValue_FW
0xffc34a70,LoadAdjustmentValue_FW
0xffc34a94,PrintAdjTableMap_FW
0xffc34c9c,RefreshAdjustmentTableMirror_FW
0xffc34d9c,PrintAdjKabotanInfo_FW
0xffc34e28,WRITEADJTABLETOFROM_FW
0xffc34e4c,WRITEADJUSTMENTDATATOFROM_FW
0xffc387e8,InitializeTestRec_FW
0xffc38850,TerminateTestRec_FW
0xffc38ab8,ExecuteTestRec_FW
0xffc38acc,ExecuteTestRecCF_FW
0xffc38acc,ExecuteTestRecSD_FW
0xffc38ae4,ExecuteTestRecWithInteg_FW
0xffc38afc,ExecuteTestRecSw1_FW
0xffc38d80,CalculateTestRecYUVData_FW
0xffc38da0,SetTestRecSkimmingYUV_FW
0xffc38de0,Initializedccd_FW
0xffc38de0,InitializeDigicon_FW
0xffc38e8c,Terminatedccd_FW
0xffc38e8c,TerminateDigicon_FW
0xffc38ee0,ExecuteDigicon_FW
0xffc39568,Executedccd_FW
0xffc395e0,GetdccdImage_FW
0xffc39674,GetdccdFilterValue_FW
0xffc3be30,task_FsIoNotifyTask
0xffc3ebdc,UpdateMBROnFlash
0xffc3ed84,GetDrive_ClusterSize
0xffc3edb0,GetDrive_TotalClusters
0xffc3eddc,GetDrive_FreeClusters
0xffc3f604,task_SD1stInit
0xffc41bf4,task_ImgPlayDrv
0xffc42c10,task_RedEyeCapt
0xffc43220,task_LensController
0xffc445ac,IsLensOutside_FW
0xffc445d0,GetFocusStartZoomPosition_FW
0xffc44610,GetLensErrorStatus_FW
0xffc44a04,task_ISMainTask
0xffc44d48,ISInitMotion_FW
0xffc452ac,StartBDrive_FW
0xffc452ac,StartISAdjustmentDrive_FW
0xffc452ac,StartISDrive_FW
0xffc452b4,StopBDrive_FW
0xffc452b4,StopISAdjustmentDrive_FW
0xffc452b4,StopISDrive_FW
0xffc452bc,StartBPanDrive_FW
0xffc452bc,StartISPanDrive_FW
0xffc452c4,StopBPanDrive_FW
0xffc452c4,StopISPanDrive_FW
0xffc452d8,StartISLocalAutoCenter_FW
0xffc45318,StartISLocalHallAdjust_FW
0xffc45384,SearchBCentralPosition_FW
0xffc45384,SearchISLensCentralPosition_FW
0xffc453e4,MoveISLensToCentralPosition_FW
0xffc45428,ChangeToISCloseControl_FW
0xffc45490,GetISHallDevicePitchOffset_FW
0xffc45498,GetISHallDeviceYawOffset_FW
0xffc454a0,GetISHallDevicePitchGain_FW
0xffc454a8,GetISHallDeviceYawGain_FW
0xffc454b0,GetISGyroPitchGain_FW
0xffc454b8,GetISGyroYawGain_FW
0xffc454c0,GetISPitchPWM_FW
0xffc4554c,GetISYawPWM_FW
0xffc45554,GetISShiftLensPitchPosition_FW
0xffc4555c,GetISShiftLensYawPosition_FW
0xffc45564,GetGyroDataPitch_FW
0xffc45564,GetISGyroDataPitch_FW
0xffc4556c,GetGyroDataYaw_FW
0xffc4556c,GetISGyroDataYaw_FW
0xffc4558c,GetGyro10BitDACPitch_FW
0xffc4558c,GetISGyro10BitDACPitch_FW
0xffc45594,GetGyro10BitDACYaw_FW
0xffc45594,GetISGyro10BitDACYaw_FW
0xffc455bc,GetGyroHPFINOffsetPitch_FW
0xffc455bc,GetISGyroHPFINOffsetPitch_FW
0xffc455d4,GetGyroHPFINOffsetYaw_FW
0xffc455d4,GetISGyroHPFINOffsetYaw_FW
0xffc455ec,GetGyroHPFINPitch_FW
0xffc455ec,GetISGyroHPFINPitch_FW
0xffc45648,GetGyroHPFINYaw_FW
0xffc45648,GetISGyroHPFINYaw_FW
0xffc456b8,ClearISCalcZData_FW
0xffc45d8c,GetISLensDampAaxis_FW
0xffc45d94,GetISLensDampBaxis_FW
0xffc469bc,PT_PlaySound
0xffc46b20,PT_CompletePreCapt_FW
0xffc46b28,PT_RecreviewAvailable_FW
0xffc46b30,PT_NextShootAvailable_FW
0xffc46b38,PT_CompleteStopZoom_FW
0xffc46b40,PT_CompleteStopDigZoom_FW
0xffc46b48,PT_CompleteStoreLens_FW
0xffc46b50,PT_MovieRecordStopped_FW
0xffc46b58,PT_CompleteCaptModeChange_FW
0xffc46b60,PT_CompleteSynchroWrite_FW
0xffc46b68,PT_CompleteCharge_FW
0xffc46b70,PT_CompleteFileWrite_FW
0xffc46b78,PT_ShootPicture_FW
0xffc46b80,PT_EraseAllFile_FW
0xffc46ba8,PT_mod_FW
0xffc46bd0,PT_GetSystemTime_FW
0xffc46be4,PT_SetPropertyCaseInt_FW
0xffc46c10,PT_GetPropertyCaseInt_FW
0xffc46c88,PT_GetLocalDateAndTimeString_FW
0xffc46ccc,PT_PlaySound_FW
0xffc46ce8,PT_LCD_BkColorDef_FW
0xffc46d58,PT_MoveOpticalZoomToTele_FW
0xffc46d6c,PT_MoveOpticalZoomToWide_FW
0xffc46d80,PT_MoveOpticalZoomAt
0xffc46d80,PT_MoveOpticalZoomAt_FW
0xffc46d98,PT_MoveDigitalZoomToTele_FW
0xffc46da8,PT_MoveDigitalZoomToWide
0xffc46da8,PT_MoveDigitalZoomToWide_FW
0xffc46db8,PT_MoveDigitalZoomAt_FW
0xffc46dcc,PT_ChangeZoomSpeed_FW
0xffc46de0,PT_DoAFLock_FW
0xffc46df0,PT_UnlockAF_FW
0xffc46e00,PT_DoAELock_FW
0xffc46e10,PT_UnlockAE_FW
0xffc46e20,PT_MFOn_FW
0xffc46e30,PT_MFOff_FW
0xffc46e40,NR_SetDoubleNRType_FW
0xffc46e48,SS.Create_FW
0xffc49060,task_CaptSeq
0xffc49060,task_CaptSeqTask
0xffc4eabc,task_SsTask
0xffc51208,CreateEventFlag
0xffc51260,DeleteEventFlag
0xffc512b0,CheckAnyEventFlag
0xffc512f8,CheckAllEventFlag
0xffc51340,WaitForAnyEventFlag
0xffc51424,WaitForAllEventFlag
0xffc514e4,SetEventFlag
0xffc51518,ClearEventFlag
0xffc51550,GetEventFlagValue
0xffc516d4,CreateRecursiveLock
0xffc51724,DeleteRecursiveLock
0xffc51774,AcquireRecursiveLock
0xffc51894,ReleaseRecursiveLock
0xffc52958,UnLoadScript_FW
0xffc52a48,Printf_FW
0xffc52a54,LoadScript_FW
0xffc53138,time
0xffc53284,LocalTime
0xffc537ac,GetTimeOfSystem_FW
0xffc53884,ExMem.View_FW
0xffc53d68,ExMem.AllocUncacheable_FW
0xffc53ea4,ExMem.FreeUncacheable_FW
0xffc53eb8,exmem_alloc
0xffc53f20,ExMem.AllocCacheable_FW
0xffc53f30,exmem_free
0xffc53fa8,ExMem.FreeCacheable_FW
0xffc54ba0,SetHPTimerAfterNow
0xffc54c20,SetHPTimerAfterTimeout
0xffc54ca8,CancelHPTimer
0xffc55494,RegisterEventProcedure
0xffc555c0,ExecuteEventProcedure
0xffc55638,ExecuteEventProcedure_FW
0xffc55ff8,ExportToEventProcedure_FW
