0xff810dcc,memShow_FW
0xff814030,strncpy
0xff81406c,strncmp
0xff8140b8,strchr
0xff8140dc,strrchr
0xff814104,strlen
0xff814104,strlen_FW
0xff8141ec,malloc
0xff814244,free
0xff815f58,drysh_FW
0xff815fd4,err_init_task
0xff816124,task_ClockSave
0xff81a29c,GetMemInfo
0xff81ab04,open
0xff81abb4,close
0xff81ad58,Read
0xff81ad58,read
0xff81ad58,Read_FW
0xff81e948,RegisterInterruptHandler
0xff81e96c,UnregisterInterruptHandler
0xff81e984,GetSRAndDisableInterrupt
0xff81e988,SetSR
0xff81e9a8,EnableInterrupt
0xff81e9b0,CreateTask
0xff81e9b0,CreateTask_FW
0xff81ec40,ExitTask
0xff81ec40,ExitTask_FW
0xff81ec88,DebugAssert
0xff81f374,RotateConsoleZOder_FW
0xff81f584,CPrintf_FW
0xff81f5dc,CPutChar_FW
0xff81f604,GetCh_FW
0xff81f654,GetStringWithPrompt_FW
0xff81f6f4,OpenConsole_FW
0xff81f820,CloseConsole_FW
0xff81fbf4,task_Startup
0xff81fd98,_uartr_req
0xff81fe28,task_UartLog
0xff81ffcc,StartRedirectUART_FW
0xff8200e0,StopRedirectUART_FW
0xff8207dc,sprintf_FW
0xff820820,vsprintf
0xff820860,strcpy
0xff820860,strcpy_FW
0xff820878,j_strcmp_FW
0xff820878,strcmp
0xff8208a0,strcmp_FW
0xff8208bc,memcmp
0xff8208bc,memcmp_FW
0xff8327dc,task_BatteryTask
0xff832c94,GetVBatVoltage_FW
0xff832c94,VbattGet
0xff832c94,VbattGet_FW
0xff833ba0,kbd_p2_f
0xff833ecc,task_PhySw
0xff834260,GetSwitchStatus_FW
0xff8342cc,GetSDDetect_FW
0xff8342d4,GetSDProtect
0xff8342d4,GetSDProtect_FW
0xff8342f4,GetDialEventId_FW
0xff8342f8,GetLcdPosition_FW
0xff834300,GetBatteryCoverClose_FW
0xff834308,IsHvSensorExist_FW
0xff834310,kbd_read_keys
0xff83438c,kbd_p1_f
0xff834398,kbd_p1_f_cont
0xff8351b8,EngDrvOut
0xff8351d0,EngDrvIn
0xff8351d8,EngDrvRead
0xff8351ec,EngDrvBits
0xff8354b8,DisplayFactoryMode_FW
0xff8354c4,UndisplayFactoryMode_FW
0xff8356ec,SetDurianMode_FW
0xff835724,ClearDurianMode_FW
0xff835724,ClearFactoryMode_FW
0xff8357e0,SetFactoryMode_FW
0xff835818,ClearDUIDFixFlag_FW
0xff835850,SetDUIDFixFlag_FW
0xff83588c,IsFactoryMode_FW
0xff8358f4,IsDUIDFixFlag_FW
0xff83593c,IsNormalCameraMode_FW
0xff835954,StartFactoryModeController_FW
0xff8362b8,RenameFile_Fut
0xff83634c,DeleteFile_Fut
0xff8363c0,MakeDirectory_Fut
0xff836430,DeleteDirectory_Fut
0xff836488,Fopen_Fut
0xff836488,Fopen_Fut_FW
0xff8364c8,Fclose_Fut
0xff8364c8,Fclose_Fut_FW
0xff836574,Fread_Fut
0xff836574,Fread_Fut_FW
0xff8365c8,Fwrite_Fut
0xff8365c8,Fwrite_Fut_FW
0xff83661c,Fgets_Fut
0xff836668,Fseek_Fut
0xff836668,Fseek_Fut_FW
0xff8366b4,Feof_Fut
0xff8366f0,Fflush_Fut
0xff83696c,Open
0xff83696c,Open_FW
0xff836a34,Close
0xff836a34,Close_FW
0xff836a88,Write
0xff836a88,write
