0xff8330c8,_GetSystemTime
0x003fcce0,_log
0x003fd220,_log10
0x003fd398,_pow
0x003fefbc,_sqrt
0xff81a804,_uartr_req
0xff92d214,AbortAEIntegralValue_FW
0x003faef8,AcquireRecursiveLock
0x003f7c14,AcquireRecursiveLockStrictly
0xff92f288,ActivateAdjLog_FW
0xff8e33e0,ActivateImager_FW
0xff8e3478,ActivateImagerXOne_FW
0xffa17594,add_ptp_handler
0xff969c5c,AdditionAgentRAM_FW
0xffa413e0,AddTransparentMemory_FW
0xffadeb60,AdjAEWithAperturePriority_FW
0xffadeb0c,AfAEWithAperturePriority_FW
0xffaded08,AfAEWithCompensation_FW
0xffa09898,AFTool.GetEVal_FW
0xffa724f4,AllocateMemory
0xffa724f4,AllocateMemory_FW
0xff832e2c,AllocateUncacheableMemory
0xff9d8e90,apex2us
0xff8966d8,atol_FW
0xff92e02c,AttachIntegCrawData_FW
0xffa41418,AttachToTransparentMemory_FW
0xffacbbf8,Bat_Calc_FW
0xffae0110,Bat_Save_FW
0xffae00fc,Bat_VIN_FW
0xff855650,BeepDrive_FW
0xff855670,BeepDriveComp_FW
0xffad9b44,CalcLog10_FW
0xffad9c34,CalcSqrt_FW
0xffacbbf8,CalculateBatSenseOffset_FW
0xffaddb80,CalculateInterpolationByLS_FW
0xffad9ae4,CalculateLog2ToApex_FW
0xffad9aac,CalculatePeakFromLeastSquareResult_FW
0xffaddb20,CalculatePeakPosByLS_FW
0xffad9af8,CalculatePow2FromApex_FW
0xff860434,CalculateTestRecYUVData_FW
0xffade934,CancelAdj_AEMode_FW
0xffad83a0,CancelAdjCdsMode_FW
0xffadc5f4,CancelBPFilterForBP_FW
0xffade284,CancelExStrobeMode_FW
0xffa6e040,CancelFocusLensMaxSpeedLimit_FW
0xff879ee8,CancelHPTimer
0xff8e3728,CancelImageDrive_FW
0xff8e3650,CancelImager_FW
0xff8332e4,CancelTimer
0xff95ef78,Capture.Create_FW
0xffad8be0,CaptureWithParam_FW
0xffa41078,ChangeAdjImgDrvMode_FW
0xffa410a4,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff9f8ee4,ChangeCrossThresholdTable_FW
0xff9f9534,ChangeDefectRecParam_FW
0xffadfed0,ChangeDistortionSetForLiveImage_FW
0xffa6e1ac,ChangeFocusDistanceToPosition_FW
0xff9f8d24,ChangeGradeTable_FW
0xffad8c28,ChangeImageDrive_FW
0xff8e36cc,ChangeImagerToAlternateDraft_FW
0xff8e368c,ChangeImagerToCombiParallel_FW
0xff8e36c4,ChangeImagerToDigiconMode_FW
0xff8e3704,ChangeImagerToFantaJungle_FW
0xff8e369c,ChangeImagerToFocusJet_FW
0xff8e36f4,ChangeImagerToHarleyDavidson_FW
0xff8e36b4,ChangeImagerToHoneyFlash_FW
0xff8e370c,ChangeImagerToHoneyFlashDark_FW
0xff8e36fc,ChangeImagerToMachDashV_FW
0xff8e36a4,ChangeImagerToMangoPudding_FW
0xff8e36bc,ChangeImagerToMillefeAdjust_FW
0xff8e36e4,ChangeImagerToMontblancMillefe_FW
0xff8e36ec,ChangeImagerToMontblancMovie_FW
0xff8e36dc,ChangeImagerToMontblancWhole_FW
0xff8e36c4,ChangeImagerToOITA_XAVIER_FW
0xff8e3714,ChangeImagerToRoadKing_FW
0xff8e36ac,ChangeImagerToSuperWideDraft_FW
0xff8e36d4,ChangeImagerToUltraGhostQ_FW
0xff8e3674,ChangeImagerToWholeParallel_FW
0xff8e367c,ChangeImagerToWholeParallelBP_FW
0xff8e3684,ChangeImagerToWholeParallelBPOne_FW
0xff8e3694,ChangeImagerToWideDraft_FW
0xffa6e458,ChangeIrisSpeed_FW
0xffa6ed78,ChangeZoomLensMagnificationToPoint_FW
0xffa6ed70,ChangeZoomLensPointToMagnification_FW
0xffade2c0,ChargeStrobe_FW
0xffade2f4,ChargeStrobeForFA_FW
0x003faa80,CheckAllEventFlag
0x003faa38,CheckAnyEventFlag
0xff82cf14,CheckBoardType_FW
0xff87d6b0,CheckSumAll_FW
0xff82eec8,ClearDUIDFixFlag_FW
0xff82ee48,ClearDurianMode_FW
0x003faca0,ClearEventFlag
0xff82eff4,ClearFactoryMasterFlag_FW
0xff82f00c,ClearFactoryMasterROMProtection_FW
0xff82ee48,ClearFactoryMode_FW
0xffaf5910,ClearPMByFs_FW
0xffaf58e8,ClearPMByGpio_FW
0xffadae50,ClearZoomCommonDriveParam_FW
0xff958480,ClearZoomDriveParam_FW
0xff830074,Close
0xff8159e4,close
0xff830074,Close_FW
0xff81a294,CloseConsole_FW
0xffa54424,closedir
0xffa6e738,CloseMechaShutter_FW
0xffa6e780,CloseMechaShutterWithTiming_FW
0xffad9158,CloseMShutter_FW
0xffa41010,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa40fc4,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffad9b9c,ConvertApexStdToApex_FW
0xffad9b6c,ConvertApexToApexStd_FW
0xffada130,ConvertCxCyToWBGain_FW
0xffadb1d8,ConvertToPositionWithDistance_FW
0xffadb1b4,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffad8cd4,ConvertTvToExposureTime_FW
0xff819ff8,CPrintf_FW
0xff81a050,CPutChar_FW
0xff85b354,CreateAdjustmentTableMirror_FW
0x003f74c8,CreateBinarySemaphore
0x003f7acc,CreateBinarySemaphoreStrictly
0xff882074,CreateController_FW
0x003f7530,CreateCountingSemaphore
0x003f7530,CreateCountingSemaphore_FW
0x003f7af0,CreateCountingSemaphoreStrictly
0xff85b364,CreateDefectTableMirror_FW
0x003fa990,CreateEventFlag
0x003f7aa8,CreateEventFlagStrictly
0xff92ebcc,CreateFADBGSingalID_FW
0xffae24cc,CreateJumptable
0x003f7104,CreateMessageQueue
0x003f7a84,CreateMessageQueueStrictly
0xff87b14c,CreateProxyOfEventProcedure_FW
0x003fae58,CreateRecursiveLock
0x003f7b14,CreateRecursiveLockStrictly
0x003f6824,CreateTask
0x003f6824,CreateTask_FW
0x003f7a50,CreateTaskStrictly
0xff9f8d38,CrossDefDetect_FW
0xff9f9068,CrowdLineDetect_FW
0xff9f922c,CrowdLineKizuCheck_FW
0xff8822f4,CtrlMan_ChangeZOrder_FW
0xff952f38,CzDebugPrint_FW
0xff952f4c,CzDebugPrintToFile_FW
0x003f6afc,DebugAssert
0xff882150,DeleteController_FW
0xff82fa74,DeleteDirectory_Fut
0x003fa9e8,DeleteEventFlag
0xff82fa00,DeleteFile_Fut,(stubs_entry_2.s)
0x003f7188,DeleteMessageQueue
0xff87b1a4,DeleteProxyOfEventProcedure_FW
0x003faea8,DeleteRecursiveLock
0x003f7588,DeleteSemaphore
0x003f7588,DeleteSemaphore_FW
0xffae2328,DevelopStillPicture_FW
0xff9f9630,DevelopTool.DevelopTest_FW
0xff92e868,DeviceUniqueIDCheckSum_FW
0xff8149c4,DisableClockSaver_FW
0xff9316f8,DisableDebugLogMode_FW
0xffa6e09c,DisableFocusLens_FW
0xffa6e118,DisableFocusLensGainLock_FW
0xffa6e144,DisableFocusLensWaveLock_FW
0xffa6e608,DisableFocusPiCircuit_FW
0xffa6e568,DisableLensError_FW
0xffa6e5e8,DisableMechaCircuit_FW
0xffa6e650,DisableZoomEncoderCircuit_FW
0xffa6ed4c,DisableZoomLensElectricControl_FW
0xffa6ea0c,DisableZoomLensEncoderPowerControl_FW
0xffa6ed24,DisableZoomLensSpeedControl_FW
0xffa6e62c,DisableZoomPiCircuit_FW
0xff852890,DispCon_GetLcdGainAdjParameter_FW
0xff8526c8,DispCon_GetVideoAdjParameter_FW
0xff8528dc,DispCon_SaveLcdGainAdjParameter_FW
0xff852750,DispCon_SaveVideoAdjParameter_FW
0xff85222c,DispCon_SetDisplayType_FW
0xff8527cc,DispCon_SetLcdGainAdjParameter_FW
0xff8525dc,DispCon_SetMaxBackLightBrightness_FW
0xff85265c,DispCon_SetVideoAdjParameter_FW
0xff85217c,DispCon_ShowBitmapColorBar
0xff85217c,DispCon_ShowBitmapColorBar_FW
0xff852160,DispCon_ShowBlackChart_FW
0xff851ff0,DispCon_ShowColorBar_FW
0xff85224c,DispCon_ShowColorChart_FW
0xff8521d8,DispCon_ShowCustomColorBar_FW
0xff852048,DispCon_ShowFiveStep_FW
0xff8528cc,DispCon_ShowLcdGainAdjParameter_FW
0xff85242c,DispCon_ShowNStepsChart_FW
0xff852724,DispCon_ShowVideoAdjParameter_FW
0xff852128,DispCon_ShowWhiteChart_FW
0xff852270,DispCon_ShowWhiteLine_FW
0xff8525cc,DispCon_TurnOffBackLight_FW
0xff8525ac,DispCon_TurnOffDisplay_FW
0xff8525bc,DispCon_TurnOnBackLight_FW
0xff85259c,DispCon_TurnOnDisplay_FW
0xff95e840,DispDev.Create_FW
0xff95c260,DispDev_EnableEventProc_FW
0xff82ea34,DisplayFactoryMode_FW
0xff831cf8,DoAELock
0xff831a04,DoAFLock
0xff95c3c4,Driver.Create_FW
0xff95c3c4,Driver_EnableEventProc_FW
0xff814300,drysh_FW
0xff95c820,Dump32_FW
0xff95c810,Dump_FW
0xff85aa7c,DumpAdjMirror_FW
0xffa413a0,DumpTransparentMemoryItem_FW
0xff8e319c,E2LatOn_FW
0xffa06134,EF.AdjPreFlash_FW
0xff8c9b38,EF.IsChargeFull_FW
0xffa06170,EF.SetChargeMode_FW
0xffa06050,EF.SetEFChargeTimeOut_FW
0xffa06184,EF.SetFlashTime_FW
0xffa0611c,EF.SetMainFlashTime_FW
0xffa05ff4,EF.StartEFCharge_FW
0xffa06098,EF.StartInternalMainFlash_FW
0xffa06064,EF.StartInternalPreFlash_FW
0xffa06040,EF.StopEFCharge_FW
0xff9316e4,EnableDebugLogMode_FW
0xffa6e050,EnableFocusLens_FW
0xffa6e0ec,EnableFocusLensGainLockWithVoltage_FW
0xffa6e128,EnableFocusLensWaveLock_FW
0xffa6e5f8,EnableFocusPiCircuit_FW
0xff81490c,EnableHClockHold_FW
0x003f681c,EnableInterrupt
0xffa6e560,EnableLensError_FW
0xffa6e5d8,EnableMechaCircuit_FW
0xffa6e640,EnableZoomEncoderCircuit_FW
0xffa6ed38,EnableZoomLensElectricControl_FW
0xffa6e9fc,EnableZoomLensEncoderPowerControl_FW
0xffa6ed10,EnableZoomLensSpeedControl_FW
0xffa6e61c,EnableZoomPiCircuit_FW
0xff90cde4,EngApp.Create_FW
0xff95f004,EngApp.CreatePub_FW
0xff90cd90,EngApp.Delete_FW
0xff82e810,EngDrvBits
0xffa36990,EngDrvBits_FW
0xff82e7f4,EngDrvIn
0xffa36980,EngDrvIn_FW
0xff82e7dc,EngDrvOut
0xffa36964,EngDrvOut_FW
0xff82e7fc,EngDrvRead
0xffa36988,EngDrvRead_FW
0xffa369b4,EngDrvReadDump_FW
