0xff831aa0,_GetSystemTime
0x003fd0b0,_log
0x003fd5f0,_log10
0x003fd768,_pow
0x003ff38c,_sqrt
0xff81a2e4,_uartr_req
0xff942804,AbortAEIntegralValue_FW
0x003fb028,AcquireRecursiveLock
0x003f7e14,AcquireRecursiveLockStrictly
0xff944c20,ActivateAdjLog_FW
0xff8f1dd0,ActivateImager_FW
0xff8f1e68,ActivateImagerXOne_FW
0xffa31728,add_ptp_handler
0xff97f610,AdditionAgentRAM_FW
0xffa64360,AddTransparentMemory_FW
0xffb144d8,AdjAEWithAperturePriority_FW
0xffb14480,AfAEWithAperturePriority_FW
0xffb14688,AfAEWithCompensation_FW
0xffa226e0,AFTool.GetEVal_FW
0xffa981a4,AllocateMemory
0xffa981a4,AllocateMemory_FW
0xff831d54,AllocateUncacheableMemory
0xff9ed768,apex2us
0xff89fd38,atol_FW
0xff943708,AttachIntegCrawData_FW
0xffa64398,AttachToTransparentMemory_FW
0xffb0025c,Bat_Calc_FW
0xffb15d64,Bat_Save_FW
0xffb15d50,Bat_VIN_FW
0xff8600b4,BeepDrive_FW
0xff8600d4,BeepDriveComp_FW
0xffb10188,CalcLog10_FW
0xffb10278,CalcSqrt_FW
0xffb0025c,CalculateBatSenseOffset_FW
0xffb13430,CalculateInterpolationByLS_FW
0xffb10128,CalculateLog2ToApex_FW
0xffb100f0,CalculatePeakFromLeastSquareResult_FW
0xffb133d0,CalculatePeakPosByLS_FW
0xffb1013c,CalculatePow2FromApex_FW
0xff86ee20,CalculateTestRecYUVData_FW
0xffb142b8,CancelAdj_AEMode_FW
0xffb0eb28,CancelAdjCdsMode_FW
0xffb11db8,CancelBPFilterForBP_FW
0xffb13b80,CancelExStrobeMode_FW
0xffa930b0,CancelFocusLensMaxSpeedLimit_FW
0xff88942c,CancelHPTimer
0xffb0f470,CancelImageDrive_FW
0xff8f203c,CancelImager_FW
0xff831cbc,CancelTimer
0xff974098,Capture.Create_FW
0xffb0f490,CaptureWithParam_FW
0xffa62e84,ChangeAdjImgDrvMode_FW
0xffa62eb0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa0f744,ChangeCrossThresholdTable_FW
0xffa10038,ChangeDefectRecParam_FW
0xffb15b10,ChangeDistortionSetForLiveImage_FW
0xffa9329c,ChangeFocusDistanceToPosition_FW
0xffa0f5d4,ChangeGradeTable_FW
0xffb0f4d8,ChangeImageDrive_FW
0xff8f20b8,ChangeImagerToAlternateDraft_FW
0xff8f2078,ChangeImagerToCombiParallel_FW
0xff8f20b0,ChangeImagerToDigiconMode_FW
0xff8f2128,ChangeImagerToElectraGlide_FW
0xff8f2110,ChangeImagerToFalconJump_FW
0xff8f20f0,ChangeImagerToFantaJungle_FW
