0xff83a8fc,_GetSystemTime
0xffb51678,_log
0xffb51bb8,_log10
0xffb51d30,_pow
0xffb53954,_sqrt
0xff81fd98,_uartr_req
0xff936d08,AbortAEIntegralValue_FW
0xff882b84,AcquireRecursiveLock
0xff83a568,AcquireRecursiveLockStrictly
0xff938b40,ActivateAdjLog_FW
0xff8f0440,ActivateImager_FW
0xff8f04cc,ActivateImagerXOne_FW
0xffa40c00,add_ptp_handler
0xff972414,AdditionAgentRAM_FW
0xffa6cca4,AddTransparentMemory_FW
0xffb169b0,AdjAEWithAperturePriority_FW
0xffb1695c,AfAEWithAperturePriority_FW
0xffb16b58,AfAEWithCompensation_FW
0xffa33184,AFTool.GetEVal_FW
0xffaafd2c,AllocateMemory
0xffaafd2c,AllocateMemory_FW
0xff83a660,AllocateUncacheableMemory
0xffa05a10,apex2us
0xff8a4c90,atol_FW
0xff937aac,AttachIntegCrawData_FW
0xffa6ccdc,AttachToTransparentMemory_FW
0xffb07ba4,Bat_Calc_FW
0xffb17f60,Bat_Save_FW
0xffb17f4c,Bat_VIN_FW
0xff85f288,BeepDrive_FW
0xff85f2a8,BeepDriveComp_FW
0xffb11ce4,CalcLog10_FW
0xffb11dd4,CalcSqrt_FW
0xffb07ba4,CalculateBatSenseOffset_FW
0xffb15af8,CalculateInterpolationByLS_FW
0xffb11c84,CalculateLog2ToApex_FW
0xffb11c4c,CalculatePeakFromLeastSquareResult_FW
0xffb15a98,CalculatePeakPosByLS_FW
0xffb11c98,CalculatePow2FromApex_FW
0xff8695ec,CalculateTestRecYUVData_FW
0xffb16784,CancelAdj_AEMode_FW
0xffb10a94,CancelAdjCdsMode_FW
0xffb145e0,CancelBPFilterForBP_FW
0xffb160d4,CancelExStrobeMode_FW
0xffaad2a8,CancelFocusLensMaxSpeedLimit_FW
0xff8864a0,CancelHPTimer
0xff8f0764,CancelImageDrive_FW
0xff8f066c,CancelImager_FW
0xff83ab18,CancelTimer
0xff967270,Capture.Create_FW
0xffb10d14,CaptureWithParam_FW
0xffa6c6d8,ChangeAdjImgDrvMode_FW
0xffa6c704,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa25a2c,ChangeDefectRecParam_FW
0xffb17d20,ChangeDistortionSetForLiveImage_FW
0xffaad410,ChangeFocusDistanceToPosition_FW
0xffa25620,ChangeGradeTable_FW
0xffb10d28,ChangeImageDrive_FW
0xff8f06f8,ChangeImagerToAlternateDraft_FW
0xff8f06a8,ChangeImagerToCombiParallel_FW
0xff8f06f0,ChangeImagerToDigiconMode_FW
0xff8f0738,ChangeImagerToFantaJungle_FW
0xff8f0720,ChangeImagerToFastBP_FW
0xff8f06b8,ChangeImagerToFocusJet_FW
0xff8f0748,ChangeImagerToFocusJetHD_FW
0xff8f0728,ChangeImagerToHarleyDavidson_FW
0xff8f06e0,ChangeImagerToHoneyFlash_FW
0xff8f0758,ChangeImagerToHoneyFlashHD_FW
0xff8f06d0,ChangeImagerToJetDraft_FW
0xff8f06d8,ChangeImagerToJumboDraft_FW
0xff8f0730,ChangeImagerToMachDashV_FW
0xff8f06c0,ChangeImagerToMangoPudding_FW
0xff8f0750,ChangeImagerToMangoPuddingHD_FW
0xff8f06e8,ChangeImagerToMillefeAdjust_FW
0xff8f0710,ChangeImagerToMontblancMillefe_FW
0xff8f0718,ChangeImagerToMontblancMovie_FW
0xff8f0708,ChangeImagerToMontblancWhole_FW
0xff8f06f0,ChangeImagerToOITA_XAVIER_FW
0xff8f06c8,ChangeImagerToSuperWideDraft_FW
0xff8f0700,ChangeImagerToUltraGhostQ_FW
0xff8f0690,ChangeImagerToWholeParallel_FW
0xff8f0698,ChangeImagerToWholeParallelBP_FW
0xff8f06a0,ChangeImagerToWholeParallelBPOne_FW
0xff8f06b0,ChangeImagerToWideDraft_FW
0xff8f0740,ChangeImagerToWideDraftHD_FW
0xffaad6b8,ChangeIrisSpeed_FW
0xffaadf0c,ChangeZoomLensMagnificationToPoint_FW
0xffaadf04,ChangeZoomLensPointToMagnification_FW
0xffb16110,ChargeStrobe_FW
0xffb16144,ChargeStrobeForFA_FW
0xff88270c,CheckAllEventFlag
0xff8826c4,CheckAnyEventFlag
0xff889a20,CheckSumAll_FW
0xff835b60,ClearDUIDFixFlag_FW
0xff835a6c,ClearDurianMode_FW
0xff88292c,ClearEventFlag
0xff835a6c,ClearFactoryMode_FW
0xffb37124,ClearPMByFs_FW
0xffb370fc,ClearPMByGpio_FW
0xffb12fc4,ClearZoomCommonDriveParam_FW
0xffa9ef30,ClearZoomDriveParam_FW
0xff836d7c,Close
0xff81abb4,close
0xff836d7c,Close_FW
0xff81f820,CloseConsole_FW
0xffa8ae70,closedir
