0x003f67bc,RegisterInterruptHandler
0x003f67e0,UnregisterInterruptHandler
0x003f67f8,GetSRAndDisableInterrupt
0x003f67fc,SetSR
0x003f681c,EnableInterrupt
0x003f6824,CreateTask
0x003f6824,CreateTask_FW
0x003f6ab4,ExitTask
0x003f6ab4,ExitTask_FW
0x003f6afc,DebugAssert
0x003f7104,CreateMessageQueue
0x003f7188,DeleteMessageQueue
0x003f7218,ReceiveMessageQueue
0x003f72e0,TryReceiveMessageQueue
0x003f7364,PostMessageQueue
0x003f741c,TryPostMessageQueue
0x003f745c,GetNumberOfPostedMessages
0x003f74c8,CreateBinarySemaphore
0x003f7530,CreateCountingSemaphore
0x003f7530,CreateCountingSemaphore_FW
0x003f7588,DeleteSemaphore
0x003f7588,DeleteSemaphore_FW
0x003f75e0,TryTakeSemaphore
0x003f7634,TakeSemaphore
0x003f7634,TakeSemaphore_FW
0x003f7704,GiveSemaphore
0x003f7704,GiveSemaphore_FW
0x003f773c,GetSemaphoreValue
0x003f79b0,SleepTask
0x003f79b0,SleepTask_FW
0x003f7a50,CreateTaskStrictly
0x003f7a84,CreateMessageQueueStrictly
0x003f7aa8,CreateEventFlagStrictly
0x003f7acc,CreateBinarySemaphoreStrictly
0x003f7af0,CreateCountingSemaphoreStrictly
0x003f7b14,CreateRecursiveLockStrictly
0x003f7b38,TakeSemaphoreStrictly
0x003f7b64,ReceiveMessageQueueStrictly
0x003f7b90,PostMessageQueueStrictly
0x003f7bbc,WaitForAnyEventFlagStrictly
0x003f7be8,WaitForAllEventFlagStrictly
0x003f7c14,AcquireRecursiveLockStrictly
0x003fa990,CreateEventFlag
0x003fa9e8,DeleteEventFlag
0x003faa38,CheckAnyEventFlag
0x003faa80,CheckAllEventFlag
0x003faac8,WaitForAnyEventFlag
0x003fabac,WaitForAllEventFlag
0x003fac6c,SetEventFlag
0x003faca0,ClearEventFlag
0x003facd8,GetEventFlagValue
0x003fae58,CreateRecursiveLock
0x003faea8,DeleteRecursiveLock
0x003faef8,AcquireRecursiveLock
0x003fb018,ReleaseRecursiveLock
0x003fb1b8,LocalTime
0x003fb794,time
0x003fb844,GetTimeOfSystem_FW
0x003fcce0,_log
0x003fd220,_log10
0x003fd398,_pow
0x003fefbc,_sqrt
0xff810df4,memShow_FW
0xff812d64,strncpy
0xff812da0,strncmp
0xff812dec,strchr
0xff812e10,strrchr
0xff812e38,strlen
0xff812e38,strlen_FW
0xff812f20,malloc
0xff812f78,free
0xff814300,drysh_FW
0xff81437c,err_init_task
0xff8144d8,task_ClockSave
0xff81509c,GetMemInfo
0xff815904,open
0xff8159b4,close
0xff815b58,Read
0xff815b58,read
0xff815b58,Read_FW
0xff819db8,RotateConsoleZOder_FW
0xff819fc8,CPrintf_FW
0xff81a020,CPutChar_FW
0xff81a048,GetCh_FW
0xff81a098,GetStringWithPrompt_FW
0xff81a138,OpenConsole_FW
0xff81a264,CloseConsole_FW
0xff81a638,task_Startup
0xff81a7e0,_uartr_req
0xff81a870,task_UartLog
0xff81aa14,StartRedirectUART_FW
0xff81ab28,StopRedirectUART_FW
0xff81ac88,sprintf_FW
0xff81accc,vsprintf
0xff81ae1c,strcpy
0xff81ae1c,strcpy_FW
0xff81ae34,memcmp
0xff81ae34,memcmp_FW
0xff81af30,j_strcmp_FW
0xff81af30,strcmp
0xff81af58,strcmp_FW
0xff82bef0,task_BatteryTask
0xff82c3d0,GetVBatVoltage_FW
0xff82c3d0,VbattGet
0xff82c3d0,VbattGet_FW
0xff82d8c4,Dcdc_Bl_Pwr_Ctrl_FW
0xff82dd40,Dcdc_reg_write_FW
0xff82dd98,Dcdc_reg_read_FW
0xff82e600,kbd_p2_f
0xff82e964,task_PhySw
0xff82ed00,GetSwitchStatus_FW
0xff82ed6c,GetSDDetect_FW
0xff82ed74,GetSDProtect
0xff82ed74,GetSDProtect_FW
0xff82ed98,GetDialEventId_FW
0xff82eda0,GetLcdPosition_FW
0xff82eda8,GetBatteryCoverClose_FW
0xff82edb0,IsHvSensorExist_FW
0xff82edb8,kbd_read_keys
0xff82ee08,kbd_p1_f
0xff82ee14,kbd_p1_f_cont
0xff82fd90,EngDrvOut
0xff82fda8,EngDrvIn
0xff82fdb0,EngDrvRead
0xff82fdc4,EngDrvBits
0xff82ffe8,DisplayFactoryMode_FW
0xff82fff4,UndisplayFactoryMode_FW
0xff8303bc,SetDurianMode_FW
0xff8303fc,ClearDurianMode_FW
0xff8303fc,ClearFactoryMode_FW
0xff83043c,SetFactoryMode_FW
0xff83047c,ClearDUIDFixFlag_FW
0xff8304b4,SetDUIDFixFlag_FW
0xff8305a8,ClearFactoryMasterFlag_FW
0xff8305b4,SetFactoryMasterFlag_FW
0xff8305c0,ClearFactoryMasterROMProtection_FW
0xff8305e4,SetFactoryMasterROMProtection_FW
0xff830608,IsFactoryMode_FW
0xff830670,IsDUIDFixFlag_FW
0xff8306b8,IsNormalCameraMode_FW
0xff8306d0,StartFactoryModeController_FW
0xff830f20,RenameFile_Fut
0xff830fb4,DeleteFile_Fut,(stubs_entry_2.s)
0xff831028,DeleteDirectory_Fut
0xff831080,Fopen_Fut
0xff831080,Fopen_Fut_FW
0xff8310c0,Fclose_Fut
0xff8310c0,Fclose_Fut_FW
0xff83116c,Fread_Fut
0xff83116c,Fread_Fut_FW
0xff8311c0,Fwrite_Fut
0xff8311c0,Fwrite_Fut_FW
0xff831214,Fgets_Fut
0xff831260,Fseek_Fut
0xff831260,Fseek_Fut_FW
0xff8312ac,Feof_Fut
0xff8312e8,Fflush_Fut
0xff831560,Open
0xff831560,Open_FW
0xff831628,Close
0xff831628,Close_FW
0xff83167c,Write
0xff83167c,write
0xff83167c,Write_FW
0xff8316d0,j_Open_FW
0xff8316d4,j_Close_FW
0xff8317d4,j_Read_FW
0xff8317d8,j_Write_FW
0xff831844,Lseek
0xff831844,lseek
0xff831844,Lseek_FW
0xff831864,OpenForScrip_FW
0xff83188c,stat
0xff8319b4,SetFileTimeStamp
0xff831a2c,SetFileAttributes
0xff831ac4,mkdir
0xff831ccc,j_StartCameraLog_FW
0xff831cd0,j_ShowCameraLog_FW
0xff831cd4,j_ShowCameraLogInfo_FW
0xff831cd8,j_StopCameraLog_FW
0xff831cdc,j_PutsCameraLogEvent_FW
0xff831ce0,OpLog.Create_FW
0xff831d5c,j_NewTaskShell_FW
0xff831d60,j_ExMem.View_FW
0xff831d64,j_ExMem.AllocUncacheable_FW
0xff831d68,j_ExMem.FreeUncacheable_FW
0xff831d6c,j_ExMem.AllocCacheable_FW
0xff831d70,j_ExMem.FreeCacheable_FW
0xff831d74,ExMem_FW
0xff832bf4,PT_GetDigitalZoomPosition_FW
0xff832e70,DoAFLock
0xff832ea8,UnlockAF
0xff8330cc,EnterToCompensationEVF
0xff833110,ExitFromCompensationEVF
0xff833164,DoAELock
0xff833188,UnlockAE
0xff8342dc,AllocateUncacheableMemory
0xff83431c,FreeUncacheableMemory
0xff834578,_GetSystemTime
0xff8346b0,SetTimerAfter
0xff834730,SetTimerWhen
0xff834794,CancelTimer
0xff835884,TurnOffE1_FW
0xff835934,task_Bye
0xff835af0,Restart
0xff835fb0,HardwareDefectWithRestart_FW
0xff836004,HardwareDefect_FW
0xff836514,task_StartupImage
0xff83704c,strtolx
0xff837248,strtol
0xff83725c,memcpy
0xff83725c,memcpy_FW
0xff83d768,ExpCtrlTool_StartContiAE
0xff83d8c4,ExpCtrlTool_StopContiAE
0xff83f83c,task_WBCtrl
0xff842098,task_FrameTask
0xff8443ac,task_AFTask
0xff844f04,GetMacroSupportZoomPoint_FW
0xff845fc0,ReloadAFAdjustment_FW
0xff84895c,SetMontblancVSize_FW
0xff848970,GetMontblancVSize_FW
0xff84b4f8,LiveImageTool.GetDzoomPosition_FW
0xff84be48,GetVRAMHPixelsSize
0xff84be48,GetVRAMHPixelsSize_FW
0xff84be54,GetVRAMVPixelsSize
0xff84be54,GetVRAMVPixelsSize_FW
0xff84be60,GetMovieJpegVRAMHPixelsSize_FW
