0xffc29958,_GetSystemTime
0xffe8ea34,_log
0xffe8d978,_log10
0xffe8dae8,_pow
0xffe8fd9c,_sqrt
0xffc106ac,_uartr_req
0xffced824,AbortAEIntegralValue_FW
0xffc291c4,AcquireRecursiveLock
0xffc0f5ac,AcquireRecursiveLockStrictly
0xffcef660,ActivateAdjLog_FW
0xffcb23c8,ActivateImager_FW
0xffcb2454,ActivateImagerXOne_FW
0xffdc8de4,add_ptp_handler
0xffd1f25c,AdditionAgentRAM_FW
0xffde0454,AddTransparentMemory_FW
0xffe61d68,AdjAEWithAperturePriority_FW
0xffe61d24,AfAEWithAperturePriority_FW
0xffe61f14,AfAEWithCompensation_FW
0xffdba75c,AFTool.GetEVal_FW
0xffe081b0,AllocateMemory
0xffe081b0,AllocateMemory_FW
0xffc296ac,AllocateUncacheableMemory
0xffd8803c,apex2us
0xffc7fe5c,atol_FW
0xffcee570,AttachIntegCrawData_FW
0xffde048c,AttachToTransparentMemory_FW
0xffe5993c,Bat_Calc_FW
0xffe632dc,Bat_Save_FW
0xffe632c8,Bat_VIN_FW
0xffc4333c,BeepDrive_FW
0xffc4335c,BeepDriveComp_FW
0xffe5d974,CalcLog10_FW
0xffe66218,CalcLoopGain_FW
0xffe5da64,CalcSqrt_FW
0xffe5993c,CalculateBatSenseOffset_FW
0xffe5d914,CalculateLog2ToApex_FW
0xffe5d8d8,CalculatePeakFromLeastSquareResult_FW
0xffe5d928,CalculatePow2FromApex_FW
0xffc4c768,CalculateTestRecYUVData_FW
0xffe61b40,CancelAdj_AEMode_FW
0xffe5c734,CancelAdjCdsMode_FW
0xffe5ff8c,CancelBPFilterForBP_FW
0xffe6149c,CancelExStrobeMode_FW
0xffe04cac,CancelFocusLensMaxSpeedLimit_FW
0xffc67ff0,CancelHPTimer
0xffcb26b0,CancelImageDrive_FW
0xffcb25d0,CancelImager_FW
0xffc5934c,CancelLoopGainCalc_FW
0xffc29b74,CancelTimer
0xffd15e68,Capture.Create_FW
0xffe5c9c8,CaptureWithParam_FW
0xffddfe84,ChangeAdjImgDrvMode_FW
0xffddfeb0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffda31a4,ChangeDefectRecParam_FW
0xffe6309c,ChangeDistortionSetForLiveImage_FW
0xffe65e74,ChangeFilterMode_FW
0xffe04e60,ChangeFocusDistanceToPosition_FW
0xffda3024,ChangeGradeTable_FW
0xffe5c9dc,ChangeImageDrive_FW
0xffcb265c,ChangeImagerToAlternateDraft_FW
0xffcb260c,ChangeImagerToCombiParallel_FW
0xffcb2654,ChangeImagerToDigiconMode_FW
0xffcb267c,ChangeImagerToFastBP_FW
0xffcb261c,ChangeImagerToFocusJet_FW
0xffcb2694,ChangeImagerToFocusJetHD_FW
0xffcb2684,ChangeImagerToHarleyDavidson_FW
0xffcb2644,ChangeImagerToHoneyFlash_FW
0xffcb26a4,ChangeImagerToHoneyFlashHD_FW
0xffcb2634,ChangeImagerToJetDraft_FW
0xffcb263c,ChangeImagerToJumboDraft_FW
0xffcb2624,ChangeImagerToMangoPudding_FW
0xffcb269c,ChangeImagerToMangoPuddingHD_FW
0xffcb264c,ChangeImagerToMillefeAdjust_FW
0xffcb2674,ChangeImagerToMontblancMillefe_FW
0xffcb266c,ChangeImagerToMontblancWhole_FW
0xffcb2654,ChangeImagerToOITA_XAVIER_FW
0xffcb262c,ChangeImagerToSuperWideDraft_FW
0xffcb2664,ChangeImagerToUltraGhostQ_FW
0xffcb25f4,ChangeImagerToWholeParallel_FW
0xffcb25fc,ChangeImagerToWholeParallelBP_FW
0xffcb2604,ChangeImagerToWholeParallelBPOne_FW
0xffcb2614,ChangeImagerToWideDraft_FW
0xffcb268c,ChangeImagerToWideDraftHD_FW
0xffe05bf0,ChangeParallelMode_FW
0xffc58e1c,ChangeToISCloseControl_FW
0xffe614d8,ChargeStrobe_FW
0xffe6150c,ChargeStrobeForFA_FW
0xffc289f8,CheckAllEventFlag
0xffc289b0,CheckAnyEventFlag
0xffc6b4d8,CheckSumAll_FW
0xffc25170,ClearDUIDFixFlag_FW
0xffc25088,ClearDurianMode_FW
0xffc28c18,ClearEventFlag
0xffc25088,ClearFactoryMode_FW
0xffc5912c,ClearISCalcZData_FW
0xffe05c64,ClearISIComponent_FW
0xffe05c88,ClearISZData_FW
0xffe5ea3c,ClearZoomCommonDriveParam_FW
0xffe00c54,ClearZoomDriveParam_FW
0xffc262b8,Close
0xffc0b088,close
0xffc262b8,Close_FW
0xffc101a4,CloseConsole_FW
0xffdf61c0,closedir
0xffe052f8,CloseMechaShutterWithTiming_FW
0xffe5cf84,CloseMShutter_FW
0xffddfe1c,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffddfdd0,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffe5d9cc,ConvertApexStdToApex_FW
0xffe5d99c,ConvertApexToApexStd_FW
0xffe5df68,ConvertCxCyToWBGain_FW
0xffe5ed64,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffe5cb30,ConvertTvToExposureTime_FW
0xffc0ff00,CPrintf_FW
0xffc0ff5c,CPutChar_FW
0xffc48328,CreateAdjustmentTableMirror_FW
0xffc0ee30,CreateBinarySemaphore
0xffc0f464,CreateBinarySemaphoreStrictly
0xffc6ef74,CreateController_FW
0xffc0ee98,CreateCountingSemaphore
0xffc0ee98,CreateCountingSemaphore_FW
0xffc0f488,CreateCountingSemaphoreStrictly
0xffc28908,CreateEventFlag
0xffc0f440,CreateEventFlagStrictly
0xffceefa0,CreateFADBGSingalID_FW
0xffe66470,CreateJumptable
0xffd29988,CreateLanguageMenu_FW
0xffc28d60,CreateMessageQueue
0xffc0f41c,CreateMessageQueueStrictly
0xffc6934c,CreateProxyOfEventProcedure_FW
0xffc29124,CreateRecursiveLock
0xffc0f4ac,CreateRecursiveLockStrictly
0xffc0f110,CreateTask
0xffc0f110,CreateTask_FW
0xffc0f3e8,CreateTaskStrictly
0xffd0ad2c,CzDebugPrint_FW
0xffc0f5e8,DebugAssert
0xffc6f030,DeleteController_FW
0xffc25d14,DeleteDirectory_Fut
0xffc28960,DeleteEventFlag
0xffc25c30,DeleteFile_Fut
0xffd2953c,DeleteLanguageMenu_FW
0xffc28de4,DeleteMessageQueue
0xffc693a4,DeleteProxyOfEventProcedure_FW
0xffc29174,DeleteRecursiveLock
0xffc0eef0,DeleteSemaphore
0xffc0eef0,DeleteSemaphore_FW
0xffe65a60,DevelopStillPicture_FW
0xffda36d0,DevelopTool.DevelopTest_FW
0xffceed08,DeviceUniqueIDCheckSum_FW
0xffd0ad18,DisableCzDebugLog_FW
0xffcf1710,DisableDebugLogMode_FW
0xffe04d08,DisableFocusLens_FW
0xffe04d88,DisableFocusLensGainLock_FW
0xffe04db4,DisableFocusLensWaveLock_FW
0xffe05180,DisableFocusPiCircuit_FW
0xffe05de0,DisableISAutoGyroOffset_FW
0xffe05dc0,DisableISDriveError_FW
0xffe05160,DisableMechaCircuit_FW
0xffe051c8,DisableZoomEncoderCircuit_FW
0xffe0546c,DisableZoomLensEncoderPowerControl_FW
0xffe051a4,DisableZoomPiCircuit_FW
0xffc40274,DispCon_GetLcdGainAdjParameter_FW
0xffc400a8,DispCon_GetVideoAdjParameter_FW
0xffc402c0,DispCon_SaveLcdGainAdjParameter_FW
0xffc40130,DispCon_SaveVideoAdjParameter_FW
0xffc3fd08,DispCon_SetDisplayType_FW
0xffc401ac,DispCon_SetLcdGainAdjParameter_FW
0xffc3ffb8,DispCon_SetMaxBackLightBrightness_FW
0xffc40038,DispCon_SetVideoAdjParameter_FW
0xffc3fc4c,DispCon_ShowBitmapColorBar
0xffc3fc4c,DispCon_ShowBitmapColorBar_FW
0xffc3fc30,DispCon_ShowBlackChart_FW
0xffc3facc,DispCon_ShowColorBar_FW
0xffc3fd28,DispCon_ShowColorChart_FW
0xffc3fcac,DispCon_ShowCustomColorBar_FW
0xffc3fb24,DispCon_ShowFiveStep_FW
0xffc402b0,DispCon_ShowLcdGainAdjParameter_FW
0xffc40104,DispCon_ShowVideoAdjParameter_FW
0xffc3fbf8,DispCon_ShowWhiteChart_FW
0xffc3fd4c,DispCon_ShowWhiteLine_FW
0xffc3ffa8,DispCon_TurnOffBackLight_FW
0xffc3ff88,DispCon_TurnOffDisplay_FW
0xffc3ff98,DispCon_TurnOnBackLight_FW
0xffc3ff5c,DispCon_TurnOnDisplay_FW
0xffd15df8,DispDev.Create_FW
0xffd13cec,DispDev_EnableEventProc_FW
0xffc24e3c,DisplayFactoryMode_FW
0xffc2788c,DoAELock
0xffc59f28,DoAFLock,(stubs_entry_2.s)
0xffd13de8,Driver.Create_FW
0xffd13de8,Driver_EnableEventProc_FW
0xffc05ed4,drysh_FW
0xffd14150,Dump32_FW
0xffd14140,Dump_FW
0xffc47afc,DumpAdjMirror_FW
0xffde0414,DumpTransparentMemoryItem_FW
0xffcb20d8,E2LatOn_FW
0xffdac2b0,EF.AdjPreFlash_FW
0xffcaac20,EF.IsChargeFull_FW
0xffdac2f4,EF.SetChargeMode_FW
0xffdac1c0,EF.SetEFChargeTimeOut_FW
0xffdac308,EF.SetFlashTime_FW
0xffdac298,EF.SetMainFlashTime_FW
0xffdac160,EF.StartEFCharge_FW
0xffdac210,EF.StartInternalMainFlash_FW
0xffdac1d4,EF.StartInternalPreFlash_FW
0xffdac1b0,EF.StopEFCharge_FW
0xffd0ad00,EnableCzDebugLog_FW
0xffcf16fc,EnableDebugLogMode_FW
0xffe04cbc,EnableFocusLens_FW
0xffe04d54,EnableFocusLensGainLockWithVoltage_FW
0xffe04d98,EnableFocusLensWaveLock_FW
0xffe05170,EnableFocusPiCircuit_FW
0xffc0ee28,EnableInterrupt
0xffe05dd0,EnableISAutoGyroOffset_FW
0xffe05db0,EnableISDriveError_FW
0xffe05150,EnableMechaCircuit_FW
0xffe051b8,EnableZoomEncoderCircuit_FW
0xffe0545c,EnableZoomLensEncoderPowerControl_FW
0xffe05194,EnableZoomPiCircuit_FW
0xffcd6a28,EngApp.Create_FW
0xffcd69fc,EngApp.Delete_FW
0xffc24bbc,EngDrvBits
0xffdd847c,EngDrvBits_FW
0xffc24ba0,EngDrvIn
0xffdd846c,EngDrvIn_FW
0xffc24b88,EngDrvOut
0xffdd8450,EngDrvOut_FW
0xffc24ba8,EngDrvRead
0xffdd8474,EngDrvRead_FW
0xffdd84a0,EngDrvReadDump_FW
0xffd15ea8,EngineDriver.Create_FW
0xffc277f4,EnterToCompensationEVF
0xffc47af0,EraseAdjustmentArea_FW
0xffd1a590,EraseLogSector_FW
0xffc65ae8,EraseSectorOfRom_FW
0xffd1412c,EraseSignature_FW
0xffc05f50,err_init_task
0xffe04538,EscapeFocusLens_FW
0xffe0821c,exec_FW
0xffc4d060,Executedccd_FW
0xffda31b4,ExecuteDefectRec_FW
0xffda31c8,ExecuteDefectRecAndSaveImage_FW
0xffc4c960,ExecuteDigicon_FW
0xffc68908,ExecuteEventProcedure
0xffc68980,ExecuteEventProcedure_FW
0xffe61578,ExecuteInternalPreFlash_FW
0xffd36f8c,ExecuteResetFactoryWithRomWrite_FW
0xffc4bfa8,ExecuteTestRec_FW
0xffc4bfbc,ExecuteTestRecCF_FW
0xffc4c038,ExecuteTestRecDevelopProcess_FW
0xffc4bfbc,ExecuteTestRecSD_FW
0xffc4bfec,ExecuteTestRecSw1_FW
0xffc4bfd4,ExecuteTestRecWithInteg_FW
0xffc27838,ExitFromCompensationEVF
0xffc0f3a0,ExitTask
0xffc0f3a0,ExitTask_FW
0xffc67320,ExMem.AllocCacheable_FW
0xffc67168,ExMem.AllocUncacheable_FW
0xffc673a8,ExMem.FreeCacheable_FW
0xffc672a4,ExMem.FreeUncacheable_FW
0xffc66c84,ExMem.View_FW
0xffc672b8,exmem_alloc
0xffc67330,exmem_free
0xffc26838,ExMem_FW
0xffc91710,ExpCtrlTool.SetExpMode_FW
0xffc35110,ExpCtrlTool_StartContiAE
0xffc351e8,ExpCtrlTool_StopContiAE
0xffc69340,ExportToEventProcedure_FW
0xffd15dd4,FA.Create_FW
0xffd15dc0,FA.Delete_FW
0xffcef050,FADBGPrintf_FW
0xffceefb0,FADBGSingal_FW
0xffcef1d0,FAPrintf_FW
0xffc25dac,Fclose_Fut
0xffc25dac,Fclose_Fut_FW
0xffc25f98,Feof_Fut
0xffc25fd4,Fflush_Fut
0xffc25f00,Fgets_Fut
0xffe61aa8,FixAEWithCompensation_FW
0xffd2b350,FmtMenu_ExecuteQuickFormat_FW
0xffe6197c,FocusAEWithCompensation_FW
0xffc25d6c,Fopen_Fut
0xffc25d6c,Fopen_Fut_FW
0xffc25e58,Fread_Fut
0xffc25e58,Fread_Fut_FW
0xffc04160,free
0xffde0594,FreeBufferForSoundRec_FW
0xffe081a8,FreeMemory
0xffe081a8,FreeMemory_FW
0xffc296ec,FreeUncacheableMemory
0xffc25f4c,Fseek_Fut
0xffc25f4c,Fseek_Fut_FW
0xffc25eac,Fwrite_Fut
0xffc25eac,Fwrite_Fut_FW
0xffc41690,GetAdChValue_FW
0xffe603d4,GetAdjAFInteg_FW
0xffc47b54,GetAdjTableMapVersion_FW
0xffc47b64,GetAdjTableValueVersion_FW
0xffc47b20,GetAdjTableVersion_FW
0xffc41688,GetAdVBattBottom_FW
0xffcee1ec,GetAEIntegralServiceMode_FW
0xffcede8c,GetAEIntegralValueWithFix_FW
0xffcee1e0,GetAEIntegValueBit_FW
0xffcedb2c,GetAEIntegWinData_FW
0xffcedda4,GetAEIntegWinDataWithMode_FW
0xffcedfb0,GetAllAEIntegralAllValueWithFix_FW
0xffc23cc8,GetBatteryCoverClose_FW
0xffc46680,GetBatteryTemperature
0xffc46680,GetBatteryTemperature_FW
0xffc48a14,GetBpDBAdjustmentOffset_FW
0xffc6b3bc,GetBuildDate_FW
0xffc6b3c4,GetBuildTime_FW
0xffddff44,GetCameraInformationData_FW
0xffe65694,GetCaptureInfoData_FW
0xffc4660c,GetCCDTemperature
0xffc4660c,GetCCDTemperature_FW
0xffe5c570,GetCdsGainValue_FW
0xffe5c660,GetCdsPreGain_FW
0xffe5c6b8,GetCdsPreGainReg_FW
0xffc0ff88,GetCh_FW
0xffe63038,GetContinuousMovieJpegVRAMData_FW
0xffe626d4,GetContinuousVRAMData_FW
0xffe62e78,GetContinuousVRAMDataWithRingBuffer_FW
0xffe5c9e4,GetCrwImageInfo_FW
0xffddfda4,GetCurrentAdjImgDriveType_FW
0xffd0c980,GetCurrentAvValue
0xffd0c980,GetCurrentAvValue_FW
0xffc76660,GetCurrentCaptureModeType_FW
0xffddfefc,GetCurrentCcdTemp_FW
0xffc84960,GetCurrentExposureTime_FW
0xffd0bce0,GetCurrentFocusLensPosition_FW
0xffd0bce0,GetCurrentFocusPosition_FW
0xffddfdb0,GetCurrentImgDrvMode_FW
0xffcef6ac,GetCurrentMaximumLogSize_FW
0xffddff18,GetCurrentOptTemp_FW
0xffc84688,GetCurrentShutterSpeed_FW
0xffd0bc78,GetCurrentTargetDistance_FW
0xffe5e1cc,GetCurrentZoomLensDirection_FW
0xffd0fa4c,GetCurrentZoomLensPoint_FW
0xffd0fa24,GetCurrentZoomLensPosition_FW
0xffd0fa4c,GetCurrentZoomPoint_FW
0xffd0fa24,GetCurrentZoomPosition_FW
0xffd14078,GetDateAndTime_FW
0xffe636e0,GetDay_FW
0xffc48a1c,GetDccdAdjustmentOffset_FW
0xffc4d16c,GetdccdFilterValue_FW
0xffc4d0d8,GetdccdImage_FW
0xffc487a0,GetDCPAdjOffset_FW
0xffda3038,GetDefectCrawInfo_FW
0xffc23cc4,GetDialEventId_FW
