0xff810dcc,memShow_FW
0xff814030,strncpy
0xff81406c,strncmp
0xff8140b8,strchr
0xff8140dc,strrchr
0xff814104,strlen
0xff814104,strlen_FW
0xff8141ec,malloc
0xff814244,free
0xff815f58,drysh_FW
0xff815fd4,err_init_task
0xff816124,task_ClockSave
0xff81a29c,GetMemInfo
0xff81ab04,open
0xff81abb4,close
0xff81ad58,Read
0xff81ad58,read
0xff81ad58,Read_FW
0xff81e948,RegisterInterruptHandler
0xff81e96c,UnregisterInterruptHandler
0xff81e984,GetSRAndDisableInterrupt
0xff81e988,SetSR
0xff81e9a8,EnableInterrupt
0xff81e9b0,CreateTask
0xff81e9b0,CreateTask_FW
0xff81ec40,ExitTask
0xff81ec40,ExitTask_FW
0xff81ec88,DebugAssert
0xff81f374,RotateConsoleZOder_FW
0xff81f584,CPrintf_FW
0xff81f5dc,CPutChar_FW
0xff81f604,GetCh_FW
0xff81f654,GetStringWithPrompt_FW
0xff81f6f4,OpenConsole_FW
0xff81f820,CloseConsole_FW
0xff81fbf4,task_Startup
0xff81fd98,_uartr_req
0xff81fe28,task_UartLog
0xff81ffcc,StartRedirectUART_FW
0xff8200e0,StopRedirectUART_FW
0xff8207dc,sprintf_FW
0xff820820,vsprintf
0xff820860,strcpy
0xff820860,strcpy_FW
0xff820878,j_strcmp_FW
0xff820878,strcmp
0xff8208a0,strcmp_FW
0xff8208bc,memcmp
0xff8208bc,memcmp_FW
0xff832928,task_BatteryTask
0xff832e20,GetVBatVoltage_FW
0xff832e20,VbattGet
0xff832e20,VbattGet_FW
0xff833e30,kbd_p2_f
0xff83415c,task_PhySw
0xff8344f0,GetSwitchStatus_FW
0xff83455c,GetSDDetect_FW
0xff834564,GetSDProtect
0xff834564,GetSDProtect_FW
0xff834584,GetDialEventId_FW
0xff834588,GetLcdPosition_FW
0xff834590,GetBatteryCoverClose_FW
0xff834598,IsHvSensorExist_FW
0xff8345a0,kbd_read_keys
0xff83461c,kbd_p1_f
0xff834628,kbd_p1_f_cont
0xff835448,EngDrvOut
0xff835460,EngDrvIn
0xff835468,EngDrvRead
0xff83547c,EngDrvBits
0xff835748,DisplayFactoryMode_FW
0xff835754,UndisplayFactoryMode_FW
0xff83597c,SetDurianMode_FW
0xff8359b4,ClearDurianMode_FW
0xff8359b4,ClearFactoryMode_FW
0xff835a70,SetFactoryMode_FW
0xff835aa8,ClearDUIDFixFlag_FW
0xff835ae0,SetDUIDFixFlag_FW
0xff835b1c,IsFactoryMode_FW
0xff835b84,IsDUIDFixFlag_FW
0xff835bcc,IsNormalCameraMode_FW
0xff835be4,StartFactoryModeController_FW
0xff836548,RenameFile_Fut
0xff8365dc,DeleteFile_Fut
0xff836650,MakeDirectory_Fut
0xff8366c0,DeleteDirectory_Fut
0xff836718,Fopen_Fut
0xff836718,Fopen_Fut_FW
0xff836758,Fclose_Fut
0xff836758,Fclose_Fut_FW
0xff836804,Fread_Fut
0xff836804,Fread_Fut_FW
0xff836858,Fwrite_Fut
0xff836858,Fwrite_Fut_FW
0xff8368ac,Fgets_Fut
0xff8368f8,Fseek_Fut
0xff8368f8,Fseek_Fut_FW
0xff836944,Feof_Fut
0xff836980,Fflush_Fut
0xff836bfc,Open
0xff836bfc,Open_FW
0xff836cc4,Close
0xff836cc4,Close_FW
0xff836d18,Write
0xff836d18,write
0xff836d18,Write_FW
