0x003f67bc,RegisterInterruptHandler
0x003f67e0,UnregisterInterruptHandler
0x003f67f8,GetSRAndDisableInterrupt
0x003f67fc,SetSR
0x003f681c,EnableInterrupt
0x003f6824,CreateTask
0x003f6824,CreateTask_FW
0x003f6ab4,ExitTask
0x003f6ab4,ExitTask_FW
0x003f6afc,DebugAssert
0x003f7104,CreateMessageQueue
0x003f7188,DeleteMessageQueue
0x003f7218,ReceiveMessageQueue
0x003f72e0,TryReceiveMessageQueue
0x003f7364,PostMessageQueue
0x003f741c,TryPostMessageQueue
0x003f745c,GetNumberOfPostedMessages
0x003f74c8,CreateBinarySemaphore
0x003f7530,CreateCountingSemaphore
0x003f7530,CreateCountingSemaphore_FW
0x003f7588,DeleteSemaphore
0x003f7588,DeleteSemaphore_FW
0x003f75e0,TryTakeSemaphore
0x003f7634,TakeSemaphore
0x003f7634,TakeSemaphore_FW
0x003f7704,GiveSemaphore
0x003f7704,GiveSemaphore_FW
0x003f773c,GetSemaphoreValue
0x003f79b0,SleepTask
0x003f79b0,SleepTask_FW
0x003f7a50,CreateTaskStrictly
0x003f7a84,CreateMessageQueueStrictly
0x003f7aa8,CreateEventFlagStrictly
0x003f7acc,CreateBinarySemaphoreStrictly
0x003f7af0,CreateCountingSemaphoreStrictly
0x003f7b14,CreateRecursiveLockStrictly
0x003f7b38,TakeSemaphoreStrictly
0x003f7b64,ReceiveMessageQueueStrictly
0x003f7b90,PostMessageQueueStrictly
0x003f7bbc,WaitForAnyEventFlagStrictly
0x003f7be8,WaitForAllEventFlagStrictly
0x003f7c14,AcquireRecursiveLockStrictly
0x003fa990,CreateEventFlag
0x003fa9e8,DeleteEventFlag
0x003faa38,CheckAnyEventFlag
0x003faa80,CheckAllEventFlag
0x003faac8,WaitForAnyEventFlag
0x003fabac,WaitForAllEventFlag
0x003fac6c,SetEventFlag
0x003faca0,ClearEventFlag
0x003facd8,GetEventFlagValue
0x003fae58,CreateRecursiveLock
0x003faea8,DeleteRecursiveLock
0x003faef8,AcquireRecursiveLock
0x003fb018,ReleaseRecursiveLock
0x003fb1b8,LocalTime
0x003fb794,time
0x003fb844,GetTimeOfSystem_FW
0x003fcce0,_log
0x003fd220,_log10
0x003fd398,_pow
0x003ff038,_sqrt
0xff810df4,memShow_FW
0xff812d64,strncpy
0xff812da0,strncmp
0xff812dec,strchr
0xff812e10,strrchr
0xff812e38,strlen
0xff812e38,strlen_FW
0xff812f20,malloc
0xff812f78,free
0xff814300,drysh_FW
0xff81437c,err_init_task
0xff8144d8,task_ClockSave
0xff81509c,GetMemInfo
0xff815904,open
0xff8159b4,close
0xff815b58,Read
0xff815b58,read
0xff815b58,Read_FW
0xff819db8,RotateConsoleZOder_FW
0xff819fc8,CPrintf_FW
0xff81a020,CPutChar_FW
0xff81a048,GetCh_FW
0xff81a098,GetStringWithPrompt_FW
0xff81a138,OpenConsole_FW
0xff81a264,CloseConsole_FW
0xff81a638,task_Startup
0xff81a7dc,_uartr_req
0xff81a86c,task_UartLog
0xff81aa10,StartRedirectUART_FW
0xff81ab24,StopRedirectUART_FW
0xff81ac84,sprintf_FW
0xff81acc8,vsprintf
0xff81ae18,strcpy
0xff81ae18,strcpy_FW
0xff81ae30,memcmp
0xff81ae30,memcmp_FW
0xff81af2c,j_strcmp_FW
0xff81af2c,strcmp
0xff81af54,strcmp_FW
0xff82beec,task_BatteryTask
0xff82c3cc,GetVBatVoltage_FW
0xff82c3cc,VbattGet
0xff82c3cc,VbattGet_FW
0xff82d8c0,Dcdc_Bl_Pwr_Ctrl_FW
0xff82dd3c,Dcdc_reg_write_FW
0xff82dd94,Dcdc_reg_read_FW
0xff82e618,kbd_p2_f
0xff82e97c,task_PhySw
0xff82ed18,GetSwitchStatus_FW
0xff82ed84,GetSDDetect_FW
0xff82ed8c,GetSDProtect
0xff82ed8c,GetSDProtect_FW
0xff82edb0,GetDialEventId_FW
0xff82edb8,GetLcdPosition_FW
0xff82edc0,GetBatteryCoverClose_FW
0xff82edc8,IsHvSensorExist_FW
0xff82edd0,kbd_read_keys
0xff82ee20,kbd_p1_f
0xff82ee2c,kbd_p1_f_cont
0xff82fc40,EngDrvOut
0xff82fc58,EngDrvIn
0xff82fc60,EngDrvRead
0xff82fc74,EngDrvBits
0xff82fe98,DisplayFactoryMode_FW
0xff82fea4,UndisplayFactoryMode_FW
0xff83026c,SetDurianMode_FW
0xff8302ac,ClearDurianMode_FW
0xff8302ac,ClearFactoryMode_FW
0xff8302ec,SetFactoryMode_FW
0xff83032c,ClearDUIDFixFlag_FW
0xff830364,SetDUIDFixFlag_FW
0xff830458,ClearFactoryMasterFlag_FW
0xff830464,SetFactoryMasterFlag_FW
0xff830470,ClearFactoryMasterROMProtection_FW
0xff830494,SetFactoryMasterROMProtection_FW
0xff8304b8,IsFactoryMode_FW
0xff830520,IsDUIDFixFlag_FW
0xff830568,IsNormalCameraMode_FW
0xff830580,StartFactoryModeController_FW
0xff830dd0,RenameFile_Fut
0xff830ed8,DeleteDirectory_Fut
0xff830f30,Fopen_Fut
0xff830f30,Fopen_Fut_FW
0xff830f70,Fclose_Fut
0xff830f70,Fclose_Fut_FW
0xff83101c,Fread_Fut
0xff83101c,Fread_Fut_FW
0xff831070,Fwrite_Fut
0xff831070,Fwrite_Fut_FW
0xff8310c4,Fgets_Fut
0xff831110,Fseek_Fut
0xff831110,Fseek_Fut_FW
0xff83115c,Feof_Fut
0xff831198,Fflush_Fut
0xff831410,Open
0xff831410,Open_FW
0xff8314d8,Close
0xff8314d8,Close_FW
0xff83152c,Write
0xff83152c,write
0xff83152c,Write_FW
0xff831580,j_Open_FW
0xff831584,j_Close_FW
0xff831684,j_Read_FW
0xff831688,j_Write_FW
0xff8316f4,Lseek
0xff8316f4,lseek
0xff8316f4,Lseek_FW
0xff831714,OpenForScrip_FW
0xff83173c,stat
0xff831864,SetFileTimeStamp
0xff8318dc,SetFileAttributes
0xff831974,mkdir
0xff831b7c,j_StartCameraLog_FW
0xff831b80,j_ShowCameraLog_FW
0xff831b84,j_ShowCameraLogInfo_FW
0xff831b88,j_StopCameraLog_FW
0xff831b8c,j_PutsCameraLogEvent_FW
0xff831b90,OpLog.Create_FW
0xff831c0c,j_NewTaskShell_FW
0xff831c10,j_ExMem.View_FW
0xff831c14,j_ExMem.AllocUncacheable_FW
0xff831c18,j_ExMem.FreeUncacheable_FW
0xff831c1c,j_ExMem.AllocCacheable_FW
0xff831c20,j_ExMem.FreeCacheable_FW
0xff831c24,ExMem_FW
0xff832ac4,PT_GetDigitalZoomPosition_FW
0xff832d74,DoAFLock
0xff832dac,UnlockAF
0xff832f90,EnterToCompensationEVF
0xff832fd4,ExitFromCompensationEVF
0xff833028,DoAELock
0xff83304c,UnlockAE
0xff834288,AllocateUncacheableMemory
0xff8342c8,FreeUncacheableMemory
0xff834524,_GetSystemTime
0xff83465c,SetTimerAfter
0xff8346dc,SetTimerWhen
0xff834740,CancelTimer
0xff835830,TurnOffE1_FW
0xff8358e0,task_Bye
0xff835a9c,Restart
0xff835f60,HardwareDefectWithRestart_FW
0xff835fb4,HardwareDefect_FW
0xff8364c4,task_StartupImage
0xff836ffc,strtolx
0xff8371f8,strtol
0xff83720c,memcpy
0xff83720c,memcpy_FW
0xff83d718,ExpCtrlTool_StartContiAE
0xff83d874,ExpCtrlTool_StopContiAE
0xff83f768,task_WBCtrl
0xff841fc4,task_FrameTask
0xff8442d8,task_AFTask
0xff844e30,GetMacroSupportZoomPoint_FW
0xff845eec,ReloadAFAdjustment_FW
0xff84880c,SetMontblancVSize_FW
0xff848820,GetMontblancVSize_FW
0xff84b390,LiveImageTool.GetDzoomPosition_FW
0xff84bce0,GetVRAMHPixelsSize
0xff84bce0,GetVRAMHPixelsSize_FW
0xff84bcec,GetVRAMVPixelsSize
0xff84bcec,GetVRAMVPixelsSize_FW
0xff84bcf8,GetMovieJpegVRAMHPixelsSize_FW
0xff84bd04,GetMovieJpegVRAMVPixelsSize_FW
0xff84bdd0,StopContinuousVRAMData_FW
