0xff834518,_GetSystemTime
0x003fcce0,_log
0x003fd220,_log10
0x003fd398,_pow
0x003fefbc,_sqrt
0xff81a7cc,_uartr_req
0xff92df1c,AbortAEIntegralValue_FW
0x003faef8,AcquireRecursiveLock
0x003f7c14,AcquireRecursiveLockStrictly
0xff92ff84,ActivateAdjLog_FW
0xff8e4324,ActivateImager_FW
0xff8e43bc,ActivateImagerXOne_FW
0xffa717d4,ActivateISMD_FW
0xffa19e48,add_ptp_handler
0xff96d61c,AdditionAgentRAM_FW
0xffa42fe8,AddTransparentMemory_FW
0xffade6cc,AdjAEWithAperturePriority_FW
0xffade678,AfAEWithAperturePriority_FW
0xffade874,AfAEWithCompensation_FW
0xffa0c064,AFTool.GetEVal_FW
0xffa74a7c,AllocateMemory
0xffa74a7c,AllocateMemory_FW
0xff83427c,AllocateUncacheableMemory
0xff9dd938,apex2us
0xff89894c,atol_FW
0xff92ed34,AttachIntegCrawData_FW
0xffa43020,AttachToTransparentMemory_FW
0xffacdd78,Bat_Calc_FW
0xffadfc7c,Bat_Save_FW
0xffadfc68,Bat_VIN_FW
0xff855978,BeepDrive_FW
0xff855998,BeepDriveComp_FW
0xffad96a0,CalcLog10_FW
0xffae3e7c,CalcLoopGain_FW
0xffad9790,CalcSqrt_FW
0xffacdd78,CalculateBatSenseOffset_FW
0xffadd6ec,CalculateInterpolationByLS_FW
0xffad9640,CalculateLog2ToApex_FW
0xffad9608,CalculatePeakFromLeastSquareResult_FW
0xffadd68c,CalculatePeakPosByLS_FW
0xffad9654,CalculatePow2FromApex_FW
0xff86061c,CalculateTestRecYUVData_FW
0xffade4a0,CancelAdj_AEMode_FW
0xffad7efc,CancelAdjCdsMode_FW
0xffadc164,CancelBPFilterForBP_FW
0xffadddf0,CancelExStrobeMode_FW
0xffa6fb48,CancelFocusLensMaxSpeedLimit_FW
0xff87c1f8,CancelHPTimer
0xff8e4674,CancelImageDrive_FW
0xff8e4594,CancelImager_FW
0xff86d704,CancelLoopGainCalc_FW
0xff834734,CancelTimer
0xff9626cc,Capture.Create_FW
0xffad873c,CaptureWithParam_FW
0xffa42c80,ChangeAdjImgDrvMode_FW
0xffa42cac,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff9fdb74,ChangeCrossThresholdTable_FW
0xff9fdfc4,ChangeDefectRecParam_FW
0xffadfa3c,ChangeDistortionSetForLiveImage_FW
0xffae3adc,ChangeFilterMode_FW
0xffa6fcb4,ChangeFocusDistanceToPosition_FW
0xff9fd9b4,ChangeGradeTable_FW
0xffad8784,ChangeImageDrive_FW
0xff8e4618,ChangeImagerToAlternateDraft_FW
0xff8e45d0,ChangeImagerToCombiParallel_FW
0xff8e4610,ChangeImagerToDigiconMode_FW
0xff8e4650,ChangeImagerToFantaJungle_FW
0xff8e45e0,ChangeImagerToFocusJet_FW
0xff8e4640,ChangeImagerToHarleyDavidson_FW
0xff8e4600,ChangeImagerToHoneyFlash_FW
0xff8e4658,ChangeImagerToHoneyFlashDark_FW
0xff8e45f8,ChangeImagerToJetDraft_FW
0xff8e4648,ChangeImagerToMachDashV_FW
0xff8e45e8,ChangeImagerToMangoPudding_FW
0xff8e4608,ChangeImagerToMillefeAdjust_FW
0xff8e4630,ChangeImagerToMontblancMillefe_FW
0xff8e4638,ChangeImagerToMontblancMovie_FW
0xff8e4628,ChangeImagerToMontblancWhole_FW
0xff8e4610,ChangeImagerToOITA_XAVIER_FW
0xff8e4660,ChangeImagerToRoadKing_FW
0xff8e45f0,ChangeImagerToSuperWideDraft_FW
0xff8e4620,ChangeImagerToUltraGhostQ_FW
0xff8e45b8,ChangeImagerToWholeParallel_FW
0xff8e45c0,ChangeImagerToWholeParallelBP_FW
0xff8e45c8,ChangeImagerToWholeParallelBPOne_FW
0xff8e45d8,ChangeImagerToWideDraft_FW
0xffa6ff60,ChangeIrisSpeed_FW
0xffa70f18,ChangeParallelMode_FW
0xff86d158,ChangeToISCloseControl_FW
0xffa7088c,ChangeZoomLensMagnificationToPoint_FW
0xffa70884,ChangeZoomLensPointToMagnification_FW
0xffadde2c,ChargeStrobe_FW
0xffadde60,ChargeStrobeForFA_FW
0x003faa80,CheckAllEventFlag
0x003faa38,CheckAnyEventFlag
0xff87f9c0,CheckSumAll_FW
0xff8302f8,ClearDUIDFixFlag_FW
0xff830278,ClearDurianMode_FW
0x003faca0,ClearEventFlag
0xff830424,ClearFactoryMasterFlag_FW
0xff83043c,ClearFactoryMasterROMProtection_FW
0xff830278,ClearFactoryMode_FW
0xff86d4e4,ClearISCalcZData_FW
0xffa70f8c,ClearISIComponent_FW
0xffa70fb0,ClearISZData_FW
0xffaf629c,ClearPMByFs_FW
0xffaf6274,ClearPMByGpio_FW
0xffada9c0,ClearZoomCommonDriveParam_FW
0xff95a804,ClearZoomDriveParam_FW
0xff8314a4,Close
0xff8159a4,close
0xff8314a4,Close_FW
0xff81a254,CloseConsole_FW
0xffa56028,closedir
0xffa7024c,CloseMechaShutter_FW
0xffa70294,CloseMechaShutterWithTiming_FW
0xffad8cb4,CloseMShutter_FW
0xffa717ec,CommunicateMechaCPU_FW
0xffa42c18,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa42bcc,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffad96f8,ConvertApexStdToApex_FW
0xffad96c8,ConvertApexToApexStd_FW
0xffad9c8c,ConvertCxCyToWBGain_FW
0xffadad48,ConvertToPositionWithDistance_FW
0xffadad24,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffad8830,ConvertTvToExposureTime_FW
0xff819fb8,CPrintf_FW
0xff81a010,CPutChar_FW
0xff85b550,CreateAdjustmentTableMirror_FW
0x003f74c8,CreateBinarySemaphore
0x003f7acc,CreateBinarySemaphoreStrictly
0xff884334,CreateController_FW
0x003f7530,CreateCountingSemaphore
0x003f7530,CreateCountingSemaphore_FW
0x003f7af0,CreateCountingSemaphoreStrictly
0xff85b560,CreateDefectTableMirror_FW
0x003fa990,CreateEventFlag
0x003f7aa8,CreateEventFlagStrictly
0xff92f8c8,CreateFADBGSingalID_FW
0xffae2038,CreateJumptable
0x003f7104,CreateMessageQueue
0x003f7a84,CreateMessageQueueStrictly
0xff87d45c,CreateProxyOfEventProcedure_FW
0x003fae58,CreateRecursiveLock
0x003f7b14,CreateRecursiveLockStrictly
0x003f6824,CreateTask
0x003f6824,CreateTask_FW
0x003f7a50,CreateTaskStrictly
0xff9fd9c8,CrossDefDetect_FW
0xff8845b4,CtrlMan_ChangeZOrder_FW
0xff953a24,CzDebugPrint_FW
0xff953a38,CzDebugPrintToFile_FW
0xff82d8ac,Dcdc_Bl_Pwr_Ctrl_FW
0xff82dd80,Dcdc_reg_read_FW
0xff82dd28,Dcdc_reg_write_FW
0x003f6afc,DebugAssert
0xffa715a8,DelaySet_FW
0xff884410,DeleteController_FW
0xff830ea4,DeleteDirectory_Fut
0x003fa9e8,DeleteEventFlag
0x003f7188,DeleteMessageQueue
0xff87d4b4,DeleteProxyOfEventProcedure_FW
0x003faea8,DeleteRecursiveLock
0x003f7588,DeleteSemaphore
0x003f7588,DeleteSemaphore_FW
0xffae1e94,DevelopStillPicture_FW
0xff9fe0c0,DevelopTool.DevelopTest_FW
0xff92f570,DeviceUniqueIDCheckSum_FW
0xff9323f4,DisableDebugLogMode_FW
0xffa712d8,DisableDISModeChange_FW
0xffa6fba4,DisableFocusLens_FW
0xffa6fc20,DisableFocusLensGainLock_FW
0xffa6fc4c,DisableFocusLensWaveLock_FW
0xffa70120,DisableFocusPiCircuit_FW
0xffa7105c,DisableISAutoGyroOffset_FW
0xffa7103c,DisableISDriveError_FW
0xffa70078,DisableLensError_FW
0xffa71378,DisableMacroIS_FW
0xffa70100,DisableMechaCircuit_FW
0xffa70168,DisableZoomEncoderCircuit_FW
0xffa70860,DisableZoomLensElectricControl_FW
0xffa70520,DisableZoomLensEncoderPowerControl_FW
0xffa70838,DisableZoomLensSpeedControl_FW
0xffa70144,DisableZoomPiCircuit_FW
0xff853464,DispCon_GetLcdGainAdjParameter_FW
0xff85329c,DispCon_GetVideoAdjParameter_FW
0xff8534b0,DispCon_SaveLcdGainAdjParameter_FW
0xff853324,DispCon_SaveVideoAdjParameter_FW
0xff852e00,DispCon_SetDisplayType_FW
0xff8533a0,DispCon_SetLcdGainAdjParameter_FW
0xff8531b0,DispCon_SetMaxBackLightBrightness_FW
0xff853230,DispCon_SetVideoAdjParameter_FW
0xff852d50,DispCon_ShowBitmapColorBar
0xff852d50,DispCon_ShowBitmapColorBar_FW
0xff852d34,DispCon_ShowBlackChart_FW
0xff852bc4,DispCon_ShowColorBar_FW
0xff852e20,DispCon_ShowColorChart_FW
0xff852dac,DispCon_ShowCustomColorBar_FW
0xff852c1c,DispCon_ShowFiveStep_FW
0xff8534a0,DispCon_ShowLcdGainAdjParameter_FW
0xff853000,DispCon_ShowNStepsChart_FW
0xff8532f8,DispCon_ShowVideoAdjParameter_FW
0xff852cfc,DispCon_ShowWhiteChart_FW
0xff852e44,DispCon_ShowWhiteLine_FW
0xff8531a0,DispCon_TurnOffBackLight_FW
0xff853180,DispCon_TurnOffDisplay_FW
0xff853190,DispCon_TurnOnBackLight_FW
0xff853170,DispCon_TurnOnDisplay_FW
0xff961f94,DispDev.Create_FW
0xff95fa3c,DispDev_EnableEventProc_FW
0xff82fe64,DisplayFactoryMode_FW
0xff833020,DoAELock
0xff832d24,DoAFLock
0xff95fb94,Driver.Create_FW
0xff95fb94,Driver_EnableEventProc_FW
0xff8142f0,drysh_FW
0xffa7161c,DspDataTranster_FW
0xffa7162c,DspProgTranster_FW
0xff95ffdc,Dump32_FW
0xff95ffcc,Dump_FW
0xff85ac7c,DumpAdjMirror_FW
0xffa42fa8,DumpTransparentMemoryItem_FW
0xff8e40e0,E2LatOn_FW
0xffa08900,EF.AdjPreFlash_FW
0xff8cab30,EF.IsChargeFull_FW
0xffa0893c,EF.SetChargeMode_FW
0xffa0881c,EF.SetEFChargeTimeOut_FW
0xffa08950,EF.SetFlashTime_FW
0xffa088e8,EF.SetMainFlashTime_FW
0xffa087c0,EF.StartEFCharge_FW
0xffa08864,EF.StartInternalMainFlash_FW
0xffa08830,EF.StartInternalPreFlash_FW
0xffa0880c,EF.StopEFCharge_FW
0xff9323e0,EnableDebugLogMode_FW
0xffa712e8,EnableDISModeChange_FW
0xffa6fb58,EnableFocusLens_FW
0xffa6fbf4,EnableFocusLensGainLockWithVoltage_FW
0xffa6fc30,EnableFocusLensWaveLock_FW
0xffa70110,EnableFocusPiCircuit_FW
0x003f681c,EnableInterrupt
0xffa7104c,EnableISAutoGyroOffset_FW
0xffa7102c,EnableISDriveError_FW
0xffa70068,EnableLensError_FW
