0xffc04b2c,_GetSystemTime
0xffea2c50,_log
0xffe9f128,_log10
0xffe9f2b0,_pow
0xffea104c,_sqrt
0xffe649f8,AbortAEIntegralValue_FW
0xffc121c8,AcquireRecursiveLock
0xffe63124,ActivateAdjLog_FW
0xffcb17e0,ActivateImager_FW
0xffd25dd0,ActivateImageSystem_FW
0xffe61018,AddAdjDataToFRom_FW
0xffd45d88,AddItemToDialogBox_FW
0xffe70cac,AddTransparentMemory_FW
0xffe6cfa4,AfAEWithAperturePriority_FW
0xffe6d13c,AfAEWithCompensation_FW
0xffc1d274,AFAssistBeam_FW
0xffd2643c,AFDistanceChanged_FW
0xffd263e8,AFFrameMoved_FW
0xffc0a760,AllocateMemory
0xffc0a760,AllocateMemory_FW
0xffc048f4,AllocateUncacheableMemory
0xffd2695c,AllSettingReseted_FW
0xffc96f4c,apex2us
0xffe70cf4,AttachToTransparentMemory_FW
0xffc1c038,Bat_Calc_FW
0xffe6ebb4,Bat_Save_FW
0xffe6eba0,Bat_VIN_FW
0xffc1aa78,BatVoltageToAd_FW
0xffc1dce0,BeepDrive_FW
0xffc1dcf4,BeepDriveComp_FW
0xffe68130,CalcLog10_FW
0xffc1c038,CalculateBatSenseOffset_FW
0xffe680d8,CalculateLog2ToApex_FW
0xffe6b244,CalculatePeakPositionByLeastSquare_FW
0xffe6810c,CalculatePow2FromApex_FW
0xffe6cef8,CancelAdj_AEMode_FW
0xffe66e54,CancelAdjCdsMode_FW
0xffe5d580,CancelFocusLensMaxSpeedLimit_FW
0xffc059f0,CancelHPTimer
0xffcb1b00,CancelImager_FW
0xffc04d94,CancelTimer
0xffc8c540,Capture.Create_FW
0xffc8c5d8,Capture.Delete_FW
0xffd26280,CaptureModeChange_FW
0xffd08420,ChangeGradeTable_FW
0xffcb1bbc,ChangeImagerToAlternateDraft_FW
0xffcb1c0c,ChangeImagerToDigiconMode_FW
0xffcb1bec,ChangeImagerToFocusJet_FW
0xffcb1bcc,ChangeImagerToJetDraft_FW
0xffcb1bfc,ChangeImagerToJumboDraft_FW
0xffcb1bac,ChangeImagerToNarrowDraft_FW
0xffcb1c0c,ChangeImagerToOITA_XAVIER_FW
0xffcb1bdc,ChangeImagerToPetitNarrow_FW
0xffcb1c2c,ChangeImagerToQVGA15Fps_FW
0xffcb1c1c,ChangeImagerToQVGA20Fps_FW
0xffcb1c5c,ChangeImagerToSmearCorrectAlternate_FW
0xffcb1c4c,ChangeImagerToSmearCorrectSuper_FW
0xffcb1c3c,ChangeImagerToSmearCorrectWide_FW
0xffcb1b8c,ChangeImagerToSuperWideDraft_FW
0xffcb1b60,ChangeImagerToWholeParallel_FW
0xffcb1b7c,ChangeImagerToWholeParallelHalf_FW
0xffcb1b30,ChangeImagerToWholeSerial_FW
0xffcb1b48,ChangeImagerToWholeSerialLineDef_FW
0xffcb1b9c,ChangeImagerToWideDraft_FW
0xffd26150,ChangeZoomSpeed_FW
0xffe6c708,ChargeStrobe_FW
0xffc0f748,CheckAllEventFlag
0xffc0f738,CheckAnyEventFlag
0xffe5d784,CheckFocusLensAfAging_FW
0xffd25cb4,CheckLensAndShutdownReason_FW
0xffc0a370,CheckSumAll_FW
0xffc0fb48,ClearEventFlag
0xffe5fde4,ClearFactoryMode_FW
0xffe5d6e4,ClearFocusLensBacklashSpeedToMax_FW
0xffe54c54,ClearMechaShutterCount_FW
0xffe524e0,ClearPM3ByFs_FW
0xffe524d0,ClearPM3ByGpio_FW
0xffc5d7a8,Close
0xffeaee64,close
0xffc5d7a8,Close_FW
0xffc0b63c,CloseConsole_FW
