0xffc180b8,_GetSystemTime
0xffe4f520,_log
0xffe4e464,_log10
0xffe4e5d4,_pow
0xffe50888,_sqrt
0xffc0ce68,_uartr_req
0xffc17950,AcquireRecursiveLock
0xffc0bd7c,AcquireRecursiveLockStrictly
0xffcd618c,ActivateAdjLog_FW
0xffd8a5e0,ActivateImager_FW
0xffd8a66c,ActivateImagerXOne_FW
0xffd960e4,add_ptp_handler
0xffc350bc,AddAdjDataToFRom_FW
0xffddb004,AdditionAgentRAM_FW
0xffdabe94,AddTransparentMemory_FW
0xffd6c234,AFTool.GetEVal_FW
0xffdda868,AllocateMemory
0xffdda868,AllocateMemory_FW
0xffc17e18,AllocateUncacheableMemory
0xffd68398,apex2us
0xffc6e478,atol_FW
0xffdabecc,AttachToTransparentMemory_FW
0xffc2fdf8,BeepDrive_FW
0xffdd6888,CancelFocusLensMaxSpeedLimit_FW
0xffc52844,CancelHPTimer
0xffd8a7c4,CancelImager_FW
0xffc182d4,CancelTimer
0xffd0b214,Capture.Create_FW
0xffdd6a40,ChangeFocusDistanceToPosition_FW
0xffd81d10,ChangeGradeTable_FW
0xffd8a868,ChangeImagerToAlternateDraft_FW
0xffd8a860,ChangeImagerToDigiconMode_FW
0xffd8a828,ChangeImagerToFocusJet_FW
0xffd8a850,ChangeImagerToHoneyFlash_FW
0xffd8a840,ChangeImagerToJetDraft_FW
0xffd8a848,ChangeImagerToJumboDraft_FW
0xffd8a830,ChangeImagerToMangoPudding_FW
0xffd8a858,ChangeImagerToMillefeAdjust_FW
0xffd8a880,ChangeImagerToMontblancMillefe_FW
0xffd8a878,ChangeImagerToMontblancWhole_FW
0xffd8a860,ChangeImagerToOITA_XAVIER_FW
0xffd8a838,ChangeImagerToSuperWideDraft_FW
0xffd8a870,ChangeImagerToUltraGhostQ_FW
0xffd8a7e8,ChangeImagerToWholeParallel_FW
0xffd8a804,ChangeImagerToWholeParallelBP_FW
0xffd8a820,ChangeImagerToWideDraft_FW
0xffc17204,CheckAllEventFlag
0xffc171bc,CheckAnyEventFlag
0xffc55e84,CheckSumAll_FW
0xffc33ad4,ClearDUIDFixFlag_FW
0xffc173ec,ClearEventFlag
0xffc339e8,ClearFactoryMode_FW
0xffc13b5c,Close
0xffc09f74,close
0xffc13b5c,Close_FW
0xffc0c96c,CloseConsole_FW
0xffdc4230,closedir
0xffdd6ed0,CloseMechaShutterWithTiming_FW
0xffca5764,COMFACHK_GetTransferTime_FW
0xffca57c4,COMFACHK_SetSendDataSize_FW
0xffca56c4,COMFACHK_StartSendData_FW
0xffca5700,COMFACHK_StartSendLargeData_FW
0xffca55d4,COMFACHK_StartService_FW
0xffca5624,COMFACHK_StopService_FW
0xffc0c6d0,CPrintf_FW
0xffc0c72c,CPutChar_FW
0xffc34b98,CreateAdjustmentTableMirror_FW
0xffc0b608,CreateBinarySemaphore
0xffc0bc34,CreateBinarySemaphoreStrictly
0xffc5a41c,CreateController_FW
0xffc0b670,CreateCountingSemaphore
0xffc0b670,CreateCountingSemaphore_FW
0xffc0bc58,CreateCountingSemaphoreStrictly
0xffc17114,CreateEventFlag
0xffc0bc10,CreateEventFlagStrictly
0xffcd5b80,CreateFADBGSingalID_FW
0xffe2dd4c,CreateJumptable
0xffd215d8,CreateLanguageMenu_FW
0xffc17528,CreateMessageQueue
0xffc0bbec,CreateMessageQueueStrictly
0xffc53d4c,CreateProxyOfEventProcedure_FW
0xffc178b0,CreateRecursiveLock
