0xffc00bd0,memShow_FW
0xffc039c4,malloc
0xffc03a98,free
0xffc03b78,realloc
0xffc03c40,GetMemInfo
0xffc04e1c,drysh_FW
0xffc04e98,err_init_task
0xffc050b4,task_ClockSave
0xffc09ec4,open
0xffc09f74,close
0xffc0a15c,Read
0xffc0a15c,read
0xffc0a15c,Read_FW
0xffc0b5a0,RegisterInterruptHandler
0xffc0b5c4,UnregisterInterruptHandler
0xffc0b5dc,GetSRAndDisableInterrupt
0xffc0b5e0,SetSR
0xffc0b600,EnableInterrupt
0xffc0b608,CreateBinarySemaphore
0xffc0b670,CreateCountingSemaphore
0xffc0b670,CreateCountingSemaphore_FW
0xffc0b6c8,DeleteSemaphore
0xffc0b6c8,DeleteSemaphore_FW
0xffc0b720,TryTakeSemaphore
0xffc0b774,TakeSemaphore
0xffc0b774,TakeSemaphore_FW
0xffc0b844,GiveSemaphore
0xffc0b844,GiveSemaphore_FW
0xffc0b87c,GetSemaphoreValue
0xffc0b8e0,CreateTask
0xffc0b8e0,CreateTask_FW
0xffc0bb70,ExitTask
0xffc0bb70,ExitTask_FW
0xffc0bbb8,CreateTaskStrictly
0xffc0bbec,CreateMessageQueueStrictly
0xffc0bc10,CreateEventFlagStrictly
0xffc0bc34,CreateBinarySemaphoreStrictly
0xffc0bc58,CreateCountingSemaphoreStrictly
0xffc0bc7c,CreateRecursiveLockStrictly
0xffc0bca0,TakeSemaphoreStrictly
0xffc0bccc,ReceiveMessageQueueStrictly
0xffc0bcf8,PostMessageQueueStrictly
0xffc0bd24,WaitForAnyEventFlagStrictly
0xffc0bd50,WaitForAllEventFlagStrictly
0xffc0bd7c,AcquireRecursiveLockStrictly
0xffc0bdb8,DebugAssert
0xffc0c4c0,RotateConsoleZOder_FW
0xffc0c6d0,CPrintf_FW
0xffc0c72c,CPutChar_FW
0xffc0c758,GetCh_FW
0xffc0c7a8,GetStringWithPrompt_FW
0xffc0c808,OpenConsole_FW
0xffc0c96c,CloseConsole_FW
0xffc0cd28,task_Startup
0xffc0ce68,_uartr_req
0xffc0cef8,task_UartLog
0xffc0d04c,StartRedirectUART_FW
0xffc0d7c8,sprintf_FW
0xffc0d80c,vsprintf
0xffc0d88c,strcpy
0xffc0d88c,strcpy_FW
0xffc0d8a4,j_strcmp_FW
0xffc0d8a4,strcmp
0xffc0d8cc,strcmp_FW
0xffc0d8e8,strlen
0xffc0d8e8,strlen_FW
0xffc0d90c,memcmp
0xffc0d90c,memcmp_FW
0xffc0da08,srand
0xffc0da14,rand
0xffc105d0,VbattGet
0xffc105d0,VbattGet_FW
0xffc107b8,task_TempCheck
0xffc11548,kbd_p2_f
0xffc118a4,task_PhySw
0xffc11ab4,GetSwitchStatus_FW
0xffc11be4,GetSDDetect_FW
0xffc11bec,GetSDProtect
0xffc11bec,GetSDProtect_FW
0xffc11c08,GetDialEventId_FW
0xffc11c0c,kbd_read_keys
0xffc11d08,kbd_p1_f
0xffc11d14,kbd_p1_f_cont
0xffc12b28,EngDrvOut
0xffc12b40,EngDrvIn
0xffc12b48,EngDrvRead
0xffc12b5c,EngDrvBits
0xffc133b4,RenameFile_Fut
0xffc13408,DeleteFile_Fut
0xffc1347c,MakeDirectory_Fut
0xffc134ec,DeleteDirectory_Fut
0xffc13544,Fopen_Fut
0xffc13544,Fopen_Fut_FW
0xffc13584,Fclose_Fut
0xffc13584,Fclose_Fut_FW
0xffc13630,Fread_Fut
0xffc13630,Fread_Fut_FW
0xffc13684,Fwrite_Fut
0xffc13684,Fwrite_Fut_FW
0xffc136d8,Fgets_Fut
0xffc13724,Fseek_Fut
0xffc13724,Fseek_Fut_FW
0xffc13770,Feof_Fut
0xffc137ac,Fflush_Fut
0xffc13b34,Open
0xffc13b34,Open_FW
0xffc13b5c,Close
0xffc13b5c,Close_FW
0xffc13c04,j_Read_FW
0xffc13c08,Write
0xffc13c08,write
0xffc13c08,Write_FW
0xffc13c9c,Lseek
0xffc13c9c,lseek
0xffc13c9c,Lseek_FW
0xffc13d64,j_Lseek_FW
0xffc13d68,stat
0xffc13e38,SetFileTimeStamp
0xffc13e88,SetFileAttributes
0xffc13f00,mkdir
0xffc1422c,j_StartCameraLog_FW
0xffc14230,j_ShowCameraLog_FW
0xffc14234,j_ShowCameraLogInfo_FW
0xffc14238,j_StopCameraLog_FW
0xffc1423c,j_PutsCameraLogEvent_FW
0xffc14240,OpLog.Create_FW
0xffc142bc,j_NewTaskShell_FW
0xffc142c0,j_ExMem.View_FW
0xffc142c4,j_ExMem.AllocUncacheable_FW
0xffc142c8,j_ExMem.FreeUncacheable_FW
0xffc142cc,j_ExMem.AllocCacheable_FW
0xffc142d0,j_ExMem.FreeCacheable_FW
0xffc142d4,ExMem_FW
0xffc157a0,DoAFLock
0xffc158b8,UnlockAF
0xffc15a90,EnterToCompensationEVF
0xffc15bdc,ExitFromCompensationEVF
0xffc15c80,DoAELock
0xffc15cb0,UnlockAE
0xffc17114,CreateEventFlag
0xffc1716c,DeleteEventFlag
0xffc171bc,CheckAnyEventFlag
0xffc17204,CheckAllEventFlag
0xffc1724c,WaitForAnyEventFlag
0xffc172f0,WaitForAllEventFlag
0xffc173b8,SetEventFlag
0xffc173ec,ClearEventFlag
0xffc17424,GetEventFlagValue
0xffc17528,CreateMessageQueue
0xffc175ac,DeleteMessageQueue
0xffc1763c,ReceiveMessageQueue
0xffc176e8,TryReceiveMessageQueue
0xffc17764,PostMessageQueue
0xffc17800,TryPostMessageQueue
0xffc17840,GetNumberOfPostedMessages
0xffc178b0,CreateRecursiveLock
0xffc17900,DeleteRecursiveLock
0xffc17950,AcquireRecursiveLock
0xffc17a54,ReleaseRecursiveLock
0xffc17c9c,SleepTask
0xffc17c9c,SleepTask_FW
0xffc17e18,AllocateUncacheableMemory
0xffc17e4c,FreeUncacheableMemory
0xffc180b8,_GetSystemTime
0xffc181f0,SetTimerAfter
0xffc18270,SetTimerWhen
0xffc182d4,CancelTimer
0xffc19504,task_Bye
