0xffc169a0,_GetSystemTime
0xffe328a4,_log
0xffe317e8,_log10
0xffe31958,_pow
0xffe33c0c,_sqrt
0xffc0cf54,_uartr_req
0xffcb8ca4,AbortAEIntegralValue_FW
0xffc1620c,AcquireRecursiveLock
0xffc0be60,AcquireRecursiveLockStrictly
0xffcba814,ActivateAdjLog_FW
0xffd80030,ActivateImager_FW
0xffd800bc,ActivateImagerXOne_FW
0xffd8a108,add_ptp_handler
0xffcf0ca8,AdditionAgentRAM_FW
0xffd9a078,AddTransparentMemory_FW
0xffe06d10,AdjAEWithAperturePriority_FW
0xffe06ccc,AfAEWithAperturePriority_FW
0xffe06ebc,AfAEWithCompensation_FW
0xffd7ea38,AFTool.GetEVal_FW
0xffdc45b0,AllocateMemory
0xffdc45b0,AllocateMemory_FW
0xffc166f4,AllocateUncacheableMemory
0xffd4cf08,apex2us
0xffc63440,atol_FW
0xffcb9840,AttachIntegCrawData_FW
0xffd9a0b0,AttachToTransparentMemory_FW
0xffc2b118,Bat_Calc_FW
0xffe08284,Bat_Save_FW
0xffe08270,Bat_VIN_FW
0xffc2b734,BeepDrive_FW
0xffc2b754,BeepDriveComp_FW
0xffe028c4,CalcLog10_FW
0xffe029b4,CalcSqrt_FW
0xffc2b118,CalculateBatSenseOffset_FW
0xffe02864,CalculateLog2ToApex_FW
0xffe02828,CalculatePeakFromLeastSquareResult_FW
0xffe02878,CalculatePow2FromApex_FW
0xffc34928,CalculateTestRecYUVData_FW
0xffe06ae8,CancelAdj_AEMode_FW
0xffe0197c,CancelAdjCdsMode_FW
0xffe04ef0,CancelBPFilterForBP_FW
0xffe06444,CancelExStrobeMode_FW
0xffdc1b7c,CancelFocusLensMaxSpeedLimit_FW
0xffc4d2c0,CancelHPTimer
0xffd80214,CancelImager_FW
0xffc16bbc,CancelTimer
0xffce7a6c,Capture.Create_FW
0xffd99af4,ChangeAdjImgDrvMode_FW
0xffd99b20,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffcbc8a4,ChangeDefectRecExpGain_FW
0xffcbc878,ChangeDefectRecExpTv_FW
0xffcbc940,ChangeDefectRecMontblancSize_FW
0xffcbc860,ChangeDefectRecParameter_FW
0xffcbc90c,ChangeDefectRecPeakHoldSetting_FW
