0xffc00dcc,memShow_FW
0xffc03f60,strncpy
0xffc03f9c,strncmp
0xffc03fe8,strchr
0xffc0400c,strrchr
0xffc04034,strlen
0xffc04034,strlen_FW
0xffc04104,malloc
0xffc04160,free
0xffc05ed4,drysh_FW
0xffc05f50,err_init_task
0xffc0616c,task_ClockSave
0xffc0a7f8,GetMemInfo
0xffc0b070,open
0xffc0b120,close
0xffc0b308,Read
0xffc0b308,read
0xffc0b308,Read_FW
0xffc0ee60,RegisterInterruptHandler
0xffc0ee84,UnregisterInterruptHandler
0xffc0ee9c,GetSRAndDisableInterrupt
0xffc0eea0,SetSR
0xffc0eec0,EnableInterrupt
0xffc0eec8,CreateBinarySemaphore
0xffc0ef30,CreateCountingSemaphore
0xffc0ef30,CreateCountingSemaphore_FW
0xffc0ef88,DeleteSemaphore
0xffc0ef88,DeleteSemaphore_FW
0xffc0efe0,TryTakeSemaphore
0xffc0f034,TakeSemaphore
0xffc0f034,TakeSemaphore_FW
0xffc0f104,GiveSemaphore
0xffc0f104,GiveSemaphore_FW
0xffc0f13c,GetSemaphoreValue
0xffc0f1a8,CreateTask
0xffc0f1a8,CreateTask_FW
0xffc0f438,ExitTask
0xffc0f438,ExitTask_FW
0xffc0f480,CreateTaskStrictly
0xffc0f4b4,CreateMessageQueueStrictly
0xffc0f4d8,CreateEventFlagStrictly
0xffc0f4fc,CreateBinarySemaphoreStrictly
0xffc0f520,CreateCountingSemaphoreStrictly
0xffc0f544,CreateRecursiveLockStrictly
0xffc0f568,TakeSemaphoreStrictly
0xffc0f594,ReceiveMessageQueueStrictly
0xffc0f5c0,PostMessageQueueStrictly
0xffc0f5ec,WaitForAnyEventFlagStrictly
0xffc0f618,WaitForAllEventFlagStrictly
0xffc0f644,AcquireRecursiveLockStrictly
0xffc0f680,DebugAssert
0xffc0fd88,RotateConsoleZOder_FW
0xffc0ff98,CPrintf_FW
0xffc0fff4,CPutChar_FW
0xffc10020,GetCh_FW
0xffc10070,GetStringWithPrompt_FW
0xffc100d0,OpenConsole_FW
0xffc1023c,CloseConsole_FW
0xffc105f8,task_Startup
0xffc10744,_uartr_req
0xffc107d4,task_UartLog
0xffc10928,StartRedirectUART_FW
0xffc1123c,sprintf_FW
0xffc11280,vsprintf
0xffc112bc,strcpy
0xffc112bc,strcpy_FW
0xffc112d4,j_strcmp_FW
0xffc112d4,strcmp
0xffc112fc,strcmp_FW
0xffc11318,memcmp
0xffc11318,memcmp_FW
0xffc11414,srand
0xffc11420,rand
0xffc22730,task_BatteryTask
0xffc22be4,GetVBatVoltage_FW
0xffc22be4,VbattGet
0xffc22be4,VbattGet_FW
0xffc2345c,kbd_p2_f
0xffc2378c,task_PhySw
0xffc23a8c,GetSwitchStatus_FW
0xffc23af8,GetSDDetect_FW
0xffc23b00,GetSDProtect
0xffc23b00,GetSDProtect_FW
0xffc23b1c,GetDialEventId_FW
0xffc23b20,GetBatteryCoverClose_FW
0xffc23b28,IsHvSensorExist_FW
0xffc23b2c,kbd_read_keys
0xffc23ba4,kbd_p1_f
0xffc23bb0,kbd_p1_f_cont
0xffc249d8,EngDrvOut
0xffc249f0,EngDrvIn
0xffc249f8,EngDrvRead
0xffc24a0c,EngDrvBits
0xffc24c8c,DisplayFactoryMode_FW
0xffc24c98,UndisplayFactoryMode_FW
0xffc24ea0,SetDurianMode_FW
0xffc24ed8,ClearDurianMode_FW
0xffc24ed8,ClearFactoryMode_FW
0xffc24f88,SetFactoryMode_FW
0xffc24fc0,ClearDUIDFixFlag_FW
0xffc24ff8,SetDUIDFixFlag_FW
0xffc25034,IsFactoryMode_FW
0xffc25074,IsDUIDFixFlag_FW
0xffc250bc,IsNormalCameraMode_FW
0xffc250d4,StartFactoryModeController_FW
0xffc259ec,RenameFile_Fut
0xffc25a80,DeleteFile_Fut
0xffc25af4,MakeDirectory_Fut
0xffc25b64,DeleteDirectory_Fut
0xffc25bbc,Fopen_Fut
0xffc25bbc,Fopen_Fut_FW
0xffc25bfc,Fclose_Fut
0xffc25bfc,Fclose_Fut_FW
0xffc25ca8,Fread_Fut
0xffc25ca8,Fread_Fut_FW
0xffc25cfc,Fwrite_Fut
0xffc25cfc,Fwrite_Fut_FW
