0xffc18584,_GetSystemTime
0xffe67ddc,_log
0xffe66d20,_log10
0xffe66e90,_pow
0xffe69144,_sqrt
0xffc0ce68,_uartr_req
0xffc17e1c,AcquireRecursiveLock
0xffc0bd7c,AcquireRecursiveLockStrictly
0xffcdec6c,ActivateAdjLog_FW
0xffda0108,ActivateImager_FW
0xffda0194,ActivateImagerXOne_FW
0xffdaa4e8,add_ptp_handler
0xffc39dd8,AddAdjDataToFRom_FW
0xffdf2510,AdditionAgentRAM_FW
0xffdc1370,AddTransparentMemory_FW
0xffd81d24,AFTool.GetEVal_FW
0xffdf1d74,AllocateMemory
0xffdf1d74,AllocateMemory_FW
0xffc182e4,AllocateUncacheableMemory
0xffd7dd6c,apex2us
0xffc74d68,atol_FW
0xffdc13a8,AttachToTransparentMemory_FW
0xffc34718,BeepDrive_FW
0xffded5d4,CancelFocusLensMaxSpeedLimit_FW
0xffc593f0,CancelHPTimer
0xffda02ec,CancelImager_FW
0xffc187a0,CancelTimer
0xffd16d34,Capture.Create_FW
0xffded78c,ChangeFocusDistanceToPosition_FW
0xffd978a4,ChangeGradeTable_FW
0xffda0390,ChangeImagerToAlternateDraft_FW
0xffda0388,ChangeImagerToDigiconMode_FW
0xffda0350,ChangeImagerToFocusJet_FW
0xffda0378,ChangeImagerToHoneyFlash_FW
0xffda0368,ChangeImagerToJetDraft_FW
0xffda0370,ChangeImagerToJumboDraft_FW
0xffda0358,ChangeImagerToMangoPudding_FW
0xffda0380,ChangeImagerToMillefeAdjust_FW
0xffda03a8,ChangeImagerToMontblancMillefe_FW
0xffda03a0,ChangeImagerToMontblancWhole_FW
0xffda0388,ChangeImagerToOITA_XAVIER_FW
0xffda0360,ChangeImagerToSuperWideDraft_FW
0xffda0398,ChangeImagerToUltraGhostQ_FW
0xffda0310,ChangeImagerToWholeParallel_FW
0xffda032c,ChangeImagerToWholeParallelBP_FW
0xffda0348,ChangeImagerToWideDraft_FW
0xffc176d0,CheckAllEventFlag
0xffc17688,CheckAnyEventFlag
0xffc5ca30,CheckSumAll_FW
0xffc387c4,ClearDUIDFixFlag_FW
0xffc3876c,ClearDurianMode_FW
0xffc178b8,ClearEventFlag
0xffc3876c,ClearFactoryMode_FW
0xffdee5c0,ClearISIComponent_FW
0xffdee5e4,ClearISZData_FW
0xffc13b88,Close
0xffc09f74,close
0xffc13b88,Close_FW
0xffc0c96c,CloseConsole_FW
0xffdd9790,closedir
0xffdede04,CloseMechaShutterWithTiming_FW
0xffcad840,COMFACHK_GetTransferTime_FW
0xffcad8a0,COMFACHK_SetSendDataSize_FW
0xffcad7a0,COMFACHK_StartSendData_FW
0xffcad7dc,COMFACHK_StartSendLargeData_FW
0xffcad6b0,COMFACHK_StartService_FW
0xffcad700,COMFACHK_StopService_FW
0xffc0c6d0,CPrintf_FW
0xffc0c72c,CPutChar_FW
0xffc398b4,CreateAdjustmentTableMirror_FW
0xffc0b608,CreateBinarySemaphore
0xffc0bc34,CreateBinarySemaphoreStrictly
0xffc60fd0,CreateController_FW
0xffc0b670,CreateCountingSemaphore
0xffc0b670,CreateCountingSemaphore_FW
0xffc0bc58,CreateCountingSemaphoreStrictly
0xffc175e0,CreateEventFlag
0xffc0bc10,CreateEventFlagStrictly
0xffcde660,CreateFADBGSingalID_FW
0xffe45314,CreateJumptable
0xffd2c878,CreateLanguageMenu_FW
0xffc179f4,CreateMessageQueue
0xffc0bbec,CreateMessageQueueStrictly
0xffc5a8f8,CreateProxyOfEventProcedure_FW
0xffc17d7c,CreateRecursiveLock
0xffc0bc7c,CreateRecursiveLockStrictly
0xffc0b8e0,CreateTask
0xffc0b8e0,CreateTask_FW
0xffc0bbb8,CreateTaskStrictly
0xffc0bdb8,DebugAssert
0xffc6108c,DeleteController_FW
0xffc13518,DeleteDirectory_Fut
0xffc17638,DeleteEventFlag
0xffc13434,DeleteFile_Fut
0xffd2c434,DeleteLanguageMenu_FW
0xffc17a78,DeleteMessageQueue
0xffc5a950,DeleteProxyOfEventProcedure_FW
0xffc17dcc,DeleteRecursiveLock
0xffc0b6c8,DeleteSemaphore
0xffc0b6c8,DeleteSemaphore_FW
0xffd98790,DevelopTool.DevelopTest_FW
0xffcde3d4,DeviceUniqueIDCheckSum_FW
0xffce134c,DisableDebugLogMode_FW
0xffded630,DisableFocusLens_FW
0xffded6b0,DisableFocusLensGainLock_FW
0xffded6dc,DisableFocusLensWaveLock_FW
0xffdedc90,DisableFocusPiCircuit_FW
0xffdedb40,DisableIris_FW
0xffde36d0,DisableIrisActuator_FW
0xffdedc70,DisableMechaCircuit_FW
0xffdedcd8,DisableZoomEncoderCircuit_FW
0xffdedeac,DisableZoomLensEncoderPowerControl_FW
0xffdedcb4,DisableZoomPiCircuit_FW
0xffc316a0,DispCon_GetLcdGainAdjParameter_FW
0xffc314e8,DispCon_GetVideoAdjParameter_FW
0xffc31714,DispCon_SaveLcdGainAdjParameter_FW
0xffc31548,DispCon_SaveVideoAdjParameter_FW
0xffc313c8,DispCon_SetDisplayType_FW
0xffc315c0,DispCon_SetLcdGainAdjParameter_FW
0xffc31408,DispCon_SetMaxBackLightBrightness_FW
0xffc31488,DispCon_SetVideoAdjParameter_FW
0xffc31304,DispCon_ShowBitmapColorBar
0xffc31304,DispCon_ShowBitmapColorBar_FW
0xffc312e8,DispCon_ShowBlackChart_FW
0xffc31174,DispCon_ShowColorBar_FW
0xffc31364,DispCon_ShowCustomColorBar_FW
0xffc311d0,DispCon_ShowFiveStep_FW
0xffc316f0,DispCon_ShowLcdGainAdjParameter_FW
0xffc31530,DispCon_ShowVideoAdjParameter_FW
0xffc312b0,DispCon_ShowWhiteChart_FW
0xffc313f8,DispCon_TurnOffDisplay_FW
0xffc313e8,DispCon_TurnOnDisplay_FW
0xffd16cc4,DispDev.Create_FW
0xffd150b0,DispDev_EnableEventProc_FW
0xffc383d0,DisplayFactoryMode_FW
0xffc16054,DoAELock
0xffc15b04,DoAFLock
0xffd151a0,Driver.Create_FW
0xffd151a0,Driver_EnableEventProc_FW
0xffc04e1c,drysh_FW
0xffd153e4,Dump32_FW
0xffd153d4,Dump_FW
0xffc3976c,DumpAdjMirror_FW
0xffdc1330,DumpTransparentMemoryItem_FW
0xffca0e38,E2LatOn_FW
0xffd9ee3c,EF.AdjPreFlash_FW
0xffc9e3f0,EF.IsChargeFull_FW
0xffd9ee80,EF.SetChargeMode_FW
0xffd9ed4c,EF.SetEFChargeTimeOut_FW
0xffd9ee94,EF.SetFlashTime_FW
0xffd9ee24,EF.SetMainFlashTime_FW
0xffd9ecec,EF.StartEFCharge_FW
0xffd9ed9c,EF.StartInternalMainFlash_FW
