0xffc04b10,_GetSystemTime
0xffeaf100,_log
0xffeaf7a8,_log10
0xffeafc98,_pow
0xffeb3fe4,_sqrt
0xffe7595c,AbortAEIntegralValue_FW
0xffc12260,AcquireRecursiveLock
0xffe746c8,ActivateAdjLog_FW
0xffcb33b4,ActivateImager_FW
0xffd331f0,ActivateImageSystem_FW
0xffe72aec,AddAdjDataToFRom_FW
0xffd5502c,AddItemToDialogBox_FW
0xffe812c0,AddTransparentMemory_FW
0xffe7da8c,AfAEWithAperturePriority_FW
0xffe7dc3c,AfAEWithCompensation_FW
0xffc1c9d8,AFAssistBeam_FW
0xffd33ae8,AFDistanceChanged_FW
0xffd33a8c,AFFrameMoved_FW
0xffc0a718,AllocateMemory
0xffc0a718,AllocateMemory_FW
0xffc048d8,AllocateUncacheableMemory
0xffd340ac,AllSettingReseted_FW
0xffc98f9c,apex2us
0xffe81308,AttachToTransparentMemory_FW
0xffc1b840,Bat_Calc_FW
0xffe7f20c,Bat_Save_FW
0xffe7f1f8,Bat_VIN_FW
0xffc1a334,BatVoltageToAd_FW
0xffc1d40c,BeepDrive_FW
0xffc1d420,BeepDriveComp_FW
0xffc1d434,BeepTest_FW
0xffe79084,CalcLog10_FW
0xffc1b840,CalculateBatSenseOffset_FW
0xffe7902c,CalculateLog2ToApex_FW
0xffe7c150,CalculatePeakPositionByLeastSquare_FW
0xffe79060,CalculatePow2FromApex_FW
0xffe7d9e0,CancelAdj_AEMode_FW
0xffe77ab4,CancelAdjCdsMode_FW
0xffe6ede4,CancelFocusLensMaxSpeedLimit_FW
0xffc059d4,CancelHPTimer
0xffcb36d4,CancelImager_FW
0xffc04d78,CancelTimer
0xffc8dcb4,Capture.Create_FW
0xffc8dd48,Capture.Delete_FW
0xffd337a4,CaptureModeChange_FW
0xffcb1070,CdsDrv.Create_FW
0xffcb10a8,CdsDrv.Delete_FW
0xffcb0e58,CdsDrv.GetCdsGainForAdjustment_FW
0xffcb0ec0,CdsDrv.GetCdsOBForAdjustment_FW
0xffcb0ef4,CdsDrv.ReloadCdsTable_FW
0xffcb0dec,CdsDrv.SetCdsAdjustmentMode_FW
0xffcb0f04,CdsDrv.SetCdsCalibration_FW
0xffcb0e0c,CdsDrv.SetCdsGainApexForAdjustment_FW
0xffcb0e1c,CdsDrv.SetCdsGainForAdjustment_FW
0xffcb0dfc,CdsDrv.SetCdsNormalMode_FW
0xffcb0e88,CdsDrv.SetCdsOBForAdjustment_FW
0xffcb3790,ChangeImagerToAlternateDraft_FW
0xffcb37c0,ChangeImagerToFocusJet_FW
0xffcb37a0,ChangeImagerToJetDraft_FW
0xffcb37d0,ChangeImagerToJumboDraft_FW
0xffcb3780,ChangeImagerToNarrowDraft_FW
0xffcb37e0,ChangeImagerToOITA_XAVIER_FW
0xffcb37b0,ChangeImagerToPetitNarrow_FW
0xffcb3800,ChangeImagerToQVGA15Fps_FW
0xffcb37f0,ChangeImagerToQVGA20Fps_FW
0xffcb3830,ChangeImagerToSmearCorrectAlternate_FW
0xffcb3820,ChangeImagerToSmearCorrectSuper_FW
0xffcb3810,ChangeImagerToSmearCorrectWide_FW
0xffcb3760,ChangeImagerToSuperWideDraft_FW
0xffcb3734,ChangeImagerToWholeParallel_FW
0xffcb3750,ChangeImagerToWholeParallelHalf_FW
0xffcb3704,ChangeImagerToWholeSerial_FW
0xffcb371c,ChangeImagerToWholeSerialLineDef_FW
0xffcb3770,ChangeImagerToWideDraft_FW
0xffd33674,ChangeZoomSpeed_FW
0xffe7d24c,ChargeStrobe_FW
0xffc0f640,CheckAllEventFlag
0xffc0f630,CheckAnyEventFlag
0xffe6eff0,CheckFocusLensAfAging_FW
0xffc0a314,CheckSumAll_FW
0xffc0fa40,ClearEventFlag
0xffe7188c,ClearFactoryMode_FW
0xffe6ef50,ClearFocusLensBacklashSpeedToMax_FW
0xffe66b64,ClearMechaShutterCount_FW
0xffe5f988,ClearPM3ByFs_FW
0xffe5f978,ClearPM3ByGpio_FW
0xffc5ce8c,Close
0xffec2b80,close
0xffc5ce8c,Close_FW
0xffc0b5f4,CloseConsole_FW
0xffebeb20,closedir
0xffe66a44,CloseMechaShutterEvent_FW
0xffe78564,CloseMShutter_FW
0xffd33f74,ColorModeChanged_FW
0xffe840c0,CompletePrepareTestRec_FW
0xffd5644c,ControlEventHandler_FW
0xffe0aebc,ControlViewEvent_FW
0xffe79150,ConvertApexStdToApex_FW
0xffe7911c,ConvertApexToApexStd_FW
0xffe7978c,ConvertCxCyToWBGain_FW
0xffe7a320,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffe77bf4,ConvertTvToExposureTime_FW
0xffc0b328,CPrintf_FW
0xffc0b38c,CPutChar_FW
0xffe727fc,CreateAdjustmentTableMirror_FW
0xffc10840,CreateBinarySemaphore
0xffc12430,CreateBinarySemaphoreStrictly
0xffd42cdc,CreateController_FW
0xffc10928,CreateCountingSemaphore
0xffc10928,CreateCountingSemaphore_FW
0xffc1245c,CreateCountingSemaphoreStrictly
0xffd54bac,CreateDialogBox_FW
0xffd56244,CreateDialogItem_FW
0xffdf1bbc,CreateDpConnectController_FW
0xffc0f344,CreateEventFlag
0xffc12404,CreateEventFlagStrictly
0xffde9704,CreateLanguageMenu_FW
0xffc0fcc8,CreateMessageQueue
0xffc123d8,CreateMessageQueueStrictly
0xffc071a4,CreateProxyOfEventProcedure_FW
0xffc1206c,CreateRecursiveLock
0xffc12488,CreateRecursiveLockStrictly
0xffc11230,CreateTask
