0xff8330c8,_GetSystemTime
0x003fcce0,_log
0x003fd220,_log10
0x003fd398,_pow
0x003fefbc,_sqrt
0xff81a804,_uartr_req
0xff92d170,AbortAEIntegralValue_FW
0x003faef8,AcquireRecursiveLock
0x003f7c14,AcquireRecursiveLockStrictly
0xff92f1e4,ActivateAdjLog_FW
0xff8e3344,ActivateImager_FW
0xff8e33dc,ActivateImagerXOne_FW
0xffa172dc,add_ptp_handler
0xff969bb8,AdditionAgentRAM_FW
0xffa40adc,AddTransparentMemory_FW
0xffadd7fc,AdjAEWithAperturePriority_FW
0xffadd7a8,AfAEWithAperturePriority_FW
0xffadd9a4,AfAEWithCompensation_FW
0xffa095f4,AFTool.GetEVal_FW
0xffa71bf0,AllocateMemory
0xffa71bf0,AllocateMemory_FW
0xff832e2c,AllocateUncacheableMemory
0xff9d8dec,apex2us
0xff8966d8,atol_FW
0xff92df88,AttachIntegCrawData_FW
0xffa40b14,AttachToTransparentMemory_FW
0xffaca894,Bat_Calc_FW
0xffadedac,Bat_Save_FW
0xffaded98,Bat_VIN_FW
0xff855650,BeepDrive_FW
0xff855670,BeepDriveComp_FW
0xffad87e0,CalcLog10_FW
0xffad88d0,CalcSqrt_FW
0xffaca894,CalculateBatSenseOffset_FW
0xffadc81c,CalculateInterpolationByLS_FW
0xffad8780,CalculateLog2ToApex_FW
0xffad8748,CalculatePeakFromLeastSquareResult_FW
0xffadc7bc,CalculatePeakPosByLS_FW
0xffad8794,CalculatePow2FromApex_FW
0xff860434,CalculateTestRecYUVData_FW
0xffadd5d0,CancelAdj_AEMode_FW
0xffad703c,CancelAdjCdsMode_FW
0xffadb290,CancelBPFilterForBP_FW
0xffadcf20,CancelExStrobeMode_FW
0xffa6d73c,CancelFocusLensMaxSpeedLimit_FW
0xff879ee8,CancelHPTimer
0xff8e368c,CancelImageDrive_FW
0xff8e35b4,CancelImager_FW
0xff8332e4,CancelTimer
0xff95eed4,Capture.Create_FW
0xffad787c,CaptureWithParam_FW
0xffa40774,ChangeAdjImgDrvMode_FW
0xffa407a0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff9f8e40,ChangeCrossThresholdTable_FW
0xff9f9290,ChangeDefectRecParam_FW
0xffadeb6c,ChangeDistortionSetForLiveImage_FW
0xffa6d8a8,ChangeFocusDistanceToPosition_FW
0xff9f8c80,ChangeGradeTable_FW
0xffad78c4,ChangeImageDrive_FW
0xff8e3630,ChangeImagerToAlternateDraft_FW
0xff8e35f0,ChangeImagerToCombiParallel_FW
0xff8e3628,ChangeImagerToDigiconMode_FW
0xff8e3668,ChangeImagerToFantaJungle_FW
0xff8e3600,ChangeImagerToFocusJet_FW
0xff8e3658,ChangeImagerToHarleyDavidson_FW
0xff8e3618,ChangeImagerToHoneyFlash_FW
0xff8e3670,ChangeImagerToHoneyFlashDark_FW
0xff8e3660,ChangeImagerToMachDashV_FW
0xff8e3608,ChangeImagerToMangoPudding_FW
0xff8e3620,ChangeImagerToMillefeAdjust_FW
0xff8e3648,ChangeImagerToMontblancMillefe_FW
0xff8e3650,ChangeImagerToMontblancMovie_FW
0xff8e3640,ChangeImagerToMontblancWhole_FW
0xff8e3628,ChangeImagerToOITA_XAVIER_FW
0xff8e3678,ChangeImagerToRoadKing_FW
0xff8e3610,ChangeImagerToSuperWideDraft_FW
0xff8e3638,ChangeImagerToUltraGhostQ_FW
0xff8e35d8,ChangeImagerToWholeParallel_FW
0xff8e35e0,ChangeImagerToWholeParallelBP_FW
0xff8e35e8,ChangeImagerToWholeParallelBPOne_FW
0xff8e35f8,ChangeImagerToWideDraft_FW
0xffa6db54,ChangeIrisSpeed_FW
0xffa6e474,ChangeZoomLensMagnificationToPoint_FW
0xffa6e46c,ChangeZoomLensPointToMagnification_FW
0xffadcf5c,ChargeStrobe_FW
0xffadcf90,ChargeStrobeForFA_FW
0x003faa80,CheckAllEventFlag
0x003faa38,CheckAnyEventFlag
0xff82cf14,CheckBoardType_FW
0xff87d6b0,CheckSumAll_FW
0xff82eec8,ClearDUIDFixFlag_FW
0xff82ee48,ClearDurianMode_FW
0x003faca0,ClearEventFlag
0xff82eff4,ClearFactoryMasterFlag_FW
0xff82f00c,ClearFactoryMasterROMProtection_FW
0xff82ee48,ClearFactoryMode_FW
0xffaf45ac,ClearPMByFs_FW
0xffaf4584,ClearPMByGpio_FW
0xffad9aec,ClearZoomCommonDriveParam_FW
0xff9583dc,ClearZoomDriveParam_FW
0xff830074,Close
0xff8159e4,close
0xff830074,Close_FW
0xff81a294,CloseConsole_FW
0xffa53b20,closedir
0xffa6de34,CloseMechaShutter_FW
0xffa6de7c,CloseMechaShutterWithTiming_FW
0xffad7df4,CloseMShutter_FW
0xffa4070c,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa406c0,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffad8838,ConvertApexStdToApex_FW
0xffad8808,ConvertApexToApexStd_FW
0xffad8dcc,ConvertCxCyToWBGain_FW
0xffad9e74,ConvertToPositionWithDistance_FW
0xffad9e50,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffad7970,ConvertTvToExposureTime_FW
0xff819ff8,CPrintf_FW
0xff81a050,CPutChar_FW
0xff85b354,CreateAdjustmentTableMirror_FW
0x003f74c8,CreateBinarySemaphore
0x003f7acc,CreateBinarySemaphoreStrictly
0xff882074,CreateController_FW
0x003f7530,CreateCountingSemaphore
0x003f7530,CreateCountingSemaphore_FW
0x003f7af0,CreateCountingSemaphoreStrictly
0xff85b364,CreateDefectTableMirror_FW
0x003fa990,CreateEventFlag
0x003f7aa8,CreateEventFlagStrictly
0xff92eb28,CreateFADBGSingalID_FW
0xffae1168,CreateJumptable
0x003f7104,CreateMessageQueue
0x003f7a84,CreateMessageQueueStrictly
0xff87b14c,CreateProxyOfEventProcedure_FW
0x003fae58,CreateRecursiveLock
0x003f7b14,CreateRecursiveLockStrictly
0x003f6824,CreateTask
0x003f6824,CreateTask_FW
0x003f7a50,CreateTaskStrictly
0xff9f8c94,CrossDefDetect_FW
0xff8822f4,CtrlMan_ChangeZOrder_FW
0xff952e94,CzDebugPrint_FW
0xff952ea8,CzDebugPrintToFile_FW
0x003f6afc,DebugAssert
0xff882150,DeleteController_FW
0xff82fa74,DeleteDirectory_Fut
0x003fa9e8,DeleteEventFlag
0xff82fa00,DeleteFile_Fut,(stubs_entry_2.s)
0x003f7188,DeleteMessageQueue
0xff87b1a4,DeleteProxyOfEventProcedure_FW
0x003faea8,DeleteRecursiveLock
0x003f7588,DeleteSemaphore
0x003f7588,DeleteSemaphore_FW
0xffae0fc4,DevelopStillPicture_FW
0xff9f938c,DevelopTool.DevelopTest_FW
0xff92e7c4,DeviceUniqueIDCheckSum_FW
0xff8149c4,DisableClockSaver_FW
0xff931654,DisableDebugLogMode_FW
0xffa6d798,DisableFocusLens_FW
0xffa6d814,DisableFocusLensGainLock_FW
0xffa6d840,DisableFocusLensWaveLock_FW
0xffa6dd04,DisableFocusPiCircuit_FW
0xffa6dc64,DisableLensError_FW
0xffa6dce4,DisableMechaCircuit_FW
0xffa6dd4c,DisableZoomEncoderCircuit_FW
0xffa6e448,DisableZoomLensElectricControl_FW
0xffa6e108,DisableZoomLensEncoderPowerControl_FW
0xffa6e420,DisableZoomLensSpeedControl_FW
0xffa6dd28,DisableZoomPiCircuit_FW
0xff852890,DispCon_GetLcdGainAdjParameter_FW
0xff8526c8,DispCon_GetVideoAdjParameter_FW
0xff8528dc,DispCon_SaveLcdGainAdjParameter_FW
0xff852750,DispCon_SaveVideoAdjParameter_FW
0xff85222c,DispCon_SetDisplayType_FW
0xff8527cc,DispCon_SetLcdGainAdjParameter_FW
0xff8525dc,DispCon_SetMaxBackLightBrightness_FW
0xff85265c,DispCon_SetVideoAdjParameter_FW
0xff85217c,DispCon_ShowBitmapColorBar
0xff85217c,DispCon_ShowBitmapColorBar_FW
0xff852160,DispCon_ShowBlackChart_FW
0xff851ff0,DispCon_ShowColorBar_FW
0xff85224c,DispCon_ShowColorChart_FW
0xff8521d8,DispCon_ShowCustomColorBar_FW
0xff852048,DispCon_ShowFiveStep_FW
0xff8528cc,DispCon_ShowLcdGainAdjParameter_FW
0xff85242c,DispCon_ShowNStepsChart_FW
0xff852724,DispCon_ShowVideoAdjParameter_FW
0xff852128,DispCon_ShowWhiteChart_FW
0xff852270,DispCon_ShowWhiteLine_FW
0xff8525cc,DispCon_TurnOffBackLight_FW
0xff8525ac,DispCon_TurnOffDisplay_FW
0xff8525bc,DispCon_TurnOnBackLight_FW
0xff85259c,DispCon_TurnOnDisplay_FW
0xff95e79c,DispDev.Create_FW
0xff95c1bc,DispDev_EnableEventProc_FW
0xff82ea34,DisplayFactoryMode_FW
0xff831cf8,DoAELock
0xff831a04,DoAFLock
0xff95c320,Driver.Create_FW
0xff95c320,Driver_EnableEventProc_FW
0xff814300,drysh_FW
0xff95c77c,Dump32_FW
0xff95c76c,Dump_FW
0xff85aa7c,DumpAdjMirror_FW
0xffa40a9c,DumpTransparentMemoryItem_FW
0xff8e3100,E2LatOn_FW
0xffa05e90,EF.AdjPreFlash_FW
0xff8c9a9c,EF.IsChargeFull_FW
0xffa05ecc,EF.SetChargeMode_FW
0xffa05dac,EF.SetEFChargeTimeOut_FW
0xffa05ee0,EF.SetFlashTime_FW
0xffa05e78,EF.SetMainFlashTime_FW
0xffa05d50,EF.StartEFCharge_FW
0xffa05df4,EF.StartInternalMainFlash_FW
0xffa05dc0,EF.StartInternalPreFlash_FW
0xffa05d9c,EF.StopEFCharge_FW
0xff931640,EnableDebugLogMode_FW
0xffa6d74c,EnableFocusLens_FW
0xffa6d7e8,EnableFocusLensGainLockWithVoltage_FW
0xffa6d824,EnableFocusLensWaveLock_FW
0xffa6dcf4,EnableFocusPiCircuit_FW
0xff81490c,EnableHClockHold_FW
0x003f681c,EnableInterrupt
0xffa6dc5c,EnableLensError_FW
0xffa6dcd4,EnableMechaCircuit_FW
0xffa6dd3c,EnableZoomEncoderCircuit_FW
0xffa6e434,EnableZoomLensElectricControl_FW
0xffa6e0f8,EnableZoomLensEncoderPowerControl_FW
0xffa6e40c,EnableZoomLensSpeedControl_FW
0xffa6dd18,EnableZoomPiCircuit_FW
0xff90cd48,EngApp.Create_FW
0xff95ef60,EngApp.CreatePub_FW
0xff90ccf4,EngApp.Delete_FW
0xff82e810,EngDrvBits
0xffa3622c,EngDrvBits_FW
0xff82e7f4,EngDrvIn
0xffa3621c,EngDrvIn_FW
0xff82e7dc,EngDrvOut
0xffa36200,EngDrvOut_FW
0xff82e7fc,EngDrvRead
0xffa36224,EngDrvRead_FW
0xffa36250,EngDrvReadDump_FW
0xff95ef18,EngineDriver.Create_FW
