0xff8279ac,_GetSystemTime
0xffacd640,_log
0xffacc2cc,_log10
0xffacc43c,_pow
0xffacf1e4,_sqrt
0xff81c350,_uartr_req
0xff8fadf8,AbortAEIntegralValue_FW
0xff869e50,AcquireRecursiveLock
0xff827608,AcquireRecursiveLockStrictly
0xff8fc968,ActivateAdjLog_FW
0xff9e94b0,ActivateImager_FW
0xff9e953c,ActivateImagerXOne_FW
0xff9f4f54,add_ptp_handler
0xff93c670,AdditionAgentRAM_FW
0xffa0ee30,AddTransparentMemory_FW
0xffa9b7ec,AdjAEWithAperturePriority_FW
0xffa9b7a8,AfAEWithAperturePriority_FW
0xffa9b998,AfAEWithCompensation_FW
0xff9e51e4,AFTool.GetEVal_FW
0xffa485c4,AllocateMemory
0xffa485c4,AllocateMemory_FW
0xff827700,AllocateUncacheableMemory
0xff9ba774,apex2us
0xff88b5fc,atol_FW
0xff8fb994,AttachIntegCrawData_FW
0xffa0ee68,AttachToTransparentMemory_FW
0xff845a44,Bat_Calc_FW
0xffa9cd60,Bat_Save_FW
0xffa9cd4c,Bat_VIN_FW
0xff846060,BeepDrive_FW
0xff846080,BeepDriveComp_FW
0xffa973ec,CalcLog10_FW
0xffa9ee58,CalcLoopGain_FW
0xffa974dc,CalcSqrt_FW
0xff845a44,CalculateBatSenseOffset_FW
0xffa9738c,CalculateLog2ToApex_FW
0xffa97350,CalculatePeakFromLeastSquareResult_FW
0xffa973a0,CalculatePow2FromApex_FW
0xff84f800,CalculateTestRecYUVData_FW
0xffa9b5c4,CancelAdj_AEMode_FW
0xffa964a4,CancelAdjCdsMode_FW
0xffa999cc,CancelBPFilterForBP_FW
0xffa9af20,CancelExStrobeMode_FW
0xffa463d4,CancelFocusLensMaxSpeedLimit_FW
0xff86d648,CancelHPTimer
0xff9e9694,CancelImager_FW
0xff85ce2c,CancelLoopGainCalc_FW
0xff827bc8,CancelTimer
0xff9324bc,Capture.Create_FW
0xffa0e878,ChangeAdjImgDrvMode_FW
0xffa0e8a4,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff8fea34,ChangeDefectRecExpGain_FW
0xff8fea08,ChangeDefectRecExpTv_FW
0xff8fead0,ChangeDefectRecMontblancSize_FW
0xff8fe9f0,ChangeDefectRecParameter_FW
0xff8fea9c,ChangeDefectRecPeakHoldSetting_FW
0xffa9cb20,ChangeDistortionSetForLiveImage_FW
0xffa9eae8,ChangeFilterMode_FW
