0x004767bc,RegisterInterruptHandler
0x004767e0,UnregisterInterruptHandler
0x004767f8,GetSRAndDisableInterrupt
0x004767fc,SetSR
0x0047681c,EnableInterrupt
0x00476824,CreateTask
0x00476824,CreateTask_FW
0x00476ab4,ExitTask
0x00476ab4,ExitTask_FW
0x00476afc,DebugAssert
0x00477104,CreateMessageQueue
0x00477188,DeleteMessageQueue
0x00477218,ReceiveMessageQueue
0x004772e0,TryReceiveMessageQueue
0x00477364,PostMessageQueue
0x0047741c,TryPostMessageQueue
0x0047745c,GetNumberOfPostedMessages
0x004774c8,CreateBinarySemaphore
0x00477530,CreateCountingSemaphore
0x00477530,CreateCountingSemaphore_FW
0x00477588,DeleteSemaphore
0x00477588,DeleteSemaphore_FW
0x004775e0,TryTakeSemaphore
0x00477634,TakeSemaphore
0x00477634,TakeSemaphore_FW
0x00477704,GiveSemaphore
0x00477704,GiveSemaphore_FW
0x0047773c,GetSemaphoreValue
0x004779b0,SleepTask
0x004779b0,SleepTask_FW
0x00477a50,CreateTaskStrictly
0x00477a84,CreateMessageQueueStrictly
0x00477aa8,CreateEventFlagStrictly
0x00477acc,CreateBinarySemaphoreStrictly
0x00477af0,CreateCountingSemaphoreStrictly
0x00477b14,CreateRecursiveLockStrictly
0x00477b38,TakeSemaphoreStrictly
0x00477b64,ReceiveMessageQueueStrictly
0x00477b90,PostMessageQueueStrictly
0x00477bbc,WaitForAnyEventFlagStrictly
0x00477be8,WaitForAllEventFlagStrictly
0x00477c14,AcquireRecursiveLockStrictly
0x0047a990,CreateEventFlag
0x0047a9e8,DeleteEventFlag
0x0047aa38,CheckAnyEventFlag
0x0047aa80,CheckAllEventFlag
0x0047aac8,WaitForAnyEventFlag
0x0047abac,WaitForAllEventFlag
0x0047ac6c,SetEventFlag
0x0047aca0,ClearEventFlag
0x0047acd8,GetEventFlagValue
0x0047ae58,CreateRecursiveLock
0x0047aea8,DeleteRecursiveLock
0x0047aef8,AcquireRecursiveLock
0x0047b018,ReleaseRecursiveLock
0x0047b1b8,LocalTime
0x0047b794,time
0x0047b844,GetTimeOfSystem_FW
0x0047cce0,_log
0x0047d220,_log10
0x0047d398,_pow
0x0047f0e4,_sqrt
0xff000df4,memShow_FW
0xff002d64,strncpy
0xff002da0,strncmp
0xff002dec,strchr
0xff002e10,strrchr
0xff002e38,strlen
0xff002e38,strlen_FW
0xff002f20,malloc
0xff002f78,free
0xff004300,drysh_FW
0xff00437c,err_init_task
0xff0044d8,task_ClockSave
0xff00509c,GetMemInfo
0xff005904,open
0xff0059b4,close
0xff005b58,Read
0xff005b58,read
0xff005b58,Read_FW
0xff009db8,RotateConsoleZOder_FW
0xff009fc8,CPrintf_FW
0xff00a020,CPutChar_FW
0xff00a048,GetCh_FW
0xff00a098,GetStringWithPrompt_FW
0xff00a138,OpenConsole_FW
0xff00a264,CloseConsole_FW
0xff00a638,task_Startup
0xff00a694,task_Booting
0xff00a818,_uartr_req
0xff00a8a8,task_UartLog
0xff00aa4c,StartRedirectUART_FW
0xff00ab60,StopRedirectUART_FW
0xff00acc0,sprintf_FW
0xff00ad04,vsprintf
0xff00ae54,strcpy
0xff00ae54,strcpy_FW
0xff00ae6c,memcmp
0xff00ae6c,memcmp_FW
0xff00af68,j_strcmp_FW
0xff00af68,strcmp
0xff00af90,strcmp_FW
0xff01bf28,task_BatteryTask
0xff01c408,GetVBatVoltage_FW
0xff01c408,VbattGet
0xff01c408,VbattGet_FW
