0xff828aac,_GetSystemTime
0xffb06908,_log
0xffb05594,_log10
0xffb05704,_pow
0xffb08564,_sqrt
0xff81c2a0,_uartr_req
0xffacdc70,AbortAEIntegralValue_FW
0xff86f788,AcquireRecursiveLock
0xff828708,AcquireRecursiveLockStrictly
0xff90d1ec,ActivateAdjLog_FW
0xffa0ad84,ActivateImager_FW
0xffa0ae10,ActivateImagerXOne_FW
0xffa15960,add_ptp_handler
0xff952ba4,AdditionAgentRAM_FW
0xffa31890,AddTransparentMemory_FW
0xffad4448,AdjAEWithAperturePriority_FW
0xffad4404,AfAEWithAperturePriority_FW
0xffad45f4,AfAEWithCompensation_FW
0xffa09b70,AFTool.GetEVal_FW
0xffa6887c,AllocateMemory
0xffa6887c,AllocateMemory_FW
0xff828800,AllocateUncacheableMemory
0xff9dc34c,apex2us
0xff89914c,atol_FW
0xfface744,AttachIntegCrawData_FW
0xffa318c8,AttachToTransparentMemory_FW
0xff8497c4,Bat_Calc_FW
0xffad59cc,Bat_Save_FW
0xffad59b8,Bat_VIN_FW
0xff849de0,BeepDrive_FW
0xffad0058,CalcLog10_FW
0xffad7790,CalcLoopGain_FW
0xffad0148,CalcSqrt_FW
0xff8497c4,CalculateBatSenseOffset_FW
0xffacfff8,CalculateLog2ToApex_FW
0xffacffbc,CalculatePeakFromLeastSquareResult_FW
0xffad000c,CalculatePow2FromApex_FW
0xffad4220,CancelAdj_AEMode_FW
0xffacef14,CancelAdjCdsMode_FW
0xffad2638,CancelBPFilterForBP_FW
0xffad3b7c,CancelExStrobeMode_FW
0xffa64ef0,CancelFocusLensMaxSpeedLimit_FW
0xff873020,CancelHPTimer
0xffa0af68,CancelImager_FW
0xffad777c,CancelLoopGainCalc_FW
0xff828cc8,CancelTimer
0xff9469f0,Capture.Create_FW
0xffacecb4,ChangeAdjImgDrvMode_FW
0xffacece0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff90f1f0,ChangeDefectRecExpGain_FW
0xff90f1c4,ChangeDefectRecExpTv_FW
0xff90f258,ChangeDefectRecPeakHoldSetting_FW
0xffad578c,ChangeDistortionSetForLiveImage_FW
0xffad75c4,ChangeFilterMode_FW
0xffa650a4,ChangeFocusDistanceToPosition_FW
0xff9fcf28,ChangeGradeTable_FW
0xffa0b028,ChangeImagerToAlternateDraft_FW
0xffa0b020,ChangeImagerToDigiconMode_FW
0xffa0b048,ChangeImagerToFastBP_FW
0xffa0afe8,ChangeImagerToFocusJet_FW
0xffa0b010,ChangeImagerToHoneyFlash_FW
0xffa0b000,ChangeImagerToJetDraft_FW
0xffa0b008,ChangeImagerToJumboDraft_FW
0xffa0aff0,ChangeImagerToMangoPudding_FW
0xffa0b018,ChangeImagerToMillefeAdjust_FW
0xffa0b040,ChangeImagerToMontblancMillefe_FW
0xffa0b038,ChangeImagerToMontblancWhole_FW
0xffa0b020,ChangeImagerToOITA_XAVIER_FW
0xffa0aff8,ChangeImagerToSuperWideDraft_FW
0xffa0b030,ChangeImagerToUltraGhostQ_FW
0xffa0af8c,ChangeImagerToWholeParallel_FW
0xffa0afa8,ChangeImagerToWholeParallelBP_FW
0xffa0afc4,ChangeImagerToWholeParallelBPOne_FW
0xffa0afe0,ChangeImagerToWideDraft_FW
0xffa65fb8,ChangeParallelMode_FW
0xff860f10,ChangeToISCloseControl_FW
0xffad3bb8,ChargeStrobe_FW
0xffad3bec,ChargeStrobeForFA_FW
0xff86f30c,CheckAllEventFlag
0xff86f2c4,CheckAnyEventFlag
0xff876724,CheckSumAll_FW
0xff822fbc,ClearDUIDFixFlag_FW
0xff86f52c,ClearEventFlag
0xff822f64,ClearFactoryMode_FW
0xff8611a0,ClearISCalcZData_FW
0xffa6602c,ClearISIComponent_FW
0xffa66050,ClearISZData_FW
0xffad10b4,ClearZoomCommonDriveParam_FW
0xffa5f134,ClearZoomDriveParam_FW
0xff824088,Close
0xff819864,close
0xff824088,Close_FW
0xff81bd88,CloseConsole_FW
0xffa4a274,closedir
0xffa65728,CloseMechaShutterWithTiming_FW
0xffacf65c,CloseMShutter_FW
0xffacec50,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffacec04,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffad00b0,ConvertApexStdToApex_FW
0xffad0080,ConvertApexToApexStd_FW
0xffad064c,ConvertCxCyToWBGain_FW
0xffad1428,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffacf038,ConvertTvToExposureTime_FW
0xff81bae4,CPrintf_FW
0xff81bb40,CPutChar_FW
0xff84f7e0,CreateAdjustmentTableMirror_FW
0xff827fe0,CreateBinarySemaphore
0xff8285c0,CreateBinarySemaphoreStrictly
0xff87c548,CreateController_FW
0xff828048,CreateCountingSemaphore
0xff828048,CreateCountingSemaphore_FW
0xff8285e4,CreateCountingSemaphoreStrictly
0xff86f21c,CreateEventFlag
0xff82859c,CreateEventFlagStrictly
0xff90cb2c,CreateFADBGSingalID_FW
0xffad78a4,CreateJumptable
0xff961f64,CreateLanguageMenu_FW
0xff827c1c,CreateMessageQueue
0xff828578,CreateMessageQueueStrictly
0xff874528,CreateProxyOfEventProcedure_FW
0xff86f6e8,CreateRecursiveLock
0xff828608,CreateRecursiveLockStrictly
0xff81aef4,CreateTask
0xff81aef4,CreateTask_FW
