0xff051dec,_avsLoadAdjTableData_FW
0xff0522cc,_avsSaveAdjTableData_FW
0xff051dcc,_avsShowAdjTableData_FW
0xff02aec8,_GetSystemTime
0xff45fc28,_log
0xff460168,_log10
0xff4602e0,_pow
0xff462240,_sqrt
0xff154e6c,_srRegDump_FW
0xff00fef8,_uartr_req
0xff18fe2c,AbortAEIntegralValue_FW
0xff0877bc,AcquireRecursiveLock
0xff02a8a4,AcquireRecursiveLockStrictly
0xff191dec,ActivateAdjLog_FW
0xff127540,ActivateImager_FW
0xff1275cc,ActivateImagerXOne_FW
0xff3726f0,ActivateISMD_FW
0xff2eb4f0,add_ptp_handler
0xff1db7c0,AdditionAgentRAM_FW
0xff32e514,AddTransparentMemory_FW
0xff406aac,AdjAEWithAperturePriority_FW
0xff406a58,AfAEWithAperturePriority_FW
0xff406c54,AfAEWithCompensation_FW
0xff2d6400,AFTool.GetEVal_FW
0xff37459c,AllocateMemory
0xff37459c,AllocateMemory_FW
0xff02ac2c,AllocateUncacheableMemory
0xff2a1304,apex2us
0xff0b494c,atol_FW
0xff190c20,AttachIntegCrawData_FW
0xff32e54c,AttachToTransparentMemory_FW
0xff052198,AVS_ErrCheck_FW
0xff0520f4,AVS_Execute_FW
0xff052018,AVS_Initialize_FW
0xff052214,AVS_SetVoltage_FW
0xff155034,AVS_Terminate_FW
0xff3e4484,Bat_Calc_FW
0xff4080bc,Bat_Save_FW
0xff4080a8,Bat_VIN_FW
0xff054f1c,BeepDrive_FW
0xff054f3c,BeepDriveComp_FW
0xff053058,CalcAccelerometerAtanAngle_FW
0xff401c8c,CalcLog10_FW
0xff40c1b4,CalcLoopGain_FW
0xff401d7c,CalcSqrt_FW
0xff3e4484,CalculateBatSenseOffset_FW
0xff405bec,CalculateInterpolationByLS_FW
0xff401c2c,CalculateLog2ToApex_FW
0xff401bf4,CalculatePeakFromLeastSquareResult_FW
0xff405b8c,CalculatePeakPosByLS_FW
0xff401c40,CalculatePow2FromApex_FW
0xff32e198,CalculateProtractorATanData_FW
0xff0664a0,CalculateTestRecYUVData_FW
0xff406880,CancelAdj_AEMode_FW
0xff3fff30,CancelAdjCdsMode_FW
0xff4046d0,CancelBPFilterForBP_FW
0xff4061c4,CancelExStrobeMode_FW
0xff37095c,CancelFocusLensMaxSpeedLimit_FW
0xff08b0a8,CancelHPTimer
0xff12784c,CancelImageDrive_FW
0xff12776c,CancelImager_FW
0xff077180,CancelLoopGainCalc_FW
0xff02b0e4,CancelTimer
0xff0c2f28,Capture.CotiRegular_FW
0xff1ce40c,Capture.Create_FW
0xff400af8,CaptureWithParam_FW
0xff15c578,CecRegDump_FW
0xff32e0b0,ChangeAdjImgDrvMode_FW
