0xff000dd4,memShow_FW
0xff004050,strncpy
0xff00408c,strncmp
0xff0040d8,strchr
0xff0040fc,strrchr
0xff004124,strlen
0xff004124,strlen_FW
0xff00420c,malloc
0xff004264,free
0xff005fb0,drysh_FW
0xff00602c,err_init_task
0xff00617c,task_ClockSave
0xff00a2b8,GetMemInfo
0xff00ab20,open
0xff00abd0,close
0xff00ad74,Read
0xff00ad74,read
0xff00ad74,Read_FW
0xff00ea88,RegisterInterruptHandler
0xff00eaac,UnregisterInterruptHandler
0xff00eac4,GetSRAndDisableInterrupt
0xff00eac8,SetSR
0xff00eae8,EnableInterrupt
0xff00eaf0,CreateTask
0xff00eaf0,CreateTask_FW
0xff00ed80,ExitTask
0xff00ed80,ExitTask_FW
0xff00edc8,DebugAssert
0xff00f4b4,RotateConsoleZOder_FW
0xff00f6c4,CPrintf_FW
0xff00f71c,CPutChar_FW
0xff00f744,GetCh_FW
0xff00f794,GetStringWithPrompt_FW
0xff00f834,OpenConsole_FW
0xff00f960,CloseConsole_FW
0xff00fd34,task_Startup
0xff00fef8,_uartr_req
0xff00ff88,task_UartLog
0xff01012c,StartRedirectUART_FW
0xff010240,StopRedirectUART_FW
0xff01093c,sprintf_FW
0xff010980,vsprintf
0xff0109c0,strcpy
0xff0109c0,strcpy_FW
0xff0109d8,j_strcmp_FW
0xff0109d8,strcmp
0xff010a00,strcmp_FW
0xff010a1c,memcmp
0xff010a1c,memcmp_FW
0xff021c88,task_BatteryTask
0xff022338,GetVBatVoltage_FW
0xff022338,VbattGet
0xff022338,VbattGet_FW
0xff023474,kbd_p2_f
0xff0237d8,task_PhySw
0xff023b90,GetSwitchStatus_FW
0xff023bfc,GetSDDetect_FW
0xff023c04,GetSDProtect
0xff023c04,GetSDProtect_FW
0xff023c28,GetDialEventId_FW
0xff023c2c,GetLcdPosition_FW
0xff023c30,GetBatteryCoverClose_FW
0xff023c38,IsHvSensorExist_FW
0xff023c40,GetPopupOpen_FW
0xff023c48,SetPopup_FW
