0xff810dc8,memShow_FW
0xff81402c,strncpy
0xff814068,strncmp
0xff8140b4,strchr
0xff8140d8,strrchr
0xff814100,strlen
0xff814100,strlen_FW
0xff8141e8,malloc
0xff814244,free
0xff815f58,drysh_FW
0xff815fd4,err_init_task
0xff816124,task_ClockSave
0xff81a264,GetMemInfo
0xff81aadc,open
0xff81ab8c,close
0xff81ad74,Read
0xff81ad74,read
0xff81ad74,Read_FW
0xff81e838,RegisterInterruptHandler
0xff81e85c,UnregisterInterruptHandler
0xff81e874,GetSRAndDisableInterrupt
0xff81e878,SetSR
0xff81e898,EnableInterrupt
0xff81e8a0,CreateTask
0xff81e8a0,CreateTask_FW
0xff81eb30,ExitTask
0xff81eb30,ExitTask_FW
0xff81eb78,DebugAssert
0xff81f280,RotateConsoleZOder_FW
0xff81f490,CPrintf_FW
0xff81f4ec,CPutChar_FW
0xff81f518,GetCh_FW
0xff81f568,GetStringWithPrompt_FW
0xff81f5c8,OpenConsole_FW
0xff81f734,CloseConsole_FW
0xff81faf0,task_Startup
0xff81fccc,_uartr_req
0xff81fd5c,task_UartLog
0xff81feb0,StartRedirectUART_FW
0xff820674,sprintf_FW
0xff8206b8,vsprintf
0xff8206f4,strcpy
0xff8206f4,strcpy_FW
0xff82070c,j_strcmp_FW
0xff82070c,strcmp
0xff820734,strcmp_FW
0xff820750,memcmp
0xff820750,memcmp_FW
0xff832c1c,task_BatteryTask
0xff833308,GetVBatVoltage_FW
0xff833308,VbattGet
0xff833308,VbattGet_FW
0xff834424,kbd_p2_f
0xff834754,task_PhySw
0xff834ae0,GetSwitchStatus_FW
0xff834b4c,GetSDDetect_FW
0xff834b54,GetSDProtect
0xff834b54,GetSDProtect_FW
0xff834b70,GetDialEventId_FW
0xff834b74,GetLcdPosition_FW
0xff834b7c,GetBatteryCoverClose_FW
0xff834b84,IsHvSensorExist_FW
0xff834b8c,kbd_read_keys
0xff834c04,kbd_p1_f
0xff834c10,kbd_p1_f_cont
0xff835a3c,EngDrvOut
0xff835a54,EngDrvIn
0xff835a5c,EngDrvRead
0xff835a70,EngDrvBits
0xff836b68,DisplayFactoryMode_FW
0xff836b74,UndisplayFactoryMode_FW
0xff836f44,SetDurianMode_FW
0xff836f7c,ClearDurianMode_FW
0xff836f7c,ClearFactoryMode_FW
0xff836fb4,SetFactoryMode_FW
0xff836fec,ClearDUIDFixFlag_FW
0xff837024,SetDUIDFixFlag_FW
0xff837060,IsFactoryMode_FW
0xff8370a0,IsDUIDFixFlag_FW
0xff8370e8,IsNormalCameraMode_FW
0xff837100,StartFactoryModeController_FW
0xff837944,RenameFile_Fut
0xff8379d8,DeleteFile_Fut
0xff837a4c,MakeDirectory_Fut
0xff837abc,DeleteDirectory_Fut
0xff837b14,Fopen_Fut
0xff837b14,Fopen_Fut_FW
0xff837b54,Fclose_Fut
0xff837b54,Fclose_Fut_FW
0xff837c00,Fread_Fut
0xff837c00,Fread_Fut_FW
0xff837c54,Fwrite_Fut
0xff837c54,Fwrite_Fut_FW
0xff837ca8,Fgets_Fut
0xff837cf4,Fseek_Fut
0xff837cf4,Fseek_Fut_FW
0xff837d40,Feof_Fut
0xff837d7c,Fflush_Fut
0xff837ff4,Open
0xff837ff4,Open_FW
0xff838060,Close
0xff838060,Close_FW
0xff8380ec,j_Read_FW
0xff8380f0,Write
0xff8380f0,write
0xff8380f0,Write_FW
0xff83817c,Lseek
0xff83817c,lseek
0xff83817c,Lseek_FW
0xff83819c,OpenForScrip_FW
0xff8381c4,stat
0xff8382fc,SetFileTimeStamp
0xff838358,SetFileAttributes
0xff8384fc,mkdir
0xff838550,j_StartCameraLog_FW
0xff838554,j_ShowCameraLog_FW
0xff838558,j_ShowCameraLogInfo_FW
0xff83855c,j_StopCameraLog_FW
0xff838560,j_PutsCameraLogEvent_FW
0xff838564,OpLog.Create_FW
0xff8385c8,j_NewTaskShell_FW
0xff8385cc,j_ExMem.View_FW
0xff8385d0,j_ExMem.AllocUncacheable_FW
0xff8385d4,j_ExMem.FreeUncacheable_FW
0xff8385d8,j_ExMem.AllocCacheable_FW
0xff8385dc,j_ExMem.FreeCacheable_FW
0xff8385e0,ExMem_FW
0xff8393d0,PT_GetDigitalZoomPosition_FW
0xff839670,DoAFLock
0xff8396a8,UnlockAF
0xff839770,EnterToCompensationEVF
0xff8397b4,ExitFromCompensationEVF
0xff839868,DoAELock
0xff83988c,UnlockAE
0xff83ad0c,CreateMessageQueue
0xff83ad90,DeleteMessageQueue
0xff83ae20,ReceiveMessageQueue
0xff83aee8,TryReceiveMessageQueue
0xff83af6c,PostMessageQueue
0xff83b024,TryPostMessageQueue
0xff83b064,GetNumberOfPostedMessages
0xff83b0d0,CreateBinarySemaphore
0xff83b138,CreateCountingSemaphore
0xff83b138,CreateCountingSemaphore_FW
0xff83b190,DeleteSemaphore
0xff83b190,DeleteSemaphore_FW
0xff83b1e8,TryTakeSemaphore
0xff83b23c,TakeSemaphore
0xff83b23c,TakeSemaphore_FW
