0xffc2a0e8,_GetSystemTime
0xffea425c,_log
0xffea31a0,_log10
0xffea3310,_pow
0xffea55c4,_sqrt
0xffc0fbe8,_uartr_req
0xffcf3fac,AbortAEIntegralValue_FW
0xffc68eb0,AcquireRecursiveLock
0xffc29d44,AcquireRecursiveLockStrictly
0xffcf5de8,ActivateAdjLog_FW
0xffcb632c,ActivateImager_FW
0xffcb63b8,ActivateImagerXOne_FW
0xffdd75dc,add_ptp_handler
0xffd27944,AdditionAgentRAM_FW
0xffdf3130,AddTransparentMemory_FW
0xffe77784,AdjAEWithAperturePriority_FW
0xffe77740,AfAEWithAperturePriority_FW
0xffe77930,AfAEWithCompensation_FW
0xffdc5570,AFTool.GetEVal_FW
0xffe1bd20,AllocateMemory
0xffe1bd20,AllocateMemory_FW
0xffc29e3c,AllocateUncacheableMemory
0xffd8f408,apex2us
0xffc8416c,atol_FW
0xffcf4cf8,AttachIntegCrawData_FW
0xffdf3168,AttachToTransparentMemory_FW
0xffe6eb4c,Bat_Calc_FW
0xffe78d0c,Bat_Save_FW
0xffe78cf8,Bat_VIN_FW
0xffc46d5c,BeepDrive_FW
0xffc46d7c,BeepDriveComp_FW
0xffe732ac,CalcLog10_FW
0xffe7bc5c,CalcLoopGain_FW
0xffe7339c,CalcSqrt_FW
0xffe6eb4c,CalculateBatSenseOffset_FW
0xffe7324c,CalculateLog2ToApex_FW
0xffe73210,CalculatePeakFromLeastSquareResult_FW
0xffe73260,CalculatePow2FromApex_FW
0xffc4fe38,CalculateTestRecYUVData_FW
0xffe7755c,CancelAdj_AEMode_FW
0xffe7206c,CancelAdjCdsMode_FW
0xffe759a8,CancelBPFilterForBP_FW
0xffe76eb8,CancelExStrobeMode_FW
0xffe187f0,CancelFocusLensMaxSpeedLimit_FW
0xffc6c588,CancelHPTimer
0xffcb6614,CancelImageDrive_FW
0xffcb6534,CancelImager_FW
0xffc5cb8c,CancelLoopGainCalc_FW
0xffc2a304,CancelTimer
0xffd1e3e8,Capture.Create_FW
0xffe722fc,CaptureWithParam_FW
0xffdf2b60,ChangeAdjImgDrvMode_FW
0xffdf2b8c,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffdaa2fc,ChangeCrossThresholdTable_FW
0xffdaa59c,ChangeDefectRecParam_FW
0xffe78acc,ChangeDistortionSetForLiveImage_FW
0xffe7b8b8,ChangeFilterMode_FW
0xffe189b8,ChangeFocusDistanceToPosition_FW
0xffdaa1d0,ChangeGradeTable_FW
0xffe72310,ChangeImageDrive_FW
0xffcb65c0,ChangeImagerToAlternateDraft_FW
0xffcb6570,ChangeImagerToCombiParallel_FW
0xffcb65b8,ChangeImagerToDigiconMode_FW
0xffcb65e0,ChangeImagerToFastBP_FW
0xffcb6580,ChangeImagerToFocusJet_FW
0xffcb65f8,ChangeImagerToFocusJetHD_FW
0xffcb65e8,ChangeImagerToHarleyDavidson_FW
0xffcb65a8,ChangeImagerToHoneyFlash_FW
0xffcb6608,ChangeImagerToHoneyFlashHD_FW
0xffcb6598,ChangeImagerToJetDraft_FW
0xffcb65a0,ChangeImagerToJumboDraft_FW
0xffcb6588,ChangeImagerToMangoPudding_FW
0xffcb6600,ChangeImagerToMangoPuddingHD_FW
0xffcb65b0,ChangeImagerToMillefeAdjust_FW
0xffcb65d8,ChangeImagerToMontblancMillefe_FW
0xffcb65d0,ChangeImagerToMontblancWhole_FW
0xffcb65b8,ChangeImagerToOITA_XAVIER_FW
0xffcb6590,ChangeImagerToSuperWideDraft_FW
0xffcb65c8,ChangeImagerToUltraGhostQ_FW
0xffcb6558,ChangeImagerToWholeParallel_FW
0xffcb6560,ChangeImagerToWholeParallelBP_FW
