0xffc00dc8,memShow_FW
0xffc03f5c,strncpy
0xffc03f98,strncmp
0xffc03fe4,strchr
0xffc04008,strrchr
0xffc04030,strlen
0xffc04030,strlen_FW
0xffc04100,malloc
0xffc0415c,free
0xffc05ed0,drysh_FW
0xffc05f4c,err_init_task
0xffc0609c,task_ClockSave
0xffc0a16c,GetMemInfo
0xffc0a9e4,open
0xffc0aa94,close
0xffc0ac7c,Read
0xffc0ac7c,read
0xffc0ac7c,Read_FW
0xffc0e7d4,RegisterInterruptHandler
0xffc0e7f8,UnregisterInterruptHandler
0xffc0e810,GetSRAndDisableInterrupt
0xffc0e814,SetSR
0xffc0e834,EnableInterrupt
0xffc0e83c,CreateTask
0xffc0e83c,CreateTask_FW
0xffc0eacc,ExitTask
0xffc0eacc,ExitTask_FW
0xffc0eb14,DebugAssert
0xffc0f21c,RotateConsoleZOder_FW
0xffc0f42c,CPrintf_FW
0xffc0f488,CPutChar_FW
0xffc0f4b4,GetCh_FW
0xffc0f504,GetStringWithPrompt_FW
0xffc0f564,OpenConsole_FW
0xffc0f6d0,CloseConsole_FW
0xffc0fa8c,task_Startup
0xffc0fbe8,_uartr_req
0xffc0fc78,task_UartLog
0xffc0fdcc,StartRedirectUART_FW
0xffc10590,sprintf_FW
0xffc105d4,vsprintf
0xffc10610,strcpy
0xffc10610,strcpy_FW
0xffc10628,j_strcmp_FW
0xffc10628,strcmp
0xffc10650,strcmp_FW
0xffc1066c,memcmp
0xffc1066c,memcmp_FW
0xffc10768,srand
0xffc10774,rand
0xffc22a18,task_BatteryTask
0xffc22f14,GetVBatVoltage_FW
0xffc22f14,VbattGet
0xffc22f14,VbattGet_FW
0xffc23ea4,kbd_p2_f
0xffc241d4,task_PhySw
0xffc244d4,GetSwitchStatus_FW
0xffc24540,GetSDDetect_FW
0xffc24548,GetSDProtect
0xffc24548,GetSDProtect_FW
0xffc24564,GetDialEventId_FW
0xffc24568,GetBatteryCoverClose_FW
0xffc24570,IsHvSensorExist_FW
