0x0068a7bc,RegisterInterruptHandler
0x0068a7e0,UnregisterInterruptHandler
0x0068a7f8,GetSRAndDisableInterrupt
0x0068a7fc,SetSR
0x0068a81c,EnableInterrupt
0x0068a824,CreateBinarySemaphore
0x0068a88c,CreateCountingSemaphore
0x0068a88c,CreateCountingSemaphore_FW
0x0068a8e4,DeleteSemaphore
0x0068a8e4,DeleteSemaphore_FW
0x0068a93c,TryTakeSemaphore
0x0068a990,TakeSemaphore
0x0068a990,TakeSemaphore_FW
0x0068aa60,GiveSemaphore
0x0068aa60,GiveSemaphore_FW
0x0068aa98,GetSemaphoreValue
0x0068ab00,CreateTask
0x0068ab00,CreateTask_FW
0x0068ad90,ExitTask
0x0068ad90,ExitTask_FW
0x0068add8,CreateTaskStrictly
0x0068ae0c,CreateMessageQueueStrictly
0x0068ae30,CreateEventFlagStrictly
0x0068ae54,CreateBinarySemaphoreStrictly
0x0068ae78,CreateCountingSemaphoreStrictly
0x0068ae9c,CreateRecursiveLockStrictly
0x0068aec0,TakeSemaphoreStrictly
0x0068aeec,ReceiveMessageQueueStrictly
0x0068af18,PostMessageQueueStrictly
0x0068af44,WaitForAnyEventFlagStrictly
0x0068af70,WaitForAllEventFlagStrictly
0x0068af9c,AcquireRecursiveLockStrictly
0x0068afd8,DebugAssert
0x0068b678,CreateEventFlag
0x0068b6d0,DeleteEventFlag
0x0068b720,CheckAnyEventFlag
0x0068b768,CheckAllEventFlag
0x0068b7b0,WaitForAnyEventFlag
0x0068b894,WaitForAllEventFlag
0x0068b954,SetEventFlag
0x0068b988,ClearEventFlag
0x0068b9c0,GetEventFlagValue
0x0068bad0,CreateMessageQueue
0x0068bb54,DeleteMessageQueue
0x0068bbe4,ReceiveMessageQueue
0x0068bcac,TryReceiveMessageQueue
0x0068bd30,PostMessageQueue
0x0068bde8,TryPostMessageQueue
0x0068be28,GetNumberOfPostedMessages
0x0068be94,CreateRecursiveLock
0x0068bee4,DeleteRecursiveLock
0x0068bf34,AcquireRecursiveLock
0x0068c054,ReleaseRecursiveLock
0x0068c2e8,SleepTask
0x0068c2e8,SleepTask_FW
0x0068f2f4,LocalTime
0x0068f8d0,time
0x0068f980,GetTimeOfSystem_FW
0x00690ce0,_log
0x00691220,_log10
0x00691398,_pow
0x00693038,_sqrt
0xff000dfc,memShow_FW
0xff002d60,strncpy
0xff002d9c,strncmp
0xff002de8,strchr
0xff002e0c,strrchr
0xff002e34,strlen
0xff002e34,strlen_FW
0xff002f1c,malloc
0xff002f74,free
0xff0042fc,drysh_FW
0xff004378,err_init_task
0xff0044c8,task_ClockSave
0xff0052d0,GetMemInfo
0xff005b38,open
0xff005be8,close
0xff005d8c,Read
0xff005d8c,read
0xff005d8c,Read_FW
0xff00a8b0,RotateConsoleZOder_FW
0xff00aac0,CPrintf_FW
0xff00ab18,CPutChar_FW
0xff00ab40,GetCh_FW
0xff00ab90,GetStringWithPrompt_FW
0xff00ac30,OpenConsole_FW
0xff00ad5c,CloseConsole_FW
0xff00b130,task_Startup
0xff00b2ec,_uartr_req
0xff00b37c,task_UartLog
0xff00b520,StartRedirectUART_FW
0xff00b634,StopRedirectUART_FW
0xff00b794,sprintf_FW
0xff00b7d8,vsprintf
0xff00b928,strcpy
0xff00b928,strcpy_FW
0xff00b940,memcmp
0xff00b940,memcmp_FW
0xff00ba3c,j_strcmp_FW
0xff00ba3c,strcmp
0xff00ba64,strcmp_FW
0xff01c9fc,task_BatteryTask
0xff01d094,GetVBatVoltage_FW
0xff01d094,VbattGet
0xff01d094,VbattGet_FW
0xff01e0a0,kbd_p2_f
0xff01e404,task_PhySw
0xff01e798,GetSwitchStatus_FW
0xff01e804,GetSDDetect_FW
0xff01e80c,GetSDProtect
0xff01e80c,GetSDProtect_FW
0xff01e830,GetDialEventId_FW
0xff01e834,GetLcdPosition_FW
0xff01e83c,GetBatteryCoverClose_FW
0xff01e844,IsHvSensorExist_FW
0xff01e84c,kbd_read_keys
0xff01e89c,kbd_p1_f
0xff01e8a8,kbd_p1_f_cont
0xff01f6b8,EngDrvOut
0xff01f6d0,EngDrvIn
0xff01f6d8,EngDrvRead
0xff01f6ec,EngDrvBits
0xff01f910,DisplayFactoryMode_FW
0xff01f91c,UndisplayFactoryMode_FW
0xff01fce4,SetDurianMode_FW
0xff01fd24,ClearDurianMode_FW
0xff01fd24,ClearFactoryMode_FW
0xff01fd64,SetFactoryMode_FW
0xff01fda4,ClearDUIDFixFlag_FW
0xff01fddc,SetDUIDFixFlag_FW
0xff01fed0,ClearFactoryMasterFlag_FW
0xff01fedc,SetFactoryMasterFlag_FW
0xff01fee8,ClearFactoryMasterROMProtection_FW
0xff01ff0c,SetFactoryMasterROMProtection_FW
0xff01ff30,IsFactoryMode_FW
0xff01ff98,IsDUIDFixFlag_FW
0xff01ffe0,IsNormalCameraMode_FW
0xff01fff8,StartFactoryModeController_FW
0xff020848,RenameFile_Fut
0xff0208dc,DeleteFile_Fut,(stubs_entry_2.s)
0xff020950,DeleteDirectory_Fut
0xff0209a8,Fopen_Fut
0xff0209a8,Fopen_Fut_FW
0xff0209e8,Fclose_Fut
0xff0209e8,Fclose_Fut_FW
0xff020a94,Fread_Fut
0xff020a94,Fread_Fut_FW
0xff020ae8,Fwrite_Fut
0xff020ae8,Fwrite_Fut_FW
0xff020b3c,Fgets_Fut
0xff020b88,Fseek_Fut
0xff020b88,Fseek_Fut_FW
0xff020bd4,Feof_Fut
0xff020c10,Fflush_Fut
0xff020e88,Open
0xff020e88,Open_FW
0xff020f50,Close
0xff020f50,Close_FW
0xff020fa4,Write
0xff020fa4,write
0xff020fa4,Write_FW
0xff021030,j_Open_FW
0xff021034,j_Close_FW
0xff021168,j_Read_FW
0xff02116c,j_Write_FW
0xff0211cc,Lseek
0xff0211cc,lseek
0xff0211cc,Lseek_FW
0xff0211ec,OpenForScrip_FW
0xff021214,stat
0xff021370,SetFileTimeStamp
0xff0213e8,SetFileAttributes
0xff021480,mkdir
0xff02174c,j_StartCameraLog_FW
0xff021750,j_ShowCameraLog_FW
0xff021754,j_ShowCameraLogInfo_FW
0xff021758,j_StopCameraLog_FW
0xff02175c,j_PutsCameraLogEvent_FW
0xff021760,OpLog.Create_FW
0xff0217dc,j_NewTaskShell_FW
0xff0217e0,j_ExMem.View_FW
0xff0217e4,j_ExMem.AllocUncacheable_FW
0xff0217e8,j_ExMem.FreeUncacheable_FW
0xff0217ec,j_ExMem.AllocCacheable_FW
0xff0217f0,j_ExMem.FreeCacheable_FW
0xff0217f4,ExMem_FW
0xff022754,PT_GetDigitalZoomPosition_FW
0xff0229e8,DoAFLock
0xff022a20,UnlockAF
0xff022c4c,EnterToCompensationEVF
0xff022c90,ExitFromCompensationEVF
0xff022ce4,DoAELock
0xff022d08,UnlockAE
0xff02463c,AllocateUncacheableMemory
0xff02467c,FreeUncacheableMemory
0xff0248d8,_GetSystemTime
0xff024a10,SetTimerAfter
0xff024a90,SetTimerWhen
0xff024af4,CancelTimer
0xff025be4,TurnOffE1_FW
0xff025c98,task_Bye
0xff025e54,Restart
0xff026300,HardwareDefectWithRestart_FW
0xff026354,HardwareDefect_FW
0xff0268c4,task_StartupImage
0xff0274d4,strtolx
0xff0276d0,strtol
0xff0276e4,memcpy
0xff0276e4,memcpy_FW
0xff02e398,ExpCtrlTool_StartContiAE
0xff02e4e8,ExpCtrlTool_StopContiAE
0xff0303c4,task_WBCtrl
0xff032ec0,task_FrameTask
0xff035820,task_AFTask
0xff03641c,GetMacroSupportZoomPoint_FW
0xff037504,ReloadAFAdjustment_FW
0xff03cd38,LiveImageTool.GetDzoomPosition_FW
0xff03d5a0,GetVRAMHPixelsSize
0xff03d5a0,GetVRAMHPixelsSize_FW
0xff03d5ac,GetVRAMVPixelsSize
0xff03d5ac,GetVRAMVPixelsSize_FW
0xff03d5b8,GetMovieJpegVRAMHPixelsSize_FW
0xff03d5c4,GetMovieJpegVRAMVPixelsSize_FW
0xff03d690,StopContinuousVRAMData_FW
0xff044628,DispCon_ShowColorBar_FW
0xff0446b4,DispCon_ShowFiveStep_FW
0xff044804,DispCon_ShowWhiteChart_FW
0xff044858,DispCon_ShowBlackChart_FW
0xff044874,DispCon_ShowBitmapColorBar
0xff044874,DispCon_ShowBitmapColorBar_FW
0xff0448e4,DispCon_ShowCustomColorBar_FW
0xff044950,DispCon_SetDisplayType_FW
0xff044970,DispCon_ShowColorChart_FW
0xff044994,DispCon_ShowWhiteLine_FW
0xff044b50,DispCon_ShowNStepsChart_FW
0xff044ccc,DispCon_TurnOnDisplay_FW
0xff044ccc,TurnOnDisplay
0xff044cdc,DispCon_TurnOffDisplay_FW
0xff044cdc,TurnOffDisplay
0xff044cec,DispCon_TurnOnBackLight_FW
0xff044cfc,DispCon_TurnOffBackLight_FW
0xff044d0c,DispCon_SetMaxBackLightBrightness_FW
0xff044d8c,DispCon_SetVideoAdjParameter_FW
0xff044e04,DispCon_GetVideoAdjParameter_FW
0xff044e6c,DispCon_ShowVideoAdjParameter_FW
0xff044ea4,DispCon_SaveVideoAdjParameter_FW
0xff044f20,DispCon_SetLcdGainAdjParameter_FW
0xff044fe0,DispCon_GetLcdGainAdjParameter_FW
0xff04501c,DispCon_ShowLcdGainAdjParameter_FW
0xff04502c,DispCon_SaveLcdGainAdjParameter_FW
0xff045048,DispCon_ShowHdChart_FW
0xff046104,GetAdVBattBottom_FW
0xff04610c,GetAdChValue_FW
0xff046144,_avsShowAdjData_FW
0xff046338,_avsInit_FW
0xff046410,_avsExec_FW
0xff046480,task_AvsTask
0xff046660,CheckAvs_FW
0xff046754,_avsLoadParamData_FW
0xff046790,_avsSaveAdjData_FW
0xff0467d0,_avsChk_FW
0xff047e18,task_BeepTask
0xff048198,BeepDrive_FW
0xff0481b8,BeepDriveComp_FW
0xff0482e0,Dcdc_Bl_Pwr_Ctrl_FW
0xff04851c,Dcdc_Rtc_Set_Timer_Reg_FW
0xff0486d4,Dcdc_Set_Avs_Voltage_Step_FW
0xff048760,Dcdc_Get_Avs_Voltage_Step_FW
0xff0487cc,Dcdc_Down_Avs_Voltage_Step_FW
0xff048880,Dcdc_Up_Avs_Voltage_Step_FW
0xff048b00,task_HecMngTask
0xff048e30,ChangePowerState_FW
0xff048eb8,HdmiHpd5VOutput_FW
0xff0493d0,task_LEDCon
0xff049d58,kbd_read_keys_r2
0xff04a378,GetKbdState
0xff04b654,TurnOnVideoOutMode_FW
0xff04b68c,TurnOffVideoOutMode_FW
0xff04cdb8,task_ASIF
0xff04d710,task_Thermometer
0xff04d908,GetCCDTemperature
0xff04d908,GetCCDTemperature_FW
0xff04d97c,GetBatteryTemperature
0xff04d97c,GetBatteryTemperature_FW
0xff04d9f0,GetOpticalTemperature
0xff04d9f0,GetOpticalTemperature_FW
0xff04daa0,IsOpticalTemperature_FW
0xff04dad4,IsCCDTemperature_FW
0xff04db08,IsBatteryTemperature_FW
0xff04db58,j_GetOpticalTemperature_FW
