0xff83a460,_GetSystemTime
0xffb3ae74,_log
0xffb39db8,_log10
0xffb39f28,_pow
0xffb3c240,_sqrt
0xff81fbe8,_uartr_req
0xff92d40c,AbortAEIntegralValue_FW
0xff8841dc,AcquireRecursiveLock
0xff83a0bc,AcquireRecursiveLockStrictly
0xff92f240,ActivateAdjLog_FW
0xff8e87d4,ActivateImager_FW
0xff8e8860,ActivateImagerXOne_FW
0xffa33428,add_ptp_handler
0xff96886c,AdditionAgentRAM_FW
0xffa556b8,AddTransparentMemory_FW
0xffb00108,AdjAEWithAperturePriority_FW
0xffb000c4,AfAEWithAperturePriority_FW
0xffb002b4,AfAEWithCompensation_FW
0xffa25b30,AFTool.GetEVal_FW
0xffa92a6c,AllocateMemory
0xffa92a6c,AllocateMemory_FW
0xff83a1b4,AllocateUncacheableMemory
0xff9fc26c,apex2us
0xff8a5234,atol_FW
0xff92e14c,AttachIntegCrawData_FW
0xffa556f0,AttachToTransparentMemory_FW
0xffaf4a7c,Bat_Calc_FW
0xffb01730,Bat_Save_FW
0xffb0171c,Bat_VIN_FW
0xff85cf24,BeepDrive_FW
0xff85cf44,BeepDriveComp_FW
0xffafbc30,CalcLog10_FW
0xffb046b4,CalcLoopGain_FW
0xffafbd20,CalcSqrt_FW
0xffaf4a7c,CalculateBatSenseOffset_FW
0xffafbbd0,CalculateLog2ToApex_FW
0xffafbb94,CalculatePeakFromLeastSquareResult_FW
0xffafbbe4,CalculatePow2FromApex_FW
0xff868ffc,CalculateTestRecYUVData_FW
0xffaffee0,CancelAdj_AEMode_FW
0xffafa9e8,CancelAdjCdsMode_FW
0xffafe32c,CancelBPFilterForBP_FW
0xffaff83c,CancelExStrobeMode_FW
0xffa904bc,CancelFocusLensMaxSpeedLimit_FW
0xff887bd0,CancelHPTimer
0xff8e8abc,CancelImageDrive_FW
0xff8e89dc,CancelImager_FW
0xff877024,CancelLoopGainCalc_FW
0xff83a67c,CancelTimer
0xff95d028,Capture.Create_FW
0xffafac78,CaptureWithParam_FW
0xffa550e8,ChangeAdjImgDrvMode_FW
0xffa55114,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa17654,ChangeDefectRecParam_FW
0xffb014f0,ChangeDistortionSetForLiveImage_FW
0xffb0430c,ChangeFilterMode_FW
0xffa90684,ChangeFocusDistanceToPosition_FW
0xffa174d4,ChangeGradeTable_FW
0xffafac8c,ChangeImageDrive_FW
0xff8e8a68,ChangeImagerToAlternateDraft_FW
0xff8e8a18,ChangeImagerToCombiParallel_FW
0xff8e8a60,ChangeImagerToDigiconMode_FW
0xff8e8a88,ChangeImagerToFastBP_FW
0xff8e8a28,ChangeImagerToFocusJet_FW
0xff8e8aa0,ChangeImagerToFocusJetHD_FW
0xff8e8a90,ChangeImagerToHarleyDavidson_FW
0xff8e8a50,ChangeImagerToHoneyFlash_FW
0xff8e8ab0,ChangeImagerToHoneyFlashHD_FW
0xff8e8a40,ChangeImagerToJetDraft_FW
0xff8e8a48,ChangeImagerToJumboDraft_FW
0xff8e8a30,ChangeImagerToMangoPudding_FW
0xff8e8aa8,ChangeImagerToMangoPuddingHD_FW
0xff8e8a58,ChangeImagerToMillefeAdjust_FW
0xff8e8a80,ChangeImagerToMontblancMillefe_FW
0xff8e8a78,ChangeImagerToMontblancWhole_FW
0xff8e8a60,ChangeImagerToOITA_XAVIER_FW
0xff8e8a38,ChangeImagerToSuperWideDraft_FW
0xff8e8a70,ChangeImagerToUltraGhostQ_FW
0xff8e8a00,ChangeImagerToWholeParallel_FW
0xff8e8a08,ChangeImagerToWholeParallelBP_FW
0xff8e8a10,ChangeImagerToWholeParallelBPOne_FW
0xff8e8a20,ChangeImagerToWideDraft_FW
0xff8e8a98,ChangeImagerToWideDraftHD_FW
0xffa91418,ChangeParallelMode_FW
0xff876af8,ChangeToISCloseControl_FW
0xffaff878,ChargeStrobe_FW
0xffaff8ac,ChargeStrobeForFA_FW
0xff883d60,CheckAllEventFlag
0xff883d18,CheckAnyEventFlag
0xff88b0b8,CheckSumAll_FW
0xff835a30,ClearDUIDFixFlag_FW
0xff835948,ClearDurianMode_FW
0xff883f80,ClearEventFlag
0xff835948,ClearFactoryMode_FW
0xff876e04,ClearISCalcZData_FW
0xffa9148c,ClearISIComponent_FW
0xffa914b0,ClearISZData_FW
0xffafcddc,ClearZoomCommonDriveParam_FW
0xffa8754c,ClearZoomDriveParam_FW
0xff836b78,Close
0xff81aa94,close
0xff836b78,Close_FW
0xff81f6d0,CloseConsole_FW
0xffa74fb0,closedir
0xffa90b20,CloseMechaShutterWithTiming_FW
0xffafb240,CloseMShutter_FW
0xffa55080,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa55034,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffafbc88,ConvertApexStdToApex_FW
0xffafbc58,ConvertApexToApexStd_FW
0xffafc224,ConvertCxCyToWBGain_FW
0xffafd104,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffafadec,ConvertTvToExposureTime_FW
0xff81f42c,CPrintf_FW
0xff81f488,CPutChar_FW
0xff8648c8,CreateAdjustmentTableMirror_FW
0xff839994,CreateBinarySemaphore
0xff839f74,CreateBinarySemaphoreStrictly
0xff88fc94,CreateController_FW
0xff8399fc,CreateCountingSemaphore
0xff8399fc,CreateCountingSemaphore_FW
0xff839f98,CreateCountingSemaphoreStrictly
0xff883c70,CreateEventFlag
0xff839f50,CreateEventFlagStrictly
0xff92eb80,CreateFADBGSingalID_FW
0xffb0490c,CreateJumptable
0xff975c80,CreateLanguageMenu_FW
0xff8395d0,CreateMessageQueue
0xff839f2c,CreateMessageQueueStrictly
0xff888f2c,CreateProxyOfEventProcedure_FW
0xff88413c,CreateRecursiveLock
0xff839fbc,CreateRecursiveLockStrictly
0xff81e83c,CreateTask
0xff81e83c,CreateTask_FW
0xff839ef8,CreateTaskStrictly
0xff951384,CzDebugPrint_FW
0xff81eb14,DebugAssert
0xff88fd50,DeleteController_FW
0xff8365d4,DeleteDirectory_Fut
0xff883cc8,DeleteEventFlag
0xff8364f0,DeleteFile_Fut
0xff9757dc,DeleteLanguageMenu_FW
0xff839654,DeleteMessageQueue
0xff888f84,DeleteProxyOfEventProcedure_FW
0xff88418c,DeleteRecursiveLock
0xff839a54,DeleteSemaphore
0xff839a54,DeleteSemaphore_FW
0xffb03ed8,DevelopStillPicture_FW
0xffa19c38,DevelopTool.DevelopTest_FW
0xff92e8e8,DeviceUniqueIDCheckSum_FW
0xff951370,DisableCzDebugLog_FW
0xff9312f0,DisableDebugLogMode_FW
0xffa90518,DisableFocusLens_FW
0xffa90598,DisableFocusLensGainLock_FW
0xffa905c4,DisableFocusLensWaveLock_FW
0xffa909a8,DisableFocusPiCircuit_FW
0xffa91608,DisableISAutoGyroOffset_FW
0xffa915e8,DisableISDriveError_FW
0xffa90988,DisableMechaCircuit_FW
0xffa909f0,DisableZoomEncoderCircuit_FW
0xffa90c94,DisableZoomLensEncoderPowerControl_FW
0xffa909cc,DisableZoomPiCircuit_FW
0xff859e60,DispCon_GetLcdGainAdjParameter_FW
0xff859ca0,DispCon_GetVideoAdjParameter_FW
0xff859eac,DispCon_SaveLcdGainAdjParameter_FW
0xff859d28,DispCon_SaveVideoAdjParameter_FW
0xff8598c8,DispCon_SetDisplayType_FW
0xff859da4,DispCon_SetLcdGainAdjParameter_FW
0xff859bb0,DispCon_SetMaxBackLightBrightness_FW
0xff859c30,DispCon_SetVideoAdjParameter_FW
0xff8597e0,DispCon_ShowBitmapColorBar
0xff8597e0,DispCon_ShowBitmapColorBar_FW
0xff8597c4,DispCon_ShowBlackChart_FW
0xff8595b0,DispCon_ShowColorBar_FW
0xff8598e8,DispCon_ShowColorChart_FW
0xff859854,DispCon_ShowCustomColorBar_FW
0xff85963c,DispCon_ShowFiveStep_FW
0xff859ec8,DispCon_ShowHdChart_FW
0xff859e9c,DispCon_ShowLcdGainAdjParameter_FW
0xff859cfc,DispCon_ShowVideoAdjParameter_FW
0xff859770,DispCon_ShowWhiteChart_FW
0xff85990c,DispCon_ShowWhiteLine_FW
0xff859ba0,DispCon_TurnOffBackLight_FW
0xff859b80,DispCon_TurnOffDisplay_FW
0xff859b90,DispCon_TurnOnBackLight_FW
0xff859b70,DispCon_TurnOnDisplay_FW
0xff95cfb8,DispDev.Create_FW
0xff95ae88,DispDev_EnableEventProc_FW
0xff8356fc,DisplayFactoryMode_FW
0xff838280,DoAELock
0xff83809c,DoAFLock
0xff95af84,Driver.Create_FW
0xff95af84,Driver_EnableEventProc_FW
0xff815ed0,drysh_FW
0xff95b2f0,Dump32_FW
0xff95b2e0,Dump_FW
0xff8640cc,DumpAdjMirror_FW
0xffa55678,DumpTransparentMemoryItem_FW
0xff8e84e4,E2LatOn_FW
0xff85e5f8,EdidDump_FW
0xffa23870,EF.AdjPreFlash_FW
0xff8d0bc0,EF.IsChargeFull_FW
0xffa238b4,EF.SetChargeMode_FW
0xffa23780,EF.SetEFChargeTimeOut_FW
0xffa238c8,EF.SetFlashTime_FW
0xffa23858,EF.SetMainFlashTime_FW
0xffa23720,EF.StartEFCharge_FW
0xffa237d0,EF.StartInternalMainFlash_FW
0xffa23794,EF.StartInternalPreFlash_FW
0xffa23770,EF.StopEFCharge_FW
0xff951358,EnableCzDebugLog_FW
0xff9312dc,EnableDebugLogMode_FW
0xffa904cc,EnableFocusLens_FW
0xffa90564,EnableFocusLensGainLockWithVoltage_FW
0xffa905a8,EnableFocusLensWaveLock_FW
0xffa90998,EnableFocusPiCircuit_FW
0xff81e834,EnableInterrupt
0xffa915f8,EnableISAutoGyroOffset_FW
