0xff02c0a4,_GetSystemTime
0xff3a3308,_log
0xff3a3848,_log10
0xff3a39c0,_pow
0xff3a55e4,_sqrt
0xff00fef0,_uartr_req
0xff14c818,AbortAEIntegralValue_FW
0xff081f8c,AcquireRecursiveLock
0xff02bd10,AcquireRecursiveLockStrictly
0xff14e7cc,ActivateAdjLog_FW
0xff0f9ed4,ActivateImager_FW
0xff0f9f60,ActivateImagerXOne_FW
0xff2ed8a4,ActivateISMD_FW
0xff2783c4,add_ptp_handler
0xff195aa4,AdditionAgentRAM_FW
0xff2ab85c,AddTransparentMemory_FW
0xff364c54,AdjAEWithAperturePriority_FW
0xff364c00,AfAEWithAperturePriority_FW
0xff364dfc,AfAEWithCompensation_FW
0xff26a538,AFTool.GetEVal_FW
0xff2efd00,AllocateMemory
0xff2efd00,AllocateMemory_FW
0xff02be08,AllocateUncacheableMemory
0xff236100,apex2us
0xff0a859c,atol_FW
0xff14d600,AttachIntegCrawData_FW
0xff2ab894,AttachToTransparentMemory_FW
0xff354110,Bat_Calc_FW
0xff366264,Bat_Save_FW
0xff366250,Bat_VIN_FW
0xff0569c0,BeepDrive_FW
0xff0569e0,BeepDriveComp_FW
0xff35fe0c,CalcLog10_FW
0xff36a374,CalcLoopGain_FW
0xff35fefc,CalcSqrt_FW
0xff354110,CalculateBatSenseOffset_FW
0xff363da0,CalculateInterpolationByLS_FW
0xff35fdac,CalculateLog2ToApex_FW
0xff35fd74,CalculatePeakFromLeastSquareResult_FW
0xff363d40,CalculatePeakPosByLS_FW
0xff35fdc0,CalculatePow2FromApex_FW
0xff0632cc,CalculateTestRecYUVData_FW
0xff364a28,CancelAdj_AEMode_FW
0xff35e584,CancelAdjCdsMode_FW
0xff362884,CancelBPFilterForBP_FW
0xff364378,CancelExStrobeMode_FW
0xff2ebca4,CancelFocusLensMaxSpeedLimit_FW
0xff0859a4,CancelHPTimer
0xff0fa1e0,CancelImageDrive_FW
0xff0fa100,CancelImager_FW
0xff072dd8,CancelLoopGainCalc_FW
0xff02c2c0,CancelTimer
0xff0b5d74,Capture.CotiRegular_FW
0xff18a2dc,Capture.Create_FW
0xff35eeec,CaptureWithParam_FW
0xff129618,CecRegDump_FW
0xff2ab5dc,ChangeAdjImgDrvMode_FW
0xff2ab608,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff256eec,ChangeCrossThresholdTable_FW
0xff2571a8,ChangeDefectRecParam_FW
0xff366024,ChangeDistortionSetForLiveImage_FW
0xff369fd4,ChangeFilterMode_FW
0xff2ebe0c,ChangeFocusDistanceToPosition_FW
0xff256cfc,ChangeGradeTable_FW
0xff35ef00,ChangeImageDrive_FW
0xff0fa184,ChangeImagerToAlternateDraft_FW
0xff0fa13c,ChangeImagerToCombiParallel_FW
0xff0fa17c,ChangeImagerToDigiconMode_FW
0xff0fa1c4,ChangeImagerToFantaJungle_FW
0xff0fa1ac,ChangeImagerToFastBP_FW
0xff0fa14c,ChangeImagerToFocusJet_FW
0xff0fa1b4,ChangeImagerToHarleyDavidson_FW
0xff0fa16c,ChangeImagerToHoneyFlash_FW
0xff0fa1cc,ChangeImagerToHoneyFlashDark_FW
0xff0fa164,ChangeImagerToJetDraft_FW
0xff0fa1bc,ChangeImagerToMachDashV_FW
0xff0fa154,ChangeImagerToMangoPudding_FW
0xff0fa174,ChangeImagerToMillefeAdjust_FW
0xff0fa19c,ChangeImagerToMontblancMillefe_FW
0xff0fa1a4,ChangeImagerToMontblancMovie_FW
0xff0fa194,ChangeImagerToMontblancWhole_FW
0xff0fa17c,ChangeImagerToOITA_XAVIER_FW
0xff0fa1d4,ChangeImagerToRoadKing_FW
0xff0fa15c,ChangeImagerToSuperWideDraft_FW
0xff0fa18c,ChangeImagerToUltraGhostQ_FW
0xff0fa124,ChangeImagerToWholeParallel_FW
0xff0fa12c,ChangeImagerToWholeParallelBP_FW
0xff0fa134,ChangeImagerToWholeParallelBPOne_FW
0xff0fa144,ChangeImagerToWideDraft_FW
0xff2ec0b8,ChangeIrisSpeed_FW
0xff2ed06c,ChangeParallelMode_FW
0xff056f90,ChangePowerState_FW
0xff07282c,ChangeToISCloseControl_FW
0xff2ec9e0,ChangeZoomLensMagnificationToPoint_FW
0xff2ec9d8,ChangeZoomLensPointToMagnification_FW
0xff3643b4,ChargeStrobe_FW
0xff3643e8,ChargeStrobeForFA_FW
0xff081b14,CheckAllEventFlag
0xff081acc,CheckAnyEventFlag
0xff089170,CheckSumAll_FW
0xff026ce8,ClearDUIDFixFlag_FW
0xff026be4,ClearDurianMode_FW
0xff081d34,ClearEventFlag
0xff026e14,ClearFactoryMasterFlag_FW
0xff026e2c,ClearFactoryMasterROMProtection_FW
0xff026be4,ClearFactoryMode_FW
0xff072bb8,ClearISCalcZData_FW
0xff2ed0e0,ClearISIComponent_FW
0xff2ed104,ClearISZData_FW
0xff382a94,ClearPMByFs_FW
0xff382a6c,ClearPMByGpio_FW
0xff36112c,ClearZoomCommonDriveParam_FW
0xff181360,ClearZoomDriveParam_FW
0xff028024,Close
0xff00abc4,close
0xff028024,Close_FW
0xff00f954,CloseConsole_FW
0xff2c9814,closedir
0xff2ec3a4,CloseMechaShutter_FW
0xff2ec3ec,CloseMechaShutterWithTiming_FW
0xff35f420,CloseMShutter_FW
0xff2ed8bc,CommunicateMechaCPU_FW
0xff2ab574,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xff2ab528,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xff35fe64,ConvertApexStdToApex_FW
0xff35fe34,ConvertApexToApexStd_FW
0xff3603f8,ConvertCxCyToWBGain_FW
0xff3614b4,ConvertToPositionWithDistance_FW
0xff361490,ConvertToPositionWithDistanceAndZoomPoint_FW
0xff35ef9c,ConvertTvToExposureTime_FW
0xff00f6b8,CPrintf_FW
0xff00f710,CPutChar_FW
0xff05e70c,CreateAdjustmentTableMirror_FW
0xff02b5c4,CreateBinarySemaphore
0xff02bbc8,CreateBinarySemaphoreStrictly
0xff08e5c4,CreateController_FW
0xff02b62c,CreateCountingSemaphore
0xff02b62c,CreateCountingSemaphore_FW
0xff02bbec,CreateCountingSemaphoreStrictly
0xff05e71c,CreateDefectTableMirror_FW
0xff081a24,CreateEventFlag
0xff02bba4,CreateEventFlagStrictly
0xff14e110,CreateFADBGSingalID_FW
0xff368634,CreateJumptable
0xff02b200,CreateMessageQueue
0xff02bb80,CreateMessageQueueStrictly
0xff086c08,CreateProxyOfEventProcedure_FW
0xff081eec,CreateRecursiveLock
0xff02bc10,CreateRecursiveLockStrictly
0xff00eae4,CreateTask
0xff00eae4,CreateTask_FW
0xff02bb4c,CreateTaskStrictly
0xff256d10,CrossDefDetect_FW
0xff08e844,CtrlMan_ChangeZOrder_FW
0xff17a5f0,CzDebugPrint_FW
0xff17a5f8,CzDebugPrintToFile_FW
0xff023f1c,Dcdc_reg_access_FW
0xff00edbc,DebugAssert
0xff2ed6a8,DelaySet_FW
0xff08e6a0,DeleteController_FW
0xff027a20,DeleteDirectory_Fut
0xff081a7c,DeleteEventFlag
0xff02793c,DeleteFile_Fut
0xff02b284,DeleteMessageQueue
0xff086c60,DeleteProxyOfEventProcedure_FW
0xff081f3c,DeleteRecursiveLock
0xff02b684,DeleteSemaphore
0xff02b684,DeleteSemaphore_FW
