0xff000dcc,memShow_FW
0xff004044,strncpy
0xff004080,strncmp
0xff0040cc,strchr
0xff0040f0,strrchr
0xff004118,strlen
0xff004118,strlen_FW
0xff004200,malloc
0xff004258,free
0xff005fa4,drysh_FW
0xff006020,err_init_task
0xff006170,task_ClockSave
0xff00a2ac,GetMemInfo
0xff00ab14,open
0xff00abc4,close
0xff00ad68,Read
0xff00ad68,read
0xff00ad68,Read_FW
0xff00ea7c,RegisterInterruptHandler
0xff00eaa0,UnregisterInterruptHandler
0xff00eab8,GetSRAndDisableInterrupt
0xff00eabc,SetSR
0xff00eadc,EnableInterrupt
0xff00eae4,CreateTask
0xff00eae4,CreateTask_FW
0xff00ed74,ExitTask
0xff00ed74,ExitTask_FW
0xff00edbc,DebugAssert
0xff00f4a8,RotateConsoleZOder_FW
0xff00f6b8,CPrintf_FW
0xff00f710,CPutChar_FW
0xff00f738,GetCh_FW
0xff00f788,GetStringWithPrompt_FW
0xff00f828,OpenConsole_FW
0xff00f954,CloseConsole_FW
0xff00fd28,task_Startup
0xff00fef0,_uartr_req
0xff00ff80,task_UartLog
0xff010124,StartRedirectUART_FW
0xff010238,StopRedirectUART_FW
0xff010934,sprintf_FW
0xff010978,vsprintf
0xff0109b8,strcpy
0xff0109b8,strcpy_FW
0xff0109d0,j_strcmp_FW
0xff0109d0,strcmp
0xff0109f8,strcmp_FW
0xff010a14,memcmp
0xff010a14,memcmp_FW
0xff022a98,task_BatteryTask
0xff023148,GetVBatVoltage_FW
0xff023148,VbattGet
0xff023148,VbattGet_FW
0xff023a30,i2c_Bl_Pwr_Ctrl_FW
0xff023d48,i2c_Hdmi_Bus_Pwr_Ctrl_FW
0xff023e64,i2c_5V_Bus_Pwr_Ctrl_FW
0xff023e6c,i2c_Sd_Pwr_Ctrl_FW
0xff023f1c,Dcdc_reg_access_FW
0xff023f8c,i2c_dcdc_dump_FW
0xff024ce4,i2c_read_proc_FW
0xff024d64,i2c_write_proc_FW
0xff025044,kbd_p2_f
0xff0253a8,task_PhySw
0xff025760,GetSwitchStatus_FW
0xff0257cc,GetSDDetect_FW
0xff0257d4,GetSDProtect
0xff0257d4,GetSDProtect_FW
0xff0257f8,GetDialEventId_FW
0xff0257fc,GetLcdPosition_FW
0xff025804,GetBatteryCoverClose_FW
0xff02580c,IsHvSensorExist_FW
0xff025814,kbd_read_keys
0xff025864,kbd_p1_f
0xff025870,kbd_p1_f_cont
0xff026674,EngDrvOut
0xff02668c,EngDrvIn
0xff026694,EngDrvRead
0xff0266a8,EngDrvBits
0xff026974,DisplayFactoryMode_FW
0xff026980,UndisplayFactoryMode_FW
0xff026ba4,SetDurianMode_FW
0xff026be4,ClearDurianMode_FW
0xff026be4,ClearFactoryMode_FW
0xff026ca8,SetFactoryMode_FW
0xff026ce8,ClearDUIDFixFlag_FW
0xff026d20,SetDUIDFixFlag_FW
0xff026e14,ClearFactoryMasterFlag_FW
0xff026e20,SetFactoryMasterFlag_FW
0xff026e2c,ClearFactoryMasterROMProtection_FW
0xff026e50,SetFactoryMasterROMProtection_FW
0xff026e74,IsFactoryMode_FW
0xff026edc,IsDUIDFixFlag_FW
0xff026f24,IsNormalCameraMode_FW
0xff026f3c,StartFactoryModeController_FW
0xff0278a8,RenameFile_Fut
0xff02793c,DeleteFile_Fut
0xff0279b0,MakeDirectory_Fut
0xff027a20,DeleteDirectory_Fut
0xff027a78,Fopen_Fut
0xff027a78,Fopen_Fut_FW
0xff027ab8,Fclose_Fut
0xff027ab8,Fclose_Fut_FW
0xff027b64,Fread_Fut
0xff027b64,Fread_Fut_FW
0xff027bb8,Fwrite_Fut
0xff027bb8,Fwrite_Fut_FW
0xff027c0c,Fgets_Fut
0xff027c58,Fseek_Fut
0xff027c58,Fseek_Fut_FW
0xff027ca4,Feof_Fut
0xff027ce0,Fflush_Fut
0xff027f5c,Open
0xff027f5c,Open_FW
0xff028024,Close
0xff028024,Close_FW
0xff028078,Write
0xff028078,write
0xff028078,Write_FW
0xff0280cc,j_Open_FW
0xff0280d0,j_Close_FW
0xff0281d0,j_Read_FW
0xff0281d4,j_Write_FW
0xff028240,Lseek
0xff028240,lseek
0xff028240,Lseek_FW
0xff028260,OpenForScrip_FW
0xff028288,stat
0xff0283b0,SetFileTimeStamp
0xff028428,SetFileAttributes
0xff0284c0,mkdir
0xff0286c8,j_StartCameraLog_FW
0xff0286cc,j_ShowCameraLog_FW
0xff0286d0,j_ShowCameraLogInfo_FW
0xff0286d4,j_StopCameraLog_FW
0xff0286d8,j_PutsCameraLogEvent_FW
0xff0286dc,OpLog.Create_FW
0xff028758,j_NewTaskShell_FW
0xff02875c,j_ExMem.View_FW
0xff028760,j_ExMem.AllocUncacheable_FW
0xff028764,j_ExMem.FreeUncacheable_FW
0xff028768,j_ExMem.AllocCacheable_FW
0xff02876c,j_ExMem.FreeCacheable_FW
0xff028770,ExMem_FW
0xff029654,PT_GetDigitalZoomPosition_FW
0xff0298cc,DoAFLock
0xff029904,UnlockAF
0xff029b2c,EnterToCompensationEVF
0xff029b70,ExitFromCompensationEVF
0xff029bc4,DoAELock
0xff029be8,UnlockAE
0xff02b200,CreateMessageQueue
0xff02b284,DeleteMessageQueue
0xff02b314,ReceiveMessageQueue
0xff02b3dc,TryReceiveMessageQueue
0xff02b460,PostMessageQueue
0xff02b518,TryPostMessageQueue
0xff02b558,GetNumberOfPostedMessages
0xff02b5c4,CreateBinarySemaphore
0xff02b62c,CreateCountingSemaphore
0xff02b62c,CreateCountingSemaphore_FW
0xff02b684,DeleteSemaphore
0xff02b684,DeleteSemaphore_FW
0xff02b6dc,TryTakeSemaphore
0xff02b730,TakeSemaphore
0xff02b730,TakeSemaphore_FW
0xff02b800,GiveSemaphore
0xff02b800,GiveSemaphore_FW
0xff02b838,GetSemaphoreValue
0xff02baac,SleepTask
0xff02baac,SleepTask_FW
0xff02bb4c,CreateTaskStrictly
0xff02bb80,CreateMessageQueueStrictly
0xff02bba4,CreateEventFlagStrictly
0xff02bbc8,CreateBinarySemaphoreStrictly
