0xff815638,_GetSystemTime
0xffaae9b0,_log
0xffaaf058,_log10
0xffaaf548,_pow
0xffab3894,_sqrt
0xffa674a0,AbortAEIntegralValue_FW
0xff824b4c,AcquireRecursiveLock
0xffa665ec,ActivateAdjLog_FW
0xff8c4eec,ActivateImager_FW
0xff93d100,ActivateImageSystem_FW
0xffa650c0,AddAdjDataToFRom_FW
0xff95db40,AddItemToDialogBox_FW
0xffa79818,AddTransparentMemory_FW
0xffa71834,AdjustDraftWhiteBalance_FW
0xffa6f610,AdjustEvfCdsGain_FW
0xffa6f544,AdjustFrameCdsGain_FW
0xffa71860,AdjustFrameWhiteBalance_FW
0xffa6edb4,AdjustObClamp_FW
0xffa702a4,AdjustSaturationLevel_FW
0xffa718e4,AdjustStrobeWhiteBalance_FW
0xffa6d5c4,AfAEWithAperturePriority_FW
0xffa6d748,AfAEWithCompensation_FW
0xff93ddc8,AFDistanceChanged_FW
0xff93dd74,AFFrameMoved_FW
0xff8de644,AFTool.ContinuousScan_FW
0xff8df720,AFTool.Create_FW
0xff8de7e8,AFTool.DisableAFAjsutAPI_FW
0xff8de7c8,AFTool.EnableAFAdjsutAPI_FW
0xff8dee28,AFTool.EvfStandbyPos_FW
0xff8de918,AFTool.GetAdjData_FW
0xff8de740,AFTool.GetCurrentData_FW
0xff8dee60,AFTool.GotoAFLockPos_FW
0xff8deeb4,AFTool.GotoSafePos_FW
0xff8dee98,AFTool.GotoStandbyPos_FW
0xff8dee7c,AFTool.GotoStartUpPos_FW
0xff8dee44,AFTool.OvfStandbyPos_FW
0xff8de588,AFTool.PeriodicScan_FW
0xff8de308,AFTool.Print_FW
0xff8debfc,AFTool.PrintFinalCalcLog_FW
0xff8df050,AFTool.PrintPropCase_FW
0xff8de4a8,AFTool.Scan_FW
0xff8dea5c,AFTool.SetCcdDrive_FW
0xff8deb04,AFTool.SetFrameMode_FW
0xff8de81c,AFTool.StartAdjWithNotice_FW
0xff8de8a0,AFTool.StopAdjScan_FW
0xff81eb24,AllocateMemory
0xff81eb24,AllocateMemory_FW
0xffa77d60,AllocateWhiteDefectData_FW
0xff93e884,AllSettingResetd_FW
0xff896310,Angel.Dump_FW
0xff8962cc,Angel.Test_FW
0xffa70908,AperturePriorityAE_FW
0xff8a9f58,apex2us
0xffa79860,AttachToTransparentMemory_FW
0xffa51edc,AvoidZoomLensFromFocusLens_FW
0xff924d24,B_Chart_FW
0xff924d40,B_Map_FW
0xffa47d3c,Bat_Calc_FW
0xffa6e880,Bat_Save_FW
0xffa6e86c,Bat_VIN_FW
0xffa63728,BeepDrive_FW
0xffa6373c,BeepDriveComp_FW
0xffa63750,BeepTest_FW
0xff8e3510,BrtDrv.CalcData_FW
0xff8e32c8,BrtDrv.DisablePrint_FW
0xff8e32b0,BrtDrv.EnablePrint_FW
0xff8e337c,BrtDrv.GetData_FW
0xff8e32dc,BrtDrv.Start_FW
0xff8e3324,BrtDrv.Stop_FW
0xff94f864,BugDetect_FW
0xff924820,C_Bar_FW
0xffa717d0,CalculateAdjustmentWBGain_FW
0xffa47d3c,CalculateBatSenseOffset_FW
0xffa77490,CalculateCamTable_FW
0xffa71610,CalculateDeltaCxCy_FW
0xffa78b38,CalculateDeltaEfTable_FW
0xffa69ba4,CalculateLog2ToApex_FW
0xffa6fb20,CalculateLuminosityDifference_FW
0xffa78abc,CalculateMacroPreFlashDuration_FW
0xffa78a38,CalculateNormalPreFlashDuration_FW
0xffa6bdf4,CalculatePeakPositionByLeastSquare_FW
0xffa69bd8,CalculatePow2FromApex_FW
0xffa6fe58,CalculateShutterTimelag_FW
