0xff811ac4,wrapped_malloc
0xff812da0,printclock_FW
0xff812ea4,StopClockSaver_FW
0xff812ec0,SetLClk72MHz_FW
0xff812ed0,SetLClk36MHz_FW
0xff812ee0,SetLClk18MHz_FW
0xff812f88,SetHClk72MHz_FW
0xff812fcc,SetHClk36MHz_FW
0xff812ff4,SetHClk18MHz_FW
0xff813038,SetMClk72MHz_FW
0xff81307c,SetMClk36MHz_FW
0xff8130a4,SetMClk18MHz_FW
0xff8130e8,task_ClockSave
0xff813afc,DebugAssert
0xff814184,LocalTime
0xff814904,GetTimeOfSystem_FW
0xff814c2c,AllocateUncacheableMemory
0xff814c60,FreeUncacheableMemory
0xff814e64,_GetSystemTime
0xff814fb8,SetTimerAfter
0xff815054,SetTimerWhen
0xff8150cc,CancelTimer
0xff8158b4,SetHPTimerAfterNow
0xff815940,SetHPTimerAfterTimeout
0xff815d28,CancelHPTimer
0xff8169c0,RegisterEventProcedure_FW
0xff816b44,ExecuteEventProcedure
0xff816b44,ExecuteEventProcedure_FW
0xff816d2c,ExportToEventProcedure_FW
0xff8174c4,CreateProxyOfEventProcedure_FW
0xff81754c,DeleteProxyOfEventProcedure_FW
0xff817f84,LogCameraEvent
0xff818054,PutsCameraLogEvent_FW
0xff81815c,ShowCameraLogInfo_FW
0xff818200,ShowCameraLog_FW
0xff8184e0,StopCameraLog_FW
0xff81a300,StartWDT_FW
0xff81a37c,StopWDT_FW
0xff81a4f0,GetBuildDate_FW
0xff81a508,GetBuildTime_FW
0xff81a52c,GetFirmwareVersion_FW
0xff81a614,RomCheckSum_FW
0xff81a6a8,CheckSumAll_FW
0xff81a864,SystemEventDelete_FW
0xff81a8a8,SystemEventInit_FW
0xff81a970,Dump32_FW
0xff81aa84,FreeMemory
0xff81aa84,FreeMemory_FW
0xff81aa98,AllocateMemory
0xff81aa98,AllocateMemory_FW
0xff81aaa8,Wait_FW
0xff81aabc,Poke32_FW
0xff81aae0,Poke16_FW
0xff81ab04,Poke8_FW
0xff81ab28,Peek32_FW
0xff81ab44,Peek16_FW
0xff81ab60,Peek8_FW
0xff81ab7c,EraseSignature_FW
0xff81abac,GetSystemTime_FW
0xff81abcc,MonSelEvent_FW
0xff81ac04,exec_FW
0xff81b600,RotateConsoleZOder_FW
