0xff814248,_GetSystemTime
0xffaa61ac,_log
0xffaa6854,_log10
0xffaa6d44,_pow
0xffaab090,_sqrt
0xffa6d4b4,AbortAEIntegralValue_FW
0xff822dd4,AcquireRecursiveLock
0xffa6c424,ActivateAdjLog_FW
0xff8cbf00,ActivateImager_FW
0xff94e45c,ActivateImageSystem_FW
0xffa6a908,AddAdjDataToFRom_FW
0xff9709f4,AddItemToDialogBox_FW
0xffa77330,AddTransparentMemory_FW
0xffa73cec,AfAEWithAperturePriority_FW
0xffa73ea0,AfAEWithCompensation_FW
0xffa68534,AFAssistBeam_FW
0xff94ef58,AFDistanceChanged_FW
0xff94eea4,AFFrameMoved_FW
0xff8e7398,AFTool.ContinuousScan_FW
0xff8e85dc,AFTool.Create_FW
0xff8e7704,AFTool.DisableAFAjsutAPI_FW
0xff8e76e4,AFTool.EnableAFAdjsutAPI_FW
0xff8e7d00,AFTool.EvfStandbyPos_FW
0xff8e7834,AFTool.GetAdjData_FW
0xff8e765c,AFTool.GetCurrentData_FW
0xff8e7d38,AFTool.GotoAFLockPos_FW
0xff8e7d8c,AFTool.GotoSafePos_FW
0xff8e7d70,AFTool.GotoStandbyPos_FW
0xff8e7d54,AFTool.GotoStartUpPos_FW
0xff8e7d1c,AFTool.OvfStandbyPos_FW
0xff8e72dc,AFTool.PeriodicScan_FW
0xff8e705c,AFTool.Print_FW
0xff8e7ad8,AFTool.PrintFinalCalcLog_FW
0xff8e7f00,AFTool.PrintPropCase_FW
0xff8e71fc,AFTool.Scan_FW
0xff8e7974,AFTool.SetCcdDrive_FW
0xff8e79f4,AFTool.SetFrameMode_FW
0xff8e7484,AFTool.SpeedUpScan_FW
0xff8e7738,AFTool.StartAdjWithNotice_FW
0xff8e77bc,AFTool.StopAdjScan_FW
0xff81a9bc,AllocateMemory
0xff81a9bc,AllocateMemory_FW
0xff813ec0,AllocateUncacheableMemory
0xff94fa1c,AllSettingResetd_FW
0xff88f06c,Angel.Dump_FW
0xff88f020,Angel.Test_FW
0xff8adbe8,apex2us
0xffa77378,AttachToTransparentMemory_FW
0xffa56f58,AvoidZoomLensFromFocusLens_FW
0xffa4cf28,Bat_Calc_FW
0xffa751ac,Bat_Save_FW
0xffa75198,Bat_VIN_FW
0xffa68edc,BeepDrive_FW
0xffa68ef0,BeepDriveComp_FW
0xffa68f04,BeepTest_FW
0xff8ecaf0,BrtDrv.CalcData_FW
0xff8ec800,BrtDrv.DisablePrint_FW
0xff8ec7e8,BrtDrv.EnablePrint_FW
0xff8ec8b4,BrtDrv.GetData_FW
0xff8eca38,BrtDrv.GetLatestData_FW
0xff8ec814,BrtDrv.Start_FW
0xff8ec85c,BrtDrv.Stop_FW
0xffa70090,CalcLog10_FW
0xffa4cf28,CalculateBatSenseOffset_FW
0xffa70038,CalculateLog2ToApex_FW
0xffa726a8,CalculatePeakPositionByLeastSquare_FW
0xffa7006c,CalculatePow2FromApex_FW
0xffa73e94,CancelAdj_AEFocusJetMode_FW
0xffa73c40,CancelAdj_AEMode_FW
0xffa6ee44,CancelAdjCdsMode_FW
0xffa66138,CancelFocusLensMaxSpeedLimit_FW
0xff815248,CancelHPTimer
0xff8cc190,CancelImager_FW
0xff8145ec,CancelTimer
0xff89f780,Capture.Create_FW
0xff89f810,Capture.Delete_FW
0xff94ed4c,CaptureModeChange_FW
0xff8c918c,CdsDrv.CorrectCdsOBBrimming_FW
0xff8c98b0,CdsDrv.Create_FW
0xff8c8fa4,CdsDrv.CreateCdsGainController_FW
0xff8c9904,CdsDrv.Delete_FW
0xff8c8fc8,CdsDrv.DeleteCdsGainController_FW
0xff8c90a4,CdsDrv.GetCdsGain_FW
0xff8c8ee0,CdsDrv.GetCdsGainForAdjustment_FW
0xff8c8f48,CdsDrv.GetCdsOBForAdjustment_FW
0xff8c9360,CdsDrv.GetCdsRegisterImage_FW
0xff8c9150,CdsDrv.GetCdsSpecOfADBitRate_FW
0xff8c915c,CdsDrv.GetDeltaSv_FW
0xff8c934c,CdsDrv.GetLowPowerMode_FW
0xff8c92fc,CdsDrv.GetPBA_FW
0xff8c92e8,CdsDrv.GetPBC_FW
0xff8c92ac,CdsDrv.GetPGAGain_FW
0xff8c92c0,CdsDrv.GetSHAMPfsel_FW
0xff8c92d4,CdsDrv.GetSHSWfsel_FW
0xff8c9324,CdsDrv.GetVcomp_FW
0xff8c9310,CdsDrv.GetVshamp_FW
0xff8c90f0,CdsDrv.PowerMode_FW
0xff8c8f7c,CdsDrv.ReloadCdsTable_FW
0xff8c9108,CdsDrv.SelectGainCurveForFi_FW
0xff8c9120,CdsDrv.SelectGainCurveForFr_FW
0xff8c9138,CdsDrv.SelectGainCurveForMovie_FW
0xff8c8e74,CdsDrv.SetCdsAdjustmentMode_FW
0xff8c8f8c,CdsDrv.SetCdsCalibration_FW
0xff8c8ffc,CdsDrv.SetCdsGain_FW
0xff8c8e94,CdsDrv.SetCdsGainApexForAdjustment_FW
0xff8c8ea4,CdsDrv.SetCdsGainForAdjustment_FW
0xff8c8e84,CdsDrv.SetCdsNormalMode_FW
0xff8c8f10,CdsDrv.SetCdsOBForAdjustment_FW
0xff8c9378,CdsDrv.SetCdsRegisterImage_FW
0xff8c9338,CdsDrv.SetLowPowerMode_FW
0xff8c9270,CdsDrv.SetPBA_FW
0xff8c925c,CdsDrv.SetPBC_FW
0xff8c9220,CdsDrv.SetPGAGain_FW
0xff8c9234,CdsDrv.SetSHAMPfsel_FW
0xff8c9248,CdsDrv.SetSHSWfsel_FW
0xff8c9210,CdsDrv.SettingSHAAndSHSW_FW
0xff8c9298,CdsDrv.SetVcomp_FW
0xff8c9284,CdsDrv.SetVshamp_FW
0xff8c9200,CdsDrv.ThroughSHAAndSHSW_FW
0xffa4f0d8,ChangeFocusDistanceToPosition_FW
0xffa4f0f0,ChangeFocusDistanceToPositionForAdjust_FW
0xff8cc228,ChangeImagerToAlternateDraft_FW
0xff8cc258,ChangeImagerToFocusJet_FW
0xff8cc238,ChangeImagerToJetDraft_FW
0xff8cc268,ChangeImagerToJumboDraft_FW
0xff8cc218,ChangeImagerToNarrowDraft_FW
0xff8cc278,ChangeImagerToOITA_XAVIER_FW
0xff8cc248,ChangeImagerToPetitNarrow_FW
0xff8cc1f8,ChangeImagerToSuperWideDraft_FW
0xff8cc1d8,ChangeImagerToWholeParallel_FW
0xff8cc1e8,ChangeImagerToWholeParallelHalf_FW
0xff8cc1c0,ChangeImagerToWholeSerial_FW
0xff8cc208,ChangeImagerToWideDraft_FW
0xffa734b4,ChargeStrobe_FW
0xff81fb3c,CheckAllEventFlag
0xff81fb2c,CheckAnyEventFlag
0xff81a5c0,CheckSumAll_FW
0xff81ff3c,ClearEventFlag
0xffa6952c,ClearFactoryMode_FW
0xffa5cafc,ClearPM3ByFs_FW
0xffa5caec,ClearPM3ByGpio_FW
0xff86a944,Close
0xffab9c2c,close
0xff86a944,Close_FW
0xff81b89c,CloseConsole_FW
0xffab5bcc,closedir
0xffa5e90c,CloseMechaShutterEvent_FW
0xffa6f56c,CloseMShutter_FW
0xff94f658,ColorModeChanged_FW
0xffa79d64,CompletePrepareTestRec_FW
0xff971d68,ControlEventHandler_FW
0xffa0328c,ControlViewEvent_FW
0xffa7015c,ConvertApexStdToApex_FW
0xffa70128,ConvertApexToApexStd_FW
0xffa712d0,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffa6ef84,ConvertTvToExposureTime_FW
0xff81b5bc,CPrintf_FW
0xff81b620,CPutChar_FW
0xffa6a480,CreateAdjustmentTableMirror_FW
0xff820eb8,CreateBinarySemaphore
0xff823070,CreateBinarySemaphoreStrictly
0xff962144,CreateController_FW
0xff820ec8,CreateCountingSemaphore
0xff820ec8,CreateCountingSemaphore_FW
0xff82309c,CreateCountingSemaphoreStrictly
0xff970598,CreateDialogBox_FW
0xff971b60,CreateDialogItem_FW
0xff9e7e04,CreateDpConnectController_FW
0xff81f840,CreateEventFlag
0xff823044,CreateEventFlagStrictly
0xff9e105c,CreateLanguageMenu_FW
0xff82021c,CreateMessageQueue
0xff823018,CreateMessageQueueStrictly
0xff816b50,CreateProxyOfEventProcedure_FW
0xff822be0,CreateRecursiveLock
0xff8230c8,CreateRecursiveLockStrictly
0xff821a10,CreateTask
0xff821a10,CreateTask_FW
0xff822fd8,CreateTaskStrictly
0xffa467fc,CreateVcomUart_FW
0xff9fdeac,DBG_changeTraceLevel_FW
0xff813e68,DebugAssert
0xff89a640,DefMark.Init_FW
0xff89a660,DefMark.SetGradeCapture_FW
0xff89a684,DefMark.SetGradeLive_FW
0xff89a674,DefMark.SetThroughCapture_FW
0xff89a698,DefMark.SetThroughLive_FW
0xff89a650,DefMark.Term_FW
0xff9621fc,DeleteController_FW
0xff970780,DeleteDialogBox_FW
0xff970908,DeleteDialogBoxAfterGetTopOfControl_FW
0xff971c50,DeleteDialogItem_FW
0xff9e8000,DeleteDpConnectController_FW
0xff81f94c,DeleteEventFlag
0xff8635f0,DeleteFile_Fut
0xff970ac8,DeleteItemFromDialogBox_FW
0xff9e11a8,DeleteLanguageMenu_FW
0xff82036c,DeleteMessageQueue
0xff974934,DeletePalette_FW
0xff816bd8,DeleteProxyOfEventProcedure_FW
0xff822cfc,DeleteRecursiveLock
0xff820fd4,DeleteSemaphore
0xff820fd4,DeleteSemaphore_FW
0xffa46930,DeleteVcomUart_FW
0xff9675f0,DisableAutoShutdown_FW
0xff9504a8,DisableCaptureLog_FW
0xffa7bfb0,DisableDebugLogMode_FW
0xffa4ea08,DisableFocusPiCircuit_FW
0xffa4e998,DisableMechaCircuit_FW
0xff997f74,DisableMovieController_FW
0xffa0b6a4,DisableNotificationPTP_FW
0xff8d0d60,DisableOBClampField_FW
0xff97b6ac,DisableRefreshPhysicalScreen_FW
0xffa4ea54,DisableZoomEncoderCircuit_FW
0xffa4ea28,DisableZoomPiCircuit_FW
0xff931880,DispCon_GetVideoAdjParameter_FW
0xff931940,DispCon_SaveVideoAdjParameter_FW
0xff931be8,DispCon_SetDisplayType_FW
0xff9317c8,DispCon_SetVideoAdjParameter_FW
0xff931b70,DispCon_ShowBitmapColorBar
0xff931b70,DispCon_ShowBitmapColorBar_FW
0xff931b54,DispCon_ShowBlackChart_FW
0xff931968,DispCon_ShowColorBar_FW
0xff9319e8,DispCon_ShowFiveStep_FW
0xff9318e4,DispCon_ShowVideoAdjParameter_FW
0xff931af8,DispCon_ShowWhiteChart_FW
0xff931c2c,DispCon_TurnOffDisplay_FW
0xff931c1c,DispCon_TurnOnDisplay_FW
0xff92fc80,DispDev_EnableEventProc_FW
0xff970fa4,DisplayDialogBox_FW
0xffa691d0,DisplayFactoryMode_FW
0xff94f6e0,DisplayTypeChanged_FW
0xff94f22c,DoAELock
0xff94f22c,DoAELock_FW
0xff94efcc,DoAFLock
0xff94efcc,DoAFLock_FW
0xff971390,DrawBinaryBitmapToDialog_FW
0xff971cd0,DrawDialogItem_FW
0xff971240,DrawStringToDialog_FW
0xff827d40,Driver_EnableEventProc_FW
0xff81a894,Dump32_FW
0xffa69e84,DumpAdjArea_FW
0xffa69eac,DumpAdjMirror_FW
0xffa969d4,DumpScript_FW
0xffa772dc,DumpTransparentMemoryItem_FW
0xff9578c0,DvlpDbg_RegisterEvent_FW
0xff90b9fc,EF.AvTvDg_FW
0xff90bb10,EF.CurtainSynchro_FW
0xff90afec,EF.DummyCharge_FW
0xff90b000,EF.DummyChargeLevel_FW
0xff90bae0,EF.FlashAdjust_FW
0xff90afd8,EF.GetADCEFCharge_FW
0xff90ba80,EF.GetAvTvDg_FW
0xff90b3d0,EF.GetExpByAE_FW
0xff90b438,EF.IsEFMacro_FW
0xff90b21c,EF.PrepareFlash_FW
0xff90b01c,EF.StartEFCharge_FW
0xff90b0d4,EF.StartInternalMainFlash_FW
0xff90b090,EF.StartInternalPreFlash_FW
0xff90b618,EF.StartMainFlash_FW
0xff90b4a4,EF.StartPreFlash_FW
0xff90b080,EF.StopEFCharge_FW
0xff94e6e8,EmergencyOfLens_FW
0xff967608,EnableAutoShutdown_FW
0xff9504a0,EnableCaptureLog_FW
0xffa7bf98,EnableDebugLogMode_FW
0xffa4e9f8,EnableFocusPiCircuit_FW
0xff8201d0,EnableInterrupt
