0xff814f64,_GetSystemTime
0xffabfbb4,_log
0xffac025c,_log10
0xffac074c,_pow
0xffac4a98,_sqrt
0xffa8662c,AbortAEIntegralValue_FW
0xff8234c0,AcquireRecursiveLock
0xffa85398,ActivateAdjLog_FW
0xff8c6b54,ActivateImager_FW
0xff94a368,ActivateImageSystem_FW
0xffa837b8,AddAdjDataToFRom_FW
0xff969f20,AddItemToDialogBox_FW
0xffa91c9c,AddTransparentMemory_FW
0xffa8e468,AfAEWithAperturePriority_FW
0xffa8e618,AfAEWithCompensation_FW
0xff82db1c,AFAssistBeam_FW
0xff94aa88,AFDistanceChanged_FW
0xff94aa2c,AFFrameMoved_FW
0xff81b33c,AllocateMemory
0xff81b33c,AllocateMemory_FW
0xff814d2c,AllocateUncacheableMemory
0xff94af9c,AllSettingReseted_FW
0xff8ac734,apex2us
0xffa91ce4,AttachToTransparentMemory_FW
0xff82c8e4,Bat_Calc_FW
0xffa8fbe8,Bat_Save_FW
0xffa8fbd4,Bat_VIN_FW
0xff82b38c,BatVoltageToAd_FW
0xff82e550,BeepDrive_FW
0xff82e564,BeepDriveComp_FW
0xff82e578,BeepTest_FW
0xffa89a60,CalcLog10_FW
0xff82c8e4,CalculateBatSenseOffset_FW
0xffa89a08,CalculateLog2ToApex_FW
0xffa8cb2c,CalculatePeakPositionByLeastSquare_FW
0xffa89a3c,CalculatePow2FromApex_FW
0xffa8e3bc,CancelAdj_AEMode_FW
0xffa88784,CancelAdjCdsMode_FW
0xffa7fd2c,CancelFocusLensMaxSpeedLimit_FW
0xff815e28,CancelHPTimer
0xff8c6e74,CancelImager_FW
0xff8151cc,CancelTimer
0xff8a1c14,Capture.Create_FW
0xff8a1ca8,Capture.Delete_FW
0xff94a86c,CaptureModeChange_FW
0xff8c4808,CdsDrv.Create_FW
0xff8c4840,CdsDrv.Delete_FW
0xff8c45f0,CdsDrv.GetCdsGainForAdjustment_FW
0xff8c4658,CdsDrv.GetCdsOBForAdjustment_FW
0xff8c468c,CdsDrv.ReloadCdsTable_FW
0xff8c4584,CdsDrv.SetCdsAdjustmentMode_FW
0xff8c469c,CdsDrv.SetCdsCalibration_FW
0xff8c45a4,CdsDrv.SetCdsGainApexForAdjustment_FW
0xff8c45b4,CdsDrv.SetCdsGainForAdjustment_FW
0xff8c4594,CdsDrv.SetCdsNormalMode_FW
0xff8c4620,CdsDrv.SetCdsOBForAdjustment_FW
0xff8c6f30,ChangeImagerToAlternateDraft_FW
0xff8c6f60,ChangeImagerToFocusJet_FW
0xff8c6f40,ChangeImagerToJetDraft_FW
0xff8c6f70,ChangeImagerToJumboDraft_FW
0xff8c6f20,ChangeImagerToNarrowDraft_FW
0xff8c6f80,ChangeImagerToOITA_XAVIER_FW
0xff8c6f50,ChangeImagerToPetitNarrow_FW
0xff8c6fa0,ChangeImagerToQVGA15Fps_FW
0xff8c6f90,ChangeImagerToQVGA20Fps_FW
0xff8c6fd0,ChangeImagerToSmearCorrectAlternate_FW
0xff8c6fc0,ChangeImagerToSmearCorrectSuper_FW
0xff8c6fb0,ChangeImagerToSmearCorrectWide_FW
0xff8c6f00,ChangeImagerToSuperWideDraft_FW
0xff8c6ed4,ChangeImagerToWholeParallel_FW
0xff8c6ef0,ChangeImagerToWholeParallelHalf_FW
0xff8c6ea4,ChangeImagerToWholeSerial_FW
0xff8c6ebc,ChangeImagerToWholeSerialLineDef_FW
0xff8c6f10,ChangeImagerToWideDraft_FW
0xff94a73c,ChangeZoomSpeed_FW
0xffa8dc28,ChargeStrobe_FW
0xff820484,CheckAllEventFlag
0xff820474,CheckAnyEventFlag
0xffa7ff38,CheckFocusLensAfAging_FW
0xff81af38,CheckSumAll_FW
0xff820884,ClearEventFlag
0xffa82544,ClearFactoryMode_FW
0xffa7fe98,ClearFocusLensBacklashSpeedToMax_FW
0xffa773cc,ClearMechaShutterCount_FW
0xffa74f54,ClearPM3ByFs_FW
0xffa74f44,ClearPM3ByGpio_FW
0xff86f788,Close
0xffad3634,close
0xff86f788,Close_FW
0xff81c334,CloseConsole_FW
0xffacf5d4,closedir
0xffa772ac,CloseMechaShutterEvent_FW
0xffa88f40,CloseMShutter_FW
0xff94ae6c,ColorModeChanged_FW
0xffa94ba0,CompletePrepareTestRec_FW
0xff96b334,ControlEventHandler_FW
0xffa26bf0,ControlViewEvent_FW
0xffa89b2c,ConvertApexStdToApex_FW
0xffa89af8,ConvertApexToApexStd_FW
0xffa8a168,ConvertCxCyToWBGain_FW
0xffa8acfc,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffa888c4,ConvertTvToExposureTime_FW
0xff81c068,CPrintf_FW
0xff81c0cc,CPutChar_FW
0xffa834c8,CreateAdjustmentTableMirror_FW
0xff821690,CreateBinarySemaphore
0xff823710,CreateBinarySemaphoreStrictly
0xff959134,CreateController_FW
0xff821778,CreateCountingSemaphore
0xff821778,CreateCountingSemaphore_FW
0xff82373c,CreateCountingSemaphoreStrictly
0xff969aa4,CreateDialogBox_FW
0xff96b12c,CreateDialogItem_FW
0xffa09d18,CreateDpConnectController_FW
0xff820188,CreateEventFlag
0xff8236e4,CreateEventFlagStrictly
0xffa011bc,CreateLanguageMenu_FW
0xff820b18,CreateMessageQueue
0xff8236b8,CreateMessageQueueStrictly
0xff817630,CreateProxyOfEventProcedure_FW
0xff8232cc,CreateRecursiveLock
0xff823768,CreateRecursiveLockStrictly
0xff822274,CreateTask
0xff822274,CreateTask_FW
0xff823678,CreateTaskStrictly
0xffa66ce0,CreateVcomUart_FW
0xffa21550,DBG_changeTraceLevel_FW
0xff813bfc,DebugAssert
0xff9591ec,DeleteController_FW
0xff969cac,DeleteDialogBox_FW
0xff969e34,DeleteDialogBoxAfterGetTopOfControl_FW
0xff96b21c,DeleteDialogItem_FW
0xffa09f68,DeleteDpConnectController_FW
0xff820294,DeleteEventFlag
0xff86866c,DeleteFile_Fut
0xff969ff4,DeleteItemFromDialogBox_FW
0xffa01308,DeleteLanguageMenu_FW
0xff820c68,DeleteMessageQueue
0xff96ea50,DeletePalette_FW
0xff8176b8,DeleteProxyOfEventProcedure_FW
0xff8233e8,DeleteRecursiveLock
0xff821884,DeleteSemaphore
0xff821884,DeleteSemaphore_FW
0xffa66e10,DeleteVcomUart_FW
0xff95fe30,DisableAutoShutdown_FW
0xffa96f50,DisableDebugLogMode_FW
0xffa6ac34,DisableFocusPiCircuit_FW
0xffa6ac14,DisableMechaCircuit_FW
0xff9954d8,DisableMovieController_FW
0xffa3081c,DisableNotificationPTP_FW
0xff8cbc20,DisableOBClampField_FW
0xff975944,DisableRefreshPhysicalScreen_FW
0xffa6aca4,DisableZoomEncoderCircuit_FW
0xffa6ac6c,DisableZoomPiCircuit_FW
0xff922b2c,DispCon_GetVideoAdjParameter_FW
0xff922bd4,DispCon_SaveVideoAdjParameter_FW
0xff922e18,DispCon_SetDisplayType_FW
0xff922e5c,DispCon_SetMaxBackLightBrightness_FW
0xff922a90,DispCon_SetVideoAdjParameter_FW
0xff922db0,DispCon_ShowBitmapColorBar
0xff922db0,DispCon_ShowBitmapColorBar_FW
0xff922d94,DispCon_ShowBlackChart_FW
0xff922be4,DispCon_ShowColorBar_FW
0xff922c58,DispCon_ShowFiveStep_FW
0xff922b80,DispCon_ShowVideoAdjParameter_FW
0xff922d50,DispCon_ShowWhiteChart_FW
0xff922e4c,DispCon_TurnOffDisplay_FW
0xff922e3c,DispCon_TurnOnDisplay_FW
0xff920ec4,DispDev_EnableEventProc_FW
0xff96a4d0,DisplayDialogBox_FW
0xffa821e8,DisplayFactoryMode_FW
0xff94ae94,DisplayTypeChanged_FW
0xff94ac14,DoAELock
0xff94ac14,DoAELock_FW
0xff94aacc,DoAFLock
0xff94aacc,DoAFLock_FW
0xff96a8e4,DrawBinaryBitmapToDialog_FW
0xff96b29c,DrawDialogItem_FW
0xff96a794,DrawStringToDialog_FW
0xff826b6c,Driver_EnableEventProc_FW
0xff81b214,Dump32_FW
0xffa82ec0,DumpAdjArea_FW
0xffa82ee8,DumpAdjMirror_FW
0xffa91c48,DumpTransparentMemoryItem_FW
0xff900db0,EF.StartEFCharge_FW
0xff900e64,EF.StartInternalMainFlash_FW
0xff900e20,EF.StartInternalPreFlash_FW
0xff900e10,EF.StopEFCharge_FW
0xff94a4d4,EmergencyOfLens_FW
0xff95fe48,EnableAutoShutdown_FW
0xffa96f38,EnableDebugLogMode_FW
0xffa7fe1c,EnableFocusLens_FW
0xffa6ac24,EnableFocusPiCircuit_FW
0xff820acc,EnableInterrupt
0xffa6ac04,EnableMechaCircuit_FW
0xff9954c4,EnableMovieController_FW
0xffa30830,EnableNotificationPTP_FW
0xff8cbc08,EnableOBClampField_FW
0xff975930,EnableRefreshPhysicalScreen_FW
0xffa6ac94,EnableZoomEncoderCircuit_FW
0xffa6ac5c,EnableZoomPiCircuit_FW
0xff880c90,EngDrvBits
0xff880c74,EngDrvIn
0xff880c5c,EngDrvOut
0xff880c7c,EngDrvRead
0xff8a1ae4,EngineDriver.Create_FW
0xff8a1b0c,EngineDriver.Delete_FW
0xff94b0f4,EnterToAELockEVF_FW
0xff94abdc,EnterToCompensationEVF_FW
0xff94a5d4,EnterToPlayFromRec_FW
0xff94a5c0,EnterToRecFromPlay_FW
0xff94b3b0,EnterToRemoteCaptureMode_FW
0xffa82ea0,EraseAdjustmentArea_FW
0xffa837a8,EraseFRomShadingArea_FW
0xffab8b00,EraseLogSector_FW
0xff823ca4,EraseSectorOfRom_FW
0xff81b420,EraseSignature_FW
0xffacfda0,errnoOfTaskGet
0xffa7fd40,EscapeFocusLens_FW
0xff81b4a8,exec_FW
0xff816c44,ExecuteEventProcedure
0xff816c44,ExecuteEventProcedure_FW
0xffab0928,ExecuteFirmUpgrade_FW
0xff82cbb0,ExecuteLoadTest_FW
0xff9883c4,ExecuteResetFactoryWithRomWrite_FW
0xff94b610,ExecuteScript_FW
0xffa94eec,ExecuteTestRec_FW
0xffa95060,ExecuteTestRecCF_FW
0xff94b138,ExitFromAELockEVF_FW
0xff94abec,ExitFromCompensationEVF_FW
0xff94b3b8,ExitFromRemoteCaptureMode_FW
0xff94b2c0,ExitShooting_FW
0xff822634,ExitTask
0xff822634,ExitTask_FW
0xff94b584,ExitTestRec_FW
0xff81295c,exmem_alloc
0xff816e60,ExportToEventProcedure_FW
0xffa84cf8,FA.Create_FW
0xffa84d2c,FA.Delete_FW
0xffa84ebc,FADBGPrintf_FW
0xffa85060,FAPrintf_FW
0xff8687ac,Fclose_Fut
0xff8687ac,Fclose_Fut_FW
0xff8689c0,Feof_Fut
0xff8689f8,Fflush_Fut
0xff868930,Fgets_Fut
0xff96a734,FillRectangleToDialog_FW
0xffa8e2d0,FixAEWithCompensation_FW
0xff94aca4,FixProgramShift_FW
0xff94a5a8,FlushWriteCache_FW
0xffa02ec8,FmtMenu_ExecuteQuickFormat_FW
0xffa8e21c,FocusAEWithCompensation_FW
0xff868770,Fopen_Fut
0xff868770,Fopen_Fut_FW
0xff868890,Fread_Fut
0xff868890,Fread_Fut_FW
0xffa9754c,FreeBufferForSoundRec_FW
0xff81b328,FreeMemory
0xff81b328,FreeMemory_FW
0xff814d60,FreeUncacheableMemory
0xff868978,Fseek_Fut
0xff868978,Fseek_Fut_FW
0xff8688e0,Fwrite_Fut
0xff8688e0,Fwrite_Fut_FW
0xff829c70,GetAdChValue_FW
0xffa82f88,GetAdjTableMapVersion_FW
0xffa82f98,GetAdjTableValueVersion_FW
0xffa82f40,GetAdjTableVersion_FW
0xff829cb0,GetAdVBattBottom_FW
0xffa86aa0,GetAEIntegralServiceMode_FW
0xffa86060,GetAEIntegralValue_FW
0xffa866e4,GetAEIntegralValueWithFix_FW
0xffa8da0c,GetAFSensorDriveMode_FW
0xffa86254,GETALTERNATEEVALUATIONVALUEWITHMECHASHUTTER_FW
0xff96b50c,GetAttributeFromDialogItem_FW
0xff82d5ac,GetBatteryTemperature
0xff82d5ac,GetBatteryTemperature_FW
0xff81ad80,GetBuildDate_FW
0xff81ad98,GetBuildTime_FW
0xff82d598,GetCCDTemperature
0xff82d598,GetCCDTemperature_FW
0xffa8868c,GetCdsGainValue_FW
0xff81c100,GetCh_FW
0xffa8639c,GETCRWEVALUATIONVALUEWITHMECHASHUTTER_FW
0xffa86440,GETCRWEVALUATIONVALUEWITHOUTMECHASHUTTER_FW
0xffa88c68,GetCurrentAvValue
0xffa88c68,GetCurrentAvValue_FW
0xff98cac0,GetCurrentCaptureModeType_FW
0xffa75054,GetCurrentEncoderPosition_FW
0xffa88900,GetCurrentExposureTime_FW
0xffa8adcc,GetCurrentFocusLensPosition_FW
0xffa88918,GetCurrentShutterSpeed_FW
0xffa8ad74,GetCurrentTargetDistance
0xffa8ad74,GetCurrentTargetDistance_FW
0xffa8a2e8,GetCurrentZoomLensDirection_FW
0xffa8a8a0,GetCurrentZoomLensPoint_FW
0xffa8a8b4,GetCurrentZoomLensPosition_FW
0xffa8fff8,GetDay_FW
0xff96a94c,GetDialogBoxWindow_FW
0xff96b66c,GetDialogItemPosition_FW
0xff96abe8,GetDialogItemPositionToDialog_FW
0xff96b6ec,GetDialogItemResolution_FW
0xff96ac1c,GetDialogItemResolutionToDialog_FW
0xff86ef64,GetDrive_ClusterSize
0xff86efdc,GetDrive_FreeClusters
0xff86efa0,GetDrive_TotalClusters
