0xff827e14,_GetSystemTime
0xffad3158,_log
0xffad1de4,_log10
0xffad1f54,_pow
0xffad4db4,_sqrt
0xff81c2a4,_uartr_req
0xffa9aa98,AbortAEIntegralValue_FW
0xff869764,AcquireRecursiveLock
0xff827a70,AcquireRecursiveLockStrictly
0xff8fb954,ActivateAdjLog_FW
0xff9e2128,ActivateImager_FW
0xff9e21b4,ActivateImagerXOne_FW
0xff9ef744,add_ptp_handler
0xff93fc34,AdditionAgentRAM_FW
0xffa095d8,AddTransparentMemory_FW
0xffaa1078,AdjAEWithAperturePriority_FW
0xffaa1034,AfAEWithAperturePriority_FW
0xffaa1224,AfAEWithCompensation_FW
0xff9e0bf0,AFTool.GetEVal_FW
0xffa3d8b8,AllocateMemory
0xffa3d8b8,AllocateMemory_FW
0xff827b68,AllocateUncacheableMemory
0xff9b9440,apex2us
0xff8926fc,atol_FW
0xffa9b578,AttachIntegCrawData_FW
0xffa09610,AttachToTransparentMemory_FW
0xff844c70,Bat_Calc_FW
0xffaa2604,Bat_Save_FW
0xffaa25f0,Bat_VIN_FW
0xff84528c,BeepDrive_FW
0xffa9cc8c,CalcLog10_FW
0xffaa43b8,CalcLoopGain_FW
0xffa9cd7c,CalcSqrt_FW
0xff844c70,CalculateBatSenseOffset_FW
0xffa9cc2c,CalculateLog2ToApex_FW
0xffa9cbf0,CalculatePeakFromLeastSquareResult_FW
0xffa9cc40,CalculatePow2FromApex_FW
0xffaa0e50,CancelAdj_AEMode_FW
0xffa9bd44,CancelAdjCdsMode_FW
0xffa9f268,CancelBPFilterForBP_FW
0xffaa07ac,CancelExStrobeMode_FW
0xffa3a5ec,CancelFocusLensMaxSpeedLimit_FW
0xff86cffc,CancelHPTimer
0xff9e230c,CancelImager_FW
0xffaa43a4,CancelLoopGainCalc_FW
0xff828030,CancelTimer
0xff933bb4,Capture.Create_FW
0xffa9bae4,ChangeAdjImgDrvMode_FW
0xffa9bb10,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff8fd924,ChangeDefectRecExpGain_FW
0xff8fd8f8,ChangeDefectRecExpTv_FW
0xff8fd98c,ChangeDefectRecPeakHoldSetting_FW
0xffaa23c4,ChangeDistortionSetForLiveImage_FW
0xffaa41ec,ChangeFilterMode_FW
0xffa3a7a0,ChangeFocusDistanceToPosition_FW
0xff9d8140,ChangeGradeTable_FW
0xff9e23cc,ChangeImagerToAlternateDraft_FW
0xff9e23c4,ChangeImagerToDigiconMode_FW
0xff9e23ec,ChangeImagerToFastBP_FW
0xff9e238c,ChangeImagerToFocusJet_FW
0xff9e23b4,ChangeImagerToHoneyFlash_FW
0xff9e23a4,ChangeImagerToJetDraft_FW
0xff9e23ac,ChangeImagerToJumboDraft_FW
0xff9e2394,ChangeImagerToMangoPudding_FW
0xff9e23bc,ChangeImagerToMillefeAdjust_FW
0xff9e23e4,ChangeImagerToMontblancMillefe_FW
0xff9e23dc,ChangeImagerToMontblancWhole_FW
0xff9e23c4,ChangeImagerToOITA_XAVIER_FW
0xff9e239c,ChangeImagerToSuperWideDraft_FW
0xff9e23d4,ChangeImagerToUltraGhostQ_FW
0xff9e2330,ChangeImagerToWholeParallel_FW
0xff9e234c,ChangeImagerToWholeParallelBP_FW
0xff9e2368,ChangeImagerToWholeParallelBPOne_FW
0xff9e2384,ChangeImagerToWideDraft_FW
0xffa3b4c4,ChangeParallelMode_FW
0xff85c238,ChangeToISCloseControl_FW
0xffaa07e8,ChargeStrobe_FW
0xffaa081c,ChargeStrobeForFA_FW
0xff8692e8,CheckAllEventFlag
0xff8692a0,CheckAnyEventFlag
0xff870700,CheckSumAll_FW
0xff849b24,ClearDUIDFixFlag_FW
0xff869508,ClearEventFlag
0xff849acc,ClearFactoryMode_FW
0xff85c4c4,ClearISCalcZData_FW
0xffa3b538,ClearISIComponent_FW
0xffa3b55c,ClearISZData_FW
0xffa9dce8,ClearZoomCommonDriveParam_FW
0xffa34c74,ClearZoomDriveParam_FW
0xff823af4,Close
0xff819864,close
0xff823af4,Close_FW
0xff81bd88,CloseConsole_FW
0xffa21d70,closedir
0xffa3ac34,CloseMechaShutterWithTiming_FW
0xffa9c290,CloseMShutter_FW
0xffa9ba80,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa9ba34,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffa9cce4,ConvertApexStdToApex_FW
0xffa9ccb4,ConvertApexToApexStd_FW
0xffa9d280,ConvertCxCyToWBGain_FW
0xffa9e05c,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffa9be68,ConvertTvToExposureTime_FW
0xff81bae4,CPrintf_FW
0xff81bb40,CPutChar_FW
0xff84ad18,CreateAdjustmentTableMirror_FW
0xff827348,CreateBinarySemaphore
0xff827928,CreateBinarySemaphoreStrictly
0xff876500,CreateController_FW
0xff8273b0,CreateCountingSemaphore
0xff8273b0,CreateCountingSemaphore_FW
0xff82794c,CreateCountingSemaphoreStrictly
0xff8691f8,CreateEventFlag
0xff827904,CreateEventFlagStrictly
0xff8fb294,CreateFADBGSingalID_FW
0xffaa44cc,CreateJumptable
0xff94d8ac,CreateLanguageMenu_FW
0xff826f84,CreateMessageQueue
0xff8278e0,CreateMessageQueueStrictly
0xff86e504,CreateProxyOfEventProcedure_FW
0xff8696c4,CreateRecursiveLock
0xff827970,CreateRecursiveLockStrictly
0xff81aef4,CreateTask
0xff81aef4,CreateTask_FW
0xff8278ac,CreateTaskStrictly
0xff9261d0,CzDebugPrint_FW
0xff81b1cc,DebugAssert
0xff8765bc,DeleteController_FW
0xff823484,DeleteDirectory_Fut
0xff869250,DeleteEventFlag
0xff8233a0,DeleteFile_Fut
0xff94d448,DeleteLanguageMenu_FW
0xff827008,DeleteMessageQueue
0xff86e55c,DeleteProxyOfEventProcedure_FW
0xff869714,DeleteRecursiveLock
0xff827408,DeleteSemaphore
0xff827408,DeleteSemaphore_FW
0xffaa3dc0,DevelopStillPicture_FW
0xff9d891c,DevelopTool.DevelopTest_FW
0xff8faffc,DeviceUniqueIDCheckSum_FW
0xff9261bc,DisableCzDebugLog_FW
0xff8fdc80,DisableDebugLogMode_FW
0xffa3a648,DisableFocusLens_FW
0xffa3a6c8,DisableFocusLensGainLock_FW
0xffa3a6f4,DisableFocusLensWaveLock_FW
0xffa3aac0,DisableFocusPiCircuit_FW
0xffa3aaa0,DisableMechaCircuit_FW
0xffa3ab08,DisableZoomEncoderCircuit_FW
0xffa3ada4,DisableZoomLensEncoderPowerControl_FW
0xffa3aae4,DisableZoomPiCircuit_FW
0xff8421a8,DispCon_GetLcdGainAdjParameter_FW
0xff842268,DispCon_GetLcdGammaParameter_FW
0xff841fd8,DispCon_GetVideoAdjParameter_FW
0xff8421f4,DispCon_SaveLcdGainAdjParameter_FW
0xff8422e4,DispCon_SaveLcdGammaParameter_FW
0xff842060,DispCon_SaveVideoAdjParameter_FW
0xff841e64,DispCon_SetDisplayType_FW
0xff8420dc,DispCon_SetLcdGainAdjParameter_FW
0xff842210,DispCon_SetLcdGammaParameter_FW
0xff841ee8,DispCon_SetMaxBackLightBrightness_FW
0xff841f68,DispCon_SetVideoAdjParameter_FW
0xff841dac,DispCon_ShowBitmapColorBar
0xff841dac,DispCon_ShowBitmapColorBar_FW
0xff841d90,DispCon_ShowBlackChart_FW
0xff841c40,DispCon_ShowColorBar_FW
0xff841e84,DispCon_ShowColorChart_FW
0xff841e0c,DispCon_ShowCustomColorBar_FW
0xff841c90,DispCon_ShowFiveStep_FW
0xff8421e4,DispCon_ShowLcdGainAdjParameter_FW
0xff8422ac,DispCon_ShowLcdGammaParameter_FW
0xff842034,DispCon_ShowVideoAdjParameter_FW
0xff841d58,DispCon_ShowWhiteChart_FW
0xff841ed8,DispCon_TurnOffBackLight_FW
0xff841eb8,DispCon_TurnOffDisplay_FW
0xff841ec8,DispCon_TurnOnBackLight_FW
0xff841ea8,DispCon_TurnOnDisplay_FW
0xff933b44,DispDev.Create_FW
0xff931cec,DispDev_EnableEventProc_FW
0xff8498c8,DisplayFactoryMode_FW
0xff8258c4,DoAELock
0xff8255d8,DoAFLock
0xff931de0,Driver.Create_FW
0xff931de0,Driver_EnableEventProc_FW
0xff814e04,drysh_FW
0xff932048,Dump32_FW
0xff932038,Dump_FW
0xff84abd0,DumpAdjMirror_FW
0xffa09598,DumpTransparentMemoryItem_FW
0xff8bc988,E2LatOn_FW
0xff9e00ac,EF.AdjPreFlash_FW
0xff8ab714,EF.IsChargeFull_FW
0xff9e00f0,EF.SetChargeMode_FW
0xff9dffbc,EF.SetEFChargeTimeOut_FW
0xff9e0104,EF.SetFlashTime_FW
0xff9e0094,EF.SetMainFlashTime_FW
0xff9dff5c,EF.StartEFCharge_FW
0xff9e000c,EF.StartInternalMainFlash_FW
0xff9dffd0,EF.StartInternalPreFlash_FW
0xff9dffac,EF.StopEFCharge_FW
0xff9261a4,EnableCzDebugLog_FW
0xff8fdc6c,EnableDebugLogMode_FW
0xffa3a5fc,EnableFocusLens_FW
0xffa3a694,EnableFocusLensGainLockWithVoltage_FW
0xffa3a6d8,EnableFocusLensWaveLock_FW
0xffa3aab0,EnableFocusPiCircuit_FW
0xff81aeec,EnableInterrupt
0xff832cd0,EnableLog_FW
0xffa3aa90,EnableMechaCircuit_FW
0xffa3aaf8,EnableZoomEncoderCircuit_FW
0xffa3ad94,EnableZoomLensEncoderPowerControl_FW
0xffa3aad4,EnableZoomPiCircuit_FW
0xff932e7c,EndClockMode_FW
0xff8e3800,EngApp.Create_FW
0xff8e37e8,EngApp.Delete_FW
0xff822af4,EngDrvBits
0xffa02718,EngDrvBits_FW
0xff822ad8,EngDrvIn
0xffa02708,EngDrvIn_FW
0xff822ac0,EngDrvOut
0xffa026ec,EngDrvOut_FW
0xff822ae0,EngDrvRead
0xffa02710,EngDrvRead_FW
0xffa0273c,EngDrvReadDump_FW
0xff933bf4,EngineDriver.Create_FW
0xff82582c,EnterToCompensationEVF
0xff84abc4,EraseAdjustmentArea_FW
0xff93b1cc,EraseLogSector_FW
0xff93b9ec,EraseSectorOfRom_FW
0xff932024,EraseSignature_FW
0xff814e80,err_init_task
0xffa39e88,EscapeFocusLens_FW
0xffa3d924,exec_FW
0xff84f8f0,Executedccd_FW
0xff84f2c0,ExecuteDigicon_FW
0xff86dac0,ExecuteEventProcedure
0xff86db38,ExecuteEventProcedure_FW
0xffaa0888,ExecuteInternalPreFlash_FW
0xff95aadc,ExecuteResetFactoryWithRomWrite_FW
0xff84efa0,ExecuteTestRec_FW
0xff84f070,ExecuteTestRecCF_FW
0xff825870,ExitFromCompensationEVF
0xff81b184,ExitTask
0xff81b184,ExitTask_FW
0xff86c204,ExMem.AllocCacheable_FW
0xff86c04c,ExMem.AllocUncacheable_FW
0xff86c28c,ExMem.FreeCacheable_FW
0xff86c188,ExMem.FreeUncacheable_FW
0xff86bb68,ExMem.View_FW
0xff86c19c,exmem_alloc
0xff86c214,exmem_free
0xff824254,ExMem_FW
0xff8a0ff8,ExpCtrlTool.SetExpMode_FW
0xff830d00,ExpCtrlTool_StartContiAE
0xff830e44,ExpCtrlTool_StopContiAE
0xff86e4f8,ExportToEventProcedure_FW
0xff933b20,FA.Create_FW
0xff933b0c,FA.Delete_FW
0xff8fb344,FADBGPrintf_FW
0xff8fb2a4,FADBGSingal_FW
0xff8fb4c4,FAPrintf_FW
0xff82351c,Fclose_Fut
0xff82351c,Fclose_Fut_FW
0xff823708,Feof_Fut
0xff823744,Fflush_Fut
0xff823670,Fgets_Fut
0xffaa0db8,FixAEWithCompensation_FW
0xff94eeec,FmtMenu_ExecuteQuickFormat_FW
0xffaa0c8c,FocusAEWithCompensation_FW
0xff8234dc,Fopen_Fut
0xff8234dc,Fopen_Fut_FW
0xff8235c8,Fread_Fut
0xff8235c8,Fread_Fut_FW
0xff813a7c,free
0xffa09720,FreeBufferForSoundRec_FW
0xffa3d8b0,FreeMemory
0xffa3d8b0,FreeMemory_FW
0xff827ba8,FreeUncacheableMemory
0xff8236bc,Fseek_Fut
0xff8236bc,Fseek_Fut_FW
0xff82361c,Fwrite_Fut
0xff82361c,Fwrite_Fut_FW
0xff843b78,GetAdChValue_FW
