0xff8150d8,_GetSystemTime
0xffb4cfc0,_log
0xffb49044,_log10
0xffb491cc,_pow
0xffb4b3bc,_sqrt
0xffb0a9f4,AbortAEIntegralValue_FW
0xff8234fc,AcquireRecursiveLock
0xffb0962c,ActivateAdjLog_FW
0xff8e93a0,ActivateImager_FW
0xff98e550,ActivateImageSystem_FW
0xffb07ed0,AddAdjDataToFRom_FW
0xff9b2e58,AddItemToDialogBox_FW
0xffb1707c,AddTransparentMemory_FW
0xffb12618,AdjAEWithAperturePriority_FW
0xffb12534,AfAEWithAperturePriority_FW
0xffb127fc,AfAEWithCompensation_FW
0xff82fb28,AFAssistBeam_FW
0xff98eecc,AFCOff_FW
0xff98eea8,AFCOn_FW
0xff98edf0,AFDistanceChanged_FW
0xff98ed78,AFFrameMoved_FW
0xff98ed94,AFFrameSettingChanged_FW
0xff81ac70,AllocateMemory
0xff81ac70,AllocateMemory_FW
0xff814ea0,AllocateUncacheableMemory
0xff98f558,AllSettingReseted_FW
0xff8c6560,apex2us
0xffb51cec,atol_FW
0xffb170c4,AttachToTransparentMemory_FW
0xff82e864,Bat_Calc_FW
0xffb143d4,Bat_Save_FW
0xffb143c0,Bat_VIN_FW
0xff82d2c8,BatVoltageToAd_FW
0xff8305a4,BeepDrive_FW
0xff8305b8,BeepDriveComp_FW
0xffb0ddb4,CalcLog10_FW
0xff82e864,CalculateBatSenseOffset_FW
0xffb0dd5c,CalculateLog2ToApex_FW
0xffb105ac,CalculatePeakPositionByLeastSquare_FW
0xffb0dd90,CalculatePow2FromApex_FW
0xffb12488,CancelAdj_AEMode_FW
0xffb0ca64,CancelAdjCdsMode_FW
0xffb1198c,CancelBPFForBestPintCorrect_FW
0xffb11c3c,CancelExStrobeMode_FW
0xffb031b8,CancelFocusLensMaxSpeedLimit_FW
0xff815f9c,CancelHPTimer
0xff8e96c0,CancelImager_FW
0xff98f728,CancelPrepare_FW
0xff815340,CancelTimer
0xff8b5e90,Capture.Create_FW
0xff8b5f2c,Capture.Delete_FW
0xff98ebfc,CaptureModeChange_FW
0xffb0c728,ChangeAdjImgDrvMode_FW
0xffb0c774,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff95455c,ChangeGradeTable_FW
0xff8e977c,ChangeImagerToAlternateDraft_FW
0xff8e981c,ChangeImagerToDigiconMode_FW
0xff8e97ac,ChangeImagerToFocusJet_FW
0xff8e97dc,ChangeImagerToHoneyFlash_FW
0xff8e978c,ChangeImagerToJetDraft_FW
0xff8e97bc,ChangeImagerToJumboDraft_FW
0xff8e97ec,ChangeImagerToMangoPudding_FW
0xff8e97cc,ChangeImagerToMillefeAdjust_FW
0xff8e980c,ChangeImagerToMontblancMillefe_FW
0xff8e97fc,ChangeImagerToMontblancWhole_FW
0xff8e976c,ChangeImagerToNarrowDraft_FW
0xff8e981c,ChangeImagerToOITA_XAVIER_FW
0xff8e979c,ChangeImagerToPetitNarrow_FW
0xff8e983c,ChangeImagerToQVGA15Fps_FW
0xff8e982c,ChangeImagerToQVGA20Fps_FW
0xff8e986c,ChangeImagerToSmearCorrectAlternate_FW
0xff8e985c,ChangeImagerToSmearCorrectSuper_FW
0xff8e984c,ChangeImagerToSmearCorrectWide_FW
0xff8e974c,ChangeImagerToSuperWideDraft_FW
0xff8e9720,ChangeImagerToWholeParallel_FW
0xff8e973c,ChangeImagerToWholeParallelHalf_FW
0xff8e96f0,ChangeImagerToWholeSerial_FW
0xff8e9708,ChangeImagerToWholeSerialLineDef_FW
0xff8e975c,ChangeImagerToWideDraft_FW
0xff8e987c,ChangeImagerToXXX_FW
0xff8e9a00,ChangeUseAf_FW
0xff98ea7c,ChangeZoomSpeed_FW
0xffb11c4c,ChargeStrobe_FW
0xff820a7c,CheckAllEventFlag
0xff820a6c,CheckAnyEventFlag
0xffb033bc,CheckFocusLensAfAging_FW
0xff98e4bc,CheckLensAndShutdownReason_FW
0xff81a8a0,CheckSumAll_FW
0xff954a54,ClearDefectCount_FW
0xffb05b04,ClearDUIDFixFlag_FW
0xff820e7c,ClearEventFlag
0xffb05a9c,ClearFactoryMode_FW
0xffb0331c,ClearFocusLensBacklashSpeedToMax_FW
0xffafa2b8,ClearMechaShutterCount_FW
0xffaf7bcc,ClearPM3ByFs_FW
0xffaf7bbc,ClearPM3ByGpio_FW
0xff87b584,Close
0xffb57b7c,close
0xff87b584,Close_FW
0xff81bb6c,CloseConsole_FW
0xffb55004,closedir
0xffafa118,CloseMechaShutterEvent_FW
0xffafa178,CloseMechaShutterWithTimingEvent_FW
0xffb0d294,CloseMShutter_FW
0xff98f37c,ColorModeChanged_FW
0xff98e5b8,CompleteInitPTM_FW
0xffb1baf0,CompletePrepareTestRec_FW
0xff9b3fb4,ControlEventHandler_FW
0xffaa008c,ControlViewEvent_FW
0xffb0c6b8,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffb0c668,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb0de80,ConvertApexStdToApex_FW
0xffb0de4c,ConvertApexToApexStd_FW
0xffb0e4c0,ConvertCxCyToWBGain_FW
0xffb0f140,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb0cba4,ConvertTvToExposureTime_FW
0xff81b8a0,CPrintf_FW
0xff81b904,CPutChar_FW
0xffb07ab4,CreateAdjustmentTableMirror_FW
0xff821be4,CreateBinarySemaphore
0xff8236cc,CreateBinarySemaphoreStrictly
0xff9a0c84,CreateController_FW
0xff821ccc,CreateCountingSemaphore
0xff821ccc,CreateCountingSemaphore_FW
0xff8236f8,CreateCountingSemaphoreStrictly
0xff9b2a04,CreateDialogBox_FW
0xff9b3dac,CreateDialogItem_FW
0xffa79eb0,CreateDpConnectController_FW
0xff8207c0,CreateEventFlag
0xff8236a0,CreateEventFlagStrictly
0xffb08d48,CreateFADBGSingalID_FW
0xffa68780,CreateLanguageMenu_FW
0xff8210ac,CreateMessageQueue
0xff823674,CreateMessageQueueStrictly
0xffa34b30,CreatePlayMyColController_FW
0xff8176bc,CreateProxyOfEventProcedure_FW
0xff823348,CreateRecursiveLock
0xff823724,CreateRecursiveLockStrictly
0xff822594,CreateTask
0xff822594,CreateTask_FW
0xff823634,CreateTaskStrictly
0xffae9404,CreateVcomUart_FW
0xffa98dd4,DBG_changeTraceLevel_FW
0xff813d70,DebugAssert
0xff9a0d3c,DeleteController_FW
0xff9b2bfc,DeleteDialogBox_FW
0xff9b2d6c,DeleteDialogBoxAfterGetTopOfControl_FW
0xff9b3e9c,DeleteDialogItem_FW
0xffa7a120,DeleteDpConnectController_FW
0xff8208cc,DeleteEventFlag
0xff874444,DeleteFile_Fut
0xff9b2f2c,DeleteItemFromDialogBox_FW
0xffa68944,DeleteLanguageMenu_FW
0xff8211fc,DeleteMessageQueue
0xff9b7620,DeletePalette_FW
0xffa34c68,DeletePlayMyColController_FW
0xff817744,DeleteProxyOfEventProcedure_FW
0xff823464,DeleteRecursiveLock
0xff821dd8,DeleteSemaphore
0xff821dd8,DeleteSemaphore_FW
0xffae9534,DeleteVcomUart_FW
0xffb1534c,DevelopStillPicture_FW
0xffb08a10,DeviceUniqueIDCheckSum_FW
0xff9a846c,DisableAutoShutdown_FW
0xffb1ea54,DisableDebugLogMode_FW
0xffaed440,DisableFocusPiCircuit_FW
0xffaed420,DisableMechaCircuit_FW
0xff9e35d0,DisableMovieController_FW
0xffab251c,DisableNotificationPTP_FW
0xff8eefe8,DisableOBClampField_FW
0xff9be738,DisableRefreshPhysicalScreen_FW
0xffaed4b0,DisableZoomEncoderCircuit_FW
0xffaed478,DisableZoomPiCircuit_FW
0xff958cf4,DispCon_GetVideoAdjParameter_FW
0xff958d64,DispCon_SaveVideoAdjParameter_FW
0xff959034,DispCon_SetDisplayType_FW
0xff959078,DispCon_SetMaxBackLightBrightness_FW
0xff958c84,DispCon_SetVideoAdjParameter_FW
0xff958f40,DispCon_ShowBitmapColorBar
0xff958f40,DispCon_ShowBitmapColorBar_FW
0xff958f24,DispCon_ShowBlackChart_FW
0xff958d74,DispCon_ShowColorBar_FW
0xff958fac,DispCon_ShowCustomColorBar_FW
0xff958de8,DispCon_ShowFiveStep_FW
0xff958d48,DispCon_ShowVideoAdjParameter_FW
0xff958ee0,DispCon_ShowWhiteChart_FW
0xff959068,DispCon_TurnOffDisplay_FW
0xff959058,DispCon_TurnOnDisplay_FW
0xff9570a4,DispDev_EnableEventProc_FW
0xff9b3214,DisplayDialogBox_FW
0xffb0573c,DisplayFactoryMode_FW
0xff98f3a8,DisplayTypeChanged_FW
0xff98f09c,DoAELock
0xff98f09c,DoAELock_FW
0xff98ee30,DoAFLock
0xff98ee30,DoAFLock_FW
0xff9b3628,DrawBinaryBitmapToDialog_FW
0xff9b3f1c,DrawDialogItem_FW
0xff9b34d8,DrawStringToDialog_FW
0xff826f20,Driver_EnableEventProc_FW
0xff81ab48,Dump32_FW
0xffb07530,DumpAdjMirror_FW
0xffb17028,DumpTransparentMemoryItem_FW
0xff93380c,EF.AdjPreFlash_FW
0xff933800,EF.IsChargeFull_FW
0xff933874,EF.SetChargeMode_FW
0xff933704,EF.SetEFChargeTimeOut_FW
0xff9337ec,EF.SetMainFlashTime_FW
0xff933694,EF.StartEFCharge_FW
0xff93375c,EF.StartInternalMainFlash_FW
0xff933718,EF.StartInternalPreFlash_FW
0xff9336f4,EF.StopEFCharge_FW
0xff98e80c,EmergencyOfLens_FW
0xff9a8484,EnableAutoShutdown_FW
0xffb1ea3c,EnableDebugLogMode_FW
0xffb032a8,EnableFocusLens_FW
0xffaed430,EnableFocusPiCircuit_FW
0xff82106c,EnableInterrupt
0xffaed410,EnableMechaCircuit_FW
0xff9e35bc,EnableMovieController_FW
0xffab2530,EnableNotificationPTP_FW
0xff8eefd0,EnableOBClampField_FW
0xff9be724,EnableRefreshPhysicalScreen_FW
0xffaed4a0,EnableZoomEncoderCircuit_FW
0xffaed468,EnableZoomPiCircuit_FW
0xffa9cedc,EndClockMode_FW
0xff88cfa8,EngDrvBits
0xff88cf8c,EngDrvIn
0xff88cf74,EngDrvOut
0xff88cf94,EngDrvRead
0xff8b5d58,EngineDriver.Create_FW
0xff8b5d80,EngineDriver.Delete_FW
0xff98f004,EnterToCompensationEVF_FW
0xff98e914,EnterToPlayFromRec_FW
0xff98e900,EnterToRecFromPlay_FW
0xff98f9f0,EnterToRemoteCaptureMode_FW
0xffb07510,EraseAdjustmentArea_FW
0xffb446d0,EraseLogSector_FW
0xff823cb0,EraseSectorOfRom_FW
0xff81ad54,EraseSignature_FW
0xffb557d0,errnoOfTaskGet
