0xffc00bf4,memShow_FW
0xffc03968,malloc
0xffc03a3c,free
0xffc03b1c,realloc
0xffc03be4,GetMemInfo
0xffc04db0,drysh_FW
0xffc04e2c,err_init_task
0xffc04f7c,task_ClockSave
0xffc0984c,open
0xffc098fc,close
0xffc09ae4,Read
0xffc09ae4,read
0xffc09ae4,Read_FW
0xffc0af44,RegisterInterruptHandler
0xffc0af68,UnregisterInterruptHandler
0xffc0af80,GetSRAndDisableInterrupt
0xffc0af84,SetSR
0xffc0afa4,EnableInterrupt
0xffc0afac,CreateTask
0xffc0afac,CreateTask_FW
0xffc0b23c,ExitTask
0xffc0b23c,ExitTask_FW
0xffc0b284,DebugAssert
0xffc0b98c,RotateConsoleZOder_FW
0xffc0bb9c,CPrintf_FW
0xffc0bbf8,CPutChar_FW
0xffc0bc24,GetCh_FW
0xffc0bc74,GetStringWithPrompt_FW
0xffc0bcd4,OpenConsole_FW
0xffc0be40,CloseConsole_FW
0xffc0c1fc,task_Startup
0xffc0c34c,_uartr_req
0xffc0c3dc,task_UartLog
0xffc0c530,StartRedirectUART_FW
0xffc0cb5c,sprintf_FW
0xffc0cba0,vsprintf
0xffc0cbdc,strcpy
0xffc0cbdc,strcpy_FW
0xffc0cbf4,j_strcmp_FW
0xffc0cbf4,strcmp
0xffc0cc1c,strcmp_FW
0xffc0cc38,strlen
0xffc0cc38,strlen_FW
0xffc0cc5c,memcmp
0xffc0cc5c,memcmp_FW
0xffc0cd58,srand
0xffc0cd64,rand
0xffc10348,task_TempCheck
0xffc10644,GetVBatVoltage_FW
0xffc10644,VbattGet
0xffc10644,VbattGet_FW
0xffc116b0,kbd_p2_f
0xffc119e0,task_PhySw
0xffc11cd4,GetSwitchStatus_FW
0xffc11d40,GetSDDetect_FW
0xffc11d48,GetSDProtect
0xffc11d48,GetSDProtect_FW
0xffc11d64,GetDialEventId_FW
0xffc11d68,GetBatteryCoverClose_FW
0xffc11d70,kbd_read_keys
0xffc11dec,kbd_p1_f
0xffc11df8,kbd_p1_f_cont
0xffc12c08,EngDrvOut
0xffc12c20,EngDrvIn
0xffc12c28,EngDrvRead
0xffc12c3c,EngDrvBits
0xffc13494,RenameFile_Fut
0xffc134e8,DeleteFile_Fut
0xffc1355c,MakeDirectory_Fut
0xffc135cc,DeleteDirectory_Fut
0xffc13624,Fopen_Fut
0xffc13624,Fopen_Fut_FW
0xffc13664,Fclose_Fut
0xffc13664,Fclose_Fut_FW
0xffc13710,Fread_Fut
0xffc13710,Fread_Fut_FW
0xffc13764,Fwrite_Fut
0xffc13764,Fwrite_Fut_FW
0xffc137b8,Fgets_Fut
0xffc13804,Fseek_Fut
0xffc13804,Fseek_Fut_FW
0xffc13850,Feof_Fut
0xffc1388c,Fflush_Fut
0xffc13c14,Open
0xffc13c14,Open_FW
0xffc13c3c,Close
0xffc13c3c,Close_FW
0xffc13ce4,j_Read_FW
0xffc13ce8,Write
0xffc13ce8,write
0xffc13ce8,Write_FW
0xffc13d7c,Lseek
0xffc13d7c,lseek
0xffc13d7c,Lseek_FW
0xffc13e44,j_Lseek_FW
0xffc13e48,stat
0xffc13f18,SetFileTimeStamp
0xffc13f68,SetFileAttributes
0xffc13fe0,mkdir
0xffc1430c,j_StartCameraLog_FW
0xffc14310,j_ShowCameraLog_FW
0xffc14314,j_ShowCameraLogInfo_FW
0xffc14318,j_StopCameraLog_FW
0xffc1431c,j_PutsCameraLogEvent_FW
0xffc14320,OpLog.Create_FW
0xffc14384,j_NewTaskShell_FW
0xffc14388,j_ExMem.View_FW
0xffc1438c,j_ExMem.AllocUncacheable_FW
0xffc14390,j_ExMem.FreeUncacheable_FW
0xffc14394,j_ExMem.AllocCacheable_FW
0xffc14398,j_ExMem.FreeCacheable_FW
0xffc1439c,ExMem_FW
0xffc15298,DoAFLock
0xffc152d0,UnlockAF
0xffc15348,EnterToCompensationEVF
0xffc1538c,ExitFromCompensationEVF
0xffc153e0,DoAELock
0xffc15404,UnlockAE
0xffc16414,TestAssert_FW
0xffc16440,TestAssertInt_FW
0xffc16460,TestException_FW
0xffc1647c,TestExceptionInt_FW
0xffc1649c,TestPanic_FW
0xffc164cc,TestPanicInt_FW
0xffc166a4,CreateMessageQueue
0xffc16728,DeleteMessageQueue
0xffc167b8,ReceiveMessageQueue
0xffc16880,TryReceiveMessageQueue
0xffc16904,PostMessageQueue
0xffc169bc,TryPostMessageQueue
0xffc169fc,GetNumberOfPostedMessages
0xffc16a68,CreateBinarySemaphore
0xffc16ad0,CreateCountingSemaphore
0xffc16ad0,CreateCountingSemaphore_FW
0xffc16b28,DeleteSemaphore
0xffc16b28,DeleteSemaphore_FW
0xffc16b80,TryTakeSemaphore
0xffc16bd4,TakeSemaphore
0xffc16bd4,TakeSemaphore_FW
0xffc16ca4,GiveSemaphore
0xffc16ca4,GiveSemaphore_FW
0xffc16cdc,GetSemaphoreValue
0xffc16f0c,SleepTask
0xffc16f0c,SleepTask_FW
0xffc16fcc,CreateTaskStrictly
0xffc17000,CreateMessageQueueStrictly
0xffc17024,CreateEventFlagStrictly
0xffc17048,CreateBinarySemaphoreStrictly
0xffc1706c,CreateCountingSemaphoreStrictly
0xffc17090,CreateRecursiveLockStrictly
0xffc170b4,TakeSemaphoreStrictly
0xffc170e0,ReceiveMessageQueueStrictly
0xffc1710c,PostMessageQueueStrictly
0xffc17138,WaitForAnyEventFlagStrictly
0xffc17164,WaitForAllEventFlagStrictly
0xffc17190,AcquireRecursiveLockStrictly
0xffc17288,AllocateUncacheableMemory
0xffc172c8,FreeUncacheableMemory
0xffc17534,_GetSystemTime
0xffc1766c,SetTimerAfter
0xffc176ec,SetTimerWhen
0xffc17750,CancelTimer
0xffc18854,task_Bye
0xffc189d8,Restart
0xffc19108,task_StartupImage
0xffc1cac0,strncpy
0xffc1cafc,strtolx
0xffc1ccf8,strtol
0xffc1fcc4,ExpCtrlTool_StartContiAE
0xffc1fe08,ExpCtrlTool_StopContiAE
0xffc23a58,task_ImageSensorTask
0xffc2c800,DispCon_ShowColorBar_FW
0xffc2c854,DispCon_ShowFiveStep_FW
0xffc2c920,DispCon_ShowWhiteChart_FW
0xffc2c958,DispCon_ShowBlackChart_FW
0xffc2c974,DispCon_ShowBitmapColorBar
0xffc2c974,DispCon_ShowBitmapColorBar_FW
0xffc2c9d4,DispCon_ShowCustomColorBar_FW
0xffc2ca2c,DispCon_SetDisplayType_FW
0xffc2ca4c,DispCon_ShowColorChart_FW
0xffc2ca70,DispCon_TurnOnDisplay_FW
0xffc2ca70,TurnOnDisplay
0xffc2ca80,DispCon_TurnOffDisplay_FW
0xffc2ca80,TurnOffDisplay
0xffc2ca90,DispCon_TurnOnBackLight_FW
0xffc2caa0,DispCon_TurnOffBackLight_FW
0xffc2cab0,DispCon_SetMaxBackLightBrightness_FW
0xffc2cb30,DispCon_SetVideoAdjParameter_FW
0xffc2cba0,DispCon_GetVideoAdjParameter_FW
0xffc2cbfc,DispCon_ShowVideoAdjParameter_FW
0xffc2cc28,DispCon_SaveVideoAdjParameter_FW
0xffc2cca4,DispCon_SetLcdGainAdjParameter_FW
0xffc2cd70,DispCon_GetLcdGainAdjParameter_FW
0xffc2cdac,DispCon_ShowLcdGainAdjParameter_FW
0xffc2cdbc,DispCon_SaveLcdGainAdjParameter_FW
0xffc2cdd8,DispCon_SetLcdGammaParameter_FW
0xffc2ce30,DispCon_GetLcdGammaParameter_FW
0xffc2ce74,DispCon_ShowLcdGammaParameter_FW
0xffc2ceac,DispCon_SaveLcdGammaParameter_FW
0xffc2e444,GetAdVBattBottom_FW
0xffc2e44c,GetAdChValue_FW
0xffc2f668,Bat_Calc_FW
0xffc2f668,CalculateBatSenseOffset_FW
0xffc2f89c,task_BeepTask
0xffc2fc84,BeepDrive_FW
0xffc2fca4,BeepDriveComp_FW
0xffc2fea0,task_LEDCon
0xffc3043c,LEDDrive
0xffc3043c,LEDDrive_FW
0xffc30824,kbd_read_keys_r2
0xffc30e04,GetKbdState
0xffc31bb8,TurnOnVideoOutMode_FW
0xffc31bf0,TurnOffVideoOutMode_FW
0xffc32ef0,task_ASIF
0xffc33640,task_Thermometer
0xffc33858,GetCCDTemperature
0xffc33858,GetCCDTemperature_FW
0xffc338cc,GetBatteryTemperature
0xffc338cc,GetBatteryTemperature_FW
0xffc33940,GetOpticalTemperature
0xffc33940,GetOpticalTemperature_FW
0xffc339ec,IsOpticalTemperature_FW
0xffc33a20,IsCCDTemperature_FW
0xffc33a54,IsBatteryTemperature_FW
0xffc33a98,j_GetOpticalTemperature_FW
0xffc33a9c,j_GetCCDTemperature_FW
0xffc33aa0,j_GetBatteryTemperature_FW
0xffc33aa4,j_IsOpticalTemperature_FW
0xffc33aa8,j_IsCCDTemperature_FW
0xffc33aac,j_IsBatteryTemperature_FW
0xffc33c70,DisplayFactoryMode_FW
0xffc33c7c,UndisplayFactoryMode_FW
0xffc33e74,ClearFactoryMode_FW
0xffc33eac,SetFactoryMode_FW
0xffc33ee4,ClearDUIDFixFlag_FW
0xffc33f90,SetDUIDFixFlag_FW
0xffc33fcc,IsFactoryMode_FW
0xffc33ffc,IsDUIDFixFlag_FW
0xffc3403c,StartFactoryModeController_FW
0xffc34fc8,EraseAdjustmentArea_FW
0xffc34fd4,DumpAdjMirror_FW
0xffc34ff8,GetAdjTableVersion_FW
0xffc3502c,GetAdjTableMapVersion_FW
0xffc3503c,GetAdjTableValueVersion_FW
0xffc35050,ShowDefaultAdjTableVersion_FW
0xffc3510c,LoadAdjustmentTable_FW
0xffc3511c,CreateAdjustmentTableMirror_FW
0xffc354c4,SaveAdjustmentTable_FW
0xffc354f8,SaveAdjustmentValue_FW
0xffc35530,LoadAdjustmentValue_FW
0xffc35554,PrintAdjTableMap_FW
0xffc35760,RefreshAdjustmentTableMirror_FW
0xffc35860,PrintAdjKabotanInfo_FW
0xffc358ec,WRITEADJTABLETOFROM_FW
0xffc35910,WRITEADJUSTMENTDATATOFROM_FW
0xffc39290,InitializeTestRec_FW
0xffc392f8,TerminateTestRec_FW
0xffc39560,ExecuteTestRec_FW
0xffc39574,ExecuteTestRecCF_FW
0xffc39574,ExecuteTestRecSD_FW
0xffc3958c,ExecuteTestRecWithInteg_FW
0xffc395a4,ExecuteTestRecSw1_FW
0xffc39828,CalculateTestRecYUVData_FW
0xffc39848,SetTestRecSkimmingYUV_FW
0xffc39888,Initializedccd_FW
0xffc39888,InitializeDigicon_FW
0xffc39934,Terminatedccd_FW
0xffc39934,TerminateDigicon_FW
0xffc39988,ExecuteDigicon_FW
0xffc3a010,Executedccd_FW
0xffc3a088,GetdccdImage_FW
0xffc3a11c,GetdccdFilterValue_FW
0xffc3c8c8,task_FsIoNotifyTask
0xffc3f674,UpdateMBROnFlash
0xffc3f81c,GetDrive_ClusterSize
0xffc3f848,GetDrive_TotalClusters
0xffc3f874,GetDrive_FreeClusters
0xffc4009c,task_SD1stInit
0xffc4268c,task_ImgPlayDrv
0xffc436a8,task_RedEyeCapt
0xffc43ccc,task_LensController
0xffc45100,IsLensOutside_FW
0xffc45124,GetFocusStartZoomPosition_FW
0xffc45164,GetLensErrorStatus_FW
0xffc4554c,task_ISMainTask
0xffc45890,ISInitMotion_FW
0xffc45d9c,StartBDrive_FW
0xffc45d9c,StartISAdjustmentDrive_FW
0xffc45d9c,StartISDrive_FW
0xffc45da4,StopBDrive_FW
0xffc45da4,StopISAdjustmentDrive_FW
0xffc45da4,StopISDrive_FW
0xffc45dac,StartBPanDrive_FW
0xffc45dac,StartISPanDrive_FW
0xffc45db4,StopBPanDrive_FW
0xffc45db4,StopISPanDrive_FW
0xffc45dc8,StartISLocalAutoCenter_FW
0xffc45e08,StartISLocalHallAdjust_FW
0xffc45e74,SearchBCentralPosition_FW
0xffc45e74,SearchISLensCentralPosition_FW
0xffc45ed4,MoveISLensToCentralPosition_FW
0xffc45f18,ChangeToISCloseControl_FW
0xffc45f80,GetISHallDevicePitchOffset_FW
0xffc45f88,GetISHallDeviceYawOffset_FW
0xffc45f90,GetISHallDevicePitchGain_FW
0xffc45f98,GetISHallDeviceYawGain_FW
0xffc45fa0,GetISGyroPitchGain_FW
0xffc45fa8,GetISGyroYawGain_FW
0xffc45fb0,GetISPitchPWM_FW
0xffc4603c,GetISYawPWM_FW
0xffc46044,GetISShiftLensPitchPosition_FW
0xffc4604c,GetISShiftLensYawPosition_FW
0xffc46054,GetGyroDataPitch_FW
0xffc46054,GetISGyroDataPitch_FW
0xffc4605c,GetGyroDataYaw_FW
0xffc4605c,GetISGyroDataYaw_FW
0xffc4607c,GetGyro10BitDACPitch_FW
0xffc4607c,GetISGyro10BitDACPitch_FW
0xffc46084,GetGyro10BitDACYaw_FW
0xffc46084,GetISGyro10BitDACYaw_FW
0xffc460ac,GetGyroHPFINOffsetPitch_FW
0xffc460ac,GetISGyroHPFINOffsetPitch_FW
0xffc460c4,GetGyroHPFINOffsetYaw_FW
0xffc460c4,GetISGyroHPFINOffsetYaw_FW
0xffc460dc,GetGyroHPFINPitch_FW
0xffc460dc,GetISGyroHPFINPitch_FW
0xffc46138,GetGyroHPFINYaw_FW
0xffc46138,GetISGyroHPFINYaw_FW
0xffc461a8,ClearISCalcZData_FW
0xffc463a0,CancelLoopGainCalc_FW
0xffc46af0,GetISLensDampAaxis_FW
0xffc46af8,GetISLensDampBaxis_FW
0xffc47764,PT_PlaySound
0xffc478cc,PT_CompletePreCapt_FW
0xffc478d4,PT_RecreviewAvailable_FW
0xffc478dc,PT_NextShootAvailable_FW
0xffc478e4,PT_CompleteStopZoom_FW
0xffc478ec,PT_CompleteStopDigZoom_FW
0xffc478f4,PT_CompleteStoreLens_FW
0xffc478fc,PT_MovieRecordStopped_FW
0xffc47904,PT_CompleteCaptModeChange_FW
0xffc4790c,PT_CompleteSynchroWrite_FW
0xffc47914,PT_CompleteCharge_FW
0xffc4791c,PT_CompleteFileWrite_FW
0xffc47924,PT_ShootPicture_FW
0xffc4792c,PT_EraseAllFile_FW
0xffc47954,PT_mod_FW
0xffc4797c,PT_GetSystemTime_FW
0xffc47990,PT_SetPropertyCaseInt_FW
0xffc479bc,PT_GetPropertyCaseInt_FW
0xffc47a34,PT_GetLocalDateAndTimeString_FW
0xffc47a78,PT_PlaySound_FW
0xffc47a94,PT_LCD_BkColorDef_FW
0xffc47b04,PT_MoveOpticalZoomToTele_FW
0xffc47b18,PT_MoveOpticalZoomToWide_FW
0xffc47b2c,PT_MoveOpticalZoomAt
0xffc47b2c,PT_MoveOpticalZoomAt_FW
0xffc47b44,PT_MoveDigitalZoomToTele_FW
0xffc47b54,PT_MoveDigitalZoomToWide
0xffc47b54,PT_MoveDigitalZoomToWide_FW
0xffc47b64,PT_MoveDigitalZoomAt_FW
0xffc47b78,PT_ChangeZoomSpeed_FW
0xffc47b8c,PT_DoAFLock_FW
0xffc47b9c,PT_UnlockAF_FW
0xffc47bac,PT_DoAELock_FW
0xffc47bbc,PT_UnlockAE_FW
0xffc47bcc,PT_MFOn_FW
0xffc47bdc,PT_MFOff_FW
0xffc47bec,NR_SetDoubleNRType_FW
0xffc47bf4,SS.Create_FW
0xffc49fe0,task_CaptSeq
0xffc49fe0,task_CaptSeqTask
0xffc4faa4,task_SsTask
0xffc521f0,CreateEventFlag
0xffc52248,DeleteEventFlag
0xffc52298,CheckAnyEventFlag
0xffc522e0,CheckAllEventFlag
0xffc52328,WaitForAnyEventFlag
0xffc5240c,WaitForAllEventFlag
0xffc524cc,SetEventFlag
0xffc52500,ClearEventFlag
0xffc52538,GetEventFlagValue
0xffc526bc,CreateRecursiveLock
0xffc5270c,DeleteRecursiveLock
0xffc5275c,AcquireRecursiveLock
0xffc5287c,ReleaseRecursiveLock
0xffc53940,UnLoadScript_FW
0xffc53a30,Printf_FW
0xffc53a3c,LoadScript_FW
0xffc54120,time
0xffc5426c,LocalTime
0xffc54794,GetTimeOfSystem_FW
0xffc5486c,ExMem.View_FW
0xffc54d50,ExMem.AllocUncacheable_FW
0xffc54e8c,ExMem.FreeUncacheable_FW
0xffc54ea0,exmem_alloc
0xffc54f08,ExMem.AllocCacheable_FW
0xffc54f18,exmem_free
0xffc54f90,ExMem.FreeCacheable_FW
0xffc55b88,SetHPTimerAfterNow
0xffc55c08,SetHPTimerAfterTimeout
0xffc55c90,CancelHPTimer
0xffc5647c,RegisterEventProcedure
0xffc565a8,ExecuteEventProcedure
0xffc56620,ExecuteEventProcedure_FW
0xffc56fe0,ExportToEventProcedure_FW
0xffc56fec,CreateProxyOfEventProcedure_FW
0xffc57044,DeleteProxyOfEventProcedure_FW
0xffc5725c,PutsCameraLogEvent_FW
0xffc572a0,ShowCameraLogInfo_FW
