0xff8139dc,malloc
0xff813ab0,free
0xff813b90,realloc
0xff813c58,GetMemInfo
0xff814e34,drysh_FW
0xff814eb0,err_init_task
0xff8150cc,task_ClockSave
0xff8151c8,printclock_FW
0xff8151c8,SetMClk18MHz_FW
0xff8151c8,SetMClk36MHz_FW
0xff8151c8,SetMClk72MHz_FW
0xff815258,j_SetMClk18MHz_FW
0xff81525c,j_SetMClk36MHz_FW
0xff815260,j_SetMClk72MHz_FW
0xff815264,SetHClk18MHz_FW
0xff815350,SetHClk36MHz_FW
0xff815364,SetHClk72MHz_FW
0xff81539c,SetLClk18MHz_FW
0xff8153ac,SetLClk36MHz_FW
0xff8153bc,SetLClk72MHz_FW
0xff8153cc,StopClockSaver_FW
0xff81a0e0,open
0xff81a190,close
0xff81a378,Read
0xff81a378,read
0xff81a378,Read_FW
0xff81b7b8,RegisterInterruptHandler
0xff81b7dc,UnregisterInterruptHandler
0xff81b7f4,GetSRAndDisableInterrupt
0xff81b7f8,SetSR
0xff81b818,EnableInterrupt
0xff81b820,CreateBinarySemaphore
0xff81b888,CreateCountingSemaphore
0xff81b888,CreateCountingSemaphore_FW
0xff81b8e0,DeleteSemaphore
0xff81b8e0,DeleteSemaphore_FW
0xff81b938,TryTakeSemaphore
0xff81b98c,TakeSemaphore
0xff81b98c,TakeSemaphore_FW
0xff81ba5c,GiveSemaphore
0xff81ba5c,GiveSemaphore_FW
0xff81ba94,GetSemaphoreValue
0xff81baf0,CreateTask
0xff81baf0,CreateTask_FW
0xff81bd80,ExitTask
0xff81bd80,ExitTask_FW
0xff81bdc8,CreateTaskStrictly
0xff81bdfc,CreateMessageQueueStrictly
0xff81be20,CreateEventFlagStrictly
0xff81be44,CreateBinarySemaphoreStrictly
0xff81be68,CreateCountingSemaphoreStrictly
0xff81be8c,CreateRecursiveLockStrictly
0xff81beb0,TakeSemaphoreStrictly
0xff81bedc,ReceiveMessageQueueStrictly
0xff81bf08,PostMessageQueueStrictly
0xff81bf34,WaitForAnyEventFlagStrictly
0xff81bf60,WaitForAllEventFlagStrictly
0xff81bf8c,AcquireRecursiveLockStrictly
0xff81bfc8,DebugAssert
0xff81c06c,RegisterEventProcedure
0xff81c1a8,ExecuteEventProcedure
0xff81c1a8,ExecuteEventProcedure_FW
0xff81cb50,ExportToEventProcedure_FW
0xff81cb5c,CreateProxyOfEventProcedure_FW
0xff81cbb4,DeleteProxyOfEventProcedure_FW
0xff81d348,RotateConsoleZOder_FW
0xff81d558,CPrintf_FW
0xff81d5b4,CPutChar_FW
0xff81d5e0,GetCh_FW
0xff81d630,GetStringWithPrompt_FW
0xff81d690,OpenConsole_FW
0xff81d7f4,CloseConsole_FW
0xff81dbb0,task_Startup
0xff81dcf4,_uartr_req
0xff81dd84,task_UartLog
0xff81dfb0,StopRedirectUART_FW
0xff81dfd8,StartRedirectUART_FW
0xff81dfe8,j_StopRedirectUART_FW
0xff81e6ac,sprintf_FW
0xff81e6f0,vsprintf
0xff81e770,strcpy
0xff81e770,strcpy_FW
0xff81e788,strncpy
0xff81e7c4,j_strcmp_FW
0xff81e7c4,strcmp
0xff81e7ec,strcmp_FW
0xff81e808,strlen
0xff81e808,strlen_FW
0xff81e82c,memcmp
0xff81e82c,memcmp_FW
0xff81e928,srand
0xff81e934,rand
0xff820b3c,RegComEventProc_FW
0xff820e88,SetBattCheckMode_FW
0xff820ef4,ShowBattCheckMode_FW
0xff820f48,ShowBattChkAdj_FW
0xff8211e4,GetLBOffset_FW
0xff8211f0,LowBat_Result_Print_On_FW
0xff821944,GetVBatVoltage_FW
0xff821944,VbattGet
0xff821944,VbattGet_FW
0xff821b44,task_TempCheck
0xff82282c,ExecuteLoadTest_FW
0xff822834,TurnOn_LoadTest_DebugMode_FW
0xff822848,TurnOff_LoadTest_DebugMode_FW
0xff822858,LoadTest_Result_Print_On_FW
0xff8229b8,kbd_p2_f
0xff822d14,task_PhySw
0xff822db8,ShowPhySwStatus_FW
