0xff810bd0,memShow_FW
0xff8139c4,malloc
0xff813a98,free
0xff813b78,realloc
0xff813c40,GetMemInfo
0xff814e1c,drysh_FW
0xff814e98,err_init_task
0xff8150b4,task_ClockSave
0xff819dfc,open
0xff819eac,close
0xff81a094,Read
0xff81a094,read
0xff81a094,Read_FW
0xff81b4d8,RegisterInterruptHandler
0xff81b4fc,UnregisterInterruptHandler
0xff81b514,GetSRAndDisableInterrupt
0xff81b518,SetSR
0xff81b538,EnableInterrupt
0xff81b540,CreateBinarySemaphore
0xff81b5a8,CreateCountingSemaphore
0xff81b5a8,CreateCountingSemaphore_FW
0xff81b600,DeleteSemaphore
0xff81b600,DeleteSemaphore_FW
0xff81b658,TryTakeSemaphore
0xff81b6ac,TakeSemaphore
0xff81b6ac,TakeSemaphore_FW
0xff81b77c,GiveSemaphore
0xff81b77c,GiveSemaphore_FW
0xff81b7b4,GetSemaphoreValue
0xff81b818,CreateTask
0xff81b818,CreateTask_FW
0xff81baa8,ExitTask
0xff81baa8,ExitTask_FW
0xff81baf0,CreateTaskStrictly
0xff81bb24,CreateMessageQueueStrictly
0xff81bb48,CreateEventFlagStrictly
0xff81bb6c,CreateBinarySemaphoreStrictly
0xff81bb90,CreateCountingSemaphoreStrictly
0xff81bbb4,CreateRecursiveLockStrictly
0xff81bbd8,TakeSemaphoreStrictly
0xff81bc04,ReceiveMessageQueueStrictly
0xff81bc30,PostMessageQueueStrictly
0xff81bc5c,WaitForAnyEventFlagStrictly
0xff81bc88,WaitForAllEventFlagStrictly
0xff81bcb4,AcquireRecursiveLockStrictly
0xff81bcf8,DebugAssert,(stubs_entry_2.s)
0xff81c3f8,RotateConsoleZOder_FW
0xff81c608,CPrintf_FW
0xff81c664,CPutChar_FW
0xff81c690,GetCh_FW
0xff81c6e0,GetStringWithPrompt_FW
0xff81c740,OpenConsole_FW
0xff81c8a4,CloseConsole_FW
0xff81cc60,task_Startup
0xff81cda0,_uartr_req
0xff81ce30,task_UartLog
0xff81cf84,StartRedirectUART_FW
0xff81d700,sprintf_FW
0xff81d744,vsprintf
0xff81d7c4,strcpy
0xff81d7c4,strcpy_FW
0xff81d7dc,j_strcmp_FW
0xff81d7dc,strcmp
0xff81d804,strcmp_FW
0xff81d820,strlen
0xff81d820,strlen_FW
0xff81d844,memcmp
0xff81d844,memcmp_FW
0xff81d940,srand
0xff81d94c,rand
0xff82071c,VbattGet
0xff82071c,VbattGet_FW
0xff820904,task_TempCheck
0xff821770,kbd_p2_f
0xff821acc,task_PhySw
0xff821ce0,GetSwitchStatus_FW
0xff821e10,GetSDDetect_FW
0xff821e18,GetSDProtect
0xff821e18,GetSDProtect_FW
0xff821e34,GetDialEventId_FW
0xff821e38,kbd_read_keys
0xff821f3c,kbd_p1_f
0xff821f48,kbd_p1_f_cont
0xff822d5c,EngDrvOut
0xff822d74,EngDrvIn
0xff822d7c,EngDrvRead
0xff822d90,EngDrvBits
0xff8235e8,RenameFile_Fut
0xff82363c,DeleteFile_Fut
0xff8236b0,MakeDirectory_Fut
0xff823720,DeleteDirectory_Fut
0xff823778,Fopen_Fut
0xff823778,Fopen_Fut_FW
0xff8237b8,Fclose_Fut
0xff8237b8,Fclose_Fut_FW
0xff823864,Fread_Fut
0xff823864,Fread_Fut_FW
0xff8238b8,Fwrite_Fut
0xff8238b8,Fwrite_Fut_FW
0xff82390c,Fgets_Fut
0xff823958,Fseek_Fut
0xff823958,Fseek_Fut_FW
0xff8239a4,Feof_Fut
0xff8239e0,Fflush_Fut
0xff823d68,Open
0xff823d68,Open_FW
0xff823d90,Close
0xff823d90,Close_FW
0xff823e38,j_Read_FW
0xff823e3c,Write
0xff823e3c,write
0xff823e3c,Write_FW
0xff823ed0,Lseek
0xff823ed0,lseek
0xff823ed0,Lseek_FW
0xff823f98,j_Lseek_FW
0xff823f9c,stat
0xff82406c,SetFileTimeStamp
0xff8240bc,SetFileAttributes
0xff824134,mkdir
0xff824460,j_StartCameraLog_FW
0xff824464,j_ShowCameraLog_FW
0xff824468,j_ShowCameraLogInfo_FW
0xff82446c,j_StopCameraLog_FW
0xff824470,j_PutsCameraLogEvent_FW
0xff824474,OpLog.Create_FW
0xff8244f0,j_NewTaskShell_FW
0xff8244f4,j_ExMem.View_FW
0xff8244f8,j_ExMem.AllocUncacheable_FW
0xff8244fc,j_ExMem.FreeUncacheable_FW
0xff824500,j_ExMem.AllocCacheable_FW
0xff824504,j_ExMem.FreeCacheable_FW
0xff824508,ExMem_FW
0xff825b88,DoAFLock
0xff825bcc,UnlockAF
0xff825e84,EnterToCompensationEVF
0xff825ed4,ExitFromCompensationEVF
0xff825f78,DoAELock
0xff825fa8,UnlockAE
0xff827868,CreateEventFlag
0xff8278c0,DeleteEventFlag
0xff827910,CheckAnyEventFlag
0xff827958,CheckAllEventFlag
0xff8279a0,WaitForAnyEventFlag
0xff827a44,WaitForAllEventFlag
0xff827b0c,SetEventFlag
0xff827b40,ClearEventFlag
0xff827b78,GetEventFlagValue
0xff827c7c,CreateMessageQueue
0xff827d00,DeleteMessageQueue
0xff827d90,ReceiveMessageQueue
0xff827e3c,TryReceiveMessageQueue
0xff827eb8,PostMessageQueue
0xff827f54,TryPostMessageQueue
0xff827f94,GetNumberOfPostedMessages
0xff828004,CreateRecursiveLock
0xff828054,DeleteRecursiveLock
0xff8280a4,AcquireRecursiveLock
0xff8281a8,ReleaseRecursiveLock
0xff8283f0,SleepTask
0xff8283f0,SleepTask_FW
0xff82856c,AllocateUncacheableMemory
0xff8285a0,FreeUncacheableMemory
0xff82880c,_GetSystemTime
0xff828944,SetTimerAfter
0xff8289c4,SetTimerWhen
0xff828a28,CancelTimer
0xff829c58,task_Bye
0xff829de4,Restart
0xff82a4d4,task_StartupImage
0xff82e200,strncpy
0xff82e23c,strtolx
0xff82e438,strtol
0xff82e518,task_AFTask
0xff832b04,ExpCtrlTool_StartContiAE
0xff832c48,ExpCtrlTool_StopContiAE
0xff834e88,task_FramePosition
0xff837938,task_ImageSensorTask
0xff838a40,SetUSBToDCPMode_FW
0xff83e6dc,DispCon_ShowColorBar_FW
0xff83e738,DispCon_ShowFiveStep_FW
0xff83e818,DispCon_ShowWhiteChart_FW
0xff83e850,DispCon_ShowBlackChart_FW
0xff83e86c,DispCon_ShowBitmapColorBar
0xff83e86c,DispCon_ShowBitmapColorBar_FW
0xff83e8cc,DispCon_ShowCustomColorBar_FW
0xff83e930,DispCon_SetDisplayType_FW
0xff83e950,DispCon_TurnOnDisplay_FW
0xff83e950,TurnOnDisplay
0xff83e960,DispCon_TurnOffDisplay_FW
0xff83e960,TurnOffDisplay
0xff83e970,DispCon_SetMaxBackLightBrightness_FW
0xff83e9fc,DispCon_SetVideoAdjParameter_FW
0xff83ea5c,DispCon_GetVideoAdjParameter_FW
0xff83eaa4,DispCon_ShowVideoAdjParameter_FW
0xff83eabc,DispCon_SaveVideoAdjParameter_FW
0xff840388,GetAdVBattBottom_FW
0xff840390,GetAdChValue_FW
0xff8416bc,task_BeepTask
0xff841aa4,BeepDrive_FW
