0xff8281e8,_GetSystemTime
0xffadfaec,_log
0xffade778,_log10
0xffade8e8,_pow
0xffae1748,_sqrt
0xff81c294,_uartr_req
0xffaa6ca0,AbortAEIntegralValue_FW
0xff86e314,AcquireRecursiveLock
0xff827e44,AcquireRecursiveLockStrictly
0xff9040e8,ActivateAdjLog_FW
0xff9f13a4,ActivateImager_FW
0xff9f1430,ActivateImagerXOne_FW
0xff9fbed8,add_ptp_handler
0xff9477c4,AdditionAgentRAM_FW
0xffa164b8,AddTransparentMemory_FW
0xffaad278,AdjAEWithAperturePriority_FW
0xffaad234,AfAEWithAperturePriority_FW
0xffaad424,AfAEWithCompensation_FW
0xff9f0120,AFTool.GetEVal_FW
0xffa49a40,AllocateMemory
0xffa49a40,AllocateMemory_FW
0xff827f3c,AllocateUncacheableMemory
0xff9c8cb0,apex2us
0xff8975ac,atol_FW
0xffaa7774,AttachIntegCrawData_FW
0xffa164f0,AttachToTransparentMemory_FW
0xff848db4,Bat_Calc_FW
0xffaae7ec,Bat_Save_FW
0xffaae7d8,Bat_VIN_FW
0xff8493d0,BeepDrive_FW
0xffaa8e8c,CalcLog10_FW
0xffab0590,CalcLoopGain_FW
0xffaa8f7c,CalcSqrt_FW
0xff848db4,CalculateBatSenseOffset_FW
0xffaa8e2c,CalculateLog2ToApex_FW
0xffaa8df0,CalculatePeakFromLeastSquareResult_FW
0xffaa8e40,CalculatePow2FromApex_FW
0xffaad050,CancelAdj_AEMode_FW
0xffaa7f44,CancelAdjCdsMode_FW
0xffaab468,CancelBPFilterForBP_FW
0xffaac9ac,CancelExStrobeMode_FW
0xffa46790,CancelFocusLensMaxSpeedLimit_FW
0xff871bac,CancelHPTimer
0xff9f1588,CancelImager_FW
0xffab057c,CancelLoopGainCalc_FW
0xff828404,CancelTimer
0xff93bcc0,Capture.Create_FW
0xffaa7ce4,ChangeAdjImgDrvMode_FW
0xffaa7d10,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff9060ec,ChangeDefectRecExpGain_FW
0xff9060c0,ChangeDefectRecExpTv_FW
0xff906154,ChangeDefectRecPeakHoldSetting_FW
0xffaae5ac,ChangeDistortionSetForLiveImage_FW
0xffab03c4,ChangeFilterMode_FW
0xffa46944,ChangeFocusDistanceToPosition_FW
0xff9e7f8c,ChangeGradeTable_FW
0xff9f1648,ChangeImagerToAlternateDraft_FW
0xff9f1640,ChangeImagerToDigiconMode_FW
0xff9f1668,ChangeImagerToFastBP_FW
0xff9f1608,ChangeImagerToFocusJet_FW
