0xff000dd4,memShow_FW
0xff004050,strncpy
0xff00408c,strncmp
0xff0040d8,strchr
0xff0040fc,strrchr
0xff004124,strlen
0xff004124,strlen_FW
0xff00420c,malloc
0xff004264,free
0xff005fb0,drysh_FW
0xff00602c,err_init_task
0xff00617c,task_ClockSave
0xff00a2b8,GetMemInfo
0xff00ab20,open
0xff00abd0,close
0xff00ad74,Read
0xff00ad74,read
0xff00ad74,Read_FW
0xff00ea88,RegisterInterruptHandler
0xff00eaac,UnregisterInterruptHandler
0xff00eac4,GetSRAndDisableInterrupt
0xff00eac8,SetSR
0xff00eae8,EnableInterrupt
0xff00eaf0,CreateTask
0xff00eaf0,CreateTask_FW
0xff00ed80,ExitTask
0xff00ed80,ExitTask_FW
0xff00edc8,DebugAssert
0xff00f4b4,RotateConsoleZOder_FW
0xff00f6c4,CPrintf_FW
0xff00f71c,CPutChar_FW
0xff00f744,GetCh_FW
0xff00f794,GetStringWithPrompt_FW
0xff00f834,OpenConsole_FW
0xff00f960,CloseConsole_FW
0xff00fd34,task_Startup
0xff00fd84,task_Booting
0xff00ff3c,_uartr_req
0xff00ffcc,task_UartLog
0xff010170,StartRedirectUART_FW
0xff010284,StopRedirectUART_FW
0xff010980,sprintf_FW
0xff0109c4,vsprintf
0xff010a04,strcpy
0xff010a04,strcpy_FW
0xff010a1c,j_strcmp_FW
0xff010a1c,strcmp
0xff010a44,strcmp_FW
0xff010a60,memcmp
0xff010a60,memcmp_FW
0xff021ccc,task_BatteryTask
0xff02237c,GetVBatVoltage_FW
0xff02237c,VbattGet
0xff02237c,VbattGet_FW
0xff022cbc,i2c_Bl_Pwr_Ctrl_FW
0xff022fd8,Dcdc_Rtc_Set_Timer_Reg_FW
0xff023190,Dcdc_Set_Avs_Voltage_Step_FW
0xff023238,Dcdc_Get_Avs_Voltage_Step_FW
0xff0232a4,Dcdc_Down_Avs_Voltage_Step_FW
0xff023348,Dcdc_Up_Avs_Voltage_Step_FW
