0xff813a2c,malloc
0xff813b00,free
0xff813be0,realloc
0xff813ca8,GetMemInfo
0xff814e84,drysh_FW
0xff814f00,err_init_task
0xff81511c,task_ClockSave
0xff815218,printclock_FW
0xff815218,SetMClk18MHz_FW
0xff815218,SetMClk36MHz_FW
0xff815218,SetMClk72MHz_FW
0xff8152a8,j_SetMClk18MHz_FW
0xff8152ac,j_SetMClk36MHz_FW
0xff8152b0,j_SetMClk72MHz_FW
0xff8152b4,SetHClk18MHz_FW
0xff8153a0,SetHClk36MHz_FW
0xff8153b4,SetHClk72MHz_FW
0xff8153ec,SetLClk18MHz_FW
0xff8153fc,SetLClk36MHz_FW
0xff81540c,SetLClk72MHz_FW
0xff81541c,StopClockSaver_FW
0xff819f68,open
0xff81a018,close
0xff825d6c,Read,(stubs_entry_2.s)
0xff81a200,read
0xff81a200,Read_FW
0xff81b5c4,RegisterInterruptHandler
0xff81b5e8,UnregisterInterruptHandler
0xff81b600,GetSRAndDisableInterrupt
0xff81b604,SetSR
0xff81b624,EnableInterrupt
0xff81b62c,CreateBinarySemaphore
0xff81b694,CreateCountingSemaphore
0xff81b694,CreateCountingSemaphore_FW
0xff81b6ec,DeleteSemaphore
0xff81b6ec,DeleteSemaphore_FW
0xff81b744,TryTakeSemaphore
0xff81b798,TakeSemaphore
0xff81b798,TakeSemaphore_FW
0xff81b868,GiveSemaphore
0xff81b868,GiveSemaphore_FW
0xff81b8a0,GetSemaphoreValue
0xff81b8fc,CreateTask
0xff81b8fc,CreateTask_FW
0xff81bb8c,ExitTask
0xff81bb8c,ExitTask_FW
0xff81bbd4,CreateTaskStrictly
0xff81bc08,CreateMessageQueueStrictly
0xff81bc2c,CreateEventFlagStrictly
0xff81bc50,CreateBinarySemaphoreStrictly
0xff81bc74,CreateCountingSemaphoreStrictly
0xff81bc98,CreateRecursiveLockStrictly
0xff81bccc,DebugAssert
0xff81bd70,RegisterEventProcedure
0xff81be9c,ExecuteEventProcedure
0xff81be9c,ExecuteEventProcedure_FW
0xff81c83c,ExportToEventProcedure_FW
0xff81c848,CreateProxyOfEventProcedure_FW
0xff81c8a0,DeleteProxyOfEventProcedure_FW
0xff81cc8c,RotateConsoleZOder_FW
0xff81d3ec,CPrintf_FW
0xff81d448,CPutChar_FW
0xff81d474,GetCh_FW
0xff81d4c4,GetStringWithPrompt_FW
0xff81d554,OpenConsole_FW
0xff81d64c,CloseConsole_FW
0xff81d950,task_Startup
0xff81dae8,_uartr_req
0xff81db78,task_UartLog
0xff81dda4,StopRedirectUART_FW
0xff81ddcc,StartRedirectUART_FW
0xff81dddc,j_StopRedirectUART_FW
0xff81e4e4,sprintf_FW
0xff81e528,vsprintf
0xff81e5a8,strcpy
0xff81e5a8,strcpy_FW
0xff81e5c0,strncpy
0xff81e5fc,j_strcmp_FW
0xff81e5fc,strcmp
0xff81e624,strcmp_FW
0xff81e640,strlen
0xff81e640,strlen_FW
0xff81e664,memcmp
0xff81e664,memcmp_FW
0xff81bcec,srand,(stubs_entry_2.s)
0xff81e76c,rand
0xff820978,RegComEventProc_FW
0xff82128c,GetAdChValue_FW
0xff821320,GetAdVBattBottom_FW
0xff821704,SetBattCheckMode_FW
0xff821770,ShowBattCheckMode_FW
0xff8217a0,ShowBattChkAdj_FW
0xff821a38,GetLBOffset_FW
0xff821a44,LowBat_Result_Print_On_FW
0xff821a58,LowBat_Result_Print_Off_FW
0xff822204,VbattGet
0xff822204,VbattGet_FW
0xff82241c,task_TempCheck
0xff823070,ExecuteLoadTest_FW
0xff823078,TurnOn_LoadTest_DebugMode_FW
0xff823088,TurnOff_LoadTest_DebugMode_FW
0xff823098,LoadTest_Result_Print_On_FW
0xff8230a8,LoadTest_Result_Print_Off_FW
0xff823244,kbd_p2_f
0xff8235a0,task_PhySw
0xff82363c,ShowPhySwStatus_FW
0xff8236f0,SetRawSWCheckMode_FW
0xff823704,OnPrintPhySw_FW
0xff823718,OffPrintPhySw_FW
0xff823728,GetSwitchStatus_FW
0xff823758,ShowSDStatus_FW
0xff8238a0,GetSDDetect_FW
0xff8238b4,GetSDProtect
0xff8238b4,GetSDProtect_FW
0xff8238c8,kbd_read_keys
0xff8239a4,kbd_p1_f
0xff8239b0,kbd_p1_f_cont
0xff824784,EngDrvOut
0xff82479c,EngDrvIn
0xff8247a4,EngDrvRead
0xff8247b8,EngDrvBits
0xff824988,DisplayFactoryMode_FW
0xff824994,UndisplayFactoryMode_FW
0xff824b40,ClearFactoryMode_FW
0xff824b6c,SetFactoryMode_FW
0xff824c30,ClearDUIDFixFlag_FW
0xff824c68,SetDUIDFixFlag_FW
0xff824cac,IsDUIDFixFlag_FW
0xff824cd8,IsFactoryMode_FW
0xff824d18,StartFactoryModeController_FW
0xff8254d8,RenameFile_Fut
0xff82552c,DeleteFile_Fut
0xff8255a0,MakeDirectory_Fut
0xff825610,DeleteDirectory_Fut
0xff825668,Fopen_Fut
0xff825668,Fopen_Fut_FW
0xff8256a8,Fclose_Fut
0xff8256a8,Fclose_Fut_FW
0xff825754,Fread_Fut
0xff825754,Fread_Fut_FW
0xff8257a8,Fwrite_Fut
0xff8257a8,Fwrite_Fut_FW
0xff8257fc,Fgets_Fut
0xff825848,Fseek_Fut
0xff825848,Fseek_Fut_FW
0xff825894,Feof_Fut
0xff8258d0,Fflush_Fut
0xff825914,Fut.Save_FW
0xff825c9c,Open
0xff825c9c,Open_FW
0xff825cc4,Close
0xff825cc4,Close_FW
0xff825d6c,j_Read_FW
0xff825d70,Write
0xff81a260,write,(stubs_entry_2.s)
0xff825d70,Write_FW
0xff825ecc,Lseek,(stubs_entry_2.s)
0xff825e04,lseek
0xff825e04,Lseek_FW
0xff825ecc,j_Lseek_FW
0xff825ed0,stat
0xff825fa0,SetFileTimeStamp
0xff825ff0,SetFileAttributes
0xff826068,mkdir
0xff8264dc,task_ShutdownRecTask
0xff827bc8,DoAFLock
0xff827c34,UnlockAF
0xff827fa8,EnterToCompensationEVF
0xff82809c,ExitFromCompensationEVF
0xff82814c,DoAELock
0xff828188,UnlockAE
0xff829fd0,CreateEventFlag
0xff82a028,DeleteEventFlag
0xff82a078,CheckAnyEventFlag
0xff82a0c0,CheckAllEventFlag
0xff82a108,WaitForAnyEventFlag
0xff82a1ac,WaitForAllEventFlag
0xff82a274,SetEventFlag
0xff82a2a8,ClearEventFlag
0xff82a2e0,GetEventFlagValue
