0xff811acc,wrapped_malloc
0xff8127e0,exmem_alloc
0xff812c84,printclock_FW
0xff812d88,StopClockSaver_FW
0xff812da4,SetLClk72MHz_FW
0xff812db4,SetLClk36MHz_FW
0xff812dc4,SetLClk18MHz_FW
0xff812e6c,SetHClk72MHz_FW
0xff812eb0,SetHClk36MHz_FW
0xff812ed8,SetHClk18MHz_FW
0xff812f1c,SetMClk72MHz_FW
0xff812f60,SetMClk36MHz_FW
0xff812f88,SetMClk18MHz_FW
0xff812fcc,task_ClockSave
0xff813a80,DebugAssert
0xff814108,LocalTime
0xff814888,GetTimeOfSystem_FW
0xff814bb0,AllocateUncacheableMemory
0xff814be4,FreeUncacheableMemory
0xff814de8,_GetSystemTime
0xff814f3c,SetTimerAfter
0xff814fd8,SetTimerWhen
0xff815050,CancelTimer
0xff815838,SetHPTimerAfterNow
0xff8158c4,SetHPTimerAfterTimeout
0xff815cac,CancelHPTimer
0xff816944,RegisterEventProcedure_FW
0xff816ac8,ExecuteEventProcedure
0xff816ac8,ExecuteEventProcedure_FW
0xff816ce4,ExportToEventProcedure_FW
0xff81747c,CreateProxyOfEventProcedure_FW
0xff817504,DeleteProxyOfEventProcedure_FW
0xff817f30,LogCameraEvent
0xff817f98,PutsCameraLogEvent_FW
0xff8180a0,ShowCameraLogInfo_FW
0xff818144,ShowCameraLog_FW
0xff818424,StopCameraLog_FW
0xff81a244,StartWDT_FW
0xff81a2c0,StopWDT_FW
0xff81a434,GetBuildDate_FW
0xff81a44c,GetBuildTime_FW
0xff81a470,GetFirmwareVersion_FW
0xff81a558,RomCheckSum_FW
0xff81a5f4,CheckSumAll_FW
0xff81a7e4,SystemEventDelete_FW
0xff81a828,SystemEventInit_FW
0xff81a904,Dump32_FW
0xff81aa18,FreeMemory
0xff81aa18,FreeMemory_FW
0xff81aa2c,AllocateMemory
0xff81aa2c,AllocateMemory_FW
0xff81aa3c,Wait_FW
0xff81aa50,Poke32_FW
0xff81aa74,Poke16_FW
0xff81aa98,Poke8_FW
0xff81aabc,Peek32_FW
0xff81aad8,Peek16_FW
0xff81aaf4,Peek8_FW
0xff81ab10,EraseSignature_FW
0xff81ab40,GetSystemTime_FW
0xff81ab60,MonSelEvent_FW
0xff81ab98,exec_FW
0xff81b594,RotateConsoleZOder_FW
0xff81b63c,CPrintf_FW
0xff81b6a0,CPutChar_FW
0xff81b6d4,GetCh_FW
0xff81b738,GetStringWithPrompt_FW
0xff81b7bc,OpenConsole_FW
0xff81b908,CloseConsole_FW
0xff81ba54,task_ConsoleSvr
0xff81bbf0,task_LowConsole
0xff81f240,task_UartSio
0xff81f678,CreateEventFlag
0xff81f784,DeleteEventFlag
0xff81f964,CheckAnyEventFlag
0xff81f974,CheckAllEventFlag
0xff81fa14,WaitForEventFlag
0xff81fbb8,WaitForAnyEventFlag
0xff81fbc8,WaitForAllEventFlag
0xff81fbd8,SetEventFlag
0xff81fd74,ClearEventFlag
0xff81fdc4,GetEventFlagValue
0xff81ff54,RegisterInterruptHandler
0xff81ff78,UnregisterInterruptHandler
0xff81ff90,GetSRAndDisableInterrupt
0xff81ff9c,SetSR
0xff81ffbc,EnableInterrupt
0xff81fffc,CreateMessageQueue
0xff82014c,DeleteMessageQueue
0xff820388,ReceiveMessageQueue
0xff8205fc,TryReceiveMessageQueue
0xff8207a0,PostMessageQueue
0xff8209c8,TryPostMessageQueue
0xff820af4,GetNumberOfPostedMessages
0xff820b74,CreateBinarySemaphore
0xff820c5c,CreateCountingSemaphore
0xff820c5c,CreateCountingSemaphore_FW
0xff820d68,DeleteSemaphore
0xff820d68,DeleteSemaphore_FW
0xff820f74,TakeSemaphore
0xff820f74,TakeSemaphore_FW
0xff8210f8,TryTakeSemaphore
0xff82115c,GiveSemaphore
0xff82115c,GiveSemaphore_FW
0xff821230,GetSemaphoreValue
0xff821478,SleepTask
0xff821478,SleepTask_FW
0xff821564,CreateTask
0xff821564,CreateTask_FW
0xff821924,ExitTask
0xff821924,ExitTask_FW
0xff8223a0,CreateRecursiveLock
0xff8224bc,DeleteRecursiveLock
0xff822594,AcquireRecursiveLock
0xff82263c,ReleaseRecursiveLock
0xff8226cc,CreateTaskStrictly
0xff82270c,CreateMessageQueueStrictly
0xff822738,CreateEventFlagStrictly
0xff822764,CreateBinarySemaphoreStrictly
0xff822790,CreateCountingSemaphoreStrictly
0xff8227bc,CreateRecursiveLockStrictly
0xff822808,SetRestartTimeForCIPA_FW
0xff822878,task_ShutdownTask
0xff822950,task_Bye
0xff822bac,Restart
0xff822cac,WriteToRom_FW
0xff822d84,EraseSectorOfRom_FW
0xff824438,SetPropertyCase
0xff824554,GetPropertyCase
0xff825b94,Driver_EnableEventProc_FW
0xff826510,task_PhySw
0xff826558,kbd_p1_f
0xff826564,kbd_p1_f_cont
0xff826624,kbd_read_keys
0xff826934,kbd_p2_f
0xff826cd4,ShowPhySwStatus_FW
0xff826dc8,OnPrintPhySw_FW
0xff826de0,OffPrintPhySw_FW
