0xff828278,_GetSystemTime
0xffb018e4,_log
0xffb00570,_log10
0xffb006e0,_pow
0xffb03540,_sqrt
0xff81c294,_uartr_req
0xffac9f88,AbortAEIntegralValue_FW
0xff871694,AcquireRecursiveLock
0xff827ed4,AcquireRecursiveLockStrictly
0xff90d9f8,ActivateAdjLog_FW
0xffa0c914,ActivateImager_FW
0xffa0c9a0,ActivateImagerXOne_FW
0xff940194,ActivateUsmCPU_FW
0xffa1727c,add_ptp_handler
0xff95632c,AdditionAgentRAM_FW
0xffa30a30,AddTransparentMemory_FW
0xffad0c6c,AdjAEWithAperturePriority_FW
0xffa5c594,AdjustZoomEncoderPi_FW
0xffad0c28,AfAEWithAperturePriority_FW
0xffad0e18,AfAEWithCompensation_FW
0xffa0b218,AFTool.GetEVal_FW
0xffa67af4,AllocateMemory
0xffa67af4,AllocateMemory_FW
0xff827fcc,AllocateUncacheableMemory
0xff9e0128,apex2us
0xff89b890,atol_FW
0xffacaa68,AttachIntegCrawData_FW
0xffa30a68,AttachToTransparentMemory_FW
0xff849dd0,Bat_Calc_FW
0xffad21e0,Bat_Save_FW
0xffad21cc,Bat_VIN_FW
0xff84a3ec,BeepDrive_FW
0xffacc378,CalcLog10_FW
0xffad40c4,CalcLoopGain_FW
0xffacc468,CalcSqrt_FW
0xff849dd0,CalculateBatSenseOffset_FW
0xffacc318,CalculateLog2ToApex_FW
0xffacc2dc,CalculatePeakFromLeastSquareResult_FW
0xffacc32c,CalculatePow2FromApex_FW
0xffad0a44,CancelAdj_AEMode_FW
0xffacb234,CancelAdjCdsMode_FW
0xffacee5c,CancelBPFilterForBP_FW
0xffad03a0,CancelExStrobeMode_FW
0xffa62e2c,CancelFocusLensMaxSpeedLimit_FW
0xff874f2c,CancelHPTimer
0xffa0caf8,CancelImager_FW
0xff862270,CancelLoopGainCalc_FW
0xff828494,CancelTimer
0xffacdfa0,CancelVcmOpenDriveMode_FW
0xff94a150,Capture.Create_FW
0xffad4368,CaptureWithParam_FW
0xffacafd4,ChangeAdjImgDrvMode_FW
0xffacb000,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff90f9c8,ChangeDefectRecExpGain_FW
0xff90f99c,ChangeDefectRecExpTv_FW
0xff90fa30,ChangeDefectRecPeakHoldSetting_FW
0xffad1fa0,ChangeDistortionSetForLiveImage_FW
0xffad3e84,ChangeFilterMode_FW
0xffa62fa4,ChangeFocusDistanceToPosition_FW
0xff9ff1a4,ChangeGradeTable_FW
0xffad437c,ChangeImageDrive_FW
0xffa0cbb8,ChangeImagerToAlternateDraft_FW
0xffa0cbb0,ChangeImagerToDigiconMode_FW
0xffa0cbd8,ChangeImagerToFastBP_FW
0xffa0cb78,ChangeImagerToFocusJet_FW
0xffa0cba0,ChangeImagerToHoneyFlash_FW
0xffa0cb90,ChangeImagerToJetDraft_FW
0xffa0cb98,ChangeImagerToJumboDraft_FW
0xffa0cb80,ChangeImagerToMangoPudding_FW
0xffa0cba8,ChangeImagerToMillefeAdjust_FW
0xffa0cbd0,ChangeImagerToMontblancMillefe_FW
0xffa0cbc8,ChangeImagerToMontblancWhole_FW
0xffa0cbb0,ChangeImagerToOITA_XAVIER_FW
0xffa0cb88,ChangeImagerToSuperWideDraft_FW
0xffa0cbc0,ChangeImagerToUltraGhostQ_FW
0xffa0cb1c,ChangeImagerToWholeParallel_FW
0xffa0cb38,ChangeImagerToWholeParallelBP_FW
0xffa0cb54,ChangeImagerToWholeParallelBPOne_FW
0xffa0cb70,ChangeImagerToWideDraft_FW
0xffa655ac,ChangeParallelMode_FW
0xff861dec,ChangeToISCloseControl_FW
0xff9402e4,ChangeUsmSpeed_FW
0xffad03dc,ChargeStrobe_FW
0xffad0410,ChargeStrobeForFA_FW
0xff871218,CheckAllEventFlag
0xff8711d0,CheckAnyEventFlag
0xff878630,CheckSumAll_FW
0xff84f4c0,ClearDUIDFixFlag_FW
0xff871438,ClearEventFlag
0xff84f468,ClearFactoryMode_FW
0xff862078,ClearISCalcZData_FW
0xffa65620,ClearISIComponent_FW
0xffa65644,ClearISZData_FW
0xffacd044,ClearZoomCommonDriveParam_FW
0xffa5c314,ClearZoomDriveParam_FW
0xff823a64,Close
0xff819864,close
0xff823a64,Close_FW
0xff81bd88,CloseConsole_FW
0xffa491f4,closedir
0xffa635d8,CloseMechaShutterWithTiming_FW
0xffacb97c,CloseMShutter_FW
0xffaeae90,CommunicateISCPU_FW
0xffacaf70,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffacaf24,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffacc3d0,ConvertApexStdToApex_FW
0xffacc3a0,ConvertApexToApexStd_FW
0xffacc96c,ConvertCxCyToWBGain_FW
0xffacd580,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffacb358,ConvertTvToExposureTime_FW
0xff81bae4,CPrintf_FW
0xff81bb40,CPutChar_FW
0xff8506e0,CreateAdjustmentTableMirror_FW
0xff8277ac,CreateBinarySemaphore
0xff827d8c,CreateBinarySemaphoreStrictly
0xff87e4f8,CreateController_FW
0xff827814,CreateCountingSemaphore
0xff827814,CreateCountingSemaphore_FW
0xff827db0,CreateCountingSemaphoreStrictly
0xff871128,CreateEventFlag
0xff827d68,CreateEventFlagStrictly
0xff90d338,CreateFADBGSingalID_FW
0xffad4390,CreateJumptable
0xff96591c,CreateLanguageMenu_FW
0xff8273e8,CreateMessageQueue
0xff827d44,CreateMessageQueueStrictly
0xff876434,CreateProxyOfEventProcedure_FW
0xff8715f4,CreateRecursiveLock
0xff827dd4,CreateRecursiveLockStrictly
0xff81aef4,CreateTask
0xff81aef4,CreateTask_FW
0xff827d10,CreateTaskStrictly
0xff9392e4,CzDebugPrint_FW
0xff9392ec,CzDebugPrintToFile_FW
0xff81b1cc,DebugAssert
0xffaeaef4,DelaySet_FW
0xff87e5b4,DeleteController_FW
0xff8233f4,DeleteDirectory_Fut
0xff871180,DeleteEventFlag
0xff823310,DeleteFile_Fut
0xff9654b8,DeleteLanguageMenu_FW
0xff82746c,DeleteMessageQueue
0xff87648c,DeleteProxyOfEventProcedure_FW
0xff871644,DeleteRecursiveLock
0xff82786c,DeleteSemaphore
0xff82786c,DeleteSemaphore_FW
0xffad3a58,DevelopStillPicture_FW
0xff9ff980,DevelopTool.DevelopTest_FW
0xff90d0a0,DeviceUniqueIDCheckSum_FW
0xff90fd24,DisableDebugLogMode_FW
0xffa62e88,DisableFocusLens_FW
0xffa62f08,DisableFocusLensGainLock_FW
0xffa63020,DisableFocusLensPort_FW
0xffa62f34,DisableFocusLensWaveLock_FW
0xffa63430,DisableFocusPiCircuit_FW
0xffa632dc,DisableIris_FW
0xffa56380,DisableIrisActuator_FW
0xffa63410,DisableMechaCircuit_FW
0xff940428,DisableUsmEncErrorDetect_FW
0xff9404c4,DisableUsmEncPhaseDetect_FW
0xff940524,DisableUsmLogPrint_FW
0xff94046c,DisableUsmSpeedLog_FW
0xffaeb19c,DisableVcmOpenDrive_FW
0xffaeafc4,DisableVcmPiDetectStop_FW
0xffaeaf98,DisableVcmSettingWait_FW
0xffaeb168,DisableVcmSrAmplitudeComp_FW
0xffaeb298,DisableVcmTravelTimeMeasure_FW
0xffa5ab4c,DisableZoomActuatorSpeedControl_FW
0xffacd204,DisableZoomDriveLog_FW
0xffa63478,DisableZoomEncoderCircuit_FW
0xffacd064,DisableZoomEncPhaseDif_FW
0xffa63944,DisableZoomLensEncoderPowerControl_FW
0xffa63964,DisableZoomLensResetEscapeMove_FW
0xffa63454,DisableZoomPiCircuit_FW
0xffacd198,DisableZoomSpeedCont_FW
0xff847028,DispCon_GetLcdGainAdjParameter_FW
0xff846e20,DispCon_GetVideoAdjParameter_FW
0xff847074,DispCon_SaveLcdGainAdjParameter_FW
0xff846ea8,DispCon_SaveVideoAdjParameter_FW
0xff846cac,DispCon_SetDisplayType_FW
0xff846fd4,DispCon_SetLcdGainAdjParameter_FW
0xff846d30,DispCon_SetMaxBackLightBrightness_FW
0xff846db0,DispCon_SetVideoAdjParameter_FW
0xff846bf4,DispCon_ShowBitmapColorBar
0xff846bf4,DispCon_ShowBitmapColorBar_FW
0xff846bd8,DispCon_ShowBlackChart_FW
0xff846a88,DispCon_ShowColorBar_FW
0xff846ccc,DispCon_ShowColorChart_FW
0xff846c54,DispCon_ShowCustomColorBar_FW
0xff846ad8,DispCon_ShowFiveStep_FW
0xff847064,DispCon_ShowLcdGainAdjParameter_FW
0xff846e7c,DispCon_ShowVideoAdjParameter_FW
0xff846ba0,DispCon_ShowWhiteChart_FW
0xff846d20,DispCon_TurnOffBackLight_FW
0xff846d00,DispCon_TurnOffDisplay_FW
0xff846d10,DispCon_TurnOnBackLight_FW
0xff846cf0,DispCon_TurnOnDisplay_FW
0xff94a0e0,DispDev.Create_FW
0xff9482d0,DispDev_EnableEventProc_FW
0xff84f264,DisplayFactoryMode_FW
0xff825bb4,DoAELock
0xff825864,DoAFLock
0xff9483c4,Driver.Create_FW
0xff9483c4,Driver_EnableEventProc_FW
0xfface274,DriveVcmOpenDrive_FW
0xff814e04,drysh_FW
0xff94862c,Dump32_FW
0xff94861c,Dump_FW
0xff850598,DumpAdjMirror_FW
0xffa309f0,DumpTransparentMemoryItem_FW
0xff8cc398,E2LatOn_FW
0xffa09418,EF.AdjPreFlash_FW
0xff8b6a00,EF.IsChargeFull_FW
0xffa0945c,EF.SetChargeMode_FW
0xffa09328,EF.SetEFChargeTimeOut_FW
0xffa09470,EF.SetFlashTime_FW
0xffa09400,EF.SetMainFlashTime_FW
0xffa092c8,EF.StartEFCharge_FW
0xffa09378,EF.StartInternalMainFlash_FW
0xffa0933c,EF.StartInternalPreFlash_FW
0xffa09318,EF.StopEFCharge_FW
0xff90fd10,EnableDebugLogMode_FW
0xffa62e3c,EnableFocusLens_FW
0xffa62ed4,EnableFocusLensGainLockWithVoltage_FW
0xffa63010,EnableFocusLensPort_FW
0xffa62f18,EnableFocusLensWaveLock_FW
0xffa63420,EnableFocusPiCircuit_FW
0xff81aeec,EnableInterrupt
0xffa632b8,EnableIris_FW
0xffa5635c,EnableIrisActuator_FW
0xff8331b4,EnableLog_FW
0xffa63400,EnableMechaCircuit_FW
0xff940414,EnableUsmEncErrorDetect_FW
0xff9404b0,EnableUsmEncPhaseDetect_FW
0xff9404f8,EnableUsmLogPrint_FW
0xff94043c,EnableUsmSpeedLog_FW
0xffaeb18c,EnableVcmOpenDrive_FW
0xffaeafb0,EnableVcmPiDetectStop_FW
0xffaeaf88,EnableVcmSettingWait_FW
0xffaeb158,EnableVcmSrAmplitudeComp_FW
0xffaeb288,EnableVcmTravelTimeMeasure_FW
0xffa5ab38,EnableZoomActuatorSpeedControl_FW
0xffacd3ac,EnableZoomDriveLog_FW
0xffa63468,EnableZoomEncoderCircuit_FW
0xffacd04c,EnableZoomEncPhaseDif_FW
0xffa63934,EnableZoomLensEncoderPowerControl_FW
0xffa63954,EnableZoomLensResetEscapeMove_FW
0xffa63444,EnableZoomPiCircuit_FW
0xffacd184,EnableZoomSpeedCont_FW
0xff949410,EndClockMode_FW
0xff8f51d0,EngApp.Create_FW
0xff8f51b8,EngApp.Delete_FW
0xff822a64,EngDrvBits
0xffa2a324,EngDrvBits_FW
0xff822a48,EngDrvIn
0xffa2a314,EngDrvIn_FW
0xff822a30,EngDrvOut
0xffa2a2f8,EngDrvOut_FW
0xff822a50,EngDrvRead
0xffa2a31c,EngDrvRead_FW
0xffa2a348,EngDrvReadDump_FW
0xff94a190,EngineDriver.Create_FW
0xff825b10,EnterToCompensationEVF
0xff85058c,EraseAdjustmentArea_FW
0xff9518c4,EraseLogSector_FW
0xff9520e4,EraseSectorOfRom_FW
0xff948608,EraseSignature_FW
0xff814e80,err_init_task
0xffa626c4,EscapeFocusLens_FW
0xffa67b60,exec_FW
0xff8552dc,Executedccd_FW
0xff854cac,ExecuteDigicon_FW
0xff8759f0,ExecuteEventProcedure
0xff875a68,ExecuteEventProcedure_FW
0xffad047c,ExecuteInternalPreFlash_FW
0xff97574c,ExecuteResetFactoryWithRomWrite_FW
0xff85498c,ExecuteTestRec_FW
0xff854a5c,ExecuteTestRecCF_FW
0xffaeaee4,ExecVcmFirm_FW
0xff825b54,ExitFromCompensationEVF
0xff81b184,ExitTask
0xff81b184,ExitTask_FW
0xff874134,ExMem.AllocCacheable_FW
0xff873f7c,ExMem.AllocUncacheable_FW
0xff8741bc,ExMem.FreeCacheable_FW
0xff8740b8,ExMem.FreeUncacheable_FW
0xff873a98,ExMem.View_FW
0xff8740cc,exmem_alloc
0xff874144,exmem_free
0xff8241c4,ExMem_FW
0xff8aa1a4,ExpCtrlTool.SetExpMode_FW
0xff8311d8,ExpCtrlTool_StartContiAE
0xff83131c,ExpCtrlTool_StopContiAE
0xff876428,ExportToEventProcedure_FW
0xff94a0bc,FA.Create_FW
0xff94a0a8,FA.Delete_FW
0xff90d3e8,FADBGPrintf_FW
0xff90d348,FADBGSingal_FW
0xff90d568,FAPrintf_FW
0xff82348c,Fclose_Fut
0xff82348c,Fclose_Fut_FW
0xff823678,Feof_Fut
0xff8236b4,Fflush_Fut
0xff8235e0,Fgets_Fut
0xffad09ac,FixAEWithCompensation_FW
0xff966f5c,FmtMenu_ExecuteQuickFormat_FW
0xffad0880,FocusAEWithCompensation_FW
0xff82344c,Fopen_Fut
0xff82344c,Fopen_Fut_FW
0xff823538,Fread_Fut
0xff823538,Fread_Fut_FW
0xff813a7c,free
0xffa30b78,FreeBufferForSoundRec_FW
0xffa67aec,FreeMemory
0xffa67aec,FreeMemory_FW
0xff82800c,FreeUncacheableMemory
0xff82362c,Fseek_Fut
0xff82362c,Fseek_Fut_FW
0xff82358c,Fwrite_Fut
0xff82358c,Fwrite_Fut_FW
0xff848c64,GetAdChValue_FW
0xffacf3e8,GetAdjAFInteg_FW
0xff8505f0,GetAdjTableMapVersion_FW
0xff850600,GetAdjTableValueVersion_FW
0xff8505bc,GetAdjTableVersion_FW
0xff848c5c,GetAdVBattBottom_FW
0xffaca734,GetAEIntegralServiceMode_FW
0xffaca3e0,GetAEIntegralValueWithFix_FW
0xffaca728,GetAEIntegValueBit_FW
0xffaca128,GetAEIntegWinData_FW
0xffaca270,GetAEIntegWinDataWithMode_FW
0xffaca504,GetAllAEIntegralAllValueWithFix_FW
0xff821b0c,GetBatteryCoverClose_FW
0xff84e660,GetBatteryTemperature
0xff84e660,GetBatteryTemperature_FW
0xff878514,GetBuildDate_FW
0xff87851c,GetBuildTime_FW
0xffad3844,GetCaptureInfoData_FW
0xff84e5f0,GetCCDTemperature
0xff84e5f0,GetCCDTemperature_FW
0xffacb070,GetCdsGainValue_FW
0xffacb160,GetCdsPreGain_FW
0xffacb1b8,GetCdsPreGainReg_FW
0xff81bb6c,GetCh_FW
0xffad1f3c,GetContinuousMovieJpegVRAMData_FW
0xffad15d8,GetContinuousVRAMData_FW
0xffad1d7c,GetContinuousVRAMDataWithRingBuffer_FW
0xffacaef8,GetCurrentAdjImgDriveType_FW
0xff93be84,GetCurrentAvValue
0xff93be84,GetCurrentAvValue_FW
0xff8886f0,GetCurrentCaptureModeType_FW
0xff84e5f0,GetCurrentCcdTemp_FW
0xff89d1d0,GetCurrentExposureTime_FW
0xff93a374,GetCurrentFocusLensPosition_FW
0xff93a374,GetCurrentFocusPosition_FW
0xffacaf04,GetCurrentImgDrvMode_FW
0xff93c030,GetCurrentIrisPosition_FW
0xff90da44,GetCurrentMaximumLogSize_FW
0xff84e6d0,GetCurrentOptTemp_FW
0xff89cef8,GetCurrentShutterSpeed_FW
0xff93a30c,GetCurrentTargetDistance_FW
0xffacca68,GetCurrentZoomLensDirection_FW
0xff941130,GetCurrentZoomLensPoint_FW
0xff94085c,GetCurrentZoomLensPosition_FW
0xff941130,GetCurrentZoomPoint_FW
0xff94085c,GetCurrentZoomPosition_FW
0xffad25e4,GetDay_FW
0xff8553e8,GetdccdFilterValue_FW
0xff855354,GetdccdImage_FW
0xff9ff448,GetDefectCount_FW
0xff821b08,GetDialEventId_FW
0xff85ae98,GetDrive_ClusterSize
0xff85af00,GetDrive_FreeClusters
0xff85aecc,GetDrive_TotalClusters
0xff871470,GetEventFlagValue
0xffad038c,GetExStrobeID_FW
0xff878524,GetFirmwareVersion_FW
0xff93a7e4,GetFocusDefaultResetPosition_FW
0xffa551b4,GetFocusLensCurrentPosition_FW
0xffa62fac,GetFocusLensLoadCamTable_FW
