0xff810dc8,memShow_FW
0xff81402c,strncpy
0xff814068,strncmp
0xff8140b4,strchr
0xff8140d8,strrchr
0xff814100,strlen
0xff814100,strlen_FW
0xff8141e8,malloc
0xff814244,free
0xff815f58,drysh_FW
0xff815fd4,err_init_task
0xff816124,task_ClockSave
0xff81a264,GetMemInfo
0xff81aadc,open
0xff81ab8c,close
0xff81ad74,Read
0xff81ad74,read
0xff81ad74,Read_FW
0xff81e838,RegisterInterruptHandler
0xff81e85c,UnregisterInterruptHandler
0xff81e874,GetSRAndDisableInterrupt
0xff81e878,SetSR
0xff81e898,EnableInterrupt
0xff81e8a0,CreateTask
0xff81e8a0,CreateTask_FW
0xff81eb30,ExitTask
0xff81eb30,ExitTask_FW
0xff81eb78,DebugAssert
0xff81f280,RotateConsoleZOder_FW
0xff81f490,CPrintf_FW
0xff81f4ec,CPutChar_FW
0xff81f518,GetCh_FW
0xff81f568,GetStringWithPrompt_FW
0xff81f5c8,OpenConsole_FW
0xff81f734,CloseConsole_FW
0xff81faf0,task_Startup
0xff81fc4c,_uartr_req
0xff81fcdc,task_UartLog
0xff81fe30,StartRedirectUART_FW
0xff8205f4,sprintf_FW
0xff820638,vsprintf
0xff820674,strcpy
0xff820674,strcpy_FW
0xff82068c,j_strcmp_FW
0xff82068c,strcmp
0xff8206b4,strcmp_FW
0xff8206d0,memcmp
0xff8206d0,memcmp_FW
0xff832a40,task_BatteryTask
0xff832fb4,GetVBatVoltage_FW
0xff832fb4,VbattGet
0xff832fb4,VbattGet_FW
0xff833f18,kbd_p2_f
0xff834248,task_PhySw
0xff8345ac,GetSwitchStatus_FW
0xff834618,GetSDDetect_FW
0xff834620,GetSDProtect
0xff834620,GetSDProtect_FW
0xff83463c,GetDialEventId_FW
0xff834640,GetLcdPosition_FW
0xff834648,GetBatteryCoverClose_FW
0xff834650,IsHvSensorExist_FW
0xff834658,kbd_read_keys
0xff8346d0,kbd_p1_f
0xff8346dc,kbd_p1_f_cont
0xff835508,EngDrvOut
0xff835520,EngDrvIn
0xff835528,EngDrvRead
0xff83553c,EngDrvBits
0xff835804,DisplayFactoryMode_FW
0xff835810,UndisplayFactoryMode_FW
0xff835be0,SetDurianMode_FW
0xff835c18,ClearDurianMode_FW
0xff835c18,ClearFactoryMode_FW
0xff835c50,SetFactoryMode_FW
0xff835c88,ClearDUIDFixFlag_FW
0xff835cc0,SetDUIDFixFlag_FW
0xff835cfc,IsFactoryMode_FW
0xff835d3c,IsDUIDFixFlag_FW
0xff835d84,IsNormalCameraMode_FW
0xff835d9c,StartFactoryModeController_FW
0xff8365e0,RenameFile_Fut
0xff836674,DeleteFile_Fut
0xff8366e8,MakeDirectory_Fut
0xff836758,DeleteDirectory_Fut
0xff8367b0,Fopen_Fut
0xff8367b0,Fopen_Fut_FW
0xff8367f0,Fclose_Fut
0xff8367f0,Fclose_Fut_FW
0xff83689c,Fread_Fut
0xff83689c,Fread_Fut_FW
0xff8368f0,Fwrite_Fut
0xff8368f0,Fwrite_Fut_FW
0xff836944,Fgets_Fut
0xff836990,Fseek_Fut
0xff836990,Fseek_Fut_FW
0xff8369dc,Feof_Fut
0xff836a18,Fflush_Fut
0xff836c90,Open
0xff836c90,Open_FW
0xff836cfc,Close
0xff836cfc,Close_FW
0xff836d88,j_Read_FW
0xff836d8c,Write
0xff836d8c,write
0xff836d8c,Write_FW
0xff836e18,Lseek
0xff836e18,lseek
0xff836e18,Lseek_FW
0xff836e38,OpenForScrip_FW
0xff836e60,stat
0xff836f98,SetFileTimeStamp
0xff836ff4,SetFileAttributes
0xff837198,mkdir
0xff8371ec,j_StartCameraLog_FW
0xff8371f0,j_ShowCameraLog_FW
0xff8371f4,j_ShowCameraLogInfo_FW
0xff8371f8,j_StopCameraLog_FW
0xff8371fc,j_PutsCameraLogEvent_FW
0xff837200,OpLog.Create_FW
0xff837264,j_NewTaskShell_FW
0xff837268,j_ExMem.View_FW
0xff83726c,j_ExMem.AllocUncacheable_FW
0xff837270,j_ExMem.FreeUncacheable_FW
0xff837274,j_ExMem.AllocCacheable_FW
0xff837278,j_ExMem.FreeCacheable_FW
0xff83727c,ExMem_FW
0xff838080,PT_GetDigitalZoomPosition_FW
0xff8384d8,DoAFLock
0xff838510,UnlockAF
0xff838628,EnterToCompensationEVF
0xff83866c,ExitFromCompensationEVF
0xff838734,DoAELock
0xff838758,UnlockAE
0xff839a78,CreateMessageQueue
0xff839afc,DeleteMessageQueue
0xff839b8c,ReceiveMessageQueue
0xff839c54,TryReceiveMessageQueue
0xff839cd8,PostMessageQueue
0xff839d90,TryPostMessageQueue
0xff839dd0,GetNumberOfPostedMessages
0xff839e3c,CreateBinarySemaphore
0xff839ea4,CreateCountingSemaphore
0xff839ea4,CreateCountingSemaphore_FW
0xff839efc,DeleteSemaphore
0xff839efc,DeleteSemaphore_FW
0xff839f54,TryTakeSemaphore
0xff839fa8,TakeSemaphore
0xff839fa8,TakeSemaphore_FW
0xff83a078,GiveSemaphore
