0xff839094,_GetSystemTime
0xffb37d1c,_log
0xffb36c60,_log10
0xffb36dd0,_pow
0xffb39084,_sqrt
0xff81f954,_uartr_req
0xff92a9cc,AbortAEIntegralValue_FW
0xff8873bc,AcquireRecursiveLock
0xff838cf0,AcquireRecursiveLockStrictly
0xff92c634,ActivateAdjLog_FW
0xffa3bb7c,ActivateImager_FW
0xffa3bc08,ActivateImagerXOne_FW
0xff9557c4,ActivateUsmCPU_FW
0xffa49164,add_ptp_handler
0xff96b068,AdditionAgentRAM_FW
0xffa61310,AddTransparentMemory_FW
0xffb028b4,AdjAEWithAperturePriority_FW
0xffa8fe9c,AdjustZoomEncoderPi_FW
0xffb02870,AfAEWithAperturePriority_FW
0xffb02a60,AfAEWithCompensation_FW
0xffa38ad4,AFTool.GetEVal_FW
0xffa9b66c,AllocateMemory
0xffa9b66c,AllocateMemory_FW
0xff838de8,AllocateUncacheableMemory
0xffa080a8,apex2us
0xff8ac870,atol_FW
0xff92b664,AttachIntegCrawData_FW
0xffa61348,AttachToTransparentMemory_FW
0xff85c39c,Bat_Calc_FW
0xffb03ebc,Bat_Save_FW
0xffb03ea8,Bat_VIN_FW
0xff85c9b8,BeepDrive_FW
0xff85c9d8,BeepDriveComp_FW
0xffafdf00,CalcLog10_FW
0xffb0619c,CalcLoopGain_FW
0xffafdff0,CalcSqrt_FW
0xff85c39c,CalculateBatSenseOffset_FW
0xffafdea0,CalculateLog2ToApex_FW
0xffafde64,CalculatePeakFromLeastSquareResult_FW
0xffafdeb4,CalculatePow2FromApex_FW
0xff868d74,CalculateTestRecYUVData_FW
0xffb0268c,CancelAdj_AEMode_FW
0xffafcae0,CancelAdjCdsMode_FW
0xffb00a98,CancelBPFilterForBP_FW
0xffb01fe8,CancelExStrobeMode_FW
0xffa96cf8,CancelFocusLensMaxSpeedLimit_FW
0xff88ac30,CancelHPTimer
0xffa3be64,CancelImageDrive_FW
0xffa3bd84,CancelImager_FW
0xff8769cc,CancelLoopGainCalc_FW
0xff8392b0,CancelTimer
0xffaffbc8,CancelVcmOpenDriveMode_FW
0xff95f354,Capture.Create_FW
0xffafcd74,CaptureWithParam_FW
0xffa60d8c,ChangeAdjImgDrvMode_FW
0xffa60db8,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff92e810,ChangeDefectRecExpGain_FW
0xff92e7e4,ChangeDefectRecExpTv_FW
0xff92e8ac,ChangeDefectRecMontblancSize_FW
0xffa2a93c,ChangeDefectRecParam_FW
0xff92e7cc,ChangeDefectRecParameter_FW
0xff92e878,ChangeDefectRecPeakHoldSetting_FW
0xffb03c78,ChangeDistortionSetForLiveImage_FW
0xffb05e2c,ChangeFilterMode_FW
0xffa96e70,ChangeFocusDistanceToPosition_FW
0xffa2a57c,ChangeGradeTable_FW
0xffafcd88,ChangeImageDrive_FW
0xffa3be10,ChangeImagerToAlternateDraft_FW
0xffa3bdc0,ChangeImagerToCombiParallel_FW
0xffa3be08,ChangeImagerToDigiconMode_FW
