0xff810dc8,memShow_FW
0xff813f5c,strncpy
0xff813f98,strncmp
0xff813fe4,strchr
0xff814008,strrchr
0xff814030,strlen
0xff814030,strlen_FW
0xff814100,malloc
0xff81415c,free
0xff815ed0,drysh_FW
0xff815f4c,err_init_task
0xff81609c,task_ClockSave
0xff81a16c,GetMemInfo
0xff81a9e4,open
0xff81aa94,close
0xff81ac7c,Read
0xff81ac7c,read
0xff81ac7c,Read_FW
0xff81e7d4,RegisterInterruptHandler
0xff81e7f8,UnregisterInterruptHandler
0xff81e810,GetSRAndDisableInterrupt
0xff81e814,SetSR
0xff81e834,EnableInterrupt
0xff81e83c,CreateTask
0xff81e83c,CreateTask_FW
0xff81eacc,ExitTask
0xff81eacc,ExitTask_FW
0xff81eb14,DebugAssert
0xff81f21c,RotateConsoleZOder_FW
0xff81f42c,CPrintf_FW
0xff81f488,CPutChar_FW
0xff81f4b4,GetCh_FW
0xff81f504,GetStringWithPrompt_FW
0xff81f564,OpenConsole_FW
0xff81f6d0,CloseConsole_FW
0xff81fa8c,task_Startup
0xff81fbf8,_uartr_req
0xff81fc88,task_UartLog
0xff81fddc,StartRedirectUART_FW
0xff8205a0,sprintf_FW
0xff8205e4,vsprintf
0xff820620,strcpy
0xff820620,strcpy_FW
0xff820638,j_strcmp_FW
0xff820638,strcmp
0xff820660,strcmp_FW
0xff82067c,memcmp
0xff82067c,memcmp_FW
0xff820778,srand
0xff820784,rand
0xff832a28,task_BatteryTask
0xff832ffc,GetVBatVoltage_FW
0xff832ffc,VbattGet
0xff832ffc,VbattGet_FW
0xff833f90,kbd_p2_f
0xff8342c0,task_PhySw
0xff8345cc,GetSwitchStatus_FW
0xff834638,GetSDDetect_FW
0xff834640,GetSDProtect
0xff834640,GetSDProtect_FW
0xff83465c,GetDialEventId_FW
0xff834660,GetBatteryCoverClose_FW
0xff834668,IsHvSensorExist_FW
0xff83466c,kbd_read_keys
0xff8346e4,kbd_p1_f
0xff8346f0,kbd_p1_f_cont
0xff835518,EngDrvOut
0xff835530,EngDrvIn
0xff835538,EngDrvRead
0xff83554c,EngDrvBits
0xff8357cc,DisplayFactoryMode_FW
0xff8357d8,UndisplayFactoryMode_FW
0xff8359e8,SetDurianMode_FW
0xff835a20,ClearDurianMode_FW
0xff835a20,ClearFactoryMode_FW
0xff835ad0,SetFactoryMode_FW
0xff835b08,ClearDUIDFixFlag_FW
0xff835b40,SetDUIDFixFlag_FW
0xff835b7c,IsFactoryMode_FW
0xff835bbc,IsDUIDFixFlag_FW
0xff835c04,IsNormalCameraMode_FW
0xff835c1c,StartFactoryModeController_FW
0xff836534,RenameFile_Fut
0xff8365c8,DeleteFile_Fut
0xff83663c,MakeDirectory_Fut
0xff8366ac,DeleteDirectory_Fut
0xff836704,Fopen_Fut
0xff836704,Fopen_Fut_FW
0xff836744,Fclose_Fut
0xff836744,Fclose_Fut_FW
0xff8367f0,Fread_Fut
0xff8367f0,Fread_Fut_FW
0xff836844,Fwrite_Fut
0xff836844,Fwrite_Fut_FW
0xff836898,Fgets_Fut
0xff8368e4,Fseek_Fut
0xff8368e4,Fseek_Fut_FW
0xff836930,Feof_Fut
0xff83696c,Fflush_Fut
0xff836be4,Open
0xff836be4,Open_FW
0xff836c50,Close
0xff836c50,Close_FW
0xff836cdc,j_Read_FW
0xff836ce0,Write
0xff836ce0,write
0xff836ce0,Write_FW
0xff836d6c,Lseek
0xff836d6c,lseek
0xff836d6c,Lseek_FW
0xff836d8c,OpenForScrip_FW
0xff836db4,stat
0xff836eec,SetFileTimeStamp
0xff836f48,SetFileAttributes
0xff8370ec,mkdir
0xff837140,j_StartCameraLog_FW
0xff837144,j_ShowCameraLog_FW
0xff837148,j_ShowCameraLogInfo_FW
0xff83714c,j_StopCameraLog_FW
0xff837150,j_PutsCameraLogEvent_FW
0xff837154,OpLog.Create_FW
0xff8371b8,j_NewTaskShell_FW
0xff8371bc,j_ExMem.View_FW
0xff8371c0,j_ExMem.AllocUncacheable_FW
0xff8371c4,j_ExMem.FreeUncacheable_FW
0xff8371c8,j_ExMem.AllocCacheable_FW
0xff8371cc,j_ExMem.FreeCacheable_FW
0xff8371d0,ExMem_FW
0xff837f80,PT_GetDigitalZoomPosition_FW
0xff8383f0,DoAFLock
0xff838480,UnlockAF
0xff838598,EnterToCompensationEVF
0xff8385dc,ExitFromCompensationEVF
0xff83863c,DoAELock
0xff8386c8,UnlockAE
0xff839a74,CreateMessageQueue
0xff839af8,DeleteMessageQueue
0xff839b88,ReceiveMessageQueue
0xff839c50,TryReceiveMessageQueue
0xff839cd4,PostMessageQueue
0xff839d8c,TryPostMessageQueue
0xff839dcc,GetNumberOfPostedMessages
0xff839e38,CreateBinarySemaphore
0xff839ea0,CreateCountingSemaphore
0xff839ea0,CreateCountingSemaphore_FW
0xff839ef8,DeleteSemaphore
0xff839ef8,DeleteSemaphore_FW
0xff839f50,TryTakeSemaphore
0xff839fa4,TakeSemaphore
0xff839fa4,TakeSemaphore_FW
0xff83a074,GiveSemaphore
0xff83a074,GiveSemaphore_FW
0xff83a0ac,GetSemaphoreValue
0xff83a2dc,SleepTask
0xff83a2dc,SleepTask_FW
0xff83a39c,CreateTaskStrictly
0xff83a3d0,CreateMessageQueueStrictly
0xff83a3f4,CreateEventFlagStrictly
0xff83a418,CreateBinarySemaphoreStrictly
0xff83a43c,CreateCountingSemaphoreStrictly
0xff83a460,CreateRecursiveLockStrictly
0xff83a484,TakeSemaphoreStrictly
0xff83a4b0,ReceiveMessageQueueStrictly
0xff83a4dc,PostMessageQueueStrictly
0xff83a508,WaitForAnyEventFlagStrictly
0xff83a534,WaitForAllEventFlagStrictly
0xff83a560,AcquireRecursiveLockStrictly
0xff83a658,AllocateUncacheableMemory
0xff83a698,FreeUncacheableMemory
0xff83a904,_GetSystemTime
0xff83aa3c,SetTimerAfter
0xff83aabc,SetTimerWhen
0xff83ab20,CancelTimer
0xff83bbf4,TurnOffE1_FW
0xff83bca8,task_Bye
