0xff02bf0c,_GetSystemTime
0xff3b6dc8,_log
0xff3b7290,_log10
0xff3b73f4,_pow
0xff3b915c,_sqrt
0xff00fda8,_uartr_req
0xff1554ec,AbortAEIntegralValue_FW
0xff083eec,AcquireRecursiveLock
0xff02bb78,AcquireRecursiveLockStrictly
0xff1572e0,ActivateAdjLog_FW
0xff100ccc,ActivateImager_FW
0xff100d58,ActivateImagerXOne_FW
0xff30f014,ActivateISMD_FW
0xff291c68,add_ptp_handler
0xff19c6b0,AdditionAgentRAM_FW
0xff2c2448,AddTransparentMemory_FW
0xff37baa8,AdjAEWithAperturePriority_FW
0xff37ba54,AfAEWithAperturePriority_FW
0xff37bc50,AfAEWithCompensation_FW
0xff280864,AFTool.GetEVal_FW
0xff311904,AllocateMemory
0xff311904,AllocateMemory_FW
0xff02bc70,AllocateUncacheableMemory
0xff24de4c,apex2us
0xff0ad8c0,atol_FW
0xff15629c,AttachIntegCrawData_FW
0xff2c2480,AttachToTransparentMemory_FW
0xff36b564,Bat_Calc_FW
0xff37d0b8,Bat_Save_FW
0xff37d0a4,Bat_VIN_FW
0xff054848,BeepDrive_FW
0xff054868,BeepDriveComp_FW
0xff376e60,CalcLog10_FW
0xff38179c,CalcLoopGain_FW
0xff376f50,CalcSqrt_FW
0xff36b564,CalculateBatSenseOffset_FW
0xff37ab8c,CalculateInterpolationByLS_FW
0xff376e00,CalculateLog2ToApex_FW
0xff376dc8,CalculatePeakFromLeastSquareResult_FW
0xff37ab2c,CalculatePeakPosByLS_FW
0xff376e14,CalculatePow2FromApex_FW
0xff065b74,CalculateTestRecYUVData_FW
0xff37b87c,CancelAdj_AEMode_FW
0xff3759d0,CancelAdjCdsMode_FW
0xff379674,CancelBPFilterForBP_FW
0xff37b1cc,CancelExStrobeMode_FW
0xff30d58c,CancelFocusLensMaxSpeedLimit_FW
0xff0877fc,CancelHPTimer
0xff101008,CancelImageDrive_FW
0xff100ef8,CancelImager_FW
0xff074e24,CancelLoopGainCalc_FW
0xff02c128,CancelTimer
0xff190af8,Capture.Create_FW
0xff375c58,CaptureWithParam_FW
0xff05627c,CecRegDump_FW
0xff2c1e7c,ChangeAdjImgDrvMode_FW
0xff2c1ea8,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff26da64,ChangeCrossThresholdTable_FW
0xff26dd28,ChangeDefectRecParam_FW
0xff37ce78,ChangeDistortionSetForLiveImage_FW
0xff3813fc,ChangeFilterMode_FW
0xff30d6f4,ChangeFocusDistanceToPosition_FW
0xff26d934,ChangeGradeTable_FW
0xff375c6c,ChangeImageDrive_FW
0xff100f84,ChangeImagerToAlternateDraft_FW
0xff100f34,ChangeImagerToCombiParallel_FW
0xff100f7c,ChangeImagerToDigiconMode_FW
0xff100fc4,ChangeImagerToFantaJungle_FW
0xff100fac,ChangeImagerToFastBP_FW
0xff100f44,ChangeImagerToFocusJet_FW
0xff100fd4,ChangeImagerToFocusJetHD_FW
0xff100fb4,ChangeImagerToHarleyDavidson_FW
0xff100f6c,ChangeImagerToHoneyFlash_FW
0xff100fec,ChangeImagerToHoneyFlashDark_FW
0xff100fe4,ChangeImagerToHoneyFlashHD_FW
0xff100ff4,ChangeImagerToHoneyHDFlashDark_FW
0xff100f5c,ChangeImagerToJetDraft_FW
0xff100f64,ChangeImagerToJumboDraft_FW
