0xff83b244,_GetSystemTime
0xffb93a4c,_log
0xffb92990,_log10
0xffb92b00,_pow
0xffb94e18,_sqrt
0xff81fc4c,_uartr_req
0xff956a44,AbortAEIntegralValue_FW
0xff891a28,AcquireRecursiveLock
0xff83aea0,AcquireRecursiveLockStrictly
0xff9588a8,ActivateAdjLog_FW
0xff908f38,ActivateImager_FW
0xff908fc4,ActivateImagerXOne_FW
0xff984828,ActivateUsmCPU_FW
0xffa8e97c,add_ptp_handler
0xff99c140,AdditionAgentRAM_FW
0xffab0abc,AddTransparentMemory_FW
0xffb5604c,AdjAEWithAperturePriority_FW
0xffae95b0,AdjustZoomEncoderPi_FW
0xffb56008,AfAEWithAperturePriority_FW
0xffb561f8,AfAEWithCompensation_FW
0xffa7d70c,AFTool.GetEVal_FW
0xffaedf4c,AllocateMemory
0xffaedf4c,AllocateMemory_FW
0xff83af98,AllocateUncacheableMemory
0xffa4e78c,apex2us
0xff8b9a10,atol_FW
0xff9577b8,AttachIntegCrawData_FW
0xffab0af4,AttachToTransparentMemory_FW
0xffb4a2d0,Bat_Calc_FW
0xffb57668,Bat_Save_FW
0xffb57654,Bat_VIN_FW
0xff862bac,BeepDrive_FW
0xff862bcc,BeepDriveComp_FW
0xffb51474,CalcLog10_FW
0xffb5bdb8,CalcLoopGain_FW
0xffb51564,CalcSqrt_FW
0xffb4a2d0,CalculateBatSenseOffset_FW
0xffb51414,CalculateLog2ToApex_FW
0xffb513d8,CalculatePeakFromLeastSquareResult_FW
0xffb51428,CalculatePow2FromApex_FW
0xff870d04,CalculateTestRecYUVData_FW
0xffb55e24,CancelAdj_AEMode_FW
0xffb4fff4,CancelAdjCdsMode_FW
0xffb54270,CancelBPFilterForBP_FW
0xffb55780,CancelExStrobeMode_FW
0xffae8a60,CancelFocusLensMaxSpeedLimit_FW
0xff8953a8,CancelHPTimer
0xff909220,CancelImageDrive_FW
0xff909140,CancelImager_FW
0xff880734,CancelLoopGainCalc_FW
0xff83b460,CancelTimer
0xffb533b0,CancelVcmOpenDriveMode_FW
0xff990e90,Capture.Create_FW
0xffb50284,CaptureWithParam_FW
0xffab04ec,ChangeAdjImgDrvMode_FW
0xffab0518,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa6cb68,ChangeCrossThresholdTable_FW
0xffa6ce08,ChangeDefectRecParam_FW
0xffb57424,ChangeDistortionSetForLiveImage_FW
0xffb5ba10,ChangeFilterMode_FW
0xffae8bd8,ChangeFocusDistanceToPosition_FW
0xffa6ca2c,ChangeGradeTable_FW
0xffb50298,ChangeImageDrive_FW
0xff9091cc,ChangeImagerToAlternateDraft_FW
0xff90917c,ChangeImagerToCombiParallel_FW
0xff9091c4,ChangeImagerToDigiconMode_FW
0xff9091ec,ChangeImagerToFastBP_FW
0xff90918c,ChangeImagerToFocusJet_FW
0xff909204,ChangeImagerToFocusJetHD_FW
0xff9091f4,ChangeImagerToHarleyDavidson_FW
0xff9091b4,ChangeImagerToHoneyFlash_FW
0xff909214,ChangeImagerToHoneyFlashHD_FW
0xff9091a4,ChangeImagerToJetDraft_FW
0xff9091ac,ChangeImagerToJumboDraft_FW
0xff909194,ChangeImagerToMangoPudding_FW
0xff90920c,ChangeImagerToMangoPuddingHD_FW
0xff9091bc,ChangeImagerToMillefeAdjust_FW
0xff9091e4,ChangeImagerToMontblancMillefe_FW
0xff9091dc,ChangeImagerToMontblancWhole_FW
0xff9091c4,ChangeImagerToOITA_XAVIER_FW
0xff90919c,ChangeImagerToSuperWideDraft_FW
0xff9091d4,ChangeImagerToUltraGhostQ_FW
0xff909164,ChangeImagerToWholeParallel_FW
0xff90916c,ChangeImagerToWholeParallelBP_FW
