0xff83b244,_GetSystemTime
0xffb93b08,_log
0xffb92a4c,_log10
0xffb92bbc,_pow
0xffb94ed4,_sqrt
0xff81fc4c,_uartr_req
0xff956a78,AbortAEIntegralValue_FW
0xff891a28,AcquireRecursiveLock
0xff83aea0,AcquireRecursiveLockStrictly
0xff9588dc,ActivateAdjLog_FW
0xff908f6c,ActivateImager_FW
0xff908ff8,ActivateImagerXOne_FW
0xff98485c,ActivateUsmCPU_FW
0xffa8ea38,add_ptp_handler
0xff99c1cc,AdditionAgentRAM_FW
0xffab0b78,AddTransparentMemory_FW
0xffb56108,AdjAEWithAperturePriority_FW
0xffae966c,AdjustZoomEncoderPi_FW
0xffb560c4,AfAEWithAperturePriority_FW
0xffb562b4,AfAEWithCompensation_FW
0xffa7d7c8,AFTool.GetEVal_FW
0xffaee008,AllocateMemory
0xffaee008,AllocateMemory_FW
0xff83af98,AllocateUncacheableMemory
0xffa4e848,apex2us
0xff8b9a10,atol_FW
0xff9577ec,AttachIntegCrawData_FW
0xffab0bb0,AttachToTransparentMemory_FW
0xffb4a38c,Bat_Calc_FW
0xffb57724,Bat_Save_FW
0xffb57710,Bat_VIN_FW
0xff862bac,BeepDrive_FW
0xff862bcc,BeepDriveComp_FW
0xffb51530,CalcLog10_FW
0xffb5be74,CalcLoopGain_FW
0xffb51620,CalcSqrt_FW
0xffb4a38c,CalculateBatSenseOffset_FW
0xffb514d0,CalculateLog2ToApex_FW
0xffb51494,CalculatePeakFromLeastSquareResult_FW
0xffb514e4,CalculatePow2FromApex_FW
0xff870d04,CalculateTestRecYUVData_FW
0xffb55ee0,CancelAdj_AEMode_FW
0xffb500b0,CancelAdjCdsMode_FW
0xffb5432c,CancelBPFilterForBP_FW
0xffb5583c,CancelExStrobeMode_FW
0xffae8b1c,CancelFocusLensMaxSpeedLimit_FW
0xff8953a8,CancelHPTimer
0xff909254,CancelImageDrive_FW
0xff909174,CancelImager_FW
0xff880734,CancelLoopGainCalc_FW
0xff83b460,CancelTimer
0xffb5346c,CancelVcmOpenDriveMode_FW
0xff990f1c,Capture.Create_FW
0xffb50340,CaptureWithParam_FW
0xffab05a8,ChangeAdjImgDrvMode_FW
0xffab05d4,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa6cc24,ChangeCrossThresholdTable_FW
0xffa6cec4,ChangeDefectRecParam_FW
0xffb574e0,ChangeDistortionSetForLiveImage_FW
0xffb5bacc,ChangeFilterMode_FW
0xffae8c94,ChangeFocusDistanceToPosition_FW
0xffa6cae8,ChangeGradeTable_FW
0xffb50354,ChangeImageDrive_FW
0xff909200,ChangeImagerToAlternateDraft_FW
0xff9091b0,ChangeImagerToCombiParallel_FW
0xff9091f8,ChangeImagerToDigiconMode_FW
0xff909220,ChangeImagerToFastBP_FW
0xff9091c0,ChangeImagerToFocusJet_FW
0xff909238,ChangeImagerToFocusJetHD_FW
0xff909228,ChangeImagerToHarleyDavidson_FW
0xff9091e8,ChangeImagerToHoneyFlash_FW
0xff909248,ChangeImagerToHoneyFlashHD_FW
0xff9091d8,ChangeImagerToJetDraft_FW
0xff9091e0,ChangeImagerToJumboDraft_FW
0xff9091c8,ChangeImagerToMangoPudding_FW
0xff909240,ChangeImagerToMangoPuddingHD_FW
0xff9091f0,ChangeImagerToMillefeAdjust_FW
0xff909218,ChangeImagerToMontblancMillefe_FW
0xff909210,ChangeImagerToMontblancWhole_FW
0xff9091f8,ChangeImagerToOITA_XAVIER_FW
0xff9091d0,ChangeImagerToSuperWideDraft_FW
0xff909208,ChangeImagerToUltraGhostQ_FW
0xff909198,ChangeImagerToWholeParallel_FW
0xff9091a0,ChangeImagerToWholeParallelBP_FW
0xff9091a8,ChangeImagerToWholeParallelBPOne_FW
0xff9091b8,ChangeImagerToWideDraft_FW
