0xff83b244,_GetSystemTime
0xffb93d24,_log
0xffb92c68,_log10
0xffb92dd8,_pow
0xffb950f0,_sqrt
0xff81fc4c,_uartr_req
0xff956b00,AbortAEIntegralValue_FW
0xff891a2c,AcquireRecursiveLock
0xff83aea0,AcquireRecursiveLockStrictly
0xff958964,ActivateAdjLog_FW
0xff908f70,ActivateImager_FW
0xff908ffc,ActivateImagerXOne_FW
0xff9848e4,ActivateUsmCPU_FW
0xffa8ec64,add_ptp_handler
0xff99c3f8,AdditionAgentRAM_FW
0xffab0da4,AddTransparentMemory_FW
0xffb56334,AdjAEWithAperturePriority_FW
0xffae9898,AdjustZoomEncoderPi_FW
0xffb562f0,AfAEWithAperturePriority_FW
0xffb564e0,AfAEWithCompensation_FW
0xffa7d9f4,AFTool.GetEVal_FW
0xffaee234,AllocateMemory
0xffaee234,AllocateMemory_FW
0xff83af98,AllocateUncacheableMemory
0xffa4ea74,apex2us
0xff8b9a14,atol_FW
0xff957874,AttachIntegCrawData_FW
0xffab0ddc,AttachToTransparentMemory_FW
0xffb4a5b8,Bat_Calc_FW
0xffb57950,Bat_Save_FW
0xffb5793c,Bat_VIN_FW
0xff862bac,BeepDrive_FW
0xff862bcc,BeepDriveComp_FW
0xffb5175c,CalcLog10_FW
0xffb5c0a0,CalcLoopGain_FW
0xffb5184c,CalcSqrt_FW
0xffb4a5b8,CalculateBatSenseOffset_FW
0xffb516fc,CalculateLog2ToApex_FW
0xffb516c0,CalculatePeakFromLeastSquareResult_FW
0xffb51710,CalculatePow2FromApex_FW
0xff870d04,CalculateTestRecYUVData_FW
0xffb5610c,CancelAdj_AEMode_FW
0xffb502dc,CancelAdjCdsMode_FW
0xffb54558,CancelBPFilterForBP_FW
0xffb55a68,CancelExStrobeMode_FW
0xffae8d48,CancelFocusLensMaxSpeedLimit_FW
0xff8953ac,CancelHPTimer
0xff909258,CancelImageDrive_FW
0xff909178,CancelImager_FW
0xff880734,CancelLoopGainCalc_FW
0xff83b460,CancelTimer
0xffb53698,CancelVcmOpenDriveMode_FW
0xff991148,Capture.Create_FW
0xffb5056c,CaptureWithParam_FW
0xffab07d4,ChangeAdjImgDrvMode_FW
0xffab0800,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa6ce50,ChangeCrossThresholdTable_FW
0xffa6d0f0,ChangeDefectRecParam_FW
0xffb5770c,ChangeDistortionSetForLiveImage_FW
0xffb5bcf8,ChangeFilterMode_FW
0xffae8ec0,ChangeFocusDistanceToPosition_FW
0xffa6cd14,ChangeGradeTable_FW
0xffb50580,ChangeImageDrive_FW
0xff909204,ChangeImagerToAlternateDraft_FW
0xff9091b4,ChangeImagerToCombiParallel_FW
0xff9091fc,ChangeImagerToDigiconMode_FW
0xff909224,ChangeImagerToFastBP_FW
0xff9091c4,ChangeImagerToFocusJet_FW
0xff90923c,ChangeImagerToFocusJetHD_FW
0xff90922c,ChangeImagerToHarleyDavidson_FW
0xff9091ec,ChangeImagerToHoneyFlash_FW
0xff90924c,ChangeImagerToHoneyFlashHD_FW
0xff9091dc,ChangeImagerToJetDraft_FW
0xff9091e4,ChangeImagerToJumboDraft_FW
0xff9091cc,ChangeImagerToMangoPudding_FW
0xff909244,ChangeImagerToMangoPuddingHD_FW
0xff9091f4,ChangeImagerToMillefeAdjust_FW
0xff90921c,ChangeImagerToMontblancMillefe_FW
0xff909214,ChangeImagerToMontblancWhole_FW
0xff9091fc,ChangeImagerToOITA_XAVIER_FW
0xff9091d4,ChangeImagerToSuperWideDraft_FW
0xff90920c,ChangeImagerToUltraGhostQ_FW
0xff90919c,ChangeImagerToWholeParallel_FW
0xff9091a4,ChangeImagerToWholeParallelBP_FW
0xff9091ac,ChangeImagerToWholeParallelBPOne_FW
0xff9091bc,ChangeImagerToWideDraft_FW
0xff909234,ChangeImagerToWideDraftHD_FW
0xffae9220,ChangeIrisSpeed_FW
0xffaeb6f0,ChangeParallelMode_FW
0xff880204,ChangeToISCloseControl_FW
0xff984a2c,ChangeUsmSpeed_FW
0xffae986c,ChangeZoomLensMagnificationToPoint_FW
0xffae9864,ChangeZoomLensPointToMagnification_FW
0xffb55aa4,ChargeStrobe_FW
0xffb55ad8,ChargeStrobeForFA_FW
0xff8915b0,CheckAllEventFlag
0xff891568,CheckAnyEventFlag
0xff8988a0,CheckSumAll_FW
0xff836048,ClearDUIDFixFlag_FW
0xff835fd8,ClearDurianMode_FW
0xff8917d0,ClearEventFlag
0xff835fd8,ClearFactoryMode_FW
0xff880514,ClearISCalcZData_FW
0xffaeb764,ClearISIComponent_FW
0xffaeb788,ClearISZData_FW
0xffb52524,ClearZoomCommonDriveParam_FW
0xff9876b8,ClearZoomDriveParam_FW
0xff8370dc,Close
0xff81ab8c,close
0xff8370dc,Close_FW
0xff81f734,CloseConsole_FW
0xffacdf0c,closedir
0xffae958c,CloseMechaShutterWithTiming_FW
0xffb50d6c,CloseMShutter_FW
0xffb79350,CommunicateISCPU_FW
0xffab076c,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffab0720,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb517b4,ConvertApexStdToApex_FW
0xffb51784,ConvertApexToApexStd_FW
0xffb51d50,ConvertCxCyToWBGain_FW
0xffb52c74,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb506e0,ConvertTvToExposureTime_FW
0xff81f490,CPrintf_FW
0xff81f4ec,CPutChar_FW
0xff86c428,CreateAdjustmentTableMirror_FW
0xff83a778,CreateBinarySemaphore
0xff83ad58,CreateBinarySemaphoreStrictly
