0xff000dd4,memShow_FW
0xff004050,strncpy
0xff00408c,strncmp
0xff0040d8,strchr
0xff0040fc,strrchr
0xff004124,strlen
0xff004124,strlen_FW
0xff00420c,malloc
0xff004264,free
0xff005fb0,drysh_FW
0xff00602c,err_init_task
0xff00617c,task_ClockSave
0xff00a2b8,GetMemInfo
0xff00ab20,open
0xff00abd0,close
0xff00ad74,Read
0xff00ad74,read
0xff00ad74,Read_FW
0xff00ea88,RegisterInterruptHandler
0xff00eaac,UnregisterInterruptHandler
0xff00eac4,GetSRAndDisableInterrupt
0xff00eac8,SetSR
0xff00eae8,EnableInterrupt
0xff00eaf0,CreateTask
0xff00eaf0,CreateTask_FW
0xff00ed80,ExitTask
0xff00ed80,ExitTask_FW
0xff00edc8,DebugAssert
0xff00f4b4,RotateConsoleZOder_FW
0xff00f6c4,CPrintf_FW
0xff00f71c,CPutChar_FW
0xff00f744,GetCh_FW
0xff00f794,GetStringWithPrompt_FW
0xff00f834,OpenConsole_FW
0xff00f960,CloseConsole_FW
0xff00fd34,task_Startup
0xff00ff24,_uartr_req
0xff00ffb4,task_UartLog
0xff010158,StartRedirectUART_FW
0xff01026c,StopRedirectUART_FW
0xff010968,sprintf_FW
0xff0109ac,vsprintf
0xff0109ec,strcpy
0xff0109ec,strcpy_FW
0xff010a04,j_strcmp_FW
0xff010a04,strcmp
0xff010a2c,strcmp_FW
0xff010a48,memcmp
0xff010a48,memcmp_FW
0xff021cb4,task_BatteryTask
0xff022364,GetVBatVoltage_FW
0xff022364,VbattGet
0xff022364,VbattGet_FW
0xff022c60,i2c_Bl_Pwr_Ctrl_FW
0xff022f30,i2c_Hdmi_Bus_Pwr_Ctrl_FW
0xff022f7c,i2c_5V_Bus_Pwr_Ctrl_FW
0xff02308c,i2c_Sd_Pwr_Ctrl_FW
0xff0231a0,Dcdc_reg_access_FW
0xff023210,i2c_dcdc_dump_FW
0xff024290,i2c_read_proc_FW
0xff024310,i2c_write_proc_FW
