0xff0536a4,_avsLoadAdjTableData_FW
0xff053b84,_avsSaveAdjTableData_FW
0xff053684,_avsShowAdjTableData_FW
0xff02c0fc,_GetSystemTime
0xff430340,_log
0xff430880,_log10
0xff4309f8,_pow
0xff43261c,_sqrt
0xff154578,_srRegDump_FW
0xff00ff24,_uartr_req
0xff18d1f0,AbortAEIntegralValue_FW
0xff088e00,AcquireRecursiveLock
0xff02baf0,AcquireRecursiveLockStrictly
0xff18f1a0,ActivateAdjLog_FW
0xff126afc,ActivateImager_FW
0xff126b88,ActivateImagerXOne_FW
0xff357970,ActivateISMD_FW
0xff1c2c8c,ActivateUsmCPU_FW
0xff2dfff0,add_ptp_handler
0xff1dec78,AdditionAgentRAM_FW
0xff31b8f8,AddTransparentMemory_FW
0xff3e016c,AdjAEWithAperturePriority_FW
0xff355a84,AdjustZoomEncoderPi_FW
0xff3e0118,AfAEWithAperturePriority_FW
0xff3e0314,AfAEWithCompensation_FW
0xff2ccdb4,AFTool.GetEVal_FW
0xff359764,AllocateMemory
0xff359764,AllocateMemory_FW
0xff02be60,AllocateUncacheableMemory
0xff297c24,apex2us
0xff0b336c,atol_FW
0xff18dfd4,AttachIntegCrawData_FW
0xff31b930,AttachToTransparentMemory_FW
0xff053a50,AVS_ErrCheck_FW
0xff0539ac,AVS_Execute_FW
0xff0538d0,AVS_Initialize_FW
0xff053acc,AVS_SetVoltage_FW
0xff154740,AVS_Terminate_FW
0xff3c6e28,Bat_Calc_FW
0xff3e177c,Bat_Save_FW
0xff3e1768,Bat_VIN_FW
0xff0557c0,BeepDrive_FW
0xff0557e0,BeepDriveComp_FW
0xff3dabfc,CalcLog10_FW
0xff3e5a84,CalcLoopGain_FW
0xff3dacec,CalcSqrt_FW
0xff3c6e28,CalculateBatSenseOffset_FW
0xff3df2ac,CalculateInterpolationByLS_FW
0xff3dab9c,CalculateLog2ToApex_FW
0xff3dab64,CalculatePeakFromLeastSquareResult_FW
0xff3df24c,CalculatePeakPosByLS_FW
0xff3dabb0,CalculatePow2FromApex_FW
0xff063f24,CalculateTestRecYUVData_FW
0xff3dff40,CancelAdj_AEMode_FW
0xff3d9124,CancelAdjCdsMode_FW
0xff3ddd90,CancelBPFilterForBP_FW
0xff3df884,CancelExStrobeMode_FW
0xff354c64,CancelFocusLensMaxSpeedLimit_FW
0xff08c6ec,CancelHPTimer
0xff126e08,CancelImageDrive_FW
0xff126d28,CancelImager_FW
0xff0740ac,CancelLoopGainCalc_FW
0xff02c318,CancelTimer
0xff3dcd28,CancelVcmOpenDriveMode_FW
0xff0c13f0,Capture.CotiRegular_FW
0xff1d25b8,Capture.Create_FW
0xff3d9aac,CaptureWithParam_FW
0xff2d8f10,CdsDrv.ChangeGainCurve_FW
0xff2d8f34,CdsDrv.CorrectCdsOBBrimming_FW
0xff2d8fcc,CdsDrv.Create_FW
0xff2d900c,CdsDrv.Delete_FW
0xff125efc,CdsDrv.GetBaseSv_FW
0xff2d8db0,CdsDrv.GetCdsGain_FW
0xff2d8c60,CdsDrv.GetCdsGainForAdjustment_FW
0xff2d8c88,CdsDrv.GetCdsGainRegForAdjustment_FW
0xff2d8cf8,CdsDrv.GetCdsOBForAdjustment_FW
0xff2d8cb0,CdsDrv.GetCdsPreGainForAdjustment_FW
0xff2d8fa0,CdsDrv.GetCdsRegisterImage_FW
0xff2d8f18,CdsDrv.GetCdsSpecOfADBitRate_FW
0xff2d8ee4,CdsDrv.PowerMode_FW
0xff2d8d1c,CdsDrv.Reset_FW
0xff2d8ef8,CdsDrv.SelectGainCurveForFi_FW
0xff2d8f00,CdsDrv.SelectGainCurveForFr_FW
0xff2d8f08,CdsDrv.SelectGainCurveForMovie_FW
0xff2d8ce0,CdsDrv.SetCdsAllGaindBForAdjustment_FW
0xff2d8cd0,CdsDrv.SetCdsAllGainRegForAdjustment_FW
0xff2d8d38,CdsDrv.SetCdsCalibration_FW
0xff2d8d58,CdsDrv.SetCdsGain_FW
0xff2d8c58,CdsDrv.SetCdsGainForAdjustment_FW
0xff2d8c80,CdsDrv.SetCdsGainRegForAdjustment_FW
0xff2d8cf0,CdsDrv.SetCdsOBForAdjustment_FW
0xff2d8ca8,CdsDrv.SetCdsPreGainForAdjustment_FW
0xff2d8f88,CdsDrv.SetCdsRegisterImage_FW
0xff15ae90,CecRegDump_FW
0xff31b540,ChangeAdjImgDrvMode_FW
0xff31b56c,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff2b9690,ChangeCrossThresholdTable_FW
0xff2b99b8,ChangeDefectRecParam_FW
0xff3e153c,ChangeDistortionSetForLiveImage_FW
0xff3e56e4,ChangeFilterMode_FW
0xff354dd4,ChangeFocusDistanceToPosition_FW
0xff2b94a4,ChangeGradeTable_FW
0xff3d9ac0,ChangeImageDrive_FW
0xff126dac,ChangeImagerToAlternateDraft_FW
0xff126d64,ChangeImagerToCombiParallel_FW
0xff126da4,ChangeImagerToDigiconMode_FW
0xff126dec,ChangeImagerToFantaJungle_FW
0xff126dd4,ChangeImagerToFastBP_FW
0xff126d74,ChangeImagerToFocusJet_FW
0xff126ddc,ChangeImagerToHarleyDavidson_FW
0xff126d94,ChangeImagerToHoneyFlash_FW
0xff126df4,ChangeImagerToHoneyFlashDark_FW
0xff126d8c,ChangeImagerToJetDraft_FW
0xff126de4,ChangeImagerToMachDashV_FW
0xff126d7c,ChangeImagerToMangoPudding_FW
0xff126d9c,ChangeImagerToMillefeAdjust_FW
0xff126dc4,ChangeImagerToMontblancMillefe_FW
0xff126dcc,ChangeImagerToMontblancMovie_FW
0xff126dbc,ChangeImagerToMontblancWhole_FW
0xff126da4,ChangeImagerToOITA_XAVIER_FW
0xff126dfc,ChangeImagerToRoadKing_FW
0xff126d84,ChangeImagerToSuperWideDraft_FW
0xff126db4,ChangeImagerToUltraGhostQ_FW
0xff126d4c,ChangeImagerToWholeParallel_FW
0xff126d54,ChangeImagerToWholeParallelBP_FW
0xff126d5c,ChangeImagerToWholeParallelBPOne_FW
0xff126d6c,ChangeImagerToWideDraft_FW
0xff3552bc,ChangeIrisSpeed_FW
0xff3572c4,ChangeParallelMode_FW
0xff056078,ChangePowerState_FW
0xff073b00,ChangeToISCloseControl_FW
0xff1c2dd4,ChangeUsmSpeed_FW
0xff355a7c,ChangeZoomLensMagnificationToPoint_FW
0xff355a74,ChangeZoomLensPointToMagnification_FW
0xff3df8c0,ChargeStrobe_FW
0xff3df8f4,ChargeStrobeForFA_FW
0xff088988,CheckAllEventFlag
0xff088940,CheckAnyEventFlag
0xff053a50,CheckAvs_FW
0xff08feb8,CheckSumAll_FW
0xff0262a8,ClearDUIDFixFlag_FW
0xff0261a4,ClearDurianMode_FW
0xff088ba8,ClearEventFlag
0xff0263d4,ClearFactoryMasterFlag_FW
0xff0263ec,ClearFactoryMasterROMProtection_FW
0xff0261a4,ClearFactoryMode_FW
0xff073e8c,ClearISCalcZData_FW
0xff357338,ClearISIComponent_FW
0xff35735c,ClearISZData_FW
0xff3dbaac,ClearZoomCommonDriveParam_FW
0xff1c61e4,ClearZoomDriveParam_FW
0xff0275e4,Close
0xff00abd0,close
0xff0275e4,Close_FW
0xff00f960,CloseConsole_FW
0xff339528,closedir
0xff355650,CloseMechaShutter_FW
0xff355698,CloseMechaShutterWithTiming_FW
0xff3da210,CloseMShutter_FW
0xff3ff888,CommunicateISCPU_FW
0xff357988,CommunicateMechaCPU_FW
0xff31b4d8,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xff31b48c,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xff3dac54,ConvertApexStdToApex_FW
0xff3dac24,ConvertApexToApexStd_FW
0xff3db1e8,ConvertCxCyToWBGain_FW
0xff3dc2bc,ConvertToPositionWithDistance_FW
0xff3dc298,ConvertToPositionWithDistanceAndZoomPoint_FW
0xff3d9b5c,ConvertTvToExposureTime_FW
0xff00f6c4,CPrintf_FW
0xff00f71c,CPutChar_FW
0xff05f038,CreateAdjustmentTableMirror_FW
0xff02b3a4,CreateBinarySemaphore
0xff02b9a8,CreateBinarySemaphoreStrictly
0xff0953b8,CreateController_FW
0xff02b40c,CreateCountingSemaphore
0xff02b40c,CreateCountingSemaphore_FW
0xff02b9cc,CreateCountingSemaphoreStrictly
0xff05f048,CreateDefectTableMirror_FW
0xff088898,CreateEventFlag
0xff02b984,CreateEventFlagStrictly
0xff18eae4,CreateFADBGSingalID_FW
0xff3e3b04,CreateJumptable
0xff02afe0,CreateMessageQueue
0xff02b960,CreateMessageQueueStrictly
0xff08d950,CreateProxyOfEventProcedure_FW
0xff088d60,CreateRecursiveLock
0xff02b9f0,CreateRecursiveLockStrictly
0xff00eaf0,CreateTask
0xff00eaf0,CreateTask_FW
0xff02b92c,CreateTaskStrictly
0xff2b94ac,CrossDefDetect_FW
0xff095638,CtrlMan_ChangeZOrder_FW
0xff1bb714,CzDebugPrint_FW
0xff1bb71c,CzDebugPrintToFile_FW
0xff055990,Dcdc_Down_Avs_Voltage_Step_FW
0xff055920,Dcdc_Get_Avs_Voltage_Step_FW
0xff0231a0,Dcdc_reg_access_FW
0xff0558b8,Dcdc_Set_Avs_Voltage_Step_FW
0xff055a30,Dcdc_Up_Avs_Voltage_Step_FW
0xff00edc8,DebugAssert
0xff3ff8e4,DelaySet_FW
0xff095494,DeleteController_FW
0xff026fe0,DeleteDirectory_Fut
0xff0888f0,DeleteEventFlag
0xff026efc,DeleteFile_Fut
0xff02b064,DeleteMessageQueue
0xff08d9a8,DeleteProxyOfEventProcedure_FW
0xff088db0,DeleteRecursiveLock
0xff02b464,DeleteSemaphore
0xff02b464,DeleteSemaphore_FW
0xff3e3964,DevelopStillPicture_FW
0xff2b9ab4,DevelopTool.DevelopTest_FW
0xff18e78c,DeviceUniqueIDCheckSum_FW
0xff191628,DisableDebugLogMode_FW
0xff357684,DisableDISModeChange_FW
0xff354cc0,DisableFocusLens_FW
0xff354d38,DisableFocusLensGainLock_FW
0xff354eb8,DisableFocusLensPort_FW
0xff354d64,DisableFocusLensWaveLock_FW
0xff3554f4,DisableFocusPiCircuit_FW
0xff355230,DisableIris_FW
0xff347814,DisableIrisActuator_FW
0xff357408,DisableISAutoGyroOffset_FW
0xff3573e8,DisableISDriveError_FW
0xff35543c,DisableLensError_FW
0xff357724,DisableMacroIS_FW
0xff3554d4,DisableMechaCircuit_FW
0xff1c2ef4,DisableUsmEncErrorDetect_FW
0xff1c2f64,DisableUsmEncLed_FW
0xff1c2fe8,DisableUsmEncLevelDetect_FW
0xff1c2fa4,DisableUsmEncPhaseDetect_FW
0xff1c2f38,DisableUsmSpeedLog_FW
0xff3ffe9c,DisableVcmDacOut_FW
0xff3ffb98,DisableVcmOpenDrive_FW
0xff3ff9c4,DisableVcmPiDetectStop_FW
0xff3ff998,DisableVcmSettingWait_FW
0xff1c859c,DisableVcmSrAmpCorrect_FW
0xff3ffb64,DisableVcmSrAmplitudeComp_FW
0xff3ffd04,DisableVcmTravelTimeMeasure_FW
0xff1c46a8,DisableZoomActuatorSpeedControl_FW
0xff3dbd08,DisableZoomDriveLog_FW
0xff35553c,DisableZoomEncoderCircuit_FW
0xff3dbacc,DisableZoomEncPhaseDif_FW
0xff355a44,DisableZoomLensEncoderPowerControl_FW
0xff355a64,DisableZoomLensResetEscapeMove_FW
0xff355518,DisableZoomPiCircuit_FW
0xff3dbbe4,DisableZoomSpeedCont_FW
0xff051d44,DispCon_GetLcdGainAdjParameter_FW
0xff051b7c,DispCon_GetVideoAdjParameter_FW
0xff051d90,DispCon_SaveLcdGainAdjParameter_FW
0xff051c04,DispCon_SaveVideoAdjParameter_FW
0xff051674,DispCon_SetDisplayType_FW
0xff051c80,DispCon_SetLcdGainAdjParameter_FW
0xff051a90,DispCon_SetMaxBackLightBrightness_FW
0xff051b10,DispCon_SetVideoAdjParameter_FW
0xff051598,DispCon_ShowBitmapColorBar
0xff051598,DispCon_ShowBitmapColorBar_FW
0xff05157c,DispCon_ShowBlackChart_FW
0xff05134c,DispCon_ShowColorBar_FW
0xff051694,DispCon_ShowColorChart_FW
0xff051608,DispCon_ShowCustomColorBar_FW
0xff0513d8,DispCon_ShowFiveStep_FW
0xff051dac,DispCon_ShowHdChart_FW
0xff051d80,DispCon_ShowLcdGainAdjParameter_FW
0xff051900,DispCon_ShowNStepsChart_FW
0xff051bd8,DispCon_ShowVideoAdjParameter_FW
0xff051528,DispCon_ShowWhiteChart_FW
0xff0516b8,DispCon_ShowWhiteLine_FW
0xff051a80,DispCon_TurnOffBackLight_FW
0xff051a60,DispCon_TurnOffDisplay_FW
0xff051a70,DispCon_TurnOnBackLight_FW
0xff051a50,DispCon_TurnOnDisplay_FW
0xff1d1e60,DispDev.Create_FW
0xff1cf91c,DispDev_EnableEventProc_FW
0xff025f34,DisplayFactoryMode_FW
0xff0297a8,DoAELock
0xff029330,DoAFLock
0xff1cfa20,Driver.Create_FW
0xff1cfa20,Driver_EnableEventProc_FW
0xff3dd030,DriveVcmOpenDrive_FW
0xff005fb0,drysh_FW
0xff1cfe64,Dump32_FW
0xff1cfe54,Dump_FW
0xff05e754,DumpAdjMirror_FW
0xff31b8b8,DumpTransparentMemoryItem_FW
0xff1267f0,E2LatOn_FW
0xff15ad30,EdidDump_FW
0xff15ac58,EdidHoldView_FW
0xff15acc4,EdidView_FW
0xff2c66c8,EF.AdjPreFlash_FW
0xff0efe04,EF.IsChargeFull_FW
0xff2c6704,EF.SetChargeMode_FW
0xff2c65e4,EF.SetEFChargeTimeOut_FW
0xff2c6718,EF.SetFlashTime_FW
0xff2c66b0,EF.SetMainFlashTime_FW
0xff2c6588,EF.StartEFCharge_FW
0xff2c662c,EF.StartInternalMainFlash_FW
0xff2c65f8,EF.StartInternalPreFlash_FW
0xff2c65d4,EF.StopEFCharge_FW
0xff1df1e0,EFUSE_GetVdlData_FW
0xff1dedb0,EFUSE_ReadData_FW
0xff191614,EnableDebugLogMode_FW
0xff357694,EnableDISModeChange_FW
0xff354c74,EnableFocusLens_FW
0xff354d0c,EnableFocusLensGainLockWithVoltage_FW
0xff354ea8,EnableFocusLensPort_FW
0xff354d48,EnableFocusLensWaveLock_FW
0xff3554e4,EnableFocusPiCircuit_FW
0xff00eae8,EnableInterrupt
0xff35520c,EnableIris_FW
0xff3477f0,EnableIrisActuator_FW
0xff3573f8,EnableISAutoGyroOffset_FW
0xff3573d8,EnableISDriveError_FW
0xff35542c,EnableLensError_FW
0xff357714,EnableMacroIS_FW
0xff3554c4,EnableMechaCircuit_FW
0xff1c2ee0,EnableUsmEncErrorDetect_FW
0xff1c2f50,EnableUsmEncLed_FW
0xff1c2fd8,EnableUsmEncLevelDetect_FW
0xff1c2f90,EnableUsmEncPhaseDetect_FW
0xff1c2f24,EnableUsmSpeedLog_FW
0xff3ffe8c,EnableVcmDacOut_FW
0xff3ffb88,EnableVcmOpenDrive_FW
0xff3ff9b0,EnableVcmPiDetectStop_FW
0xff3ff988,EnableVcmSettingWait_FW
0xff1c8584,EnableVcmSrAmpCorrect_FW
0xff3ffb54,EnableVcmSrAmplitudeComp_FW
0xff3ffcf4,EnableVcmTravelTimeMeasure_FW
0xff1c4694,EnableZoomActuatorSpeedControl_FW
0xff3dc01c,EnableZoomDriveLog_FW
0xff35552c,EnableZoomEncoderCircuit_FW
0xff3dbab4,EnableZoomEncPhaseDif_FW
0xff355a04,EnableZoomLensEncoderPowerControl_FW
0xff355a54,EnableZoomLensResetEscapeMove_FW
0xff355508,EnableZoomPiCircuit_FW
0xff3dbbd0,EnableZoomSpeedCont_FW
0xff15b964,EngApp.Create_FW
0xff15b938,EngApp.Delete_FW
0xff025c68,EngDrvBits
0xff30e6a4,EngDrvBits_FW
0xff025c4c,EngDrvIn
0xff30e694,EngDrvIn_FW
0xff025c34,EngDrvOut
0xff30e678,EngDrvOut_FW
0xff025c54,EngDrvRead
0xff30e69c,EngDrvRead_FW
0xff30e6c8,EngDrvReadDump_FW
0xff1d25fc,EngineDriver.Create_FW
0xff029704,EnterToCompensationEVF
0xff05e728,EraseAdjustmentArea_FW
0xff1d9b3c,EraseLogSector_FW
0xff089f04,EraseRom_FW
0xff1cfe40,EraseSignature_FW
0xff00602c,err_init_task
0xff354460,EscapeFocusLens_FW
0xff3597d0,exec_FW
0xff31b5b8,ExecuteAvs_FW
0xff064830,Executedccd_FW
0xff2b99c8,ExecuteDefectRec_FW
0xff2b99dc,ExecuteDefectRecAndSaveImage_FW
0xff064128,ExecuteDigicon_FW
0xff08d004,ExecuteEventProcedure
0xff08d07c,ExecuteEventProcedure_FW
0xff3df960,ExecuteInternalPreFlash_FW
0xff206058,ExecuteResetFactory_FW
0xff206040,ExecuteResetFactoryWithRomWrite_FW
0xff0896a8,ExecuteShutDownPropertyService_FW
0xff06378c,ExecuteTestRec_FW
0xff0637a0,ExecuteTestRecCF_FW
0xff06381c,ExecuteTestRecDevelopProcess_FW
0xff0637a0,ExecuteTestRecSD_FW
0xff0637d0,ExecuteTestRecSw1_FW
0xff0637b8,ExecuteTestRecWithInteg_FW
0xff3ff8d4,ExecVcmFirm_FW
0xff029748,ExitFromCompensationEVF
0xff00ed80,ExitTask
0xff00ed80,ExitTask_FW
0xff08b9f0,ExMem.AllocCacheable_FW
0xff08b840,ExMem.AllocUncacheable_FW
0xff08ba78,ExMem.FreeCacheable_FW
0xff08b974,ExMem.FreeUncacheable_FW
0xff08b364,ExMem.View_FW
0xff08b988,exmem_alloc
0xff08ba00,exmem_free
0xff027d30,ExMem_FW
0xff0c7408,ExpCtrlTool.SetExpMode_FW
0xff037bf0,ExpCtrlTool_StartContiAE
0xff037cd0,ExpCtrlTool_StopContiAE
0xff08d944,ExportToEventProcedure_FW
0xff1d1e3c,FA.Create_FW
0xff1d1e28,FA.Delete_FW
0xff18eb94,FADBGPrintf_FW
0xff18eaf4,FADBGSingal_FW
0xff18ed14,FAPrintf_FW
0xff027078,Fclose_Fut
0xff027078,Fclose_Fut_FW
0xff027264,Feof_Fut
0xff0272a0,Fflush_Fut
0xff0271cc,Fgets_Fut
