0xff813770,_GetSystemTime
0xff91e554,_log
0xff91ac9c,_log10
0xff91ae1c,_pow
0xff91ccdc,_sqrt
0xffa60f60,AbortAEIntegralValue_FW
0xffb42a30,AcquireRecursiveLock
0xffa72eb8,ActivateAdjLog_FW
0xff9be80c,ActivateImager_FW
0xffa71720,AddAdjDataToFRom_FW
0xff909f3c,AddItemToDialogBox_FW
0xffa73aac,AddTransparentMemory_FW
0xffa69de4,AdjAEWithAperturePriority_FW
0xffa6cfa0,AdjustGyroOffset_FW
0xffa69d00,AfAEWithAperturePriority_FW
0xffa69fc8,AfAEWithCompensation_FW
0xffa4286c,AFAssistBeam_FW
0xff818724,AllocateMemory
0xff818724,AllocateMemory_FW
0xff81e664,AllocateUncacheableMemory
0xff93c8cc,apex2us
0xff922788,atol_FW
0xffa73af4,AttachToTransparentMemory_FW
0xffa40e0c,Bat_Calc_FW
0xffa6bd98,Bat_Save_FW
0xffa6bd84,Bat_VIN_FW
0xffa3f7ac,BatVoltageToAd_FW
0xffa41c3c,BeepDrive_FW
0xffa41c50,BeepDriveComp_FW
0xffa647ec,CalcLog10_FW
0xffa40e0c,CalculateBatSenseOffset_FW
0xffa64794,CalculateLog2ToApex_FW
0xffa64760,CalculatePeakFromLeastSquareResult_FW
0xffa675f8,CalculatePeakPositionByLeastSquare_FW
0xffa647c8,CalculatePow2FromApex_FW
0xffa69c54,CancelAdj_AEMode_FW
0xffa62ff8,CancelAdjCdsMode_FW
0xffa68cb4,CancelBPFForBestPintCorrect_FW
0xffa69420,CancelExStrobeMode_FW
0xffaec5e4,CancelFocusLensMaxSpeedLimit_FW
0xff8146c8,CancelHPTimer
0xff9beb2c,CancelImager_FW
0xff8139d8,CancelTimer
0xff93a4dc,Capture.Create_FW
0xff93a578,Capture.Delete_FW
0xffa62ca0,ChangeAdjImgDrvMode_FW
0xffa62cf8,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffaec798,ChangeFocusDistanceToPosition_FW
0xff9a6814,ChangeGradeTable_FW
0xff9bebe8,ChangeImagerToAlternateDraft_FW
0xff9bec88,ChangeImagerToDigiconMode_FW
0xff9bec18,ChangeImagerToFocusJet_FW
0xff9bec48,ChangeImagerToHoneyFlash_FW
0xff9bebf8,ChangeImagerToJetDraft_FW
0xff9bec28,ChangeImagerToJumboDraft_FW
0xff9bec58,ChangeImagerToMangoPudding_FW
0xff9bec38,ChangeImagerToMillefeAdjust_FW
0xff9bec78,ChangeImagerToMontblancMillefe_FW
0xff9bec68,ChangeImagerToMontblancWhole_FW
0xff9bebd8,ChangeImagerToNarrowDraft_FW
0xff9bec88,ChangeImagerToOITA_XAVIER_FW
0xff9bec08,ChangeImagerToPetitNarrow_FW
0xff9becc8,ChangeImagerToSmearCorrectAlternate_FW
0xff9becb8,ChangeImagerToSmearCorrectSuper_FW
0xff9beca8,ChangeImagerToSmearCorrectWide_FW
0xff9bebb8,ChangeImagerToSuperWideDraft_FW
0xff9bec98,ChangeImagerToUltraGhostQ_FW
0xff9beb8c,ChangeImagerToWholeParallel_FW
0xff9beba8,ChangeImagerToWholeParallelHalf_FW
0xff9beb5c,ChangeImagerToWholeSerial_FW
0xff9beb74,ChangeImagerToWholeSerialLineDef_FW
0xff9bebc8,ChangeImagerToWideDraft_FW
0xff9becd8,ChangeImagerToXXX_FW
0xff9bee58,ChangeUseAf_FW
0xffb3915c,ChangeZoomSpeed_FW
0xffa69430,ChargeStrobe_FW
0xffb3ff48,CheckAllEventFlag
0xffb3ff38,CheckAnyEventFlag
0xff81822c,CheckSumAll_FW
0xff9a6d00,ClearDefectCount_FW
0xffa6f1f8,ClearDUIDFixFlag_FW
0xffb40348,ClearEventFlag
0xffa6f190,ClearFactoryMode_FW
0xffb06f74,ClearISIComponent_FW
0xffb06f90,ClearISZData_FW
0xffaaec5c,Close
0xff92843c,close
0xffaaec5c,Close_FW
0xff8195dc,CloseConsole_FW
0xffb7cc28,closedir
0xffaf929c,CloseMechaShutter_FW
0xffaf929c,CloseMechaShutterEvent_FW
0xffaf92fc,CloseMechaShutterWithTiming_FW
0xffa63ad4,CloseMShutter_FW
0xffb06674,CommunicateISCPU_FW
0xffa789c8,CompletePrepareTestRec_FW
0xff90b0e8,ControlEventHandler_FW
0xff8ef6c8,ControlViewEvent_FW
0xffa62bfc,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa62bac,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffa648b8,ConvertApexStdToApex_FW
0xffa64884,ConvertApexToApexStd_FW
0xffa64f1c,ConvertCxCyToWBGain_FW
0xffa65f3c,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffa63128,ConvertTvToExposureTime_FW
0xff819314,CPrintf_FW
0xff819378,CPutChar_FW
0xffa71304,CreateAdjustmentTableMirror_FW
0xffb410b0,CreateBinarySemaphore
0xffb42c00,CreateBinarySemaphoreStrictly
0xffb5b92c,CreateController_FW
0xffb41198,CreateCountingSemaphore
0xffb41198,CreateCountingSemaphore_FW
0xffb42c2c,CreateCountingSemaphoreStrictly
0xff909a1c,CreateDialogBox_FW
0xff90aee0,CreateDialogItem_FW
0xff8c9218,CreateDpConnectController_FW
0xffb3fc8c,CreateEventFlag
0xffb42bd4,CreateEventFlagStrictly
0xffa725d4,CreateFADBGSingalID_FW
0xff8b4b50,CreateLanguageMenu_FW
0xffb40578,CreateMessageQueue
0xffb42ba8,CreateMessageQueueStrictly
0xff88b454,CreatePlayMyColController_FW
0xff81545c,CreateProxyOfEventProcedure_FW
0xffb4287c,CreateRecursiveLock
0xffb42c58,CreateRecursiveLockStrictly
0xffb24094,CreateSubCPUEvent_FW
0xffb41ac8,CreateTask
0xffb41ac8,CreateTask_FW
0xffb42b68,CreateTaskStrictly
0xffa1f214,CreateVcomUart_FW
0xffae9284,CzDebugPrint_FW
0xffae929c,CzDebugPrintToFile_FW
0xff8e8614,DBG_changeTraceLevel_FW
0xffb4d970,DebugAssert
0xffb066ec,DelaySet_FW
0xffb5b9f0,DeleteController_FW
0xff909c18,DeleteDialogBox_FW
0xff909e50,DeleteDialogBoxAfterGetTopOfControl_FW
