0xFFC00000
AllocateUncacheableMemory 0xFFC048D8
DeleteFile_Fut 0xFFC55A2C 12
EnterToCompensationEVF 0xFFD34F38
ExecuteEventProcedure 0xFFC067F0
ExitFromCompensationEVF 0xFFD34F98
Fclose_Fut 0xffc55b6c
Feof_Fut 0xFFC55D80 14
Fflush_Fut 0xFFC55DB8
Fgets_Fut 0xFFC55CF0 18
Fopen_Fut 0xffc55b30
Fread_Fut 0xffc55c50
FreeUncacheableMemory 0xFFC0490C
Fseek_Fut 0xffc55d38
Fwrite_Fut 0xffc55ca0
GetCurrentTargetDistance 0xFFE736BC
GetDrive_ClusterSize 0xFFC5BEE8
GetDrive_FreeClusters 0xFFC5BF60
GetDrive_TotalClusters 0xFFC5BF24
GetFocusLensSubjectDistance 0xFFE667F0
GetParameterData 0xFFD4E2FC
GetPropertyCase 0xFFC141A8 26
GetSystemTime 0xFFC04B10
IsStrobeChargeCompleted 0xFFCEBE00
MakeAFScan 0xFFD377B0
MakeDirectory_Fut 0xFFC55AB8
Mount_FileSystem 0xFFC5B9C0
PT_PlaySound 0xFFD4074C
PutInNdFilter 0xFFE71734
PutOutNdFilter 0xFFE7177C
RenameFile_Fut 0xFFC559AC
Restart 0xFFC12800
SetCurrentCaptureModeType 0xFFD76E1C 16
SetFileAttributes 0xFFC5C8C4
SetLogicalEventActive 0xFFD46F7C 23
SetParameterData 0xFFD4E21C
SetPropertyCase 0xFFC1408C 29
TurnOffBackLight 0xffd93454
TurnOnBackLight 0xffd93428
Unmount_FileSystem 0xFFC5BAC8
UnsetZoomForMovie 0xFFD81B80
UpdateMBROnFlash 0xFFC5BC20
WriteSDCard 0xFFC6AFD8
_pow 0xFFEA8F74
_sqrt 0xFFEAD2C0
add_ptp_handler 0xFFE222D0
apex2us 0xFFC987EC
close 0xFFEBBE5C
closedir 0xFFEB7DFC
errnoOfTaskGet 0xFFEB85C8
exmem_alloc 0xFFC02830
free 0xFFEBEEA8
iosDevAdd 0xFFEBD07C
iosDevDelete 0xFFEBD054
iosDrvInstall 0xFFEBD340
isalpha 0xFFEB1D70
isdigit 0xFFEB1DA0
islower 0xFFEB1DD0
ispunct 0xFFEB1E00
isspace 0xFFEB1E18
isupper 0xFFEB1E30
isxdigit 0xFFEB1E48
kbd_p1_f 0xFFC16184
kbd_p2_f 0xFFC16568
kbd_pwr_off 0xFFC1758C 7
kbd_pwr_on 0xFFC17564 10
kbd_read_keys_r2 0xFFC16FD8
localtime 0xFFEB65F0
lseek 0xFFEBBFA0
malloc 0xFFEBEE9C
memPartInfoGet 0xFFEBF2BC
memchr 0xFFEB599C
memcpy 0xFFEB5A0C
mkdir 0xFFC5C8F4
mktime 0xFFEB67B8
open 0xFFEBC4A0
opendir 0xFFEB7E30
qsort 0xFFEB5230
rand 0xFFEB5254
readdir 0xFFEB7DC8
srand 0xFFEB5278
stat 0xFFEB7EC4
strcat 0xFFEB5AA4
strchr 0xFFEB5AD0
strftime 0xFFEB7310 8
strncmp 0xFFEB5E50
strncpy 0xFFEB5E94
strpbrk 0xFFEB5EDC
strrchr 0xFFEB5F18
strtol 0xFFEB566C
strtoul 0xFFEB5814
taskCreateHookAdd 0xFFEC251C
taskDeleteHookAdd 0xFFEC2458
taskIdListGet 0xFFECCAE0
taskLock 0xFFECD19C
taskName 0xFFECC9D8
taskResume 0xFFECCDBC
taskSuspend 0xFFECCBE8
taskUnlock 0xFFECD244
time 0xFFEB733C
tolower 0xFFEB1E60
toupper 0xFFEB1E70
utime 0xFFEB7F58
vsprintf 0xFFEB971C
